<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Распадская;60;20170124;090000;87.9;87.9;87.9;87.9;20;0
Распадская;60;20170124;100000;87.89;88.75;87.52;88.55;23877;0
Распадская;60;20170124;110000;88.51;88.51;88.06;88.23;10727;0
Распадская;60;20170124;120000;88.2;88.39;88.06;88.39;3679;0
Распадская;60;20170124;130000;88.35;88.7;88.29;88.47;16832;0
Распадская;60;20170124;140000;88.46;89.19;88.4;88.99;17141;0
Распадская;60;20170124;150000;89;89.27;88.4;89.25;21806;0
Распадская;60;20170124;160000;89.24;91.2;89.22;89.85;68943;0
Распадская;60;20170124;170000;89.9;90.13;89.42;89.54;16647;0
Распадская;60;20170124;180000;89.59;89.82;89.18;89.34;18152;0
Распадская;60;20170125;090000;89.79;89.79;89.79;89.79;522;0
Распадская;60;20170125;100000;89.81;90.67;88.75;90.52;47375;0
Распадская;60;20170125;110000;90.32;91.5;89.88;90.53;53169;0
Распадская;60;20170125;120000;90.68;91.17;90.07;90.8;23925;0
Распадская;60;20170125;130000;90.77;91;90.21;90.4;13861;0
Распадская;60;20170125;140000;90.41;90.87;90.23;90.49;20218;0
Распадская;60;20170125;150000;90.5;90.8;90.37;90.78;12161;0
Распадская;60;20170125;160000;90.66;91.79;90.5;91.37;34806;0
Распадская;60;20170125;170000;91.38;92;90.53;91.65;29696;0
Распадская;60;20170125;180000;91.73;92.5;91.6;92.27;35753;0
Распадская;60;20170126;090000;92.5;92.5;92.5;92.5;1231;0
Распадская;60;20170126;100000;92.55;94.74;90.69;92.34;202071;0
Распадская;60;20170126;110000;92.49;93;91.97;92;36222;0
Распадская;60;20170126;120000;91.93;92.74;91.31;92.68;32376;0
Распадская;60;20170126;130000;92.67;92.85;92.2;92.69;18433;0
Распадская;60;20170126;140000;92.68;92.81;92.5;92.78;5880;0
Распадская;60;20170126;150000;92.78;92.78;91.05;91.49;33209;0
Распадская;60;20170126;160000;91.5;91.94;90.83;91.68;22524;0
Распадская;60;20170126;170000;91.65;92.4;91.62;92.1;32465;0
Распадская;60;20170126;180000;92.04;92.05;91.31;91.35;24807;0
Распадская;60;20170127;090000;92;92;92;92;319;0
Распадская;60;20170127;100000;92;92.33;91.12;91.69;24789;0
Распадская;60;20170127;110000;91.68;91.85;90.5;90.78;44655;0
Распадская;60;20170127;120000;90.74;91.5;90.52;91.26;17809;0
Распадская;60;20170127;130000;91.22;91.78;90.77;91.78;12442;0
Распадская;60;20170127;140000;91.7;91.95;91.25;91.78;11929;0
Распадская;60;20170127;150000;91.75;91.88;91.37;91.64;6685;0
Распадская;60;20170127;160000;91.64;91.78;91.44;91.6;5095;0
Распадская;60;20170127;170000;91.65;91.68;90.5;91.08;41466;0
Распадская;60;20170127;180000;91.09;91.1;90.78;90.78;25495;0
Распадская;60;20170130;090000;90.5;90.5;90.5;90.5;100;0
Распадская;60;20170130;100000;90.96;91.9;90.01;91.36;43386;0
Распадская;60;20170130;110000;91.34;91.85;90.94;91.36;17477;0
Распадская;60;20170130;120000;91.28;91.83;91.28;91.61;8079;0
Распадская;60;20170130;130000;91.63;92.7;91.42;92.29;51393;0
Распадская;60;20170130;140000;92.23;92.7;92.1;92.47;25622;0
Распадская;60;20170130;150000;92.49;92.7;92.34;92.64;31870;0
Распадская;60;20170130;160000;92.61;92.61;92.13;92.4;13176;0
Распадская;60;20170130;170000;92.44;92.48;92.04;92.43;6760;0
Распадская;60;20170130;180000;92.41;92.42;91.02;91.29;30477;0
Распадская;60;20170131;090000;91.5;91.5;91.5;91.5;6;0
Распадская;60;20170131;100000;91.5;91.91;89.3;89.33;100488;0
Распадская;60;20170131;110000;89.33;89.8;88.55;89.34;106521;0
Распадская;60;20170131;120000;89.28;89.88;89.27;89.52;27864;0
Распадская;60;20170131;130000;89.52;89.72;89.39;89.52;9260;0
Распадская;60;20170131;140000;89.57;89.93;89.49;89.87;14776;0
Распадская;60;20170131;150000;89.87;90.33;89.78;90.18;17002;0
Распадская;60;20170131;160000;90.24;90.39;89.85;90.16;15707;0
Распадская;60;20170131;170000;90.16;90.3;89.8;89.93;12471;0
Распадская;60;20170131;180000;89.84;90.2;89.6;90.14;27140;0
Распадская;60;20170201;090000;90.63;90.63;90.63;90.63;301;0
Распадская;60;20170201;100000;90.38;90.95;89.6;90.4;30178;0
Распадская;60;20170201;110000;90.4;90.85;89.52;90.3;45660;0
Распадская;60;20170201;120000;90.34;90.38;89.94;90.32;18382;0
Распадская;60;20170201;130000;90.3;90.39;90.04;90.36;12084;0
Распадская;60;20170201;140000;90.37;90.77;90.16;90.75;29973;0
Распадская;60;20170201;150000;90.75;90.77;89.75;90.1;25139;0
Распадская;60;20170201;160000;90.16;90.51;90;90.38;9436;0
Распадская;60;20170201;170000;90.31;90.47;90.21;90.33;10735;0
Распадская;60;20170201;180000;90.33;90.77;90.25;90.53;14075;0
Распадская;60;20170202;090000;90.74;90.74;90.74;90.74;10;0
Распадская;60;20170202;100000;90.74;91.85;90.62;91.52;51312;0
Распадская;60;20170202;110000;91.51;91.51;91;91.18;12204;0
Распадская;60;20170202;120000;91.25;91.35;90.6;90.79;21914;0
Распадская;60;20170202;130000;90.85;90.9;90.73;90.85;11009;0
Распадская;60;20170202;140000;90.87;91.35;90.79;91.23;22245;0
Распадская;60;20170202;150000;91.2;91.28;90.23;90.46;25085;0
Распадская;60;20170202;160000;90.46;90.59;89.52;90;27507;0
Распадская;60;20170202;170000;89.92;89.92;88.71;89.3;48334;0
Распадская;60;20170202;180000;89.38;89.47;88.88;89.21;16203;0
Распадская;60;20170203;090000;89.21;89.21;89.21;89.21;6;0
Распадская;60;20170203;100000;89.23;90.46;88.83;89.21;34755;0
Распадская;60;20170203;110000;89.05;89.07;86.7;87.74;109960;0
Распадская;60;20170203;120000;87.7;88.34;87.18;88.16;33486;0
Распадская;60;20170203;130000;88.16;88.38;86.7;87.47;67027;0
Распадская;60;20170203;140000;87.44;88;87.18;87.96;11933;0
Распадская;60;20170203;150000;87.95;88.2;87.83;88.02;7207;0
Распадская;60;20170203;160000;88.08;88.17;87.83;87.98;8406;0
Распадская;60;20170203;170000;87.97;88.38;87.89;88.05;12437;0
Распадская;60;20170203;180000;88.13;88.86;88.06;88.68;21817;0
Распадская;60;20170206;090000;88.8;88.8;88.8;88.8;52;0
Распадская;60;20170206;100000;88.88;89.66;87.22;88.04;61014;0
Распадская;60;20170206;110000;88.04;88.81;87.5;87.98;20560;0
Распадская;60;20170206;120000;88.06;88.35;87.6;87.81;12651;0
Распадская;60;20170206;130000;87.85;88.6;87.85;88.45;8957;0
Распадская;60;20170206;140000;88.36;88.45;88.08;88.08;9265;0
Распадская;60;20170206;150000;88.08;88.23;87.82;88.12;5484;0
Распадская;60;20170206;160000;88.15;88.39;86.7;87.36;55923;0
Распадская;60;20170206;170000;87.3;87.45;85.51;86.14;54237;0
Распадская;60;20170206;180000;86.02;86.9;85.99;86.8;31200;0
Распадская;60;20170207;090000;86.97;86.97;86.97;86.97;248;0
Распадская;60;20170207;100000;86.86;87.35;85.82;86.77;50291;0
Распадская;60;20170207;110000;86.84;86.9;85.5;85.89;78021;0
Распадская;60;20170207;120000;85.91;86.08;84.75;85.01;76141;0
Распадская;60;20170207;130000;85.1;86.23;85;86.09;45057;0
Распадская;60;20170207;140000;86.1;88.2;86.06;87.43;80747;0
Распадская;60;20170207;150000;87.48;88.15;87.43;88.05;16445;0
Распадская;60;20170207;160000;88.03;88.1;87.03;87.24;25359;0
Распадская;60;20170207;170000;87.27;87.53;86.3;87.12;27607;0
Распадская;60;20170207;180000;87.12;87.65;87;87.25;16886;0
Распадская;60;20170208;090000;87.5;87.5;87.5;87.5;419;0
Распадская;60;20170208;100000;87.5;88.79;86.81;86.98;76545;0
Распадская;60;20170208;110000;86.95;87.55;86.62;87.29;25031;0
Распадская;60;20170208;120000;87.21;87.85;87.08;87.74;13544;0
Распадская;60;20170208;130000;87.66;88.22;87.44;87.78;15656;0
Распадская;60;20170208;140000;87.77;87.89;86.65;86.79;22562;0
Распадская;60;20170208;150000;86.83;87.16;86.71;87.15;9951;0
Распадская;60;20170208;160000;87.15;87.18;86.51;87.04;10232;0
Распадская;60;20170208;170000;86.99;87.04;86.52;86.79;6450;0
Распадская;60;20170208;180000;86.69;87.14;86.41;86.88;15425;0
Распадская;60;20170209;090000;86.8;86.8;86.8;86.8;103;0
Распадская;60;20170209;100000;86.9;87.7;86.59;87.35;26248;0
Распадская;60;20170209;110000;87.21;87.65;86.53;86.57;18224;0
Распадская;60;20170209;120000;86.57;86.69;85.71;85.95;25028;0
Распадская;60;20170209;130000;85.98;86.3;85.33;85.38;19262;0
Распадская;60;20170209;140000;85.46;86.29;85.38;86.29;12663;0
Распадская;60;20170209;150000;86.23;87.05;85.89;87.05;20451;0
Распадская;60;20170209;160000;87;87.37;86.26;86.6;15664;0
Распадская;60;20170209;170000;86.52;86.6;86.16;86.31;2847;0
Распадская;60;20170209;180000;86.31;86.71;86.22;86.71;6044;0
Распадская;60;20170210;090000;86.35;86.35;86.35;86.35;4;0
Распадская;60;20170210;100000;86.4;87.29;85.51;85.89;25877;0
Распадская;60;20170210;110000;85.88;85.9;84.67;85;67108;0
Распадская;60;20170210;120000;84.93;85.52;84.8;85.43;25397;0
Распадская;60;20170210;130000;85.4;85.97;85.16;85.88;7005;0
Распадская;60;20170210;140000;85.89;86.07;85.51;85.77;6557;0
Распадская;60;20170210;150000;85.76;85.9;85.17;85.47;12383;0
Распадская;60;20170210;160000;85.42;85.7;85.01;85.2;7049;0
Распадская;60;20170210;170000;85.19;85.23;84.2;85.23;32894;0
Распадская;60;20170210;180000;85.11;85.6;84.95;85.6;15961;0
