<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Росбанк ао;60;20170124;120000;68.2;68.2;66.3;66.3;11;0
Росбанк ао;60;20170124;130000;67.1;67.2;67.1;67.2;4;0
Росбанк ао;60;20170124;180000;67.9;67.9;67.9;67.9;2;0
Росбанк ао;60;20170125;120000;67.2;67.2;66;66;12;0
Росбанк ао;60;20170125;130000;66.5;66.5;66.5;66.5;1;0
Росбанк ао;60;20170125;170000;67.1;68;67.1;68;10;0
Росбанк ао;60;20170126;110000;67;67;67;67;4;0
Росбанк ао;60;20170126;120000;66.6;67.1;66.2;67;49;0
Росбанк ао;60;20170126;130000;67.1;67.5;67.1;67.5;14;0
Росбанк ао;60;20170126;150000;67.4;67.4;67.4;67.4;3;0
Росбанк ао;60;20170126;160000;66.6;67.4;66.6;67.4;52;0
Росбанк ао;60;20170127;100000;67.7;68;67.7;67.9;7;0
Росбанк ао;60;20170127;140000;67.9;67.9;67.9;67.9;10;0
Росбанк ао;60;20170127;150000;67.9;67.9;67.9;67.9;13;0
Росбанк ао;60;20170127;160000;67.7;67.9;67.7;67.9;8;0
Росбанк ао;60;20170130;120000;67.3;67.3;67.3;67.3;1;0
Росбанк ао;60;20170131;140000;67.1;68;67.1;68;12;0
Росбанк ао;60;20170131;160000;67.1;67.1;67.1;67.1;3;0
Росбанк ао;60;20170131;170000;67;67;67;67;2;0
Росбанк ао;60;20170201;100000;66.4;66.4;60.5;65.1;27;0
Росбанк ао;60;20170201;110000;65.5;65.7;65.5;65.7;4;0
Росбанк ао;60;20170201;140000;66;66;66;66;1;0
Росбанк ао;60;20170201;150000;66;66;66;66;1;0
Росбанк ао;60;20170201;160000;65.2;65.2;65.2;65.2;1;0
Росбанк ао;60;20170201;180000;66.1;66.2;66.1;66.2;3;0
Росбанк ао;60;20170202;090000;66.2;66.2;66.2;66.2;10;0
Росбанк ао;60;20170202;110000;66.3;75;66.1;68.5;66;0
Росбанк ао;60;20170202;120000;70;70;70;70;10;0
Росбанк ао;60;20170202;140000;71;71;71;71;1;0
Росбанк ао;60;20170202;150000;70;70;70;70;2;0
Росбанк ао;60;20170202;170000;70.4;71;70.4;71;3;0
Росбанк ао;60;20170203;100000;71.1;71.1;71;71;3;0
Росбанк ао;60;20170203;120000;71.9;72;71.9;72;3;0
Росбанк ао;60;20170203;130000;72.3;72.3;72.3;72.3;6;0
Росбанк ао;60;20170203;140000;72.3;72.3;70;70;46;0
Росбанк ао;60;20170203;160000;69.9;69.9;69.9;69.9;2;0
Росбанк ао;60;20170203;170000;69.9;70;69.9;70;2;0
Росбанк ао;60;20170203;180000;69.2;69.4;68;69.4;15;0
Росбанк ао;60;20170206;100000;69.8;70.5;69.8;70.5;11;0
Росбанк ао;60;20170206;110000;69.1;69.1;68.7;68.7;13;0
Росбанк ао;60;20170206;120000;68.7;70;68.7;70;60;0
Росбанк ао;60;20170206;140000;69.2;69.2;68.9;68.9;10;0
Росбанк ао;60;20170207;110000;69.7;69.8;69.7;69.8;2;0
Росбанк ао;60;20170207;130000;69.6;70.1;69.6;70.1;4;0
