<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Роснефть;60;20170124;090000;391.65;391.65;391.65;391.65;562;0
Роснефть;60;20170124;100000;391.7;392.65;390.85;391.3;27147;0
Роснефть;60;20170124;110000;391.3;391.4;387.3;389;58688;0
Роснефть;60;20170124;120000;389;390.9;386.65;388.25;43101;0
Роснефть;60;20170124;130000;388;389;386.25;387.25;12684;0
Роснефть;60;20170124;140000;387.3;388.65;386.9;387.85;15973;0
Роснефть;60;20170124;150000;388;390.3;387.8;389;42289;0
Роснефть;60;20170124;160000;389;391.8;388.9;389.5;43784;0
Роснефть;60;20170124;170000;389.45;389.85;388;389.65;15680;0
Роснефть;60;20170124;180000;389.5;389.55;387.15;388.15;43179;0
Роснефть;60;20170125;090000;389.5;389.5;389.5;389.5;33;0
Роснефть;60;20170125;100000;388.25;390.55;386.25;386.6;32969;0
Роснефть;60;20170125;110000;386.65;387.35;382.5;382.9;136373;0
Роснефть;60;20170125;120000;382.9;384.6;381.05;382.75;73562;0
Роснефть;60;20170125;130000;383.05;383.5;381.2;381.9;50285;0
Роснефть;60;20170125;140000;381.8;383.65;381;383.1;35356;0
Роснефть;60;20170125;150000;383.15;384.8;382.05;382.7;32251;0
Роснефть;60;20170125;160000;382.65;384;382.1;383.55;12316;0
Роснефть;60;20170125;170000;383.55;384.85;383;384.4;21574;0
Роснефть;60;20170125;180000;384.4;385;383.35;383.7;28904;0
Роснефть;60;20170126;090000;384;384;384;384;58;0
Роснефть;60;20170126;100000;384.45;386.75;384.15;384.55;45002;0
Роснефть;60;20170126;110000;384.8;387.75;384.75;387.05;37990;0
Роснефть;60;20170126;120000;387.2;388.75;385.75;388.3;56593;0
Роснефть;60;20170126;130000;388.3;390.5;388;389.95;80337;0
Роснефть;60;20170126;140000;389.95;390.5;388.25;389.4;52919;0
Роснефть;60;20170126;150000;389.3;391.7;388.65;390.8;73864;0
Роснефть;60;20170126;160000;390.95;391.15;387.1;389.2;70481;0
Роснефть;60;20170126;170000;389.4;390.35;387.3;388;54414;0
Роснефть;60;20170126;180000;388.05;389.25;387.95;389;38785;0
Роснефть;60;20170127;090000;389;389;389;389;70;0
