<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Россети ао;60;20170124;090000;1.2375;1.2375;1.2375;1.2375;169;0
Россети ао;60;20170124;100000;1.2378;1.2432;1.227;1.2313;33487;0
Россети ао;60;20170124;110000;1.2315;1.2349;1.2264;1.2333;33697;0
Россети ао;60;20170124;120000;1.2332;1.2472;1.2321;1.2437;39491;0
Россети ао;60;20170124;130000;1.2438;1.25;1.2402;1.2454;31471;0
Россети ао;60;20170124;140000;1.2459;1.2474;1.2364;1.2391;19106;0
Россети ао;60;20170124;150000;1.2398;1.2415;1.233;1.2399;26243;0
Россети ао;60;20170124;160000;1.2399;1.246;1.2385;1.2439;17492;0
Россети ао;60;20170124;170000;1.2446;1.2446;1.2405;1.2424;7485;0
Россети ао;60;20170124;180000;1.2438;1.245;1.2325;1.243;37088;0
Россети ао;60;20170125;100000;1.2429;1.243;1.206;1.2271;100192;0
Россети ао;60;20170125;110000;1.2261;1.2307;1.2112;1.2155;55337;0
Россети ао;60;20170125;120000;1.2156;1.2238;1.2112;1.2162;30377;0
Россети ао;60;20170125;130000;1.216;1.2168;1.2071;1.2103;43172;0
Россети ао;60;20170125;140000;1.2108;1.2196;1.2093;1.2185;11198;0
Россети ао;60;20170125;150000;1.2185;1.2285;1.2177;1.2207;24690;0
Россети ао;60;20170125;160000;1.2204;1.2264;1.2174;1.2261;8575;0
Россети ао;60;20170125;170000;1.2261;1.2261;1.2168;1.2254;14714;0
Россети ао;60;20170125;180000;1.2243;1.2254;1.2172;1.2178;21093;0
Россети ао;60;20170126;090000;1.2185;1.2185;1.2185;1.2185;68;0
Россети ао;60;20170126;100000;1.22;1.2318;1.2007;1.221;74865;0
Россети ао;60;20170126;110000;1.2211;1.2248;1.2166;1.2221;4725;0
Россети ао;60;20170126;120000;1.2219;1.2228;1.2125;1.213;12694;0
Россети ао;60;20170126;130000;1.213;1.22;1.213;1.2151;8740;0
Россети ао;60;20170126;140000;1.2169;1.223;1.2153;1.2162;10064;0
Россети ао;60;20170126;150000;1.2163;1.2201;1.216;1.2197;17188;0
Россети ао;60;20170126;160000;1.2197;1.2199;1.2131;1.2157;10097;0
Россети ао;60;20170126;170000;1.2157;1.2195;1.2142;1.2185;34886;0
Россети ао;60;20170126;180000;1.2185;1.2276;1.218;1.219;29756;0
Россети ао;60;20170127;090000;1.219;1.219;1.219;1.219;240;0
Россети ао;60;20170127;100000;1.2248;1.2397;1.2191;1.2299;48406;0
Россети ао;60;20170127;110000;1.23;1.2316;1.224;1.2255;17515;0
Россети ао;60;20170127;120000;1.2255;1.2325;1.223;1.2312;14345;0
Россети ао;60;20170127;130000;1.2312;1.2385;1.231;1.2331;19722;0
Россети ао;60;20170127;140000;1.233;1.234;1.2283;1.2283;4786;0
Россети ао;60;20170127;150000;1.2289;1.2437;1.2269;1.2437;49308;0
Россети ао;60;20170127;160000;1.2426;1.2497;1.2382;1.2471;54328;0
Россети ао;60;20170127;170000;1.2464;1.2475;1.23;1.2361;39608;0
Россети ао;60;20170127;180000;1.236;1.2389;1.23;1.232;27410;0
Россети ао;60;20170130;090000;1.237;1.237;1.237;1.237;5;0
Россети ао;60;20170130;100000;1.2369;1.26;1.2256;1.2518;119735;0
Россети ао;60;20170130;110000;1.2534;1.266;1.243;1.2489;124453;0
Россети ао;60;20170130;120000;1.2472;1.2518;1.2471;1.251;12493;0
Россети ао;60;20170130;130000;1.251;1.263;1.2501;1.2589;52946;0
Россети ао;60;20170130;140000;1.2594;1.2608;1.2528;1.2559;21109;0
Россети ао;60;20170130;150000;1.2561;1.2572;1.2528;1.2569;15164;0
Россети ао;60;20170130;160000;1.2562;1.2627;1.2553;1.2566;34058;0
Россети ао;60;20170130;170000;1.2576;1.2578;1.25;1.2523;29662;0
Россети ао;60;20170130;180000;1.2522;1.255;1.248;1.2548;50097;0
Россети ао;60;20170131;090000;1.255;1.255;1.255;1.255;901;0
Россети ао;60;20170131;100000;1.2558;1.2675;1.2521;1.2571;51703;0
Россети ао;60;20170131;110000;1.2573;1.259;1.2286;1.2345;101408;0
Россети ао;60;20170131;120000;1.2339;1.2414;1.2339;1.2409;20420;0
Россети ао;60;20170131;130000;1.2416;1.2443;1.237;1.237;19507;0
Россети ао;60;20170131;140000;1.2384;1.2428;1.237;1.2413;8088;0
Россети ао;60;20170131;150000;1.2413;1.2466;1.24;1.2403;11311;0
Россети ао;60;20170131;160000;1.2414;1.2452;1.2358;1.2413;10832;0
Россети ао;60;20170131;170000;1.2416;1.243;1.2372;1.2397;15549;0
Россети ао;60;20170131;180000;1.2397;1.2436;1.2336;1.2385;17011;0
Россети ао;60;20170201;090000;1.2149;1.2149;1.2149;1.2149;6698;0
Россети ао;60;20170201;100000;1.214;1.2332;1.2108;1.223;139414;0
Россети ао;60;20170201;110000;1.223;1.2245;1.21;1.2111;110052;0
Россети ао;60;20170201;120000;1.212;1.223;1.209;1.218;71377;0
Россети ао;60;20170201;130000;1.2181;1.2259;1.2173;1.2216;14128;0
Россети ао;60;20170201;140000;1.2216;1.2227;1.2176;1.2186;20787;0
Россети ао;60;20170201;150000;1.2195;1.2245;1.2186;1.2245;10654;0
Россети ао;60;20170201;160000;1.2245;1.2355;1.2215;1.234;46149;0
Россети ао;60;20170201;170000;1.2353;1.2361;1.2281;1.2282;26778;0
Россети ао;60;20170201;180000;1.2294;1.2319;1.2218;1.2267;26286;0
Россети ао;60;20170202;090000;1.2267;1.2267;1.2267;1.2267;43;0
