<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Россети ап;60;20170124;100000;2.191;2.191;2.172;2.18;912;0
Россети ап;60;20170124;110000;2.179;2.18;2.177;2.177;209;0
Россети ап;60;20170124;120000;2.18;2.18;2.175;2.175;406;0
Россети ап;60;20170124;130000;2.175;2.192;2.165;2.171;425;0
Россети ап;60;20170124;140000;2.176;2.183;2.174;2.174;61;0
Россети ап;60;20170124;150000;2.173;2.18;2.171;2.179;119;0
Россети ап;60;20170124;160000;2.179;2.18;2.175;2.176;52;0
Россети ап;60;20170124;170000;2.181;2.184;2.178;2.183;76;0
Россети ап;60;20170124;180000;2.182;2.193;2.177;2.19;114;0
Россети ап;60;20170125;100000;2.173;2.179;2.155;2.165;1145;0
Россети ап;60;20170125;110000;2.167;2.177;2.152;2.16;313;0
Россети ап;60;20170125;120000;2.158;2.173;2.157;2.167;282;0
Россети ап;60;20170125;130000;2.16;2.172;2.155;2.16;151;0
Россети ап;60;20170125;140000;2.164;2.179;2.157;2.165;719;0
Россети ап;60;20170125;150000;2.169;2.178;2.163;2.175;76;0
Россети ап;60;20170125;160000;2.167;2.176;2.161;2.174;76;0
Россети ап;60;20170125;170000;2.17;2.176;2.17;2.176;59;0
Россети ап;60;20170125;180000;2.176;2.177;2.166;2.177;50;0
Россети ап;60;20170126;090000;2.17;2.17;2.17;2.17;4;0
Россети ап;60;20170126;100000;2.172;2.179;2.161;2.169;98;0
Россети ап;60;20170126;110000;2.165;2.178;2.16;2.178;81;0
Россети ап;60;20170126;120000;2.174;2.207;2.162;2.204;1786;0
Россети ап;60;20170126;130000;2.199;2.207;2.173;2.207;2122;0
Россети ап;60;20170126;140000;2.205;2.244;2.194;2.2;793;0
Россети ап;60;20170126;150000;2.2;2.203;2.194;2.2;35;0
Россети ап;60;20170126;160000;2.2;2.206;2.2;2.206;64;0
Россети ап;60;20170126;170000;2.201;2.203;2.191;2.191;303;0
Россети ап;60;20170126;180000;2.199;2.245;2.182;2.245;908;0
Россети ап;60;20170127;090000;2.248;2.248;2.248;2.248;25;0
Россети ап;60;20170127;100000;2.248;2.248;2.202;2.214;410;0
Россети ап;60;20170127;110000;2.205;2.219;2.202;2.211;186;0
Россети ап;60;20170127;120000;2.212;2.212;2.195;2.2;228;0
Россети ап;60;20170127;130000;2.201;2.21;2.2;2.21;49;0
