<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ростел -ао;60;20170124;090000;84.88;84.88;84.88;84.88;29;0
Ростел -ао;60;20170124;100000;84.88;85.06;84.5;84.8;7501;0
Ростел -ао;60;20170124;110000;84.79;84.8;84.35;84.58;30230;0
Ростел -ао;60;20170124;120000;84.58;84.66;84.4;84.45;10491;0
Ростел -ао;60;20170124;130000;84.45;84.47;84.37;84.43;6703;0
Ростел -ао;60;20170124;140000;84.43;84.66;84.35;84.52;39617;0
Ростел -ао;60;20170124;150000;84.51;84.55;84.36;84.42;6333;0
Ростел -ао;60;20170124;160000;84.42;84.44;84.05;84.09;31926;0
Ростел -ао;60;20170124;170000;84.09;84.25;83.92;84.05;63073;0
Ростел -ао;60;20170124;180000;84.05;84.05;83.76;84;69218;0
Ростел -ао;60;20170125;090000;84.11;84.11;84.11;84.11;21;0
Ростел -ао;60;20170125;100000;84.09;84.18;83.31;83.45;27416;0
Ростел -ао;60;20170125;110000;83.45;83.45;82.28;82.75;93360;0
Ростел -ао;60;20170125;120000;82.77;83.2;82.55;83.1;57022;0
Ростел -ао;60;20170125;130000;83.09;83.2;82.9;83.03;27584;0
Ростел -ао;60;20170125;140000;83.09;83.2;82.9;83.1;13789;0
Ростел -ао;60;20170125;150000;83.1;83.16;82.97;82.98;6837;0
Ростел -ао;60;20170125;160000;82.98;83.07;82.84;82.99;6893;0
Ростел -ао;60;20170125;170000;82.99;83;82.8;82.93;36548;0
Ростел -ао;60;20170125;180000;82.95;82.95;82.3;82.31;58892;0
Ростел -ао;60;20170126;090000;82.15;82.15;82.15;82.15;1000;0
Ростел -ао;60;20170126;100000;82.31;82.8;82.3;82.57;20197;0
Ростел -ао;60;20170126;110000;82.62;82.95;82.51;82.95;53218;0
Ростел -ао;60;20170126;120000;82.93;83.1;82.56;82.95;42061;0
Ростел -ао;60;20170126;130000;82.95;83.05;82.87;83.05;24645;0
Ростел -ао;60;20170126;140000;83.05;83.2;81.97;82.26;144164;0
Ростел -ао;60;20170126;150000;82.28;82.9;81.29;82.9;145715;0
Ростел -ао;60;20170126;160000;82.9;83.1;82.78;83.08;33214;0
Ростел -ао;60;20170126;170000;83.03;83.4;82.92;83.25;31695;0
Ростел -ао;60;20170126;180000;83.22;83.4;83.1;83.24;13789;0
Ростел -ао;60;20170127;090000;83.38;83.38;83.38;83.38;98;0
Ростел -ао;60;20170127;100000;83.38;83.89;83.04;83.39;27002;0
Ростел -ао;60;20170127;110000;83.39;83.86;83.36;83.81;15887;0
Ростел -ао;60;20170127;120000;83.8;83.98;83.75;83.92;12398;0
Ростел -ао;60;20170127;130000;83.92;83.98;83.55;83.55;10166;0
Ростел -ао;60;20170127;140000;83.58;83.73;83.53;83.56;3387;0
Ростел -ао;60;20170127;150000;83.55;83.82;83.2;83.65;18307;0
Ростел -ао;60;20170127;160000;83.65;83.91;83.3;83.89;14038;0
Ростел -ао;60;20170127;170000;83.79;83.93;83.75;83.86;6178;0
Ростел -ао;60;20170127;180000;83.86;83.87;83.75;83.86;11630;0
Ростел -ао;60;20170130;090000;84;84;84;84;62;0
Ростел -ао;60;20170130;100000;83.87;84;83.33;83.61;18124;0
Ростел -ао;60;20170130;110000;83.53;83.98;83.52;83.79;8638;0
Ростел -ао;60;20170130;120000;83.77;84;83.67;83.83;11658;0
Ростел -ао;60;20170130;130000;83.83;83.96;83.67;83.9;6826;0
Ростел -ао;60;20170130;140000;83.91;83.94;83.6;83.66;8530;0
Ростел -ао;60;20170130;150000;83.71;83.88;83.58;83.72;8874;0
Ростел -ао;60;20170130;160000;83.64;83.84;83.61;83.65;4090;0
Ростел -ао;60;20170130;170000;83.64;83.78;83.53;83.78;7052;0
Ростел -ао;60;20170130;180000;83.78;83.84;83.42;83.5;33696;0
Ростел -ао;60;20170131;090000;83.8;83.8;83.8;83.8;22;0
Ростел -ао;60;20170131;100000;83.8;83.86;83.4;83.47;9623;0
Ростел -ао;60;20170131;110000;83.47;83.47;83.1;83.21;15034;0
Ростел -ао;60;20170131;120000;83.21;83.53;83.2;83.53;3611;0
Ростел -ао;60;20170131;130000;83.53;83.54;83.34;83.5;8509;0
Ростел -ао;60;20170131;140000;83.49;83.68;83.2;83.51;64233;0
Ростел -ао;60;20170131;150000;83.52;83.52;83.43;83.51;7925;0
