<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ростел -ап;60;20170124;100000;62.75;63;62.75;62.85;424;0
Ростел -ап;60;20170124;110000;62.85;62.9;62.65;62.75;351;0
Ростел -ап;60;20170124;120000;62.7;63.05;62.7;63.05;282;0
Ростел -ап;60;20170124;130000;63.05;63.15;63;63;330;0
Ростел -ап;60;20170124;140000;63.05;63.1;62.95;63;141;0
Ростел -ап;60;20170124;150000;63;63.15;62.9;63;250;0
Ростел -ап;60;20170124;160000;62.95;63;62.85;62.95;275;0
Ростел -ап;60;20170124;170000;63;63;62.85;62.85;81;0
Ростел -ап;60;20170124;180000;63;63.05;62.85;63.05;168;0
Ростел -ап;60;20170125;090000;63.05;63.05;63.05;63.05;20;0
Ростел -ап;60;20170125;100000;63.05;63.1;62.8;62.9;930;0
Ростел -ап;60;20170125;110000;62.9;63;62.45;62.55;1147;0
Ростел -ап;60;20170125;120000;62.6;62.6;62.4;62.55;347;0
Ростел -ап;60;20170125;130000;62.55;62.65;62.5;62.5;189;0
Ростел -ап;60;20170125;140000;62.5;62.6;62.45;62.6;163;0
Ростел -ап;60;20170125;150000;62.6;62.6;62.5;62.5;142;0
Ростел -ап;60;20170125;160000;62.55;62.6;62.35;62.45;473;0
Ростел -ап;60;20170125;170000;62.4;62.5;62.4;62.4;190;0
Ростел -ап;60;20170125;180000;62.5;62.5;62.3;62.3;519;0
Ростел -ап;60;20170126;090000;62.55;62.55;62.55;62.55;1;0
Ростел -ап;60;20170126;100000;62.5;62.6;62.45;62.6;1244;0
Ростел -ап;60;20170126;110000;62.6;62.6;62.5;62.55;406;0
Ростел -ап;60;20170126;120000;62.5;62.65;62.5;62.65;518;0
Ростел -ап;60;20170126;130000;62.55;62.7;62.55;62.7;441;0
Ростел -ап;60;20170126;140000;62.7;62.7;62.6;62.7;445;0
Ростел -ап;60;20170126;150000;62.6;63;62.4;62.8;1583;0
Ростел -ап;60;20170126;160000;62.8;62.9;62.7;62.85;425;0
Ростел -ап;60;20170126;170000;62.85;62.85;62.7;62.8;338;0
Ростел -ап;60;20170126;180000;62.75;62.8;62.65;62.65;306;0
Ростел -ап;60;20170127;090000;62.85;62.85;62.85;62.85;6;0
Ростел -ап;60;20170127;100000;62.75;62.9;62.5;62.85;309;0
Ростел -ап;60;20170127;110000;62.85;62.95;62.8;62.9;266;0
Ростел -ап;60;20170127;120000;62.95;62.95;62.75;62.9;430;0
Ростел -ап;60;20170127;130000;62.9;62.95;62.8;62.85;233;0
Ростел -ап;60;20170127;140000;62.85;62.9;62.75;62.75;215;0
Ростел -ап;60;20170127;150000;62.75;62.8;62.7;62.75;144;0
Ростел -ап;60;20170127;160000;62.75;63;62.7;62.95;490;0
Ростел -ап;60;20170127;170000;62.95;63;62.85;62.95;515;0
Ростел -ап;60;20170127;180000;62.95;63.1;62.85;63;628;0
Ростел -ап;60;20170130;100000;63;63.4;63;63.1;721;0
Ростел -ап;60;20170130;110000;63.15;63.15;63;63.1;143;0
Ростел -ап;60;20170130;120000;63.05;63.2;63.05;63.15;391;0
Ростел -ап;60;20170130;130000;63.05;63.25;63.05;63.25;114;0
Ростел -ап;60;20170130;140000;63.25;63.25;63.15;63.15;56;0
Ростел -ап;60;20170130;150000;63.2;63.25;63.1;63.15;172;0
Ростел -ап;60;20170130;160000;63.15;63.4;63.1;63.2;727;0
Ростел -ап;60;20170130;170000;63.15;63.3;63.1;63.15;227;0
Ростел -ап;60;20170130;180000;63.25;63.3;63.05;63.05;272;0
Ростел -ап;60;20170131;100000;63.2;63.25;63.05;63.2;68;0
Ростел -ап;60;20170131;110000;63.05;63.05;62.85;62.85;274;0
Ростел -ап;60;20170131;120000;62.9;62.95;62.8;62.95;279;0
Ростел -ап;60;20170131;130000;62.9;62.9;62.75;62.85;389;0
