<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусАква ао;60;20170124;120000;87;87;86.7;86.7;2;0
РусАква ао;60;20170124;140000;86.8;86.8;86.8;86.8;1;0
РусАква ао;60;20170124;160000;84;84;84;84;1;0
РусАква ао;60;20170124;170000;84;85.3;84;85.3;5;0
РусАква ао;60;20170125;100000;82.2;82.2;80;80.1;10;0
РусАква ао;60;20170125;110000;82.9;82.9;82.9;82.9;1;0
РусАква ао;60;20170125;120000;81.1;81.1;81.1;81.1;2;0
РусАква ао;60;20170125;150000;81.5;81.9;81.5;81.9;2;0
РусАква ао;60;20170125;160000;82;82;82;82;1;0
РусАква ао;60;20170125;180000;81.1;81.8;81;81.8;4;0
РусАква ао;60;20170126;100000;78;84;78;84;15;0
РусАква ао;60;20170126;110000;84;84;84;84;1;0
РусАква ао;60;20170126;120000;81.6;81.6;79;79;20;0
РусАква ао;60;20170126;130000;79;79;79;79;3;0
РусАква ао;60;20170126;140000;79.5;80;79;80;3;0
РусАква ао;60;20170126;170000;79.9;80.1;79.9;80.1;5;0
РусАква ао;60;20170126;180000;79.1;79.1;79;79;2;0
РусАква ао;60;20170127;120000;80.7;80.8;80.7;80.8;2;0
РусАква ао;60;20170127;130000;80.8;87.7;78;80.9;21;0
РусАква ао;60;20170127;140000;81.6;81.6;77.6;80;145;0
РусАква ао;60;20170127;150000;80.1;80.1;80.1;80.1;1;0
РусАква ао;60;20170127;160000;80.1;80.1;75.2;79;139;0
РусАква ао;60;20170127;170000;78.8;80.2;78.8;80.2;15;0
РусАква ао;60;20170130;120000;80.9;80.9;80.9;80.9;2;0
РусАква ао;60;20170130;180000;80;80;80;80;1;0
РусАква ао;60;20170131;180000;80;80;80;80;1;0
РусАква ао;60;20170201;110000;78.7;90.1;72.5;85;208;0
РусАква ао;60;20170201;120000;85;85;80.9;80.9;7;0
РусАква ао;60;20170201;130000;81;82;81;82;17;0
РусАква ао;60;20170201;150000;82;82;82;82;2;0
РусАква ао;60;20170201;160000;82;82;82;82;1;0
РусАква ао;60;20170201;170000;81.1;81.1;81.1;81.1;1;0
РусАква ао;60;20170201;180000;81.9;84.9;80.3;84.9;39;0
РусАква ао;60;20170202;100000;86.1;86.1;86;86;12;0
РусАква ао;60;20170202;110000;83.2;83.9;80.3;83.9;18;0
РусАква ао;60;20170202;120000;83.7;87;83.7;87;20;0
РусАква ао;60;20170202;150000;84.2;87.1;83.1;87.1;26;0
РусАква ао;60;20170202;160000;86;87.1;86;87.1;5;0
РусАква ао;60;20170202;170000;86;87.1;86;87.1;3;0
РусАква ао;60;20170202;180000;85;87;85;87;3;0
РусАква ао;60;20170203;090000;89.2;89.2;89.2;89.2;1;0
РусАква ао;60;20170203;100000;84.8;84.8;84.7;84.7;3;0
РусАква ао;60;20170203;110000;86.8;87;86.8;87;3;0
РусАква ао;60;20170203;160000;86;86.9;86;86;4;0
РусАква ао;60;20170203;170000;87;89.1;84.2;88.9;28;0
РусАква ао;60;20170203;180000;87;88.5;87;88.5;6;0
РусАква ао;60;20170206;100000;90.5;98.6;90.4;98.6;12;0
РусАква ао;60;20170206;130000;90;90;89;90;3;0
РусАква ао;60;20170206;140000;90;90;90;90;2;0
РусАква ао;60;20170206;150000;88.6;88.6;87.1;87.1;10;0
РусАква ао;60;20170206;160000;87.2;87.2;87.1;87.1;9;0
