<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусГидро;60;20170124;090000;1.0647;1.0647;1.0647;1.0647;805;0
РусГидро;60;20170124;100000;1.0662;1.0761;1.0635;1.0681;155829;0
РусГидро;60;20170124;110000;1.0681;1.0767;1.062;1.0705;94139;0
РусГидро;60;20170124;120000;1.0693;1.075;1.0682;1.0714;32392;0
РусГидро;60;20170124;130000;1.0709;1.0726;1.069;1.07;22295;0
РусГидро;60;20170124;140000;1.07;1.07;1.0635;1.0663;23473;0
РусГидро;60;20170124;150000;1.0664;1.0719;1.0631;1.0676;105073;0
РусГидро;60;20170124;160000;1.0676;1.0715;1.0572;1.0686;173477;0
РусГидро;60;20170124;170000;1.0686;1.072;1.0574;1.0605;136073;0
РусГидро;60;20170124;180000;1.0603;1.0603;1.023;1.0289;676904;0
РусГидро;60;20170125;090000;1.031;1.031;1.031;1.031;1264;0
РусГидро;60;20170125;100000;1.031;1.0674;1.031;1.0574;418104;0
РусГидро;60;20170125;110000;1.0585;1.0585;1.0465;1.05;98801;0
РусГидро;60;20170125;120000;1.0498;1.05;1.045;1.0468;29221;0
РусГидро;60;20170125;130000;1.0469;1.05;1.0451;1.0484;51700;0
РусГидро;60;20170125;140000;1.0489;1.05;1.0397;1.049;61622;0
РусГидро;60;20170125;150000;1.0487;1.063;1.0476;1.0554;109116;0
РусГидро;60;20170125;160000;1.0554;1.0592;1.0484;1.0493;46963;0
РусГидро;60;20170125;170000;1.0493;1.0507;1.038;1.0491;92269;0
РусГидро;60;20170125;180000;1.0487;1.049;1.0262;1.0301;269703;0
РусГидро;60;20170126;090000;1.0356;1.0356;1.0356;1.0356;951;0
РусГидро;60;20170126;100000;1.036;1.0441;1.0357;1.0381;123472;0
РусГидро;60;20170126;110000;1.038;1.049;1.0341;1.0389;178748;0
РусГидро;60;20170126;120000;1.0389;1.0395;1.0172;1.019;178855;0
РусГидро;60;20170126;130000;1.0195;1.0368;1.0179;1.0338;132625;0
РусГидро;60;20170126;140000;1.0338;1.0365;1.0147;1.0166;160149;0
РусГидро;60;20170126;150000;1.0169;1.028;1.0084;1.026;336448;0
РусГидро;60;20170126;160000;1.026;1.0306;1.0209;1.0258;78907;0
РусГидро;60;20170126;170000;1.0258;1.044;1.0257;1.0388;169374;0
РусГидро;60;20170126;180000;1.0393;1.0439;1.0335;1.042;117271;0
РусГидро;60;20170127;090000;1.047;1.047;1.047;1.047;2106;0
РусГидро;60;20170127;100000;1.047;1.059;1.0419;1.0508;214315;0
РусГидро;60;20170127;110000;1.0516;1.0543;1.0473;1.05;64674;0
РусГидро;60;20170127;120000;1.05;1.055;1.0473;1.0502;78568;0
РусГидро;60;20170127;130000;1.05;1.0508;1.046;1.0475;41901;0
РусГидро;60;20170127;140000;1.0475;1.048;1.0402;1.0452;76950;0
РусГидро;60;20170127;150000;1.0445;1.059;1.0416;1.0514;200402;0
РусГидро;60;20170127;160000;1.0519;1.067;1.0514;1.0668;148997;0
РусГидро;60;20170127;170000;1.0669;1.067;1.0551;1.061;76518;0
РусГидро;60;20170127;180000;1.0613;1.065;1.0564;1.0585;76634;0
РусГидро;60;20170130;090000;1.0649;1.0649;1.0649;1.0649;546;0
РусГидро;60;20170130;100000;1.0621;1.0792;1.059;1.0729;252173;0
РусГидро;60;20170130;110000;1.0726;1.0815;1.0446;1.0641;487776;0
РусГидро;60;20170130;120000;1.0641;1.0651;1.0537;1.0604;86786;0
РусГидро;60;20170130;130000;1.0595;1.0675;1.0574;1.0632;75194;0
РусГидро;60;20170130;140000;1.0634;1.0652;1.0468;1.0478;225071;0
РусГидро;60;20170130;150000;1.0488;1.0563;1.0466;1.0539;350999;0
РусГидро;60;20170130;160000;1.0539;1.0625;1.0517;1.0605;171271;0
РусГидро;60;20170130;170000;1.0608;1.0656;1.0567;1.0621;171677;0
РусГидро;60;20170130;180000;1.0625;1.0654;1.047;1.0546;187794;0
РусГидро;60;20170131;090000;1.0585;1.0585;1.0585;1.0585;941;0
РусГидро;60;20170131;100000;1.058;1.0631;1.0516;1.0516;92199;0
РусГидро;60;20170131;110000;1.0519;1.0526;1.0352;1.0415;231952;0
РусГидро;60;20170131;120000;1.0411;1.0466;1.04;1.0415;64931;0
РусГидро;60;20170131;130000;1.0413;1.051;1.0413;1.0449;74966;0
РусГидро;60;20170131;140000;1.0448;1.0451;1.0411;1.0428;20589;0
РусГидро;60;20170131;150000;1.0421;1.0461;1.04;1.0407;62527;0
РусГидро;60;20170131;160000;1.0406;1.0454;1.0365;1.04;70632;0
РусГидро;60;20170131;170000;1.04;1.0452;1.0373;1.0408;52766;0
РусГидро;60;20170131;180000;1.0404;1.0411;1.0337;1.0337;96606;0
РусГидро;60;20170201;090000;1.0341;1.0341;1.0341;1.0341;1572;0
РусГидро;60;20170201;100000;1.035;1.0455;1.0338;1.0404;74806;0
РусГидро;60;20170201;110000;1.0404;1.0438;1.0361;1.0369;65910;0
РусГидро;60;20170201;120000;1.0373;1.039;1.028;1.0345;74356;0
РусГидро;60;20170201;130000;1.0345;1.0404;1.031;1.0377;37600;0
РусГидро;60;20170201;140000;1.0377;1.0406;1.0353;1.0375;54950;0
РусГидро;60;20170201;150000;1.0376;1.0413;1.037;1.0394;42325;0
РусГидро;60;20170201;160000;1.0401;1.043;1.0334;1.0387;61295;0
РусГидро;60;20170201;170000;1.0387;1.0405;1.0344;1.035;40364;0
РусГидро;60;20170201;180000;1.0354;1.0573;1.035;1.0573;226165;0
РусГидро;60;20170202;090000;1.055;1.055;1.055;1.055;2772;0
РусГидро;60;20170202;100000;1.055;1.0628;1.0541;1.0603;175828;0
РусГидро;60;20170202;110000;1.0597;1.0601;1.0503;1.0531;76212;0
РусГидро;60;20170202;120000;1.0525;1.0576;1.0515;1.0565;60370;0
РусГидро;60;20170202;130000;1.056;1.0678;1.0559;1.0675;145244;0
РусГидро;60;20170202;140000;1.0674;1.0675;1.0608;1.062;35506;0
РусГидро;60;20170202;150000;1.0621;1.065;1.059;1.0601;40311;0
РусГидро;60;20170202;160000;1.0599;1.0599;1.0511;1.0527;76495;0
РусГидро;60;20170202;170000;1.0523;1.0575;1.0515;1.0546;25369;0
РусГидро;60;20170202;180000;1.0546;1.059;1.0523;1.059;95430;0
РусГидро;60;20170203;090000;1.0624;1.0624;1.0624;1.0624;55;0
РусГидро;60;20170203;100000;1.0623;1.07;1.0573;1.0606;164603;0
РусГидро;60;20170203;110000;1.0605;1.0655;1.0597;1.0629;57330;0
РусГидро;60;20170203;120000;1.0629;1.067;1.0598;1.0658;44103;0
РусГидро;60;20170203;130000;1.0658;1.0675;1.0619;1.0627;32375;0
РусГидро;60;20170203;140000;1.0631;1.065;1.0597;1.0616;40680;0
РусГидро;60;20170203;150000;1.0616;1.0622;1.0597;1.0602;38622;0
РусГидро;60;20170203;160000;1.0604;1.0622;1.0552;1.0599;83106;0
РусГидро;60;20170203;170000;1.06;1.076;1.057;1.0749;409141;0
РусГидро;60;20170203;180000;1.0745;1.0878;1.0725;1.0878;323815;0
РусГидро;60;20170206;090000;1.09;1.09;1.09;1.09;775;0
РусГидро;60;20170206;100000;1.09;1.1111;1.0862;1.0942;295879;0
РусГидро;60;20170206;110000;1.0934;1.0942;1.0848;1.0851;70287;0
РусГидро;60;20170206;120000;1.0851;1.0857;1.0756;1.0781;119822;0
РусГидро;60;20170206;130000;1.0782;1.0802;1.0715;1.0738;74323;0
РусГидро;60;20170206;140000;1.0744;1.088;1.0715;1.086;79951;0
РусГидро;60;20170206;150000;1.086;1.0955;1.0836;1.0925;108264;0
РусГидро;60;20170206;160000;1.0926;1.0929;1.0851;1.0892;58067;0
РусГидро;60;20170206;170000;1.0893;1.0993;1.0891;1.096;134085;0
