<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Русал рдр;60;20170124;090000;305;305;305;305;329;0
Русал рдр;60;20170124;100000;305.1;307.8;302.6;302.7;9177;0
Русал рдр;60;20170124;110000;302.6;303.1;301.5;303;2622;0
Русал рдр;60;20170124;120000;302.9;303.4;302.9;303.1;1326;0
Русал рдр;60;20170124;130000;303.3;303.9;302.9;303.8;754;0
Русал рдр;60;20170124;140000;303.9;304.6;303.8;304;2075;0
Русал рдр;60;20170124;150000;304;304.1;303.5;303.9;1091;0
Русал рдр;60;20170124;160000;304;304.9;303.6;304.7;1523;0
Русал рдр;60;20170124;170000;304.6;306.3;304.6;305.6;2507;0
Русал рдр;60;20170124;180000;305.7;305.8;304.6;305;1609;0
Русал рдр;60;20170125;090000;312.1;312.1;312.1;312.1;338;0
Русал рдр;60;20170125;100000;312.3;320;311.4;320;30785;0
Русал рдр;60;20170125;110000;320;323.3;318.6;320.7;7877;0
Русал рдр;60;20170125;120000;320.5;323.5;320;322.8;18368;0
Русал рдр;60;20170125;130000;322.7;326.5;322.3;323.1;8027;0
Русал рдр;60;20170125;140000;323.4;325.5;322;325;4278;0
Русал рдр;60;20170125;150000;325;325;323;323.8;2812;0
Русал рдр;60;20170125;160000;323.7;323.7;315.1;315.2;4442;0
Русал рдр;60;20170125;170000;315.3;317.2;315.1;316.3;1212;0
Русал рдр;60;20170125;180000;316.4;317.1;316;316.5;1740;0
Русал рдр;60;20170126;090000;335;335;335;335;531;0
Русал рдр;60;20170126;100000;335.1;346;335;344;20800;0
Русал рдр;60;20170126;110000;344.4;349;343.5;349;8537;0
Русал рдр;60;20170126;120000;349;351.5;339;342.5;11103;0
Русал рдр;60;20170126;130000;342.2;342.8;341.3;342;1491;0
Русал рдр;60;20170126;140000;342;342.8;340.1;340.6;2386;0
Русал рдр;60;20170126;150000;340.8;342.4;336;342;8847;0
Русал рдр;60;20170126;160000;341.8;342;338.8;339.9;937;0
Русал рдр;60;20170126;170000;340;341.2;339.1;340.3;4224;0
Русал рдр;60;20170126;180000;340.1;345;340;345;5232;0
Русал рдр;60;20170127;090000;362;362;362;362;2153;0
Русал рдр;60;20170127;100000;363;364.9;344;346.5;16960;0
Русал рдр;60;20170127;110000;346.5;351.4;344.4;344.9;5329;0
Русал рдр;60;20170127;120000;344.9;345.9;344.1;345.4;1716;0
Русал рдр;60;20170127;130000;345.4;345.9;342;343.9;2213;0
Русал рдр;60;20170127;140000;343.4;346.5;341;342.3;1855;0
Русал рдр;60;20170127;150000;342.3;344;340;340.9;2734;0
Русал рдр;60;20170127;160000;341.1;346.3;340;346.3;1915;0
Русал рдр;60;20170127;170000;344.7;346.3;343.8;345.6;1835;0
Русал рдр;60;20170127;180000;345.6;345.9;344.1;345.8;2888;0
Русал рдр;60;20170130;090000;345.8;345.8;345.8;345.8;30;0
Русал рдр;60;20170130;100000;345.8;345.8;340;342;3317;0
Русал рдр;60;20170130;110000;342.3;347.4;342.3;347.3;1581;0
Русал рдр;60;20170130;120000;347.3;350.8;347.1;350.5;1896;0
Русал рдр;60;20170130;130000;350.2;350.5;348.1;348.3;669;0
Русал рдр;60;20170130;140000;348.3;348.9;348.1;348.4;714;0
Русал рдр;60;20170130;150000;348.5;350;348.4;349.4;687;0
Русал рдр;60;20170130;160000;349.4;350;349.2;349.6;1094;0
Русал рдр;60;20170130;170000;349.5;350;349;349;764;0
Русал рдр;60;20170130;180000;349;349.4;348.4;348.6;673;0
Русал рдр;60;20170131;100000;349;352.9;347.8;349.3;4233;0
Русал рдр;60;20170131;110000;349.5;359.9;343.4;358;6145;0
Русал рдр;60;20170131;120000;357.9;359.9;356;358;3062;0
Русал рдр;60;20170131;130000;357.5;358.1;353.9;354.5;3323;0
Русал рдр;60;20170131;140000;354.5;354.9;353.7;353.8;1110;0
Русал рдр;60;20170131;150000;353.8;354.8;353.4;354.8;437;0
Русал рдр;60;20170131;160000;354.8;358.5;354.8;358.5;2192;0
Русал рдр;60;20170131;170000;358.5;359;357.7;358.9;2386;0
Русал рдр;60;20170131;180000;358.9;359;358;358.8;2543;0
