<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Русгрэйн;60;20170124;100000;12.35;12.55;12.35;12.5;270;0
Русгрэйн;60;20170124;120000;12.55;12.55;12.55;12.55;4;0
Русгрэйн;60;20170124;130000;12.55;12.8;12.55;12.65;146;0
Русгрэйн;60;20170124;140000;12.7;12.75;12.7;12.75;24;0
Русгрэйн;60;20170124;150000;12.7;12.7;12.5;12.5;15;0
Русгрэйн;60;20170124;160000;12.55;12.9;12.55;12.8;389;0
Русгрэйн;60;20170124;170000;12.9;13;12.85;13;489;0
Русгрэйн;60;20170124;180000;13;13.2;13;13.2;477;0
Русгрэйн;60;20170125;100000;13.25;13.95;13.05;13.1;492;0
Русгрэйн;60;20170125;110000;13.2;13.25;13;13;308;0
Русгрэйн;60;20170125;120000;13.05;13.7;13;13.35;205;0
Русгрэйн;60;20170125;130000;13.4;13.4;13;13;33;0
Русгрэйн;60;20170125;150000;13.05;13.1;13.05;13.1;6;0
Русгрэйн;60;20170125;180000;13.15;13.2;13.1;13.2;6;0
Русгрэйн;60;20170126;110000;13.2;13.3;13.2;13.3;269;0
Русгрэйн;60;20170126;130000;13.3;13.9;13.25;13.35;208;0
Русгрэйн;60;20170126;140000;13.35;13.35;13.25;13.3;16;0
Русгрэйн;60;20170126;150000;13.25;13.25;13.25;13.25;18;0
Русгрэйн;60;20170126;170000;13.3;13.35;13.3;13.35;13;0
Русгрэйн;60;20170126;180000;13.35;13.35;13.35;13.35;11;0
Русгрэйн;60;20170127;100000;13.4;13.95;13.25;13.25;45;0
Русгрэйн;60;20170127;110000;13.35;13.35;13;13;103;0
Русгрэйн;60;20170127;120000;13.2;13.2;13.2;13.2;1;0
Русгрэйн;60;20170127;140000;13.15;13.2;13.15;13.2;711;0
Русгрэйн;60;20170127;150000;13.2;13.2;13.2;13.2;732;0
Русгрэйн;60;20170127;160000;13.2;13.2;13.2;13.2;5;0
Русгрэйн;60;20170127;170000;13.25;13.3;13.25;13.3;7;0
Русгрэйн;60;20170127;180000;13.3;13.4;13.3;13.4;112;0
Русгрэйн;60;20170130;100000;13.4;13.4;12.55;13.4;60;0
Русгрэйн;60;20170130;110000;13.2;13.2;13.2;13.2;22;0
Русгрэйн;60;20170130;130000;13.25;13.25;13.25;13.25;2;0
Русгрэйн;60;20170130;140000;13.25;13.4;13.25;13.4;170;0
Русгрэйн;60;20170130;180000;13.3;13.3;13.3;13.3;6;0
Русгрэйн;60;20170131;100000;13.15;13.2;13;13.2;32;0
Русгрэйн;60;20170131;110000;13.15;13.15;13.15;13.15;1;0
Русгрэйн;60;20170131;120000;13.2;13.2;12.65;13;276;0
Русгрэйн;60;20170131;130000;13;13;12.95;13;52;0
Русгрэйн;60;20170131;140000;12.95;12.95;12.95;12.95;1;0
Русгрэйн;60;20170131;150000;12.95;12.95;12.95;12.95;1;0
Русгрэйн;60;20170131;170000;13;13;13;13;2;0
Русгрэйн;60;20170131;180000;13;13;12.9;12.9;73;0
Русгрэйн;60;20170201;120000;12.9;12.9;12.2;12.6;1410;0
Русгрэйн;60;20170201;130000;12.6;12.7;12.6;12.6;99;0
Русгрэйн;60;20170201;160000;12.65;12.65;12.65;12.65;1;0
Русгрэйн;60;20170201;170000;12.75;12.75;12.75;12.75;1;0
Русгрэйн;60;20170201;180000;12.7;12.7;12.5;12.5;30;0
Русгрэйн;60;20170202;090000;12.45;12.45;12.45;12.45;101;0
Русгрэйн;60;20170202;100000;12.45;12.65;12.45;12.65;63;0
Русгрэйн;60;20170202;110000;12.65;12.9;12.65;12.8;61;0
Русгрэйн;60;20170202;130000;12.7;12.7;12.6;12.7;15;0
Русгрэйн;60;20170202;160000;12.6;12.6;12.6;12.6;1;0
Русгрэйн;60;20170202;170000;12.65;12.7;12.65;12.7;6;0
Русгрэйн;60;20170203;120000;12.6;12.6;12.6;12.6;17;0
Русгрэйн;60;20170203;130000;12.55;12.55;12.5;12.5;9;0
Русгрэйн;60;20170203;170000;12.6;12.6;12.5;12.5;192;0
Русгрэйн;60;20170203;180000;12.6;12.6;12.6;12.6;1;0
Русгрэйн;60;20170206;120000;12.7;12.7;12.7;12.7;12;0
Русгрэйн;60;20170206;130000;12.6;12.6;12.5;12.5;50;0
Русгрэйн;60;20170206;140000;12.45;12.45;12.3;12.3;40;0
Русгрэйн;60;20170206;150000;12.45;12.5;12.45;12.5;2;0
Русгрэйн;60;20170206;160000;12.45;12.45;12.3;12.4;35;0
Русгрэйн;60;20170206;180000;12.4;12.5;12.35;12.35;8;0
Русгрэйн;60;20170207;100000;12.5;12.9;12.5;12.7;173;0
Русгрэйн;60;20170207;110000;12.7;12.7;12.65;12.65;3;0
Русгрэйн;60;20170207;130000;12.65;12.75;12.65;12.65;16;0
Русгрэйн;60;20170207;140000;12.75;12.75;12.75;12.75;100;0
Русгрэйн;60;20170207;150000;12.6;12.6;12.6;12.6;1;0
Русгрэйн;60;20170207;170000;12.65;12.65;12.6;12.6;13;0
Русгрэйн;60;20170207;180000;12.6;12.6;12.6;12.6;12;0
Русгрэйн;60;20170208;100000;12.6;12.6;12.6;12.6;1;0
Русгрэйн;60;20170208;140000;12.55;12.55;12.5;12.5;17;0
Русгрэйн;60;20170208;170000;12.45;12.45;12.45;12.45;4;0
Русгрэйн;60;20170208;180000;12.55;12.55;12.55;12.55;21;0
Русгрэйн;60;20170209;100000;12.45;12.5;12.45;12.5;11;0
Русгрэйн;60;20170209;110000;12.4;12.4;12.35;12.35;125;0
Русгрэйн;60;20170209;130000;12.3;12.3;12;12.25;294;0
Русгрэйн;60;20170209;140000;12.3;12.3;12.3;12.3;10;0
Русгрэйн;60;20170209;150000;12.3;12.4;12.3;12.4;40;0
Русгрэйн;60;20170209;170000;12.4;12.55;12.4;12.5;163;0
Русгрэйн;60;20170209;180000;12.4;12.4;12.4;12.4;10;0
Русгрэйн;60;20170210;120000;12.5;12.5;12.5;12.5;3;0
Русгрэйн;60;20170210;130000;12.45;12.45;12.4;12.45;17;0
Русгрэйн;60;20170210;140000;12.35;12.35;12.25;12.25;30;0
Русгрэйн;60;20170210;150000;12.35;12.35;12.35;12.35;5;0
Русгрэйн;60;20170210;160000;12.3;12.3;12.3;12.3;8;0
Русгрэйн;60;20170210;170000;12.35;12.35;12.35;12.35;30;0
Русгрэйн;60;20170210;180000;12.35;12.45;12.35;12.45;188;0
