<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Русолово;60;20170124;100000;3.25;3.25;3.05;3.18;996;0
Русолово;60;20170124;110000;3.16;3.18;3.08;3.1;1139;0
Русолово;60;20170124;120000;3.1;3.16;3.04;3.1;1152;0
Русолово;60;20170124;130000;3.09;3.17;3.06;3.14;1034;0
Русолово;60;20170124;140000;3.16;3.2;3.12;3.18;374;0
Русолово;60;20170124;150000;3.19;3.19;3.13;3.19;403;0
Русолово;60;20170124;160000;3.19;3.2;3.06;3.11;828;0
Русолово;60;20170124;170000;3.12;3.17;3.09;3.11;508;0
Русолово;60;20170124;180000;3.15;3.2;3.15;3.2;228;0
Русолово;60;20170125;100000;3.2;3.2;2.97;3;3576;0
Русолово;60;20170125;110000;3;3;2.89;3;2545;0
Русолово;60;20170125;120000;2.97;3;2.97;3;211;0
Русолово;60;20170125;130000;2.97;3;2.94;3;607;0
Русолово;60;20170125;140000;2.98;3;2.95;2.95;499;0
Русолово;60;20170125;150000;2.94;2.95;2.87;2.94;1471;0
Русолово;60;20170125;160000;2.92;2.93;2.85;2.91;796;0
Русолово;60;20170125;170000;2.91;2.95;2.9;2.93;717;0
Русолово;60;20170125;180000;2.92;2.94;2.88;2.9;1638;0
Русолово;60;20170126;090000;2.91;2.91;2.91;2.91;1;0
Русолово;60;20170126;100000;2.91;2.91;2.8;2.84;875;0
Русолово;60;20170126;110000;2.84;2.89;2.77;2.89;1182;0
Русолово;60;20170126;120000;2.89;2.89;2.79;2.79;977;0
Русолово;60;20170126;130000;2.8;2.82;2.78;2.81;266;0
Русолово;60;20170126;140000;2.82;2.88;2.79;2.81;1595;0
Русолово;60;20170126;150000;2.8;2.84;2.77;2.8;910;0
Русолово;60;20170126;160000;2.79;2.82;2.78;2.8;755;0
Русолово;60;20170126;170000;2.8;2.81;2.75;2.77;1189;0
Русолово;60;20170126;180000;2.76;2.78;2.71;2.71;1407;0
Русолово;60;20170127;090000;2.68;2.68;2.68;2.68;36;0
Русолово;60;20170127;100000;2.68;2.74;2.56;2.58;1722;0
Русолово;60;20170127;110000;2.58;2.66;2.58;2.65;708;0
Русолово;60;20170127;120000;2.64;2.66;2.6;2.64;447;0
Русолово;60;20170127;130000;2.65;2.85;2.64;2.85;1852;0
Русолово;60;20170127;140000;2.85;2.97;2.7;2.72;4304;0
Русолово;60;20170127;150000;2.71;2.77;2.7;2.72;670;0
Русолово;60;20170127;160000;2.72;2.75;2.67;2.67;691;0
Русолово;60;20170127;170000;2.69;2.7;2.65;2.69;437;0
Русолово;60;20170127;180000;2.68;2.72;2.64;2.69;478;0
Русолово;60;20170130;090000;2.73;2.73;2.73;2.73;4;0
Русолово;60;20170130;100000;2.73;2.75;2.65;2.67;643;0
Русолово;60;20170130;110000;2.68;2.77;2.6;2.64;2048;0
Русолово;60;20170130;120000;2.63;2.66;2.63;2.65;169;0
Русолово;60;20170130;130000;2.66;2.66;2.51;2.59;3274;0
Русолово;60;20170130;140000;2.59;2.59;2.55;2.59;241;0
Русолово;60;20170130;150000;2.59;2.59;2.55;2.55;360;0
Русолово;60;20170130;160000;2.56;2.6;2.54;2.58;280;0
Русолово;60;20170130;170000;2.58;2.58;2.57;2.58;44;0
Русолово;60;20170130;180000;2.58;2.59;2.56;2.59;224;0
Русолово;60;20170131;100000;2.6;2.64;2.57;2.62;334;0
Русолово;60;20170131;110000;2.62;2.63;2.56;2.59;316;0
Русолово;60;20170131;120000;2.6;2.6;2.55;2.55;244;0
Русолово;60;20170131;130000;2.56;2.61;2.55;2.56;414;0
Русолово;60;20170131;140000;2.57;2.61;2.55;2.56;466;0
Русолово;60;20170131;150000;2.56;2.6;2.54;2.56;690;0
Русолово;60;20170131;160000;2.56;2.57;2.54;2.56;347;0
Русолово;60;20170131;170000;2.56;2.58;2.55;2.58;375;0
Русолово;60;20170131;180000;2.59;2.72;2.58;2.72;701;0
Русолово;60;20170201;090000;2.72;2.72;2.72;2.72;17;0
Русолово;60;20170201;100000;2.72;2.8;2.54;2.59;4965;0
Русолово;60;20170201;110000;2.6;2.65;2.56;2.61;1626;0
Русолово;60;20170201;120000;2.6;2.64;2.58;2.64;624;0
