<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Русполимет;60;20170125;100000;0.587;0.598;0.587;0.598;13;0
Русполимет;60;20170125;110000;0.595;0.598;0.595;0.595;6;0
Русполимет;60;20170125;120000;0.595;0.595;0.593;0.595;43;0
Русполимет;60;20170125;130000;0.595;0.595;0.595;0.595;5;0
Русполимет;60;20170125;140000;0.595;0.595;0.595;0.595;3;0
Русполимет;60;20170125;150000;0.595;0.595;0.595;0.595;1;0
Русполимет;60;20170125;160000;0.595;0.599;0.595;0.599;11;0
Русполимет;60;20170125;180000;0.599;0.599;0.599;0.599;1;0
Русполимет;60;20170126;100000;0.599;0.599;0.579;0.579;25;0
Русполимет;60;20170126;110000;0.599;0.603;0.589;0.59;21;0
Русполимет;60;20170126;120000;0.591;0.591;0.59;0.59;3;0
Русполимет;60;20170126;130000;0.589;0.6;0.58;0.597;53;0
Русполимет;60;20170126;140000;0.584;0.594;0.578;0.588;119;0
Русполимет;60;20170126;150000;0.585;0.588;0.577;0.586;36;0
Русполимет;60;20170126;160000;0.58;0.587;0.57;0.584;82;0
Русполимет;60;20170126;170000;0.585;0.589;0.57;0.579;195;0
Русполимет;60;20170126;180000;0.587;0.59;0.577;0.59;83;0
Русполимет;60;20170127;100000;0.59;0.593;0.59;0.593;4;0
Русполимет;60;20170127;110000;0.593;0.597;0.571;0.591;322;0
Русполимет;60;20170127;120000;0.59;0.595;0.585;0.595;111;0
Русполимет;60;20170127;130000;0.596;0.596;0.585;0.595;26;0
Русполимет;60;20170127;140000;0.585;0.591;0.578;0.59;130;0
Русполимет;60;20170127;150000;0.589;0.589;0.589;0.589;1;0
Русполимет;60;20170127;160000;0.589;0.591;0.58;0.591;47;0
Русполимет;60;20170127;170000;0.585;0.59;0.58;0.59;63;0
Русполимет;60;20170127;180000;0.59;0.59;0.581;0.588;12;0
Русполимет;60;20170130;100000;0.589;0.589;0.589;0.589;5;0
Русполимет;60;20170130;110000;0.59;0.59;0.589;0.589;10;0
Русполимет;60;20170130;120000;0.589;0.589;0.589;0.589;1;0
Русполимет;60;20170130;130000;0.589;0.59;0.589;0.59;5;0
Русполимет;60;20170130;150000;0.59;0.617;0.58;0.589;231;0
Русполимет;60;20170130;160000;0.589;0.591;0.588;0.591;7;0
Русполимет;60;20170130;170000;0.592;0.593;0.592;0.592;14;0
Русполимет;60;20170130;180000;0.592;0.592;0.58;0.585;119;0
Русполимет;60;20170131;090000;0.585;0.585;0.585;0.585;1;0
Русполимет;60;20170131;110000;0.585;0.587;0.585;0.587;8;0
Русполимет;60;20170131;120000;0.587;0.587;0.587;0.587;1;0
Русполимет;60;20170131;130000;0.581;0.581;0.579;0.58;8;0
Русполимет;60;20170131;150000;0.58;0.584;0.58;0.58;20;0
Русполимет;60;20170131;160000;0.58;0.584;0.58;0.584;7;0
Русполимет;60;20170131;170000;0.586;0.586;0.584;0.585;17;0
Русполимет;60;20170131;180000;0.585;0.585;0.58;0.585;11;0
Русполимет;60;20170201;110000;0.58;0.585;0.58;0.585;2;0
Русполимет;60;20170201;120000;0.592;0.592;0.592;0.592;1;0
Русполимет;60;20170201;130000;0.59;0.593;0.58;0.586;99;0
Русполимет;60;20170201;140000;0.58;0.585;0.58;0.584;19;0
Русполимет;60;20170201;150000;0.587;0.589;0.58;0.58;45;0
Русполимет;60;20170201;160000;0.579;0.579;0.579;0.579;4;0
Русполимет;60;20170201;170000;0.58;0.588;0.58;0.587;14;0
Русполимет;60;20170201;180000;0.585;0.587;0.58;0.587;7;0
Русполимет;60;20170202;110000;0.579;0.586;0.574;0.58;26;0
Русполимет;60;20170202;120000;0.576;0.576;0.572;0.575;16;0
Русполимет;60;20170202;130000;0.574;0.58;0.57;0.576;53;0
Русполимет;60;20170202;140000;0.571;0.586;0.557;0.58;221;0
Русполимет;60;20170202;150000;0.569;0.58;0.565;0.577;121;0
Русполимет;60;20170202;160000;0.577;0.577;0.571;0.571;8;0
Русполимет;60;20170202;170000;0.58;0.58;0.575;0.58;13;0
Русполимет;60;20170202;180000;0.572;0.586;0.566;0.58;228;0
Русполимет;60;20170203;100000;0.571;0.577;0.569;0.577;21;0
Русполимет;60;20170203;110000;0.576;0.577;0.57;0.57;7;0
Русполимет;60;20170203;130000;0.575;0.577;0.57;0.57;24;0
Русполимет;60;20170203;140000;0.569;0.569;0.563;0.563;24;0
Русполимет;60;20170203;150000;0.568;0.57;0.564;0.568;84;0
Русполимет;60;20170203;160000;0.57;0.57;0.57;0.57;7;0
Русполимет;60;20170203;170000;0.567;0.577;0.544;0.551;799;0
Русполимет;60;20170203;180000;0.554;0.56;0.55;0.55;77;0
Русполимет;60;20170206;100000;0.55;0.553;0.55;0.552;13;0
Русполимет;60;20170206;110000;0.552;0.552;0.55;0.552;18;0
Русполимет;60;20170206;120000;0.549;0.55;0.546;0.55;35;0
Русполимет;60;20170206;130000;0.549;0.549;0.549;0.549;5;0
Русполимет;60;20170206;140000;0.55;0.564;0.55;0.564;33;0
Русполимет;60;20170206;150000;0.558;0.558;0.556;0.556;6;0
Русполимет;60;20170206;160000;0.554;0.558;0.549;0.554;45;0
Русполимет;60;20170206;170000;0.553;0.553;0.55;0.55;13;0
