<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РуссНфт ао;60;20170124;100000;559.1;559.5;559;559.5;360;0
РуссНфт ао;60;20170124;110000;559.4;560;559.4;559.5;5801;0
РуссНфт ао;60;20170124;120000;559.5;559.5;559.5;559.5;2700;0
РуссНфт ао;60;20170124;130000;559.6;559.6;559.5;559.5;1501;0
РуссНфт ао;60;20170124;140000;559.5;560.1;559.5;560.1;9547;0
РуссНфт ао;60;20170124;150000;559.6;559.6;559.6;559.6;1;0
РуссНфт ао;60;20170124;160000;559.9;559.9;559.5;559.5;4349;0
РуссНфт ао;60;20170124;170000;559.5;559.7;559.4;559.7;4073;0
РуссНфт ао;60;20170124;180000;559.6;559.8;559.4;559.5;8221;0
РуссНфт ао;60;20170125;100000;558.1;558.1;558.1;558.1;1;0
РуссНфт ао;60;20170125;110000;559.6;559.6;559.5;559.6;4650;0
РуссНфт ао;60;20170125;120000;559.6;559.6;559.6;559.6;3330;0
РуссНфт ао;60;20170125;130000;559.6;559.6;559.6;559.6;4204;0
РуссНфт ао;60;20170125;140000;559.6;559.6;559.5;559.6;3956;0
РуссНфт ао;60;20170125;150000;559.6;559.6;559.6;559.6;2681;0
РуссНфт ао;60;20170125;160000;559.6;559.6;559.5;559.5;1367;0
РуссНфт ао;60;20170125;170000;559.6;559.7;559.4;559.6;17168;0
РуссНфт ао;60;20170125;180000;559.5;559.6;559.5;559.6;55;0
РуссНфт ао;60;20170126;100000;555.5;559.8;555.5;559.8;11;0
РуссНфт ао;60;20170126;110000;559.7;559.9;558.8;559;10473;0
РуссНфт ао;60;20170126;130000;559.4;559.8;559.4;559.6;3810;0
РуссНфт ао;60;20170126;140000;559.6;559.6;559.6;559.6;2169;0
РуссНфт ао;60;20170126;150000;559.6;559.6;559.5;559.6;18915;0
РуссНфт ао;60;20170126;160000;559.5;559.5;559.5;559.5;1725;0
РуссНфт ао;60;20170126;180000;560.1;560.1;560.1;560.1;415;0
РуссНфт ао;60;20170127;100000;558.1;559.7;558.1;559.7;483;0
РуссНфт ао;60;20170127;110000;559.5;559.5;559.3;559.4;2550;0
РуссНфт ао;60;20170127;120000;559.5;559.5;559.3;559.5;4960;0
РуссНфт ао;60;20170127;130000;559.4;559.5;559.1;559.5;6630;0
РуссНфт ао;60;20170127;140000;559.4;559.4;559.1;559.2;4900;0
РуссНфт ао;60;20170127;150000;559.5;559.6;559.1;559.4;16413;0
РуссНфт ао;60;20170127;170000;559.4;559.7;559.2;559.3;2877;0
РуссНфт ао;60;20170127;180000;559.3;559.6;559.3;559.3;515;0
РуссНфт ао;60;20170130;100000;558.7;559.4;558.7;559.4;852;0
РуссНфт ао;60;20170130;110000;559.5;559.5;559.5;559.5;850;0
РуссНфт ао;60;20170130;120000;559.3;559.7;559.3;559.3;10640;0
РуссНфт ао;60;20170130;130000;559.6;559.6;559.2;559.5;4595;0
РуссНфт ао;60;20170130;140000;559.5;559.5;559.4;559.4;7222;0
РуссНфт ао;60;20170130;150000;559.5;559.5;559.5;559.5;3286;0
РуссНфт ао;60;20170130;160000;559.3;559.6;559.3;559.3;9570;0
РуссНфт ао;60;20170130;170000;559.6;559.8;559.3;559.3;2290;0
РуссНфт ао;60;20170131;100000;558.1;559.2;558.1;559.2;186;0
РуссНфт ао;60;20170131;110000;559.7;559.7;559.1;559.1;1129;0
РуссНфт ао;60;20170131;120000;559.4;559.4;559.3;559.3;180;0
РуссНфт ао;60;20170131;130000;559.6;559.6;559.3;559.3;11;0
РуссНфт ао;60;20170131;140000;559.5;559.5;559.5;559.5;5;0
РуссНфт ао;60;20170131;150000;559.5;559.5;559.5;559.5;256;0
РуссНфт ао;60;20170131;170000;559.5;559.6;559.2;559.2;22320;0
РуссНфт ао;60;20170131;180000;559.5;559.5;559.3;559.3;4660;0
РуссНфт ао;60;20170201;100000;558.3;559.5;558.3;559.5;2579;0
