<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РязЭнСб;60;20170124;100000;3.4;3.4;3.15;3.33;45;0
РязЭнСб;60;20170124;110000;3.19;3.33;3.1;3.18;55;0
РязЭнСб;60;20170124;130000;3.25;3.27;3.25;3.27;4;0
РязЭнСб;60;20170124;140000;3.26;3.26;3.19;3.19;7;0
РязЭнСб;60;20170124;160000;3.26;3.26;3.26;3.26;1;0
РязЭнСб;60;20170124;170000;3.26;3.38;3.08;3.21;44;0
РязЭнСб;60;20170124;180000;3.22;3.3;3.11;3.3;40;0
РязЭнСб;60;20170125;100000;3.34;3.37;3.07;3.08;73;0
РязЭнСб;60;20170125;110000;3.15;3.16;3.05;3.14;41;0
РязЭнСб;60;20170125;130000;3.09;3.14;3.07;3.14;9;0
РязЭнСб;60;20170125;140000;3.13;3.14;3.13;3.13;4;0
РязЭнСб;60;20170125;150000;3.14;3.15;3.14;3.15;10;0
РязЭнСб;60;20170125;170000;3.14;3.17;3.14;3.17;10;0
РязЭнСб;60;20170126;100000;3.15;3.25;3.15;3.25;10;0
РязЭнСб;60;20170126;120000;3.11;3.2;3.08;3.2;12;0
РязЭнСб;60;20170126;130000;3.19;3.2;3.19;3.2;5;0
РязЭнСб;60;20170126;140000;3.11;3.17;3.1;3.17;4;0
РязЭнСб;60;20170126;160000;3.11;3.11;3.1;3.1;3;0
РязЭнСб;60;20170126;170000;3.1;3.2;2.96;3.07;208;0
РязЭнСб;60;20170126;180000;3.05;3.08;3.05;3.08;9;0
РязЭнСб;60;20170127;100000;3.08;3.13;2.96;3.02;17;0
РязЭнСб;60;20170127;110000;3.02;3.07;3.02;3.07;4;0
РязЭнСб;60;20170127;120000;3.07;3.07;2.94;3.03;29;0
РязЭнСб;60;20170127;130000;3.04;3.06;3.01;3.01;21;0
РязЭнСб;60;20170127;150000;3.06;3.06;3.06;3.06;1;0
РязЭнСб;60;20170127;160000;3.07;3.07;3.03;3.03;3;0
РязЭнСб;60;20170127;170000;3.02;3.06;3;3.06;31;0
РязЭнСб;60;20170127;180000;3.06;3.07;3;3.06;4;0
РязЭнСб;60;20170130;100000;3.01;3.02;2.9;3.01;91;0
РязЭнСб;60;20170130;140000;2.96;3.01;2.95;3.01;13;0
РязЭнСб;60;20170130;150000;3.02;3.05;2.96;2.96;5;0
РязЭнСб;60;20170130;160000;2.95;2.95;2.95;2.95;3;0
