<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
САФМАР ао;60;20170908;100000;785;786;785;786;43;0
САФМАР ао;60;20170908;110000;786;786;782;782;632;0
САФМАР ао;60;20170908;120000;785.5;786;781.5;783;5008;0
САФМАР ао;60;20170908;130000;783;786.5;782.5;786.5;841;0
САФМАР ао;60;20170908;140000;786.5;786.5;781.5;784.5;220;0
САФМАР ао;60;20170908;150000;784.5;786;782.5;786;429;0
САФМАР ао;60;20170908;160000;786;786.5;784.5;786.5;237;0
САФМАР ао;60;20170908;170000;786;786.5;785;786;227;0
САФМАР ао;60;20170908;180000;786;786.5;781.5;781.5;703;0
САФМАР ао;60;20170911;100000;783;785;783;785;154;0
САФМАР ао;60;20170911;110000;785;786.5;785;786.5;294;0
САФМАР ао;60;20170911;120000;786.5;786.5;786;786.5;140;0
САФМАР ао;60;20170911;130000;786.5;786.5;786;786.5;181;0
САФМАР ао;60;20170911;140000;786;787.5;784.5;787.5;5696;0
САФМАР ао;60;20170911;150000;787.5;787.5;786.5;787.5;234;0
САФМАР ао;60;20170911;160000;787.5;788.5;787;788;289;0
САФМАР ао;60;20170911;170000;788;788;787.5;787.5;265;0
САФМАР ао;60;20170911;180000;787;788;785;788;168;0
САФМАР ао;60;20170912;100000;788;788;787.5;788;27;0
САФМАР ао;60;20170912;110000;788;788;784.5;787.5;1257;0
САФМАР ао;60;20170912;120000;787;788.5;784;788.5;4593;0
САФМАР ао;60;20170912;130000;788.5;788.5;787.5;788;401;0
САФМАР ао;60;20170912;140000;788;789;788;788.5;119;0
САФМАР ао;60;20170912;150000;788.5;788.5;788;788.5;261;0
САФМАР ао;60;20170912;160000;788.5;788.5;786;787.5;437;0
САФМАР ао;60;20170912;170000;787.5;789;787.5;789;228;0
САФМАР ао;60;20170912;180000;789;789.5;789;789.5;100;0
САФМАР ао;60;20170913;100000;788.5;788.5;786.5;788.5;116;0
САФМАР ао;60;20170913;110000;789;789.5;788.5;789.5;100;0
САФМАР ао;60;20170913;120000;789.5;790;788;789.5;144;0
САФМАР ао;60;20170913;130000;789.5;790;785;789;1535;0
САФМАР ао;60;20170913;140000;788;790;785.5;788;1913;0
САФМАР ао;60;20170913;150000;789;790;785.5;789;235;0
САФМАР ао;60;20170913;160000;787;790;784;789;715;0
САФМАР ао;60;20170913;170000;787.5;790;787;790;1053;0
САФМАР ао;60;20170913;180000;789.5;789.5;784.5;787.5;3217;0
САФМАР ао;60;20170914;110000;788.5;789;784;787.5;147;0
САФМАР ао;60;20170914;120000;787.5;787.5;781.5;781.5;5493;0
САФМАР ао;60;20170914;130000;783;783;779;779;254;0
САФМАР ао;60;20170914;140000;780;780;701;749;1440;0
САФМАР ао;60;20170914;150000;749;749;732.5;749;219;0
САФМАР ао;60;20170914;160000;749;749;730;741.5;466;0
САФМАР ао;60;20170914;170000;741.5;749;741.5;748.5;229;0
САФМАР ао;60;20170914;180000;744;744;733;733;369;0
САФМАР ао;60;20170915;090000;758;758;758;758;2;0
САФМАР ао;60;20170915;100000;760;779;740;755.5;4510;0
САФМАР ао;60;20170915;110000;755;759;741;742.5;1661;0
САФМАР ао;60;20170915;120000;742.5;751;742.5;751;453;0
САФМАР ао;60;20170915;130000;751;780;741;754.5;1073;0
САФМАР ао;60;20170915;140000;754;754;730;740;1380;0
САФМАР ао;60;20170915;150000;740;741.5;720;740.5;2578;0
САФМАР ао;60;20170915;160000;741;754.5;737;754;4086;0
САФМАР ао;60;20170915;170000;754.5;773;754;773;613;0
САФМАР ао;60;20170915;180000;773;773;743.5;743.5;3483;0
САФМАР ао;60;20170918;100000;758.5;762.5;730.5;734;592;0
САФМАР ао;60;20170918;110000;734;734.5;722.5;730;791;0
САФМАР ао;60;20170918;120000;729;729;729;729;3;0
САФМАР ао;60;20170918;130000;729;730;729;730;15;0
САФМАР ао;60;20170918;140000;729.5;729.5;729;729;5;0
САФМАР ао;60;20170918;150000;729;732.5;720;721;5973;0
САФМАР ао;60;20170918;160000;721;742;721;738;501;0
САФМАР ао;60;20170918;170000;735;760;732.5;734.5;3613;0
САФМАР ао;60;20170918;180000;735;762;733.5;759;15061;0
САФМАР ао;60;20170919;100000;736.5;751;736;749;72;0
САФМАР ао;60;20170919;110000;748.5;749;748;748;6;0
САФМАР ао;60;20170919;120000;747.5;747.5;747.5;747.5;2;0
САФМАР ао;60;20170919;140000;747.5;752;726;727.5;4663;0
САФМАР ао;60;20170919;150000;727.5;742;727;741.5;4115;0
САФМАР ао;60;20170919;160000;741.5;743;740.5;740.5;788;0
САФМАР ао;60;20170919;170000;740.5;741.5;740.5;741.5;30;0
САФМАР ао;60;20170919;180000;739;745;735;745;1014;0
САФМАР ао;60;20170920;100000;721.5;732;721.5;728.5;67;0
САФМАР ао;60;20170920;110000;730;730;709.5;711;782;0
САФМАР ао;60;20170920;120000;710.5;720.5;671;698.5;5276;0
САФМАР ао;60;20170920;130000;694;697;679;679;172;0
САФМАР ао;60;20170920;140000;678;684.5;676.5;684.5;89;0
САФМАР ао;60;20170920;150000;691.5;691.5;687;690;60;0
САФМАР ао;60;20170920;160000;693.5;698.5;688.5;697.5;1120;0
САФМАР ао;60;20170920;170000;690;706.5;689;705;619;0
САФМАР ао;60;20170920;180000;701;704;686;686;256;0
САФМАР ао;60;20170921;090000;684.5;684.5;684.5;684.5;2;0
САФМАР ао;60;20170921;100000;684;684.5;682.5;684;49;0
САФМАР ао;60;20170921;110000;684;684;683.5;683.5;3;0
САФМАР ао;60;20170921;120000;684;684;681.5;683.5;22;0
САФМАР ао;60;20170921;130000;682;682.5;641;662.5;936;0
САФМАР ао;60;20170921;140000;650;650;603;625;918;0
САФМАР ао;60;20170921;150000;623;641.5;622.5;638;694;0
САФМАР ао;60;20170921;160000;637.5;711;631;709;2465;0
САФМАР ао;60;20170921;170000;709.5;722;704.5;716.5;4672;0
САФМАР ао;60;20170921;180000;714;770;709.5;709.5;1653;0
САФМАР ао;60;20170922;100000;709.5;728.5;709.5;725;63;0
САФМАР ао;60;20170922;110000;725.5;730.5;725.5;726;8;0
САФМАР ао;60;20170922;120000;725.5;727;720.5;720.5;22;0
САФМАР ао;60;20170922;130000;717.5;721.5;717.5;719.5;9;0
САФМАР ао;60;20170922;140000;720.5;743.5;720.5;742.5;704;0
САФМАР ао;60;20170922;150000;740.5;769.5;738.5;748.5;664;0
САФМАР ао;60;20170922;160000;739.5;739.5;739.5;739.5;1;0
САФМАР ао;60;20170922;170000;747;760;735.5;758.5;1546;0
САФМАР ао;60;20170922;180000;759;760;756.5;759.5;1574;0
САФМАР ао;60;20170925;090000;753;753;753;753;2;0
САФМАР ао;60;20170925;100000;753;755.5;743;749;12;0
САФМАР ао;60;20170925;110000;751;755;725.5;731.5;235;0
САФМАР ао;60;20170925;120000;729.5;729.5;711;727;676;0
САФМАР ао;60;20170925;130000;720;720;715;715;350;0
САФМАР ао;60;20170925;140000;715.5;720;715.5;720;4434;0
САФМАР ао;60;20170925;150000;720;720;716.5;720;6;0
САФМАР ао;60;20170925;160000;720;722;716;716;64;0
САФМАР ао;60;20170925;170000;718;718.5;718;718.5;5;0
САФМАР ао;60;20170925;180000;718;718;715;715;31;0
САФМАР ао;60;20170926;100000;712.5;729;712.5;716.5;30;0
САФМАР ао;60;20170926;110000;716;716;716;716;56;0
САФМАР ао;60;20170926;120000;716;718.5;712;712;1167;0
САФМАР ао;60;20170926;130000;712;714.5;712;713.5;4475;0
САФМАР ао;60;20170926;140000;712;712;676;680;370;0
САФМАР ао;60;20170926;150000;686.5;694.5;679;679.5;289;0
САФМАР ао;60;20170926;160000;679.5;679.5;679;679.5;91;0
САФМАР ао;60;20170926;170000;679;679;679;679;16;0
САФМАР ао;60;20170926;180000;678;679.5;677;677;11;0
САФМАР ао;60;20170927;100000;676.5;676.5;651;657;106;0
САФМАР ао;60;20170927;110000;656;720;651;690;864;0
САФМАР ао;60;20170927;120000;684.5;687.5;673;673;643;0
САФМАР ао;60;20170927;130000;673;674;660;660;307;0
САФМАР ао;60;20170927;140000;660;660;652;652.5;118;0
САФМАР ао;60;20170927;150000;653;682.5;652.5;660;3405;0
САФМАР ао;60;20170927;160000;662.5;662.5;650;658;785;0
САФМАР ао;60;20170927;170000;657.5;660;650;650.5;134;0
САФМАР ао;60;20170927;180000;650;650;641.5;641.5;148;0
САФМАР ао;60;20170928;090000;639.5;639.5;639.5;639.5;1;0
САФМАР ао;60;20170928;100000;639;648;639;648;40;0
САФМАР ао;60;20170928;110000;648.5;660.5;648.5;651.5;159;0
САФМАР ао;60;20170928;120000;651.5;659.5;650;658.5;47;0
САФМАР ао;60;20170928;130000;657;664;656.5;657.5;152;0
САФМАР ао;60;20170928;140000;662.5;676.5;662;672;88;0
САФМАР ао;60;20170928;150000;672;716.5;672;698.5;873;0
САФМАР ао;60;20170928;160000;699;700;671;691;3483;0
САФМАР ао;60;20170928;170000;690;700;673;690.5;1149;0
САФМАР ао;60;20170928;180000;690.5;694;690;690;2464;0
САФМАР ао;60;20170929;100000;696.5;696.5;689.5;689.5;6;0
САФМАР ао;60;20170929;110000;686;686;683.5;684.5;38;0
САФМАР ао;60;20170929;120000;684.5;687;684.5;685.5;444;0
САФМАР ао;60;20170929;130000;683;683;683;683;2;0
САФМАР ао;60;20170929;140000;680.5;681;680;680;7;0
САФМАР ао;60;20170929;150000;680;680;664;665.5;1475;0
САФМАР ао;60;20170929;160000;668;677;666;674.5;368;0
САФМАР ао;60;20170929;170000;664;672.5;656.5;672.5;670;0
САФМАР ао;60;20170929;180000;672.5;712;672.5;712;3376;0
САФМАР ао;60;20171002;100000;676;705.5;676;705.5;4;0
САФМАР ао;60;20171002;110000;700;712.5;697;704.5;1280;0
САФМАР ао;60;20171002;130000;702;702;701.5;701.5;3;0
САФМАР ао;60;20171002;140000;700;707;700;705.5;608;0
САФМАР ао;60;20171002;150000;707;707;705;706;71;0
САФМАР ао;60;20171002;160000;708.5;709;708.5;709;2;0
САФМАР ао;60;20171002;170000;707.5;708.5;702.5;702.5;675;0
САФМАР ао;60;20171002;180000;711;715.5;704;706;3575;0
САФМАР ао;60;20171003;110000;702.5;702.5;695.5;698.5;496;0
САФМАР ао;60;20171003;120000;699.5;703;698.5;699;1210;0
САФМАР ао;60;20171003;130000;699;699;699;699;1;0
САФМАР ао;60;20171003;140000;699;700;699;700;2;0
САФМАР ао;60;20171003;150000;695.5;700;695.5;698;1656;0
САФМАР ао;60;20171003;160000;699;699;697;697;999;0
САФМАР ао;60;20171003;170000;698;698;698;698;9;0
САФМАР ао;60;20171003;180000;698;698.5;697;698;1184;0
САФМАР ао;60;20171004;100000;690.5;691;685;685;8;0
САФМАР ао;60;20171004;120000;690;690;690;690;1;0
САФМАР ао;60;20171004;140000;690;694;687.5;692;1918;0
САФМАР ао;60;20171004;150000;693.5;693.5;688;692;383;0
САФМАР ао;60;20171004;160000;693;699;690;695;3480;0
САФМАР ао;60;20171004;170000;692;692;689;690;8;0
САФМАР ао;60;20171005;090000;683;683;683;683;1;0
САФМАР ао;60;20171005;100000;682;709.5;682;709.5;999;0
САФМАР ао;60;20171005;110000;709.5;709.5;700;700;26;0
САФМАР ао;60;20171005;130000;698;698.5;693.5;696;353;0
САФМАР ао;60;20171005;150000;696;696.5;692;693.5;1491;0
САФМАР ао;60;20171005;160000;698.5;700;693;698;1893;0
САФМАР ао;60;20171005;170000;696.5;699.5;696.5;699.5;360;0
САФМАР ао;60;20171006;100000;691.5;691.5;688;688;11;0
САФМАР ао;60;20171006;120000;691;691;688;688;7;0
САФМАР ао;60;20171006;130000;692.5;692.5;692.5;692.5;1;0
САФМАР ао;60;20171006;140000;694.5;697.5;694.5;697.5;282;0
САФМАР ао;60;20171006;150000;703.5;705.5;700;703.5;501;0
САФМАР ао;60;20171006;160000;702.5;707.5;700;703;3877;0
САФМАР ао;60;20171006;180000;699.5;700;699.5;700;300;0
САФМАР ао;60;20171009;110000;689.5;692.5;688.5;691;104;0
САФМАР ао;60;20171009;120000;691.5;691.5;691.5;691.5;9;0
САФМАР ао;60;20171009;130000;691.5;692;691.5;691.5;43;0
САФМАР ао;60;20171009;140000;690;693;687;689;4207;0
САФМАР ао;60;20171009;150000;689;700.5;687;700;2094;0
САФМАР ао;60;20171009;170000;700.5;700.5;700;700;4;0
САФМАР ао;60;20171009;180000;692;696.5;690;696.5;31;0
САФМАР ао;60;20171010;090000;697;697;697;697;1;0
САФМАР ао;60;20171010;110000;698;698;697;697;5;0
САФМАР ао;60;20171010;120000;700;709;700;704.5;9;0
САФМАР ао;60;20171010;130000;710;712.5;710;712.5;41;0
САФМАР ао;60;20171010;150000;712.5;712.5;701;701.5;3492;0
САФМАР ао;60;20171010;160000;711;712;711;712;92;0
САФМАР ао;60;20171010;170000;712.5;712.5;712;712;213;0
САФМАР ао;60;20171010;180000;712.5;712.5;709.5;711;1215;0
САФМАР ао;60;20171011;100000;704.5;708;704;708;373;0
САФМАР ао;60;20171011;110000;704;705.5;700;701.5;1351;0
САФМАР ао;60;20171011;120000;700.5;700.5;693.5;698;86;0
САФМАР ао;60;20171011;130000;697;697;691;693;71;0
САФМАР ао;60;20171011;140000;694;701;689.5;699.5;487;0
САФМАР ао;60;20171011;150000;699;703;692.5;697;956;0
САФМАР ао;60;20171011;160000;695;702.5;691;693.5;2641;0
САФМАР ао;60;20171011;170000;696;703;693;693;146;0
САФМАР ао;60;20171011;180000;694.5;696;694.5;696;137;0
САФМАР ао;60;20171012;110000;691;694;690;694;381;0
САФМАР ао;60;20171012;120000;695.5;695.5;695;695;2;0
САФМАР ао;60;20171012;130000;696;696;696;696;6;0
САФМАР ао;60;20171012;140000;698;704.5;697.5;703.5;47;0
САФМАР ао;60;20171012;150000;704;704;703.5;703.5;50;0
САФМАР ао;60;20171012;160000;704;710;699.5;700.5;5216;0
САФМАР ао;60;20171012;170000;703;710;703;710;29;0
САФМАР ао;60;20171012;180000;698;700;695;695;40;0
САФМАР ао;60;20171013;100000;706.5;706.5;706;706;79;0
САФМАР ао;60;20171013;110000;707;709;705.5;707.5;2064;0
САФМАР ао;60;20171013;120000;706;706;705.5;705.5;19;0
САФМАР ао;60;20171013;130000;701;703.5;697.5;701.5;256;0
САФМАР ао;60;20171013;140000;702.5;703;701;701;118;0
САФМАР ао;60;20171013;150000;700;700;700;700;10;0
САФМАР ао;60;20171013;160000;700.5;700.5;700;700;8;0
САФМАР ао;60;20171013;170000;700;700;700;700;2;0
САФМАР ао;60;20171013;180000;700;703.5;699;702;3154;0
САФМАР ао;60;20171016;100000;696;704;696;704;72;0
САФМАР ао;60;20171016;120000;705.5;706;704;706;1235;0
САФМАР ао;60;20171016;130000;701.5;701.5;700;700;11;0
САФМАР ао;60;20171016;140000;700;700;697;699;24;0
САФМАР ао;60;20171016;150000;703;729;702;723.5;5142;0
САФМАР ао;60;20171016;160000;723;723;717;717;6;0
САФМАР ао;60;20171016;170000;714;714;708.5;708.5;1763;0
САФМАР ао;60;20171016;180000;711;711;707;707;51;0
САФМАР ао;60;20171017;100000;701.5;701.5;701.5;701.5;6;0
САФМАР ао;60;20171017;110000;703.5;703.5;700;700;4;0
САФМАР ао;60;20171017;120000;702;709.5;701;708;1257;0
САФМАР ао;60;20171017;130000;709;709;709;709;21;0
САФМАР ао;60;20171017;140000;708;708;708;708;1;0
САФМАР ао;60;20171017;150000;707.5;708.5;707.5;708.5;74;0
САФМАР ао;60;20171017;160000;707.5;728;706.5;728;2028;0
САФМАР ао;60;20171017;170000;728;777;706;709;2620;0
САФМАР ао;60;20171017;180000;714;714;710;710.5;34;0
САФМАР ао;60;20171018;100000;715.5;715.5;705;705;170;0
САФМАР ао;60;20171018;110000;711.5;714.5;711.5;714.5;14;0
САФМАР ао;60;20171018;120000;712;712;712;712;1;0
САФМАР ао;60;20171018;150000;712;727.5;712;714;2259;0
САФМАР ао;60;20171018;160000;714;726;712;714;1099;0
САФМАР ао;60;20171018;170000;718;722;718;720;212;0
САФМАР ао;60;20171018;180000;722;727;720.5;727;1945;0
САФМАР ао;60;20171019;100000;721;725;721;723.5;22;0
САФМАР ао;60;20171019;110000;723.5;723.5;720.5;720.5;4;0
САФМАР ао;60;20171019;120000;724;724.5;717.5;717.5;36;0
САФМАР ао;60;20171019;130000;716.5;727;716.5;722;233;0
САФМАР ао;60;20171019;140000;719;721;710;721;62;0
САФМАР ао;60;20171019;150000;717;717;716.5;716.5;5;0
САФМАР ао;60;20171019;160000;718.5;726;718.5;724;1419;0
САФМАР ао;60;20171019;170000;723;729;721.5;726.5;2542;0
САФМАР ао;60;20171019;180000;727;728;722.5;728;1478;0
САФМАР ао;60;20171020;100000;721.5;726;721.5;726;355;0
САФМАР ао;60;20171020;110000;726;728;720.5;725.5;1574;0
САФМАР ао;60;20171020;120000;728;728;726;727;2474;0
САФМАР ао;60;20171020;130000;728;728;727;727.5;1395;0
САФМАР ао;60;20171020;140000;728;728;726;727;138;0
САФМАР ао;60;20171020;150000;728;745;728;735;1512;0
САФМАР ао;60;20171020;160000;735;735;730;733.5;167;0
САФМАР ао;60;20171020;170000;734;750.5;722.5;722.5;586;0
САФМАР ао;60;20171020;180000;727;761;724;748;881;0
САФМАР ао;60;20171023;100000;755;755;740;740;21;0
САФМАР ао;60;20171023;120000;748.5;748.5;748.5;748.5;1;0
САФМАР ао;60;20171023;140000;748.5;750;746;749;1046;0
САФМАР ао;60;20171023;160000;749.5;750;738.5;740.5;888;0
САФМАР ао;60;20171023;170000;747.5;748;721;733;490;0
САФМАР ао;60;20171023;180000;736;739.5;733;736.5;3015;0
САФМАР ао;60;20171024;100000;737.5;740;730;730;36;0
САФМАР ао;60;20171024;110000;737;737;730;730;39;0
САФМАР ао;60;20171024;120000;733.5;739.5;728;736.5;5447;0
САФМАР ао;60;20171024;130000;735;735;720;720;106;0
САФМАР ао;60;20171024;140000;720;720;699.5;699.5;136;0
САФМАР ао;60;20171024;150000;697.5;703;697.5;702;105;0
САФМАР ао;60;20171024;160000;704.5;713.5;702.5;713.5;117;0
САФМАР ао;60;20171024;170000;708;710;705.5;705.5;19;0
САФМАР ао;60;20171024;180000;710;710;708;708;8;0
САФМАР ао;60;20171025;100000;707.5;707.5;697.5;697.5;19;0
САФМАР ао;60;20171025;110000;702;702;702;702;1;0
САФМАР ао;60;20171025;130000;700;700;690;697.5;51;0
