<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СЗПароход;60;20170124;120000;262;262;260;260;4;0
СЗПароход;60;20170124;160000;260;260;260;260;1;0
СЗПароход;60;20170124;170000;259;259;259;259;1;0
СЗПароход;60;20170125;120000;261;262;261;262;2;0
СЗПароход;60;20170126;120000;258;258;257;257;2;0
СЗПароход;60;20170126;140000;256;256;254;254;9;0
СЗПароход;60;20170126;160000;257;257;257;257;1;0
СЗПароход;60;20170126;170000;258;258;258;258;1;0
СЗПароход;60;20170127;100000;258;260;258;260;3;0
СЗПароход;60;20170127;170000;260;260;260;260;1;0
СЗПароход;60;20170130;100000;256;256;256;256;2;0
СЗПароход;60;20170130;130000;255;255;254;254;2;0
СЗПароход;60;20170130;160000;253;253;253;253;1;0
СЗПароход;60;20170130;170000;256;256;256;256;3;0
СЗПароход;60;20170131;110000;256;256;256;256;18;0
СЗПароход;60;20170131;130000;256;256;256;256;1;0
СЗПароход;60;20170201;120000;257;257;257;257;1;0
СЗПароход;60;20170201;170000;257;258;257;258;2;0
СЗПароход;60;20170201;180000;259;260;256;260;5;0
СЗПароход;60;20170202;100000;266;267;266;266;24;0
СЗПароход;60;20170202;120000;266;266;266;266;15;0
СЗПароход;60;20170202;160000;274;274;274;274;1;0
СЗПароход;60;20170207;110000;261;261;261;261;1;0
СЗПароход;60;20170207;160000;265;265;265;265;1;0
СЗПароход;60;20170208;180000;261;261;250;250;10;0
СЗПароход;60;20170209;160000;255;255;251;251;2;0
СЗПароход;60;20170209;180000;258;258;258;258;1;0
СЗПароход;60;20170214;180000;254;254;254;254;1;0
СЗПароход;60;20170216;100000;254;257;254;257;9;0
СЗПароход;60;20170216;140000;253;253;253;253;2;0
СЗПароход;60;20170217;130000;259;261;259;261;3;0
СЗПароход;60;20170217;170000;264;274;264;274;4;0
СЗПароход;60;20170220;100000;276;290;276;290;10;0
СЗПароход;60;20170220;110000;285;285;275;284;8;0
СЗПароход;60;20170220;120000;293;345;293;335;244;0
СЗПароход;60;20170220;130000;339;347;311;324;45;0
СЗПароход;60;20170220;140000;312;312;311;311;33;0
СЗПароход;60;20170220;150000;303;310;290;310;141;0
СЗПароход;60;20170220;160000;305;305;305;305;2;0
СЗПароход;60;20170220;170000;325;325;325;325;1;0
СЗПароход;60;20170220;180000;324;324;300;324;4;0
СЗПароход;60;20170221;100000;320;320;320;320;6;0
СЗПароход;60;20170221;110000;320;339;310;335;103;0
СЗПароход;60;20170221;120000;311;311;300;300;8;0
СЗПароход;60;20170221;150000;305;305;305;305;3;0
СЗПароход;60;20170221;160000;305;305;305;305;4;0
СЗПароход;60;20170221;170000;302;302;302;302;1;0
СЗПароход;60;20170222;130000;315;327;315;320;23;0
СЗПароход;60;20170222;140000;320;320;315;315;6;0
СЗПароход;60;20170224;100000;300;300;300;300;3;0
СЗПароход;60;20170224;110000;319;319;319;319;1;0
СЗПароход;60;20170224;140000;304;304;304;304;1;0
СЗПароход;60;20170227;180000;304;304;304;304;1;0
СЗПароход;60;20170303;100000;301;301;300;300;2;0
СЗПароход;60;20170303;160000;290;290;289;289;3;0
СЗПароход;60;20170303;180000;294;294;294;294;1;0
СЗПароход;60;20170307;110000;305;305;305;305;1;0
СЗПароход;60;20170307;130000;305;305;305;305;1;0
СЗПароход;60;20170307;150000;320;324;320;324;2;0
СЗПароход;60;20170309;100000;319;342;319;342;6;0
СЗПароход;60;20170309;150000;337;337;320;320;3;0
СЗПароход;60;20170309;170000;310;310;310;310;1;0
СЗПароход;60;20170310;100000;320;320;320;320;1;0
СЗПароход;60;20170313;170000;325;325;287;305;18;0
СЗПароход;60;20170313;180000;310;310;289;299;5;0
СЗПароход;60;20170314;130000;300;300;300;300;1;0
СЗПароход;60;20170316;100000;298;298;298;298;1;0
СЗПароход;60;20170316;130000;298;298;293;298;5;0
СЗПароход;60;20170317;180000;290;294;290;294;3;0
СЗПароход;60;20170322;140000;281;285;275;285;3;0
СЗПароход;60;20170327;100000;278;278;278;278;1;0
СЗПароход;60;20170327;110000;269;269;269;269;1;0
СЗПароход;60;20170327;130000;273;282;273;282;2;0
СЗПароход;60;20170327;150000;275;275;239;259;12;0
СЗПароход;60;20170327;160000;251;254;249;252;6;0
СЗПароход;60;20170328;100000;263;275;263;271;4;0
СЗПароход;60;20170328;110000;279;279;279;279;1;0
СЗПароход;60;20170328;120000;275;275;275;275;2;0
СЗПароход;60;20170328;160000;272;272;272;272;1;0
СЗПароход;60;20170328;170000;276;276;276;276;1;0
СЗПароход;60;20170329;130000;269;269;269;269;1;0
СЗПароход;60;20170329;180000;261;261;250;258;31;0
СЗПароход;60;20170330;100000;265;265;260;262;25;0
СЗПароход;60;20170330;110000;272;314;272;314;5;0
СЗПароход;60;20170330;120000;300;315;284;315;12;0
СЗПароход;60;20170330;130000;283;283;262;262;10;0
СЗПароход;60;20170330;140000;275;287;275;286;6;0
СЗПароход;60;20170331;120000;289;289;289;289;1;0
СЗПароход;60;20170331;170000;293;300;293;300;7;0
СЗПароход;60;20170403;110000;286;286;286;286;1;0
СЗПароход;60;20170403;150000;277;281;277;281;3;0
СЗПароход;60;20170403;180000;290;290;290;290;1;0
СЗПароход;60;20170404;130000;300;300;300;300;8;0
СЗПароход;60;20170404;180000;283;287;283;287;2;0
СЗПароход;60;20170406;100000;280;284;280;284;2;0
СЗПароход;60;20170407;140000;281;281;281;281;1;0
СЗПароход;60;20170407;170000;285;285;285;285;1;0
СЗПароход;60;20170410;120000;278;278;278;278;1;0
СЗПароход;60;20170410;140000;282;299;282;299;5;0
СЗПароход;60;20170410;160000;275;279;275;279;2;0
СЗПароход;60;20170411;110000;299;299;274;299;30;0
СЗПароход;60;20170411;120000;264;300;264;299;71;0
СЗПароход;60;20170413;100000;263;276;240;276;20;0
СЗПароход;60;20170413;120000;282;282;282;282;1;0
СЗПароход;60;20170413;130000;283;283;283;283;1;0
СЗПароход;60;20170413;140000;270;270;270;270;4;0
СЗПароход;60;20170413;170000;271;271;271;271;8;0
СЗПароход;60;20170413;180000;280;280;280;280;1;0
СЗПароход;60;20170414;110000;284;284;284;284;1;0
СЗПароход;60;20170418;100000;274;287;273;273;37;0
СЗПароход;60;20170418;110000;265;265;265;265;1;0
СЗПароход;60;20170418;180000;274;274;274;274;1;0
СЗПароход;60;20170419;100000;266;266;264;264;11;0
СЗПароход;60;20170419;140000;258;261;258;261;8;0
СЗПароход;60;20170419;150000;260;260;256;259;14;0
СЗПароход;60;20170419;160000;257;258;257;258;5;0
СЗПароход;60;20170419;180000;260;264;260;264;2;0
СЗПароход;60;20170421;100000;261;261;261;261;5;0
СЗПароход;60;20170421;110000;267;267;267;267;18;0
СЗПароход;60;20170424;100000;267;267;267;267;4;0
СЗПароход;60;20170424;110000;267;267;267;267;7;0
СЗПароход;60;20170424;180000;268;293;268;293;10;0
СЗПароход;60;20170425;100000;280;280;280;280;10;0
СЗПароход;60;20170425;140000;273;273;273;273;1;0
СЗПароход;60;20170427;150000;266;266;263;263;3;0
СЗПароход;60;20170428;120000;266;267;266;267;2;0
СЗПароход;60;20170428;130000;267;267;267;267;3;0
СЗПароход;60;20170428;150000;272;277;272;277;79;0
СЗПароход;60;20170502;100000;274;274;273;273;2;0
СЗПароход;60;20170502;180000;256;256;256;256;1;0
СЗПароход;60;20170510;180000;269;269;269;269;1;0
СЗПароход;60;20170515;150000;269;269;269;269;1;0
СЗПароход;60;20170517;100000;254;257;250;250;3;0
СЗПароход;60;20170518;160000;252;252;250;250;18;0
СЗПароход;60;20170518;180000;250;250;250;250;2;0
СЗПароход;60;20170519;130000;260;260;260;260;1;0
СЗПароход;60;20170524;140000;272;272;272;272;1;0
СЗПароход;60;20170524;180000;258;260;258;260;19;0
СЗПароход;60;20170529;100000;270;270;214;247;3;0
СЗПароход;60;20170601;120000;242;242;236;236;9;0
СЗПароход;60;20170601;180000;242;242;242;242;1;0
СЗПароход;60;20170602;180000;240;240;240;240;1;0
СЗПароход;60;20170605;150000;245;245;245;245;1;0
СЗПароход;60;20170606;180000;246;246;246;246;1;0
СЗПароход;60;20170607;120000;246;246;246;246;1;0
СЗПароход;60;20170607;180000;248;249;248;249;7;0
СЗПароход;60;20170615;180000;244;244;244;244;1;0
СЗПароход;60;20170619;160000;247;247;247;247;1;0
СЗПароход;60;20170621;150000;235;235;235;235;1;0
СЗПароход;60;20170621;180000;242;242;242;242;1;0
СЗПароход;60;20170622;180000;250;250;250;250;1;0
СЗПароход;60;20170626;180000;235;237;231;237;4;0
СЗПароход;60;20170711;110000;231;231;231;231;1;0
СЗПароход;60;20170711;120000;230;230;230;230;1;0
СЗПароход;60;20170711;140000;235;237;235;237;2;0
СЗПароход;60;20170718;170000;241;241;203;237;41;0
СЗПароход;60;20170719;110000;236;237;236;237;3;0
СЗПароход;60;20170719;180000;235;235;235;235;2;0
СЗПароход;60;20170720;130000;239;250;239;250;51;0
СЗПароход;60;20170720;140000;225;225;203;221;42;0
СЗПароход;60;20170720;150000;232;235;232;235;4;0
СЗПароход;60;20170720;180000;218;218;217;217;2;0
СЗПароход;60;20170721;100000;217;217;217;217;3;0
СЗПароход;60;20170721;110000;222;222;222;222;1;0
СЗПароход;60;20170721;120000;237;240;237;240;16;0
СЗПароход;60;20170721;130000;240;240;240;240;4;0
СЗПароход;60;20170721;160000;240;240;240;240;3;0
СЗПароход;60;20170721;170000;240;240;240;240;3;0
СЗПароход;60;20170724;120000;222;226;222;226;7;0
СЗПароход;60;20170724;130000;226;226;226;226;2;0
СЗПароход;60;20170724;140000;226;226;226;226;3;0
СЗПароход;60;20170725;110000;236;237;236;237;2;0
СЗПароход;60;20170725;130000;225;225;222;222;4;0
СЗПароход;60;20170725;140000;233;233;233;233;1;0
СЗПароход;60;20170725;180000;225;226;225;226;2;0
