<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СМЗ-ао;60;20170124;110000;4030;4030;3990;3990;52;0
СМЗ-ао;60;20170124;120000;4000;4000;4000;4000;25;0
СМЗ-ао;60;20170124;130000;4000;4000;4000;4000;8;0
СМЗ-ао;60;20170124;140000;4000;4000;4000;4000;7;0
СМЗ-ао;60;20170124;150000;3990;3990;3990;3990;1;0
СМЗ-ао;60;20170124;170000;4000;4000;4000;4000;12;0
СМЗ-ао;60;20170126;110000;3980;3980;3980;3980;1;0
СМЗ-ао;60;20170126;140000;4050;4050;4050;4050;1;0
СМЗ-ао;60;20170130;100000;4000;4000;4000;4000;1;0
СМЗ-ао;60;20170130;140000;4000;4000;4000;4000;5;0
СМЗ-ао;60;20170130;160000;3990;3990;3990;3990;1;0
СМЗ-ао;60;20170131;180000;3990;3990;3990;3990;1;0
СМЗ-ао;60;20170201;150000;4000;4000;4000;4000;1;0
СМЗ-ао;60;20170201;170000;3980;3980;3980;3980;1;0
СМЗ-ао;60;20170201;180000;3980;3980;3970;3970;3;0
СМЗ-ао;60;20170203;100000;3970;3970;3970;3970;1;0
СМЗ-ао;60;20170206;130000;4010;4010;4010;4010;1;0
СМЗ-ао;60;20170206;180000;4000;4000;4000;4000;2;0
СМЗ-ао;60;20170208;150000;3980;3980;3970;3970;3;0
СМЗ-ао;60;20170213;100000;4070;4090;4070;4090;3;0
СМЗ-ао;60;20170214;170000;3980;3980;3970;3970;15;0
СМЗ-ао;60;20170214;180000;3880;3880;3870;3870;2;0
СМЗ-ао;60;20170215;100000;3870;3870;3870;3870;5;0
СМЗ-ао;60;20170216;180000;3900;3900;3900;3900;2;0
СМЗ-ао;60;20170217;150000;3990;3990;3990;3990;3;0
СМЗ-ао;60;20170220;100000;3910;3910;3910;3910;8;0
СМЗ-ао;60;20170220;130000;4030;4030;4030;4030;1;0
СМЗ-ао;60;20170220;150000;4030;4030;4030;4030;2;0
СМЗ-ао;60;20170220;170000;4000;4000;4000;4000;6;0
СМЗ-ао;60;20170221;100000;3930;3930;3930;3930;1;0
СМЗ-ао;60;20170221;150000;4040;4040;4040;4040;1;0
СМЗ-ао;60;20170222;160000;3940;3940;3900;3900;26;0
СМЗ-ао;60;20170222;170000;3990;3990;3990;3990;1;0
СМЗ-ао;60;20170228;160000;3900;3900;3820;3820;6;0
СМЗ-ао;60;20170228;170000;3850;3860;3850;3850;10;0
СМЗ-ао;60;20170228;180000;3850;3850;3850;3850;1;0
СМЗ-ао;60;20170301;120000;3940;3940;3940;3940;1;0
СМЗ-ао;60;20170302;100000;3940;3940;3940;3940;3;0
СМЗ-ао;60;20170303;160000;3870;3870;3870;3870;1;0
СМЗ-ао;60;20170306;100000;3940;3940;3940;3940;1;0
СМЗ-ао;60;20170306;110000;3870;3870;3870;3870;1;0
СМЗ-ао;60;20170309;120000;3850;3850;3850;3850;2;0
СМЗ-ао;60;20170309;170000;3820;3820;3820;3820;2;0
СМЗ-ао;60;20170309;180000;3860;3860;3860;3860;1;0
СМЗ-ао;60;20170310;170000;3880;3880;3880;3880;1;0
СМЗ-ао;60;20170313;100000;3880;3880;3820;3820;2;0
СМЗ-ао;60;20170314;140000;3930;3940;3930;3940;2;0
СМЗ-ао;60;20170315;100000;3870;3870;3870;3870;1;0
СМЗ-ао;60;20170316;110000;3820;3820;3800;3800;15;0
СМЗ-ао;60;20170316;120000;3800;3860;3800;3800;6;0
СМЗ-ао;60;20170316;180000;3790;3790;3790;3790;5;0
СМЗ-ао;60;20170317;110000;3770;3770;3720;3720;10;0
СМЗ-ао;60;20170317;120000;3880;3880;3880;3880;1;0
СМЗ-ао;60;20170317;140000;3840;3840;3840;3840;5;0
СМЗ-ао;60;20170317;180000;3770;3770;3770;3770;2;0
СМЗ-ао;60;20170320;180000;3880;3880;3880;3880;1;0
СМЗ-ао;60;20170321;110000;3770;3770;3710;3710;13;0
СМЗ-ао;60;20170321;120000;3730;3750;3730;3750;73;0
СМЗ-ао;60;20170321;130000;3750;3750;3750;3750;3;0
СМЗ-ао;60;20170321;140000;3750;3770;3750;3770;3;0
СМЗ-ао;60;20170321;160000;3770;3770;3770;3770;1;0
СМЗ-ао;60;20170321;180000;3720;3790;3720;3790;3;0
СМЗ-ао;60;20170322;090000;3730;3730;3730;3730;1;0
СМЗ-ао;60;20170322;100000;3720;3730;3710;3730;3;0
СМЗ-ао;60;20170322;130000;3740;3740;3740;3740;4;0
СМЗ-ао;60;20170323;100000;3770;3770;3770;3770;1;0
СМЗ-ао;60;20170323;160000;3710;3710;3710;3710;1;0
