<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СОЛЛЕРС;60;20170124;100000;599;602;599;601;9;0
СОЛЛЕРС;60;20170124;110000;600;600;599;600;58;0
СОЛЛЕРС;60;20170124;120000;598;599;597;598;8;0
СОЛЛЕРС;60;20170124;130000;599;600;598;598;42;0
СОЛЛЕРС;60;20170124;140000;600;617;599;617;591;0
СОЛЛЕРС;60;20170124;150000;617;623;613;615;2808;0
СОЛЛЕРС;60;20170124;160000;614;625;614;616;195;0
СОЛЛЕРС;60;20170124;170000;617;618;615;615;11;0
СОЛЛЕРС;60;20170124;180000;614;617;611;614;61;0
СОЛЛЕРС;60;20170125;100000;616;626;616;620;40;0
СОЛЛЕРС;60;20170125;110000;618;618;613;613;22;0
СОЛЛЕРС;60;20170125;120000;613;615;612;615;11;0
СОЛЛЕРС;60;20170125;130000;613;615;613;615;6;0
СОЛЛЕРС;60;20170125;140000;613;613;613;613;1;0
СОЛЛЕРС;60;20170125;150000;615;615;615;615;5;0
СОЛЛЕРС;60;20170125;160000;616;617;614;614;17;0
СОЛЛЕРС;60;20170125;170000;613;615;613;613;41;0
СОЛЛЕРС;60;20170125;180000;612;613;610;610;27;0
СОЛЛЕРС;60;20170126;090000;609;609;609;609;2;0
СОЛЛЕРС;60;20170126;100000;608;620;606;615;70;0
СОЛЛЕРС;60;20170126;110000;615;619;614;618;46;0
СОЛЛЕРС;60;20170126;120000;615;619;615;616;23;0
СОЛЛЕРС;60;20170126;130000;615;637;614;633;779;0
СОЛЛЕРС;60;20170126;140000;635;635;623;626;284;0
СОЛЛЕРС;60;20170126;150000;624;627;623;625;65;0
СОЛЛЕРС;60;20170126;160000;625;628;625;625;56;0
СОЛЛЕРС;60;20170126;170000;627;628;617;622;499;0
СОЛЛЕРС;60;20170126;180000;623;624;619;620;121;0
СОЛЛЕРС;60;20170127;090000;619;619;619;619;5;0
СОЛЛЕРС;60;20170127;100000;622;630;617;630;129;0
СОЛЛЕРС;60;20170127;110000;632;636;627;632;60;0
СОЛЛЕРС;60;20170127;120000;630;632;629;630;1161;0
СОЛЛЕРС;60;20170127;130000;629;631;627;630;65;0
СОЛЛЕРС;60;20170127;140000;630;630;626;629;28;0
СОЛЛЕРС;60;20170127;150000;628;633;626;630;100;0
СОЛЛЕРС;60;20170127;160000;630;633;630;630;28;0
СОЛЛЕРС;60;20170127;170000;632;633;629;630;1291;0
СОЛЛЕРС;60;20170127;180000;629;635;628;628;264;0
СОЛЛЕРС;60;20170130;090000;629;629;629;629;1;0
СОЛЛЕРС;60;20170130;100000;628;657;624;640;639;0
СОЛЛЕРС;60;20170130;110000;643;644;638;640;104;0
СОЛЛЕРС;60;20170130;120000;638;640;638;639;37;0
СОЛЛЕРС;60;20170130;130000;639;640;639;640;21;0
СОЛЛЕРС;60;20170130;140000;640;642;638;642;364;0
СОЛЛЕРС;60;20170130;150000;643;643;643;643;1;0
СОЛЛЕРС;60;20170130;160000;644;644;640;641;28;0
СОЛЛЕРС;60;20170130;170000;642;646;641;646;80;0
СОЛЛЕРС;60;20170130;180000;645;646;640;646;110;0
СОЛЛЕРС;60;20170131;100000;647;647;642;642;27;0
СОЛЛЕРС;60;20170131;110000;642;643;630;635;155;0
СОЛЛЕРС;60;20170131;120000;637;637;628;630;105;0
СОЛЛЕРС;60;20170131;130000;632;633;630;632;76;0
СОЛЛЕРС;60;20170131;140000;634;640;631;640;101;0
СОЛЛЕРС;60;20170131;150000;640;640;636;637;87;0
СОЛЛЕРС;60;20170131;160000;637;644;636;644;42;0
СОЛЛЕРС;60;20170131;170000;643;644;640;644;249;0
СОЛЛЕРС;60;20170131;180000;644;648;639;648;208;0
СОЛЛЕРС;60;20170201;090000;648;648;648;648;13;0
СОЛЛЕРС;60;20170201;100000;650;653;646;653;151;0
СОЛЛЕРС;60;20170201;110000;650;652;645;645;48;0
СОЛЛЕРС;60;20170201;120000;646;652;646;652;147;0
СОЛЛЕРС;60;20170201;130000;652;656;651;654;88;0
СОЛЛЕРС;60;20170201;140000;652;653;651;652;20;0
СОЛЛЕРС;60;20170201;150000;651;652;650;650;437;0
СОЛЛЕРС;60;20170201;160000;650;651;650;651;148;0
СОЛЛЕРС;60;20170201;170000;650;651;650;651;46;0
СОЛЛЕРС;60;20170201;180000;650;651;649;651;32;0
СОЛЛЕРС;60;20170202;100000;651;651;648;650;74;0
СОЛЛЕРС;60;20170202;110000;650;655;648;653;22;0
СОЛЛЕРС;60;20170202;120000;650;650;650;650;12;0
СОЛЛЕРС;60;20170202;130000;652;652;650;650;30;0
СОЛЛЕРС;60;20170202;140000;650;651;650;651;22;0
СОЛЛЕРС;60;20170202;150000;650;650;645;650;238;0
СОЛЛЕРС;60;20170202;160000;650;650;650;650;5;0
СОЛЛЕРС;60;20170202;170000;651;651;650;650;16;0
СОЛЛЕРС;60;20170202;180000;650;650;645;648;35;0
СОЛЛЕРС;60;20170203;100000;647;647;636;640;68;0
СОЛЛЕРС;60;20170203;110000;640;640;610;624;358;0
СОЛЛЕРС;60;20170203;120000;625;626;625;626;4;0
СОЛЛЕРС;60;20170203;130000;623;628;623;627;22;0
СОЛЛЕРС;60;20170203;140000;627;627;624;627;5;0
СОЛЛЕРС;60;20170203;150000;627;627;620;620;47;0
СОЛЛЕРС;60;20170203;160000;622;624;622;624;9;0
СОЛЛЕРС;60;20170203;170000;623;624;620;624;34;0
СОЛЛЕРС;60;20170203;180000;624;624;621;623;15;0
СОЛЛЕРС;60;20170206;100000;620;621;619;620;39;0
СОЛЛЕРС;60;20170206;110000;620;620;620;620;2;0
СОЛЛЕРС;60;20170206;120000;621;622;621;622;29;0
СОЛЛЕРС;60;20170206;130000;620;620;617;620;68;0
СОЛЛЕРС;60;20170206;150000;618;618;614;614;69;0
СОЛЛЕРС;60;20170206;160000;612;618;612;615;37;0
СОЛЛЕРС;60;20170206;170000;616;616;613;614;50;0
СОЛЛЕРС;60;20170206;180000;614;619;614;619;52;0
СОЛЛЕРС;60;20170207;100000;619;620;617;620;85;0
СОЛЛЕРС;60;20170207;110000;620;621;614;618;153;0
СОЛЛЕРС;60;20170207;120000;618;619;615;616;101;0
СОЛЛЕРС;60;20170207;130000;618;619;615;616;97;0
СОЛЛЕРС;60;20170207;140000;618;621;616;620;104;0
СОЛЛЕРС;60;20170207;150000;620;621;618;619;81;0
СОЛЛЕРС;60;20170207;160000;619;619;618;618;41;0
СОЛЛЕРС;60;20170207;170000;618;620;618;618;71;0
СОЛЛЕРС;60;20170207;180000;618;620;616;620;73;0
СОЛЛЕРС;60;20170208;100000;619;622;619;619;14;0
СОЛЛЕРС;60;20170208;110000;620;622;620;622;11;0
СОЛЛЕРС;60;20170208;120000;622;622;622;622;1;0
