<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СамарЭн-ап;60;20170124;150000;0.289;0.289;0.282;0.282;11;0
СамарЭн-ап;60;20170124;160000;0.298;0.298;0.298;0.298;1;0
СамарЭн-ап;60;20170124;170000;0.295;0.295;0.295;0.295;250;0
СамарЭн-ап;60;20170124;180000;0.299;0.299;0.299;0.299;2;0
СамарЭн-ап;60;20170125;110000;0.287;0.29;0.286;0.29;6;0
СамарЭн-ап;60;20170125;120000;0.287;0.287;0.285;0.285;49;0
СамарЭн-ап;60;20170125;130000;0.285;0.285;0.285;0.285;23;0
СамарЭн-ап;60;20170125;140000;0.295;0.296;0.295;0.296;5;0
СамарЭн-ап;60;20170126;110000;0.281;0.281;0.281;0.281;10;0
СамарЭн-ап;60;20170126;130000;0.284;0.285;0.284;0.285;10;0
СамарЭн-ап;60;20170126;160000;0.29;0.29;0.29;0.29;1;0
СамарЭн-ап;60;20170126;170000;0.291;0.291;0.291;0.291;3;0
СамарЭн-ап;60;20170127;120000;0.287;0.287;0.281;0.281;18;0
СамарЭн-ап;60;20170127;130000;0.286;0.286;0.286;0.286;1;0
СамарЭн-ап;60;20170127;180000;0.294;0.294;0.294;0.294;2;0
СамарЭн-ап;60;20170130;120000;0.294;0.294;0.294;0.294;5;0
СамарЭн-ап;60;20170131;120000;0.29;0.29;0.29;0.29;10;0
СамарЭн-ап;60;20170131;160000;0.285;0.285;0.285;0.285;2;0
СамарЭн-ап;60;20170131;180000;0.293;0.293;0.293;0.293;2;0
СамарЭн-ап;60;20170201;100000;0.284;0.284;0.284;0.284;1;0
СамарЭн-ап;60;20170201;120000;0.295;0.296;0.295;0.296;5;0
СамарЭн-ап;60;20170201;160000;0.29;0.29;0.29;0.29;20;0
СамарЭн-ап;60;20170201;170000;0.295;0.305;0.295;0.305;381;0
СамарЭн-ап;60;20170201;180000;0.305;0.305;0.301;0.303;126;0
СамарЭн-ап;60;20170202;120000;0.296;0.304;0.296;0.304;4;0
СамарЭн-ап;60;20170202;130000;0.305;0.305;0.305;0.305;1;0
СамарЭн-ап;60;20170202;150000;0.305;0.305;0.305;0.305;23;0
СамарЭн-ап;60;20170202;180000;0.305;0.305;0.305;0.305;1;0
СамарЭн-ап;60;20170203;160000;0.306;0.306;0.306;0.306;3;0
СамарЭн-ап;60;20170203;170000;0.306;0.308;0.306;0.308;8;0
СамарЭн-ап;60;20170203;180000;0.306;0.306;0.306;0.306;1;0
СамарЭн-ап;60;20170206;110000;0.302;0.302;0.302;0.302;3;0
СамарЭн-ап;60;20170206;120000;0.301;0.301;0.3;0.3;4;0
СамарЭн-ап;60;20170206;160000;0.295;0.295;0.292;0.292;2;0
СамарЭн-ап;60;20170206;170000;0.299;0.299;0.299;0.299;1;0
СамарЭн-ап;60;20170207;100000;0.3;0.3;0.3;0.3;1;0
СамарЭн-ап;60;20170207;110000;0.299;0.299;0.299;0.299;1;0
СамарЭн-ап;60;20170207;120000;0.302;0.302;0.302;0.302;2;0
СамарЭн-ап;60;20170207;140000;0.298;0.298;0.297;0.297;2;0
СамарЭн-ап;60;20170207;150000;0.296;0.296;0.296;0.296;1;0
СамарЭн-ап;60;20170207;160000;0.295;0.295;0.295;0.295;1;0
СамарЭн-ап;60;20170207;170000;0.294;0.294;0.292;0.292;25;0
СамарЭн-ап;60;20170207;180000;0.296;0.296;0.296;0.296;5;0
СамарЭн-ап;60;20170208;180000;0.297;0.297;0.297;0.297;3;0
СамарЭн-ап;60;20170209;110000;0.298;0.298;0.298;0.298;1;0
СамарЭн-ап;60;20170209;130000;0.295;0.295;0.295;0.295;6;0
СамарЭн-ап;60;20170209;170000;0.298;0.298;0.298;0.298;5;0
СамарЭн-ап;60;20170210;110000;0.299;0.313;0.299;0.313;3;0
СамарЭн-ап;60;20170210;130000;0.312;0.316;0.312;0.316;7;0
СамарЭн-ап;60;20170210;140000;0.299;0.299;0.299;0.299;4;0
СамарЭн-ап;60;20170210;150000;0.3;0.3;0.3;0.3;1;0
СамарЭн-ап;60;20170210;160000;0.301;0.302;0.298;0.302;8;0
СамарЭн-ап;60;20170210;170000;0.302;0.315;0.302;0.315;10;0
СамарЭн-ап;60;20170213;130000;0.31;0.31;0.31;0.31;1;0
СамарЭн-ап;60;20170213;160000;0.31;0.31;0.31;0.31;1;0
СамарЭн-ап;60;20170213;170000;0.31;0.31;0.31;0.31;3;0
СамарЭн-ап;60;20170213;180000;0.31;0.311;0.31;0.311;2;0
СамарЭн-ап;60;20170214;100000;0.311;0.311;0.311;0.311;1;0
СамарЭн-ап;60;20170214;110000;0.313;0.313;0.301;0.301;6;0
СамарЭн-ап;60;20170214;140000;0.311;0.311;0.307;0.311;5;0
СамарЭн-ап;60;20170214;160000;0.308;0.308;0.307;0.307;2;0
СамарЭн-ап;60;20170214;170000;0.301;0.301;0.301;0.301;1;0
СамарЭн-ап;60;20170214;180000;0.306;0.306;0.306;0.306;3;0
СамарЭн-ап;60;20170215;100000;0.304;0.308;0.304;0.307;4;0
СамарЭн-ап;60;20170215;110000;0.294;0.294;0.292;0.292;7;0
СамарЭн-ап;60;20170216;110000;0.301;0.301;0.301;0.301;1;0
СамарЭн-ап;60;20170216;120000;0.305;0.305;0.305;0.305;1;0
СамарЭн-ап;60;20170216;150000;0.305;0.305;0.305;0.305;1;0
СамарЭн-ап;60;20170216;160000;0.301;0.305;0.301;0.305;11;0
СамарЭн-ап;60;20170217;130000;0.303;0.303;0.3;0.3;5;0
СамарЭн-ап;60;20170217;160000;0.299;0.299;0.294;0.294;8;0
СамарЭн-ап;60;20170217;170000;0.293;0.3;0.293;0.3;31;0
СамарЭн-ап;60;20170220;110000;0.302;0.31;0.302;0.31;25;0
СамарЭн-ап;60;20170220;120000;0.313;0.313;0.313;0.313;5;0
СамарЭн-ап;60;20170220;130000;0.313;0.313;0.31;0.31;54;0
СамарЭн-ап;60;20170220;140000;0.31;0.319;0.31;0.319;23;0
СамарЭн-ап;60;20170220;150000;0.315;0.315;0.31;0.31;202;0
СамарЭн-ап;60;20170220;170000;0.311;0.311;0.311;0.311;1;0
СамарЭн-ап;60;20170220;180000;0.311;0.311;0.31;0.31;10;0
СамарЭн-ап;60;20170221;110000;0.31;0.31;0.31;0.31;1;0
СамарЭн-ап;60;20170221;140000;0.304;0.304;0.304;0.304;3;0
СамарЭн-ап;60;20170221;150000;0.302;0.302;0.301;0.301;4;0
СамарЭн-ап;60;20170221;160000;0.3;0.3;0.3;0.3;21;0
СамарЭн-ап;60;20170221;180000;0.299;0.299;0.295;0.295;15;0
СамарЭн-ап;60;20170222;100000;0.296;0.3;0.296;0.296;15;0
СамарЭн-ап;60;20170222;110000;0.296;0.296;0.296;0.296;1;0
СамарЭн-ап;60;20170222;120000;0.294;0.294;0.29;0.29;4;0
СамарЭн-ап;60;20170222;140000;0.294;0.295;0.294;0.295;2;0
СамарЭн-ап;60;20170224;120000;0.293;0.293;0.293;0.293;1;0
СамарЭн-ап;60;20170224;160000;0.29;0.29;0.254;0.273;100;0
СамарЭн-ап;60;20170224;180000;0.272;0.281;0.268;0.279;30;0
СамарЭн-ап;60;20170227;090000;0.287;0.287;0.287;0.287;2;0
СамарЭн-ап;60;20170227;100000;0.287;0.293;0.287;0.288;11;0
СамарЭн-ап;60;20170227;110000;0.287;0.287;0.286;0.286;2;0
СамарЭн-ап;60;20170227;120000;0.285;0.285;0.27;0.274;8;0
СамарЭн-ап;60;20170227;130000;0.284;0.284;0.274;0.276;6;0
СамарЭн-ап;60;20170227;180000;0.277;0.277;0.277;0.277;1;0
СамарЭн-ап;60;20170228;110000;0.269;0.269;0.269;0.269;2;0
СамарЭн-ап;60;20170228;120000;0.268;0.269;0.268;0.269;6;0
СамарЭн-ап;60;20170228;130000;0.264;0.264;0.264;0.264;1;0
СамарЭн-ап;60;20170228;140000;0.27;0.271;0.269;0.269;7;0
СамарЭн-ап;60;20170228;150000;0.27;0.279;0.27;0.279;4;0
СамарЭн-ап;60;20170228;160000;0.274;0.276;0.269;0.276;3;0
СамарЭн-ап;60;20170228;180000;0.273;0.273;0.264;0.268;6;0
СамарЭн-ап;60;20170301;100000;0.275;0.275;0.275;0.275;1;0
СамарЭн-ап;60;20170301;130000;0.28;0.28;0.28;0.28;1;0
СамарЭн-ап;60;20170301;150000;0.282;0.282;0.282;0.282;1;0
