<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СаратНПЗ-п;60;20170124;100000;9850;9850;9850;9850;4;0
СаратНПЗ-п;60;20170124;120000;9950;9950;9950;9950;3;0
СаратНПЗ-п;60;20170124;140000;9950;9950;9950;9950;5;0
СаратНПЗ-п;60;20170124;150000;9950;9950;9950;9950;8;0
СаратНПЗ-п;60;20170124;180000;9950;9950;9950;9950;2;0
СаратНПЗ-п;60;20170125;100000;9900;9900;9900;9900;12;0
СаратНПЗ-п;60;20170125;110000;9900;9900;9900;9900;18;0
СаратНПЗ-п;60;20170125;120000;9900;9900;9900;9900;28;0
СаратНПЗ-п;60;20170125;150000;9900;9900;9900;9900;9;0
СаратНПЗ-п;60;20170125;160000;9900;9900;9900;9900;1;0
СаратНПЗ-п;60;20170125;170000;9900;9900;9900;9900;1;0
СаратНПЗ-п;60;20170126;100000;9950;10000;9950;10000;17;0
СаратНПЗ-п;60;20170126;110000;9950;9950;9950;9950;1;0
СаратНПЗ-п;60;20170126;120000;9900;9900;9800;9800;16;0
СаратНПЗ-п;60;20170126;130000;9950;9950;9950;9950;1;0
СаратНПЗ-п;60;20170126;150000;9950;9950;9950;9950;1;0
СаратНПЗ-п;60;20170126;180000;10000;10000;9900;9900;21;0
СаратНПЗ-п;60;20170127;090000;9850;9850;9850;9850;1;0
СаратНПЗ-п;60;20170127;100000;9900;9900;9900;9900;1;0
СаратНПЗ-п;60;20170127;110000;9900;9900;9850;9850;24;0
СаратНПЗ-п;60;20170127;160000;9900;9900;9900;9900;6;0
СаратНПЗ-п;60;20170127;170000;9900;9950;9900;9950;34;0
СаратНПЗ-п;60;20170127;180000;10000;10000;10000;10000;10;0
СаратНПЗ-п;60;20170130;130000;10000;10000;10000;10000;1;0
СаратНПЗ-п;60;20170130;140000;9950;9950;9900;9900;12;0
СаратНПЗ-п;60;20170130;150000;10000;10000;10000;10000;4;0
СаратНПЗ-п;60;20170130;160000;10000;10000;10000;10000;5;0
СаратНПЗ-п;60;20170130;170000;10000;10000;10000;10000;6;0
СаратНПЗ-п;60;20170130;180000;10000;10000;10000;10000;4;0
СаратНПЗ-п;60;20170131;110000;10000;10000;10000;10000;1;0
СаратНПЗ-п;60;20170131;120000;10000;10000;10000;10000;3;0
СаратНПЗ-п;60;20170131;140000;9900;9900;9900;9900;29;0
СаратНПЗ-п;60;20170131;150000;9900;9900;9900;9900;1;0
СаратНПЗ-п;60;20170131;160000;9900;9900;9900;9900;1;0
СаратНПЗ-п;60;20170131;170000;9900;9900;9900;9900;3;0
СаратНПЗ-п;60;20170131;180000;9900;9900;9900;9900;2;0
СаратНПЗ-п;60;20170201;110000;9950;9950;9950;9950;1;0
СаратНПЗ-п;60;20170201;120000;9950;9950;9950;9950;1;0
СаратНПЗ-п;60;20170201;150000;9900;9900;9900;9900;2;0
СаратНПЗ-п;60;20170201;160000;9900;9900;9900;9900;30;0
СаратНПЗ-п;60;20170201;170000;9900;9900;9900;9900;10;0
СаратНПЗ-п;60;20170201;180000;9900;9900;9900;9900;10;0
СаратНПЗ-п;60;20170202;110000;9950;9950;9950;9950;1;0
СаратНПЗ-п;60;20170202;120000;9950;10000;9950;10000;8;0
СаратНПЗ-п;60;20170202;130000;10000;10000;10000;10000;1;0
СаратНПЗ-п;60;20170202;140000;9900;9900;9900;9900;2;0
СаратНПЗ-п;60;20170202;170000;9900;9900;9900;9900;1;0
СаратНПЗ-п;60;20170202;180000;9900;9900;9900;9900;4;0
СаратНПЗ-п;60;20170203;100000;9900;9900;9900;9900;3;0
СаратНПЗ-п;60;20170203;110000;9950;10000;9950;10000;14;0
СаратНПЗ-п;60;20170203;120000;10050;10050;9900;9900;24;0
СаратНПЗ-п;60;20170203;130000;9850;9950;9850;9900;47;0
СаратНПЗ-п;60;20170203;140000;9900;9900;9900;9900;3;0
СаратНПЗ-п;60;20170203;150000;9900;9900;9900;9900;4;0
СаратНПЗ-п;60;20170203;160000;9900;9900;9900;9900;4;0
СаратНПЗ-п;60;20170203;170000;9900;9900;9850;9850;7;0
СаратНПЗ-п;60;20170203;180000;9900;9900;9900;9900;5;0
СаратНПЗ-п;60;20170206;100000;9950;9950;9800;9800;61;0
СаратНПЗ-п;60;20170206;110000;9750;9800;9750;9800;29;0
СаратНПЗ-п;60;20170206;120000;9800;9800;9800;9800;18;0
СаратНПЗ-п;60;20170206;130000;9800;9800;9800;9800;2;0
СаратНПЗ-п;60;20170206;140000;9800;9800;9800;9800;2;0
СаратНПЗ-п;60;20170206;150000;9800;9800;9800;9800;5;0
СаратНПЗ-п;60;20170206;160000;9800;9800;9800;9800;3;0
СаратНПЗ-п;60;20170206;170000;9750;9750;9700;9700;231;0
СаратНПЗ-п;60;20170206;180000;9700;9750;9700;9750;48;0
СаратНПЗ-п;60;20170207;100000;9750;9800;9750;9800;6;0
СаратНПЗ-п;60;20170207;110000;9700;9700;9700;9700;1;0
