<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СаратЭн-ао;60;20170124;100000;0.1355;0.1375;0.1355;0.1375;35;0
СаратЭн-ао;60;20170124;130000;0.136;0.136;0.136;0.136;1;0
СаратЭн-ао;60;20170124;140000;0.1375;0.1375;0.1375;0.1375;11;0
СаратЭн-ао;60;20170124;150000;0.136;0.136;0.1345;0.135;12;0
СаратЭн-ао;60;20170124;160000;0.136;0.1395;0.136;0.139;31;0
СаратЭн-ао;60;20170124;170000;0.139;0.1395;0.139;0.1395;11;0
СаратЭн-ао;60;20170124;180000;0.1395;0.14;0.1395;0.14;100;0
СаратЭн-ао;60;20170125;100000;0.1395;0.1415;0.1395;0.1415;6;0
СаратЭн-ао;60;20170125;110000;0.14;0.14;0.1385;0.1385;10;0
СаратЭн-ао;60;20170125;140000;0.139;0.139;0.1385;0.1385;6;0
СаратЭн-ао;60;20170125;150000;0.138;0.139;0.137;0.1375;15;0
СаратЭн-ао;60;20170125;160000;0.1385;0.1405;0.1385;0.1405;8;0
СаратЭн-ао;60;20170125;170000;0.1405;0.1405;0.1405;0.1405;1;0
СаратЭн-ао;60;20170125;180000;0.1405;0.1405;0.1405;0.1405;1;0
СаратЭн-ао;60;20170126;100000;0.139;0.1395;0.139;0.139;15;0
СаратЭн-ао;60;20170126;120000;0.139;0.14;0.139;0.14;5;0
СаратЭн-ао;60;20170126;140000;0.1405;0.141;0.1405;0.141;3;0
СаратЭн-ао;60;20170126;150000;0.1395;0.1405;0.1385;0.14;23;0
СаратЭн-ао;60;20170126;160000;0.14;0.14;0.14;0.14;2;0
СаратЭн-ао;60;20170127;130000;0.1355;0.1395;0.133;0.133;18;0
СаратЭн-ао;60;20170127;140000;0.138;0.138;0.137;0.137;4;0
СаратЭн-ао;60;20170127;150000;0.137;0.137;0.137;0.137;1;0
СаратЭн-ао;60;20170127;160000;0.1385;0.1405;0.1385;0.139;17;0
СаратЭн-ао;60;20170130;100000;0.138;0.138;0.136;0.137;131;0
СаратЭн-ао;60;20170130;110000;0.1375;0.139;0.1375;0.139;10;0
СаратЭн-ао;60;20170130;150000;0.1385;0.14;0.1385;0.14;20;0
СаратЭн-ао;60;20170130;160000;0.14;0.14;0.14;0.14;26;0
СаратЭн-ао;60;20170131;130000;0.1385;0.1385;0.1375;0.1375;3;0
СаратЭн-ао;60;20170131;140000;0.139;0.14;0.139;0.14;3;0
СаратЭн-ао;60;20170131;160000;0.1395;0.141;0.1395;0.1405;16;0
СаратЭн-ао;60;20170131;170000;0.1395;0.1395;0.138;0.138;8;0
СаратЭн-ао;60;20170201;100000;0.138;0.138;0.1355;0.1365;25;0
СаратЭн-ао;60;20170201;110000;0.137;0.137;0.137;0.137;1;0
СаратЭн-ао;60;20170201;140000;0.1375;0.1385;0.136;0.1385;9;0
СаратЭн-ао;60;20170201;160000;0.1375;0.1375;0.135;0.135;250;0
СаратЭн-ао;60;20170201;170000;0.1365;0.1365;0.1365;0.1365;3;0
СаратЭн-ао;60;20170201;180000;0.1355;0.1365;0.135;0.1365;89;0
СаратЭн-ао;60;20170202;100000;0.137;0.137;0.137;0.137;1;0
СаратЭн-ао;60;20170202;110000;0.136;0.136;0.136;0.136;2;0
СаратЭн-ао;60;20170202;120000;0.137;0.137;0.137;0.137;4;0
СаратЭн-ао;60;20170202;140000;0.136;0.136;0.136;0.136;6;0
СаратЭн-ао;60;20170202;170000;0.137;0.1395;0.137;0.137;79;0
СаратЭн-ао;60;20170202;180000;0.1365;0.1365;0.136;0.136;2;0
СаратЭн-ао;60;20170203;100000;0.137;0.138;0.1355;0.138;12;0
СаратЭн-ао;60;20170206;100000;0.137;0.14;0.137;0.14;18;0
СаратЭн-ао;60;20170206;110000;0.1385;0.1385;0.138;0.138;2;0
СаратЭн-ао;60;20170206;120000;0.1375;0.1375;0.1375;0.1375;6;0
СаратЭн-ао;60;20170206;130000;0.1375;0.1375;0.1375;0.1375;5;0
СаратЭн-ао;60;20170206;150000;0.137;0.137;0.137;0.137;11;0
СаратЭн-ао;60;20170206;160000;0.138;0.138;0.138;0.138;1;0
СаратЭн-ао;60;20170206;170000;0.139;0.139;0.139;0.139;1;0
СаратЭн-ао;60;20170207;110000;0.1395;0.141;0.1395;0.1405;44;0
СаратЭн-ао;60;20170207;120000;0.1405;0.141;0.138;0.138;13;0
СаратЭн-ао;60;20170207;150000;0.1395;0.1395;0.1395;0.1395;22;0
СаратЭн-ао;60;20170207;170000;0.14;0.1405;0.14;0.1405;2;0
СаратЭн-ао;60;20170207;180000;0.139;0.139;0.139;0.139;11;0
СаратЭн-ао;60;20170208;110000;0.1385;0.1385;0.138;0.138;4;0
СаратЭн-ао;60;20170208;120000;0.1385;0.1385;0.1385;0.1385;2;0
СаратЭн-ао;60;20170208;150000;0.1385;0.1385;0.138;0.138;18;0
СаратЭн-ао;60;20170208;160000;0.138;0.138;0.138;0.138;5;0
СаратЭн-ао;60;20170208;180000;0.138;0.138;0.1375;0.1375;4;0
СаратЭн-ао;60;20170209;100000;0.1385;0.139;0.1375;0.1375;45;0
СаратЭн-ао;60;20170209;140000;0.1375;0.1375;0.1375;0.1375;1;0
СаратЭн-ао;60;20170209;160000;0.139;0.14;0.139;0.14;20;0
СаратЭн-ао;60;20170209;170000;0.1385;0.1385;0.1385;0.1385;1;0
СаратЭн-ао;60;20170210;100000;0.138;0.138;0.138;0.138;4;0
СаратЭн-ао;60;20170210;140000;0.1375;0.1375;0.1375;0.1375;5;0
СаратЭн-ао;60;20170210;160000;0.138;0.138;0.138;0.138;4;0
СаратЭн-ао;60;20170213;110000;0.139;0.139;0.139;0.139;3;0
СаратЭн-ао;60;20170213;120000;0.1385;0.1385;0.1385;0.1385;96;0
СаратЭн-ао;60;20170213;130000;0.139;0.139;0.139;0.139;1;0
СаратЭн-ао;60;20170213;140000;0.1385;0.1385;0.1385;0.1385;1;0
СаратЭн-ао;60;20170213;150000;0.139;0.139;0.139;0.139;2;0
СаратЭн-ао;60;20170213;160000;0.139;0.139;0.139;0.139;28;0
СаратЭн-ао;60;20170213;170000;0.1385;0.1385;0.138;0.138;4;0
СаратЭн-ао;60;20170214;100000;0.145;0.145;0.138;0.141;37;0
СаратЭн-ао;60;20170214;110000;0.14;0.1405;0.14;0.1405;20;0
СаратЭн-ао;60;20170214;130000;0.1395;0.1395;0.139;0.139;3;0
СаратЭн-ао;60;20170214;180000;0.1385;0.1385;0.1375;0.1375;24;0
СаратЭн-ао;60;20170215;100000;0.1375;0.138;0.135;0.1365;31;0
СаратЭн-ао;60;20170215;110000;0.1375;0.138;0.1375;0.138;31;0
СаратЭн-ао;60;20170215;120000;0.1365;0.1365;0.136;0.136;10;0
СаратЭн-ао;60;20170215;130000;0.136;0.1365;0.135;0.1365;21;0
СаратЭн-ао;60;20170215;140000;0.1365;0.1365;0.1365;0.1365;2;0
СаратЭн-ао;60;20170215;150000;0.136;0.136;0.136;0.136;1;0
СаратЭн-ао;60;20170215;160000;0.136;0.136;0.1355;0.1355;23;0
СаратЭн-ао;60;20170215;170000;0.135;0.135;0.1335;0.1335;46;0
СаратЭн-ао;60;20170215;180000;0.135;0.135;0.135;0.135;5;0
СаратЭн-ао;60;20170216;090000;0.1355;0.1355;0.1355;0.1355;1;0
СаратЭн-ао;60;20170216;100000;0.1355;0.1355;0.135;0.1355;14;0
СаратЭн-ао;60;20170216;110000;0.1345;0.1345;0.1345;0.1345;3;0
СаратЭн-ао;60;20170216;120000;0.1345;0.1345;0.134;0.134;23;0
СаратЭн-ао;60;20170217;110000;0.135;0.1355;0.135;0.1355;23;0
СаратЭн-ао;60;20170217;120000;0.135;0.1355;0.134;0.1355;46;0
СаратЭн-ао;60;20170217;130000;0.136;0.136;0.136;0.136;1;0
СаратЭн-ао;60;20170217;140000;0.1345;0.1345;0.134;0.134;7;0
СаратЭн-ао;60;20170217;180000;0.134;0.134;0.134;0.134;5;0
СаратЭн-ао;60;20170220;150000;0.1345;0.1415;0.1345;0.1385;53;0
СаратЭн-ао;60;20170220;160000;0.138;0.138;0.1375;0.1375;2;0
СаратЭн-ао;60;20170221;110000;0.137;0.137;0.137;0.137;1;0
СаратЭн-ао;60;20170221;120000;0.137;0.137;0.137;0.137;1;0
СаратЭн-ао;60;20170221;140000;0.137;0.137;0.1365;0.1365;12;0
СаратЭн-ао;60;20170221;150000;0.137;0.137;0.1365;0.1365;5;0
СаратЭн-ао;60;20170221;170000;0.138;0.138;0.138;0.138;1;0
СаратЭн-ао;60;20170222;120000;0.1385;0.1385;0.1385;0.1385;3;0
СаратЭн-ао;60;20170222;130000;0.1375;0.1385;0.1375;0.1385;6;0
СаратЭн-ао;60;20170222;150000;0.138;0.138;0.138;0.138;2;0
СаратЭн-ао;60;20170222;160000;0.1375;0.1375;0.1375;0.1375;4;0
СаратЭн-ао;60;20170222;170000;0.1375;0.1375;0.1375;0.1375;42;0
СаратЭн-ао;60;20170224;100000;0.137;0.137;0.1365;0.1365;18;0
СаратЭн-ао;60;20170224;110000;0.136;0.136;0.136;0.136;11;0
СаратЭн-ао;60;20170224;150000;0.136;0.1365;0.136;0.1365;29;0
СаратЭн-ао;60;20170224;170000;0.1375;0.1385;0.1375;0.138;13;0
СаратЭн-ао;60;20170227;110000;0.137;0.137;0.137;0.137;3;0
СаратЭн-ао;60;20170227;120000;0.137;0.137;0.136;0.1365;10;0
СаратЭн-ао;60;20170227;150000;0.136;0.136;0.136;0.136;1;0
СаратЭн-ао;60;20170227;160000;0.136;0.136;0.136;0.136;1;0
СаратЭн-ао;60;20170227;170000;0.1355;0.1355;0.1355;0.1355;1;0
СаратЭн-ао;60;20170227;180000;0.1355;0.1355;0.1345;0.135;21;0
СаратЭн-ао;60;20170228;090000;0.136;0.136;0.136;0.136;12;0
СаратЭн-ао;60;20170228;100000;0.1345;0.1345;0.13;0.131;41;0
СаратЭн-ао;60;20170228;110000;0.1305;0.1305;0.1295;0.1295;7;0
СаратЭн-ао;60;20170228;120000;0.1295;0.1295;0.128;0.128;12;0
СаратЭн-ао;60;20170228;130000;0.128;0.1295;0.128;0.1295;10;0
СаратЭн-ао;60;20170228;140000;0.1285;0.1285;0.128;0.128;9;0
СаратЭн-ао;60;20170228;150000;0.128;0.128;0.128;0.128;4;0
СаратЭн-ао;60;20170228;160000;0.129;0.1295;0.1245;0.126;53;0
СаратЭн-ао;60;20170228;170000;0.126;0.136;0.126;0.132;96;0
СаратЭн-ао;60;20170228;180000;0.1315;0.1315;0.123;0.1285;93;0
СаратЭн-ао;60;20170301;100000;0.129;0.1315;0.1275;0.1315;36;0
СаратЭн-ао;60;20170301;130000;0.1305;0.1315;0.1305;0.1315;2;0
СаратЭн-ао;60;20170301;140000;0.1315;0.1315;0.1315;0.1315;2;0
СаратЭн-ао;60;20170301;150000;0.132;0.135;0.132;0.135;12;0
СаратЭн-ао;60;20170301;160000;0.132;0.132;0.1305;0.1305;11;0
СаратЭн-ао;60;20170301;170000;0.1345;0.1345;0.1305;0.1305;2;0
СаратЭн-ао;60;20170301;180000;0.1305;0.1335;0.1305;0.1305;26;0
СаратЭн-ао;60;20170302;100000;0.1305;0.1305;0.1305;0.1305;2;0
СаратЭн-ао;60;20170302;120000;0.1315;0.132;0.1315;0.132;2;0
СаратЭн-ао;60;20170302;130000;0.132;0.132;0.132;0.132;2;0
СаратЭн-ао;60;20170302;140000;0.1325;0.1325;0.13;0.1315;56;0
СаратЭн-ао;60;20170302;160000;0.1315;0.1315;0.13;0.13;20;0
СаратЭн-ао;60;20170302;180000;0.1295;0.134;0.1295;0.134;18;0
СаратЭн-ао;60;20170303;100000;0.133;0.133;0.121;0.1285;89;0
СаратЭн-ао;60;20170303;110000;0.129;0.129;0.1275;0.1275;2;0
СаратЭн-ао;60;20170303;120000;0.129;0.1295;0.129;0.1295;2;0
СаратЭн-ао;60;20170303;130000;0.1275;0.128;0.1275;0.128;5;0
СаратЭн-ао;60;20170303;140000;0.128;0.128;0.128;0.128;2;0
СаратЭн-ао;60;20170303;150000;0.128;0.128;0.128;0.128;7;0
СаратЭн-ао;60;20170303;160000;0.128;0.129;0.128;0.129;7;0
СаратЭн-ао;60;20170303;170000;0.129;0.1335;0.129;0.1335;79;0
СаратЭн-ао;60;20170303;180000;0.132;0.1335;0.132;0.1335;2;0
СаратЭн-ао;60;20170306;130000;0.133;0.133;0.133;0.133;1;0
СаратЭн-ао;60;20170306;180000;0.132;0.132;0.132;0.132;3;0
СаратЭн-ао;60;20170307;120000;0.1315;0.1315;0.1305;0.1305;3;0
СаратЭн-ао;60;20170307;130000;0.13;0.13;0.13;0.13;1;0
СаратЭн-ао;60;20170307;150000;0.1295;0.13;0.1295;0.13;7;0
СаратЭн-ао;60;20170309;100000;0.138;0.138;0.138;0.138;1;0
СаратЭн-ао;60;20170309;110000;0.1305;0.131;0.13;0.131;22;0
СаратЭн-ао;60;20170309;120000;0.1295;0.1295;0.122;0.1295;18;0
СаратЭн-ао;60;20170309;130000;0.13;0.135;0.121;0.1255;124;0
СаратЭн-ао;60;20170309;140000;0.1205;0.121;0.12;0.12;37;0
СаратЭн-ао;60;20170309;160000;0.1235;0.1235;0.1235;0.1235;1;0
СаратЭн-ао;60;20170309;170000;0.121;0.121;0.121;0.121;8;0
СаратЭн-ао;60;20170309;180000;0.121;0.1225;0.1175;0.1225;9;0
СаратЭн-ао;60;20170310;090000;0.1275;0.1275;0.1275;0.1275;2;0
СаратЭн-ао;60;20170310;100000;0.12;0.12;0.12;0.12;17;0
СаратЭн-ао;60;20170310;110000;0.1185;0.1195;0.1185;0.1195;27;0
СаратЭн-ао;60;20170310;120000;0.1195;0.1275;0.1195;0.1245;174;0
СаратЭн-ао;60;20170310;130000;0.124;0.1245;0.1205;0.1205;10;0
СаратЭн-ао;60;20170310;150000;0.1215;0.1215;0.121;0.121;2;0
СаратЭн-ао;60;20170310;160000;0.1205;0.1205;0.1205;0.1205;1;0
СаратЭн-ао;60;20170310;170000;0.1215;0.1245;0.1215;0.1245;29;0
СаратЭн-ао;60;20170310;180000;0.124;0.124;0.124;0.124;5;0
СаратЭн-ао;60;20170313;100000;0.1235;0.1265;0.1235;0.1265;5;0
