<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СаратЭн-ап;60;20170124;120000;0.104;0.104;0.102;0.102;10;0
СаратЭн-ап;60;20170124;130000;0.103;0.104;0.103;0.104;2;0
СаратЭн-ап;60;20170124;150000;0.103;0.1035;0.102;0.1035;10;0
СаратЭн-ап;60;20170124;160000;0.1035;0.1045;0.1035;0.1045;3;0
СаратЭн-ап;60;20170124;170000;0.1035;0.1045;0.1015;0.102;42;0
СаратЭн-ап;60;20170124;180000;0.1025;0.1035;0.1025;0.1035;3;0
СаратЭн-ап;60;20170125;100000;0.103;0.1035;0.102;0.1035;9;0
СаратЭн-ап;60;20170125;110000;0.103;0.103;0.1025;0.1025;12;0
СаратЭн-ап;60;20170125;120000;0.103;0.103;0.102;0.102;11;0
СаратЭн-ап;60;20170125;130000;0.1025;0.1025;0.102;0.102;12;0
СаратЭн-ап;60;20170125;140000;0.102;0.102;0.1015;0.1015;19;0
СаратЭн-ап;60;20170125;150000;0.102;0.102;0.1015;0.1015;12;0
СаратЭн-ап;60;20170125;160000;0.102;0.1025;0.102;0.1025;4;0
СаратЭн-ап;60;20170125;170000;0.1025;0.1025;0.1025;0.1025;1;0
СаратЭн-ап;60;20170125;180000;0.1025;0.1025;0.1015;0.1025;24;0
СаратЭн-ап;60;20170126;110000;0.102;0.102;0.1;0.1005;111;0
СаратЭн-ап;60;20170126;120000;0.101;0.101;0.1005;0.1005;51;0
СаратЭн-ап;60;20170126;130000;0.101;0.101;0.101;0.101;1;0
СаратЭн-ап;60;20170126;140000;0.1015;0.1015;0.1015;0.1015;1;0
СаратЭн-ап;60;20170126;150000;0.101;0.1015;0.1;0.1015;24;0
СаратЭн-ап;60;20170126;170000;0.1015;0.1015;0.1015;0.1015;1;0
СаратЭн-ап;60;20170126;180000;0.1015;0.1015;0.1015;0.1015;3;0
СаратЭн-ап;60;20170127;090000;0.102;0.102;0.102;0.102;1;0
СаратЭн-ап;60;20170127;100000;0.1015;0.102;0.1015;0.102;36;0
СаратЭн-ап;60;20170127;110000;0.102;0.102;0.102;0.102;5;0
СаратЭн-ап;60;20170127;120000;0.102;0.102;0.1015;0.1015;8;0
СаратЭн-ап;60;20170127;130000;0.101;0.101;0.0995;0.1;75;0
СаратЭн-ап;60;20170127;140000;0.1005;0.101;0.0995;0.101;53;0
СаратЭн-ап;60;20170127;150000;0.101;0.1015;0.101;0.1015;16;0
СаратЭн-ап;60;20170127;170000;0.101;0.1015;0.1;0.1005;52;0
СаратЭн-ап;60;20170127;180000;0.101;0.1015;0.101;0.1015;5;0
СаратЭн-ап;60;20170130;100000;0.101;0.101;0.097;0.1;200;0
СаратЭн-ап;60;20170130;110000;0.1;0.1;0.1;0.1;8;0
СаратЭн-ап;60;20170130;120000;0.1005;0.1025;0.1005;0.1025;101;0
СаратЭн-ап;60;20170130;130000;0.1015;0.1025;0.101;0.101;269;0
СаратЭн-ап;60;20170130;140000;0.102;0.102;0.102;0.102;1;0
СаратЭн-ап;60;20170130;150000;0.102;0.102;0.102;0.102;1;0
СаратЭн-ап;60;20170130;160000;0.1015;0.1015;0.101;0.1015;11;0
СаратЭн-ап;60;20170130;180000;0.1015;0.1035;0.1015;0.1035;67;0
СаратЭн-ап;60;20170131;100000;0.104;0.104;0.1035;0.1035;7;0
СаратЭн-ап;60;20170131;110000;0.1035;0.104;0.1035;0.104;8;0
СаратЭн-ап;60;20170131;120000;0.103;0.105;0.1025;0.105;80;0
СаратЭн-ап;60;20170131;140000;0.1045;0.105;0.104;0.104;9;0
СаратЭн-ап;60;20170131;160000;0.1045;0.1055;0.103;0.1045;37;0
СаратЭн-ап;60;20170131;170000;0.105;0.105;0.1035;0.1035;3;0
СаратЭн-ап;60;20170131;180000;0.1035;0.104;0.1035;0.104;2;0
СаратЭн-ап;60;20170201;100000;0.1035;0.1035;0.1025;0.1025;38;0
СаратЭн-ап;60;20170201;110000;0.103;0.103;0.1015;0.1015;54;0
СаратЭн-ап;60;20170201;120000;0.103;0.103;0.102;0.102;39;0
СаратЭн-ап;60;20170201;130000;0.102;0.104;0.102;0.103;61;0
СаратЭн-ап;60;20170201;140000;0.1025;0.1025;0.1025;0.1025;1;0
СаратЭн-ап;60;20170201;150000;0.103;0.104;0.103;0.104;52;0
СаратЭн-ап;60;20170201;160000;0.104;0.105;0.104;0.104;21;0
СаратЭн-ап;60;20170201;170000;0.1035;0.1035;0.1015;0.102;77;0
СаратЭн-ап;60;20170201;180000;0.102;0.103;0.1015;0.103;53;0
СаратЭн-ап;60;20170202;090000;0.101;0.101;0.101;0.101;1;0
СаратЭн-ап;60;20170202;100000;0.102;0.102;0.1015;0.1015;9;0
СаратЭн-ап;60;20170202;110000;0.102;0.102;0.1015;0.1015;30;0
СаратЭн-ап;60;20170202;120000;0.1025;0.103;0.1025;0.103;7;0
СаратЭн-ап;60;20170202;140000;0.102;0.102;0.1015;0.1015;5;0
СаратЭн-ап;60;20170202;150000;0.1025;0.103;0.1025;0.103;6;0
СаратЭн-ап;60;20170202;170000;0.1025;0.104;0.1025;0.104;119;0
СаратЭн-ап;60;20170202;180000;0.1035;0.104;0.1035;0.104;9;0
СаратЭн-ап;60;20170203;100000;0.1035;0.1035;0.103;0.103;12;0
СаратЭн-ап;60;20170203;130000;0.103;0.103;0.103;0.103;10;0
СаратЭн-ап;60;20170203;140000;0.1035;0.1035;0.1035;0.1035;4;0
СаратЭн-ап;60;20170203;150000;0.1035;0.1035;0.1035;0.1035;5;0
СаратЭн-ап;60;20170203;160000;0.1025;0.1025;0.1015;0.1015;48;0
СаратЭн-ап;60;20170203;180000;0.103;0.1035;0.103;0.1035;2;0
СаратЭн-ап;60;20170206;100000;0.1025;0.1025;0.101;0.1015;191;0
СаратЭн-ап;60;20170206;110000;0.102;0.102;0.102;0.102;1;0
СаратЭн-ап;60;20170206;120000;0.1015;0.1015;0.1015;0.1015;35;0
СаратЭн-ап;60;20170206;130000;0.1015;0.1015;0.1015;0.1015;5;0
СаратЭн-ап;60;20170206;140000;0.102;0.102;0.102;0.102;2;0
СаратЭн-ап;60;20170206;160000;0.102;0.102;0.102;0.102;1;0
СаратЭн-ап;60;20170206;180000;0.1025;0.1025;0.1025;0.1025;2;0
СаратЭн-ап;60;20170207;100000;0.101;0.1025;0.101;0.1015;22;0
СаратЭн-ап;60;20170207;110000;0.102;0.102;0.102;0.102;7;0
СаратЭн-ап;60;20170207;130000;0.102;0.102;0.102;0.102;1;0
СаратЭн-ап;60;20170207;140000;0.102;0.103;0.102;0.103;20;0
СаратЭн-ап;60;20170207;160000;0.1015;0.1025;0.1015;0.1025;24;0
СаратЭн-ап;60;20170207;170000;0.1025;0.1025;0.1025;0.1025;1;0
СаратЭн-ап;60;20170207;180000;0.102;0.102;0.101;0.102;24;0
СаратЭн-ап;60;20170208;100000;0.101;0.102;0.1005;0.102;101;0
СаратЭн-ап;60;20170208;130000;0.1015;0.1015;0.1015;0.1015;2;0
СаратЭн-ап;60;20170208;140000;0.101;0.101;0.101;0.101;1;0
СаратЭн-ап;60;20170208;150000;0.101;0.1015;0.1;0.1;22;0
СаратЭн-ап;60;20170208;160000;0.1005;0.101;0.1;0.101;12;0
СаратЭн-ап;60;20170208;170000;0.1005;0.1005;0.1;0.1;10;0
СаратЭн-ап;60;20170208;180000;0.101;0.1015;0.101;0.1015;7;0
СаратЭн-ап;60;20170209;100000;0.101;0.101;0.101;0.101;1;0
СаратЭн-ап;60;20170209;130000;0.1005;0.1005;0.1005;0.1005;13;0
СаратЭн-ап;60;20170209;140000;0.101;0.101;0.101;0.101;1;0
