<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сахэнер ао;60;20170206;160000;50;50;50;50;3;0
Сахэнер ао;60;20170207;100000;30;30;17.991;17.991;230;0
Сахэнер ао;60;20170207;110000;17.991;17.991;17.991;17.991;236;0
Сахэнер ао;60;20170207;120000;17.991;17.991;17.991;17.991;425;0
Сахэнер ао;60;20170207;130000;17.991;17.991;17.991;17.991;77;0
Сахэнер ао;60;20170207;140000;17.991;17.991;17.991;17.991;18;0
Сахэнер ао;60;20170207;150000;17.991;17.991;17.991;17.991;3;0
Сахэнер ао;60;20170207;160000;17.991;17.991;17.991;17.991;69;0
Сахэнер ао;60;20170207;170000;17.991;17.991;17.991;17.991;1;0
Сахэнер ао;60;20170207;180000;17.991;17.991;17.991;17.991;2;0
Сахэнер ао;60;20170208;100000;10.805;14;10.789;10.789;404;0
Сахэнер ао;60;20170208;110000;10.789;10.789;10.789;10.789;105;0
Сахэнер ао;60;20170208;120000;10.789;10.789;10.789;10.789;2;0
Сахэнер ао;60;20170208;130000;10.789;10.789;10.789;10.789;2;0
Сахэнер ао;60;20170208;140000;10.789;10.789;10.789;10.789;5;0
Сахэнер ао;60;20170208;150000;10.789;10.789;10.789;10.789;33;0
Сахэнер ао;60;20170208;160000;10.789;10.789;10.789;10.789;11;0
Сахэнер ао;60;20170208;170000;10.789;10.789;10.789;10.789;12;0
Сахэнер ао;60;20170208;180000;10.789;10.789;10.789;10.789;1;0
Сахэнер ао;60;20170209;090000;9.71;9.71;9.71;9.71;20;0
Сахэнер ао;60;20170209;100000;7;10.45;6.51;9.5;673;0
Сахэнер ао;60;20170209;110000;9.5;9.5;8.252;9;365;0
Сахэнер ао;60;20170209;120000;9;9;7.537;8;281;0
Сахэнер ао;60;20170209;130000;8;8;7.55;7.8;342;0
Сахэнер ао;60;20170209;140000;7.9;7.9;7.537;7.537;27;0
Сахэнер ао;60;20170209;150000;7.538;7.884;7.302;7.4;136;0
Сахэнер ао;60;20170209;160000;7.45;7.883;7;7.302;360;0
Сахэнер ао;60;20170209;170000;7.759;7.94;7.503;7.504;166;0
Сахэнер ао;60;20170209;180000;7.9;7.95;7.503;7.95;35;0
Сахэнер ао;60;20170210;100000;7.31;8;7.31;7.85;81;0
Сахэнер ао;60;20170210;110000;7.89;7.971;7.89;7.971;17;0
Сахэнер ао;60;20170210;120000;7.844;7.844;7.027;7.106;322;0
Сахэнер ао;60;20170210;130000;7.111;7.298;7.056;7.298;74;0
Сахэнер ао;60;20170210;140000;7.297;7.297;7.064;7.064;20;0
Сахэнер ао;60;20170210;150000;7.249;7.796;7.091;7.26;106;0
Сахэнер ао;60;20170210;160000;7.275;7.744;7.258;7.31;69;0
Сахэнер ао;60;20170210;170000;7.32;7.771;7.302;7.4;18;0
