<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк-п;60;20170124;090000;125;125;125;125;12;0
Сбербанк-п;60;20170124;100000;125;126.81;125;126.81;9031;0
Сбербанк-п;60;20170124;110000;126.81;127.1;126.51;126.92;4863;0
Сбербанк-п;60;20170124;120000;126.93;127.5;126.74;126.97;2416;0
Сбербанк-п;60;20170124;130000;126.94;128.07;126.85;127.34;8841;0
Сбербанк-п;60;20170124;140000;127.28;127.6;127.28;127.53;2536;0
Сбербанк-п;60;20170124;150000;127.54;128.35;127.54;127.68;4492;0
Сбербанк-п;60;20170124;160000;127.68;128;127.31;127.47;3105;0
Сбербанк-п;60;20170124;170000;127.48;127.74;127.1;127.68;2344;0
Сбербанк-п;60;20170124;180000;127.74;128.16;127.7;127.7;3853;0
Сбербанк-п;60;20170125;090000;127.01;127.01;127.01;127.01;200;0
Сбербанк-п;60;20170125;100000;127.92;128.65;127.5;127.62;4902;0
Сбербанк-п;60;20170125;110000;127.53;127.65;127.06;127.4;2216;0
Сбербанк-п;60;20170125;120000;127.4;127.9;127.27;127.73;3832;0
Сбербанк-п;60;20170125;130000;127.7;127.95;127.3;127.54;2747;0
Сбербанк-п;60;20170125;140000;127.49;127.71;127.14;127.55;860;0
Сбербанк-п;60;20170125;150000;127.52;127.88;127.34;127.45;3429;0
Сбербанк-п;60;20170125;160000;127.44;127.86;127.17;127.86;1338;0
Сбербанк-п;60;20170125;170000;127.86;128.19;127.72;127.98;2941;0
Сбербанк-п;60;20170125;180000;127.93;127.97;127.35;127.45;2099;0
Сбербанк-п;60;20170126;100000;128.17;128.49;127.59;127.9;2930;0
Сбербанк-п;60;20170126;110000;127.9;129.26;127.9;129.02;5101;0
Сбербанк-п;60;20170126;120000;129.05;129.68;128.91;128.98;5445;0
Сбербанк-п;60;20170126;130000;129.04;130;128.99;129.81;7682;0
Сбербанк-п;60;20170126;140000;129.86;130.08;129.6;130.02;3268;0
Сбербанк-п;60;20170126;150000;129.97;130.45;129.72;130.12;5037;0
Сбербанк-п;60;20170126;160000;130.02;130.24;129.52;129.91;2955;0
Сбербанк-п;60;20170126;170000;129.92;130.06;129.63;129.75;3589;0
Сбербанк-п;60;20170126;180000;129.8;130.04;129.54;129.94;4620;0
Сбербанк-п;60;20170127;090000;129.95;129.95;129.95;129.95;130;0
Сбербанк-п;60;20170127;100000;129.95;130.48;129.7;129.97;4149;0
Сбербанк-п;60;20170127;110000;129.95;130.27;129.92;129.93;2147;0
Сбербанк-п;60;20170127;120000;129.94;130.5;129.31;130.21;3732;0
Сбербанк-п;60;20170127;130000;130.22;130.33;129.01;129.56;7903;0
Сбербанк-п;60;20170127;140000;129.6;130.49;129.53;130.23;4378;0
Сбербанк-п;60;20170127;150000;130.23;131.14;130.14;130.88;7189;0
Сбербанк-п;60;20170127;160000;130.92;132.1;130.77;131.65;12300;0
Сбербанк-п;60;20170127;170000;131.62;131.95;131.36;131.65;19460;0
Сбербанк-п;60;20170127;180000;131.66;131.95;131.46;131.9;11361;0
Сбербанк-п;60;20170130;090000;131.5;131.5;131.5;131.5;54;0
Сбербанк-п;60;20170130;100000;131.5;131.6;130.79;130.99;6532;0
Сбербанк-п;60;20170130;110000;131.02;132;130.93;131.02;5292;0
Сбербанк-п;60;20170130;120000;131.02;131.15;130.2;130.3;4853;0
Сбербанк-п;60;20170130;130000;130.31;131.31;130.29;130.99;1577;0
Сбербанк-п;60;20170130;140000;130.91;131.91;130.71;131.01;3388;0
Сбербанк-п;60;20170130;150000;131.13;131.24;130.22;130.39;3669;0
Сбербанк-п;60;20170130;160000;130.36;130.7;129.96;130;5283;0
Сбербанк-п;60;20170130;170000;130.01;130.14;129.78;129.78;2803;0
Сбербанк-п;60;20170130;180000;129.78;130.01;129.61;130.01;3956;0
