<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк;60;20170124;090000;167.37;167.37;167.37;167.37;3058;0
Сбербанк;60;20170124;100000;167.38;169.36;167.24;168.98;832002;0
Сбербанк;60;20170124;110000;168.98;169.34;168.12;168.85;570826;0
Сбербанк;60;20170124;120000;168.81;169.17;168.38;168.79;384763;0
Сбербанк;60;20170124;130000;168.74;169.35;168.43;168.56;318500;0
Сбербанк;60;20170124;140000;168.56;168.89;168.33;168.75;220956;0
Сбербанк;60;20170124;150000;168.69;170.35;168.69;170.15;808217;0
Сбербанк;60;20170124;160000;170.15;170.7;169.81;170;549030;0
Сбербанк;60;20170124;170000;170;170.38;169.69;170.25;442043;0
Сбербанк;60;20170124;180000;170.25;170.43;169.88;170.25;410391;0
Сбербанк;60;20170125;090000;170.5;170.5;170.5;170.5;3949;0
Сбербанк;60;20170125;100000;170.36;171;169.9;170.04;550090;0
Сбербанк;60;20170125;110000;170.05;170.29;169.5;170.02;528899;0
Сбербанк;60;20170125;120000;170.02;170.7;169.88;170.44;559476;0
Сбербанк;60;20170125;130000;170.42;170.6;169.91;170.28;230408;0
Сбербанк;60;20170125;140000;170.25;170.45;169.7;170.33;407978;0
Сбербанк;60;20170125;150000;170.27;170.89;170.1;170.1;426893;0
Сбербанк;60;20170125;160000;170.1;171.29;170.08;171.18;521371;0
Сбербанк;60;20170125;170000;171.17;171.3;170.16;170.21;498381;0
Сбербанк;60;20170125;180000;170.16;170.56;169.73;170.26;526863;0
Сбербанк;60;20170126;090000;170.85;170.85;170.85;170.85;6877;0
Сбербанк;60;20170126;100000;170.82;171.08;169.06;169.6;700236;0
Сбербанк;60;20170126;110000;169.6;172.4;169.5;172.15;1411044;0
Сбербанк;60;20170126;120000;172.14;172.93;172.13;172.28;551483;0
Сбербанк;60;20170126;130000;172.28;173.65;172.28;173.56;644196;0
Сбербанк;60;20170126;140000;173.56;173.75;173.2;173.7;308129;0
Сбербанк;60;20170126;150000;173.69;174.3;173.5;174.1;718797;0
Сбербанк;60;20170126;160000;174.1;174.39;173.4;174;506006;0
Сбербанк;60;20170126;170000;174;174.1;173.11;173.34;372395;0
Сбербанк;60;20170126;180000;173.31;173.9;173.22;173.79;391337;0
Сбербанк;60;20170127;090000;173.89;173.89;173.89;173.89;2366;0
Сбербанк;60;20170127;100000;173.81;173.87;173;173.55;430783;0
Сбербанк;60;20170127;110000;173.54;173.99;173.34;173.67;413742;0
Сбербанк;60;20170127;120000;173.66;174.75;173.3;174.55;849014;0
Сбербанк;60;20170127;130000;174.58;175.04;174.06;174.25;665347;0
Сбербанк;60;20170127;140000;174.26;174.73;173.71;174.56;446562;0
Сбербанк;60;20170127;150000;174.56;175.55;174.25;174.99;854323;0
Сбербанк;60;20170127;160000;174.98;176.95;174.6;176.68;1508089;0
Сбербанк;60;20170127;170000;176.69;177.6;175.92;177.2;1053691;0
Сбербанк;60;20170127;180000;177.24;178.92;176.82;178.92;888398;0
Сбербанк;60;20170130;090000;177.5;177.5;177.5;177.5;18644;0
Сбербанк;60;20170130;100000;177.5;177.63;176.5;177.27;856116;0
Сбербанк;60;20170130;110000;177.23;178;176.59;176.59;786132;0
Сбербанк;60;20170130;120000;176.59;176.78;175.67;175.67;489655;0
Сбербанк;60;20170130;130000;175.68;176.15;175.35;175.94;504625;0
Сбербанк;60;20170130;140000;175.98;176.55;175.55;176.05;377482;0
Сбербанк;60;20170130;150000;176.09;176.14;175.04;175.71;303772;0
Сбербанк;60;20170130;160000;175.72;175.99;174.88;175.09;326132;0
Сбербанк;60;20170130;170000;175.09;175.46;174.34;174.48;539361;0
Сбербанк;60;20170130;180000;174.5;174.91;174.24;174.6;391653;0
Сбербанк;60;20170131;090000;174.37;174.37;174.37;174.37;1609;0
Сбербанк;60;20170131;100000;174.37;175.27;174.2;175.1;367930;0
Сбербанк;60;20170131;110000;175.1;175.2;172.07;172.46;1212956;0
Сбербанк;60;20170131;120000;172.45;172.84;172.25;172.44;297030;0
Сбербанк;60;20170131;130000;172.45;172.78;172.3;172.56;215765;0
Сбербанк;60;20170131;140000;172.56;173.17;172.26;172.55;301057;0
Сбербанк;60;20170131;150000;172.55;172.83;172.45;172.66;162256;0
Сбербанк;60;20170131;160000;172.65;174.3;172.38;173.5;807340;0
Сбербанк;60;20170131;170000;173.51;173.92;172.72;173.04;446398;0
Сбербанк;60;20170131;180000;173.04;173.15;172.2;172.2;836327;0
Сбербанк;60;20170201;090000;172.59;172.59;172.59;172.59;5930;0
Сбербанк;60;20170201;100000;172.51;173.35;172.26;172.91;640311;0
Сбербанк;60;20170201;110000;172.95;173.2;171.75;172.45;667615;0
Сбербанк;60;20170201;120000;172.46;172.75;172.33;172.55;313902;0
Сбербанк;60;20170201;130000;172.59;173.78;172.5;173.31;587787;0
Сбербанк;60;20170201;140000;173.31;173.76;172.99;173.73;323663;0
Сбербанк;60;20170201;150000;173.74;173.89;173.39;173.51;313985;0
Сбербанк;60;20170201;160000;173.6;174;173.3;173.95;333821;0
Сбербанк;60;20170201;170000;173.94;174.27;173.49;173.5;489416;0
Сбербанк;60;20170201;180000;173.55;173.9;172.96;173.9;548848;0
Сбербанк;60;20170202;090000;173.94;173.94;173.94;173.94;2258;0
Сбербанк;60;20170202;100000;173.9;174.69;173.72;174.24;423984;0
Сбербанк;60;20170202;110000;174.2;174.23;173.35;173.53;336398;0
Сбербанк;60;20170202;120000;173.53;173.69;172.66;173.61;375896;0
Сбербанк;60;20170202;130000;173.63;174.18;173.62;173.91;344956;0
Сбербанк;60;20170202;140000;173.92;174.04;173.12;173.25;194789;0
Сбербанк;60;20170202;150000;173.27;173.52;172.93;173.1;150684;0
Сбербанк;60;20170202;160000;173.15;173.16;172.3;172.49;464057;0
Сбербанк;60;20170202;170000;172.48;172.85;172.3;172.45;217374;0
Сбербанк;60;20170202;180000;172.42;172.83;171.95;172.83;596047;0
Сбербанк;60;20170203;090000;173.03;173.03;173.03;173.03;3106;0
Сбербанк;60;20170203;100000;173.07;173.45;172.7;172.89;392781;0
Сбербанк;60;20170203;110000;172.9;173.3;172.27;172.74;251610;0
Сбербанк;60;20170203;120000;172.72;173.45;172.65;173.29;218610;0
Сбербанк;60;20170203;130000;173.22;173.9;173.1;173.64;324018;0
Сбербанк;60;20170203;140000;173.64;173.72;173.06;173.25;208231;0
Сбербанк;60;20170203;150000;173.25;173.67;173.19;173.54;230896;0
Сбербанк;60;20170203;160000;173.53;173.87;172.77;173.56;516449;0
Сбербанк;60;20170203;170000;173.53;174.1;173.43;173.74;356409;0
Сбербанк;60;20170203;180000;173.74;174.19;173.35;173.8;972376;0
Сбербанк;60;20170206;090000;174.71;174.71;174.71;174.71;7108;0
Сбербанк;60;20170206;100000;174.3;174.98;173.46;173.93;550425;0
Сбербанк;60;20170206;110000;174.04;174.64;172.7;172.82;639545;0
Сбербанк;60;20170206;120000;172.82;173.47;172.7;173.27;232242;0
