<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СевСт-ао;60;20170124;090000;901.4;901.4;901.4;901.4;5;0
СевСт-ао;60;20170124;100000;901.4;917.9;901.1;913.6;6656;0
СевСт-ао;60;20170124;110000;913.4;916.9;908.5;913.3;5807;0
СевСт-ао;60;20170124;120000;913.4;916.4;910.1;911.1;2676;0
СевСт-ао;60;20170124;130000;911.7;915.1;910.5;912.9;4922;0
СевСт-ао;60;20170124;140000;912.8;919.6;912.1;918.5;4583;0
СевСт-ао;60;20170124;150000;918.9;924.5;918.3;919.7;5641;0
СевСт-ао;60;20170124;160000;919.2;920;916.1;917.4;2696;0
СевСт-ао;60;20170124;170000;917.9;920;915.4;919;3890;0
СевСт-ао;60;20170124;180000;919.2;927.3;917;927.3;7146;0
СевСт-ао;60;20170125;090000;927;927;927;927;100;0
СевСт-ао;60;20170125;100000;927;928.4;917.7;922.5;6679;0
СевСт-ао;60;20170125;110000;922.9;930.6;920.9;929.8;5108;0
СевСт-ао;60;20170125;120000;930.4;943.8;928.6;941.1;7735;0
СевСт-ао;60;20170125;130000;941.5;943;935.1;937.8;2457;0
СевСт-ао;60;20170125;140000;938.5;942.3;937.7;939.5;3202;0
СевСт-ао;60;20170125;150000;939.3;940;930;930.6;4070;0
СевСт-ао;60;20170125;160000;930;937.8;930;937.5;2751;0
СевСт-ао;60;20170125;170000;936.4;940;934.1;935.6;4100;0
СевСт-ао;60;20170125;180000;935.6;938.8;933;934.7;2641;0
СевСт-ао;60;20170126;090000;936.2;936.2;936.2;936.2;20;0
СевСт-ао;60;20170126;100000;937.7;951.3;937.7;947.8;5420;0
СевСт-ао;60;20170126;110000;947.7;949.9;942.2;948.2;4644;0
СевСт-ао;60;20170126;120000;948.9;948.9;935.5;937.1;6654;0
СевСт-ао;60;20170126;130000;937.2;953.6;936.6;952.8;10672;0
СевСт-ао;60;20170126;140000;952.9;960.8;952.8;960.8;26633;0
СевСт-ао;60;20170126;150000;960.9;969;960.1;969;19605;0
СевСт-ао;60;20170126;160000;969;969.8;964.1;967.9;17391;0
СевСт-ао;60;20170126;170000;967.9;974.8;967.3;969.8;9258;0
