<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Селестра;60;20170124;110000;489;489;489;489;1;0
Селестра;60;20170125;130000;493;499;493;499;7;0
Селестра;60;20170125;150000;494;494;489;489;6;0
Селестра;60;20170125;180000;490;490;490;490;93;0
Селестра;60;20170126;140000;494;521;494;499;11;0
Селестра;60;20170126;170000;494;494;490;490;7;0
Селестра;60;20170126;180000;496;496;490;490;2;0
Селестра;60;20170127;100000;427;490;427;490;14;0
Селестра;60;20170127;110000;492;492;492;492;1;0
Селестра;60;20170127;140000;493;493;493;493;20;0
Селестра;60;20170127;160000;494;495;494;495;2;0
Селестра;60;20170127;180000;493;493;493;493;1;0
Селестра;60;20170130;150000;496;511;496;501;10;0
Селестра;60;20170130;160000;501;522;499;509;104;0
Селестра;60;20170130;170000;508;508;508;508;1;0
Селестра;60;20170131;100000;507;507;507;507;1;0
Селестра;60;20170131;110000;506;506;506;506;1;0
Селестра;60;20170131;130000;505;505;400;411;2542;0
Селестра;60;20170131;140000;411;423;400;414;858;0
Селестра;60;20170131;150000;414;426;395;405;1804;0
Селестра;60;20170131;160000;405;415;402;414;370;0
Селестра;60;20170131;170000;411;417;407;415;289;0
Селестра;60;20170131;180000;418;418;407;411;367;0
Селестра;60;20170201;100000;409;417;401;411;58;0
Селестра;60;20170201;110000;406;409;402;409;45;0
Селестра;60;20170201;120000;403;403;402;402;12;0
Селестра;60;20170201;130000;408;408;408;408;1;0
Селестра;60;20170201;140000;408;408;408;408;2;0
Селестра;60;20170201;150000;409;411;409;411;9;0
Селестра;60;20170201;170000;405;405;402;405;44;0
Селестра;60;20170201;180000;404;404;404;404;46;0
Селестра;60;20170202;100000;403;419;392;399;48;0
Селестра;60;20170202;120000;403;411;394;411;80;0
Селестра;60;20170202;130000;404;404;400;404;11;0
Селестра;60;20170202;140000;403;403;403;403;1;0
Селестра;60;20170202;150000;401;401;401;401;1;0
Селестра;60;20170202;160000;404;405;404;405;3;0
Селестра;60;20170202;170000;406;410;406;409;7;0
Селестра;60;20170202;180000;410;410;410;410;1;0
Селестра;60;20170203;100000;409;411;398;403;14;0
Селестра;60;20170203;110000;406;406;406;406;1;0
Селестра;60;20170203;120000;409;409;409;409;1;0
Селестра;60;20170203;140000;403;409;403;409;8;0
Селестра;60;20170203;160000;410;410;410;410;5;0
Селестра;60;20170203;180000;410;410;410;410;30;0
Селестра;60;20170206;100000;398;398;390;390;80;0
Селестра;60;20170206;110000;393;405;393;405;28;0
Селестра;60;20170206;120000;404;404;404;404;1;0
Селестра;60;20170206;130000;400;400;390;390;90;0
Селестра;60;20170206;140000;395;399;395;399;10;0
Селестра;60;20170206;150000;394;394;385;394;104;0
Селестра;60;20170206;160000;393;393;389;389;3;0
Селестра;60;20170206;170000;394;396;392;392;3;0
Селестра;60;20170206;180000;396;397;396;397;3;0
Селестра;60;20170207;100000;406;406;398;398;11;0
Селестра;60;20170207;110000;400;400;400;400;1;0
Селестра;60;20170207;120000;398;398;396;396;10;0
Селестра;60;20170207;130000;396;396;390;395;21;0
Селестра;60;20170207;160000;396;396;394;394;2;0
Селестра;60;20170207;180000;396;396;396;396;1;0
Селестра;60;20170208;110000;396;396;392;392;9;0
Селестра;60;20170208;150000;392;392;392;392;2;0
Селестра;60;20170208;160000;392;399;392;399;50;0
Селестра;60;20170208;170000;394;396;394;396;9;0
Селестра;60;20170208;180000;393;394;393;394;25;0
Селестра;60;20170209;100000;392;392;392;392;1;0
Селестра;60;20170209;110000;391;391;378;382;46;0
Селестра;60;20170209;120000;384;388;373;374;115;0
Селестра;60;20170209;150000;378;378;378;378;1;0
Селестра;60;20170209;160000;375;375;375;375;2;0
Селестра;60;20170209;170000;374;374;374;374;23;0
Селестра;60;20170209;180000;379;379;379;379;1;0
Селестра;60;20170210;100000;382;382;382;382;1;0
Селестра;60;20170210;110000;381;381;381;381;1;0
Селестра;60;20170210;130000;381;381;381;381;1;0
Селестра;60;20170210;160000;376;376;376;376;174;0
Селестра;60;20170210;180000;375;375;365;366;48;0
Селестра;60;20170213;100000;380;389;373;380;26;0
Селестра;60;20170213;110000;379;383;377;383;62;0
Селестра;60;20170213;120000;384;387;384;387;6;0
Селестра;60;20170213;130000;386;386;385;385;4;0
Селестра;60;20170213;140000;388;393;388;393;6;0
