<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Селигдар-п;60;20170124;100000;17.33;17.4;17.2;17.34;122;0
Селигдар-п;60;20170124;110000;17.45;17.46;17.11;17.34;193;0
Селигдар-п;60;20170124;120000;17.21;17.34;17.14;17.34;13;0
Селигдар-п;60;20170124;130000;17.2;17.2;17.1;17.18;78;0
Селигдар-п;60;20170124;140000;17.18;17.28;17;17;671;0
Селигдар-п;60;20170124;150000;17.17;17.17;17.01;17.14;26;0
Селигдар-п;60;20170124;160000;17.14;17.15;17.14;17.15;12;0
Селигдар-п;60;20170124;170000;17.2;17.2;17.1;17.17;35;0
Селигдар-п;60;20170124;180000;17.2;17.2;17.1;17.2;128;0
Селигдар-п;60;20170125;100000;17.11;17.19;17.11;17.19;6;0
Селигдар-п;60;20170125;110000;17.11;17.21;17.11;17.21;37;0
Селигдар-п;60;20170125;120000;17.2;17.3;17.2;17.3;68;0
Селигдар-п;60;20170125;130000;17.32;17.34;17.19;17.28;175;0
Селигдар-п;60;20170125;140000;17.28;17.31;17.2;17.31;15;0
Селигдар-п;60;20170125;150000;17.2;17.2;17.2;17.2;88;0
Селигдар-п;60;20170125;160000;17.2;17.44;17.2;17.44;256;0
Селигдар-п;60;20170125;170000;17.45;17.6;17.34;17.46;160;0
Селигдар-п;60;20170125;180000;17.46;17.5;17.45;17.5;73;0
Селигдар-п;60;20170126;090000;17.46;17.46;17.46;17.46;11;0
Селигдар-п;60;20170126;100000;17.58;17.58;17.23;17.23;153;0
Селигдар-п;60;20170126;110000;17.23;17.29;17.07;17.16;176;0
Селигдар-п;60;20170126;120000;17.19;17.21;17.07;17.21;68;0
Селигдар-п;60;20170126;130000;17.2;17.21;17.17;17.17;28;0
Селигдар-п;60;20170126;140000;17.18;17.18;17.08;17.08;34;0
Селигдар-п;60;20170126;160000;17.25;17.25;17.25;17.25;1;0
Селигдар-п;60;20170126;170000;17.15;17.23;16.96;17.23;148;0
Селигдар-п;60;20170126;180000;17.02;17.02;17;17;47;0
Селигдар-п;60;20170127;090000;17.06;17.06;17.06;17.06;1;0
Селигдар-п;60;20170127;100000;16.95;16.99;16.78;16.84;313;0
Селигдар-п;60;20170127;110000;16.83;16.96;16.82;16.95;78;0
Селигдар-п;60;20170127;120000;16.94;17;16.86;16.99;151;0
Селигдар-п;60;20170127;130000;16.87;16.99;16.87;16.99;4;0
Селигдар-п;60;20170127;140000;16.99;17;16.98;16.98;55;0
Селигдар-п;60;20170127;150000;16.98;16.99;16.98;16.99;175;0
Селигдар-п;60;20170127;160000;17;17.05;17;17.05;46;0
