<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Селигдар;60;20170124;100000;10.37;10.5;10.07;10.2;1212;0
Селигдар;60;20170124;110000;10.28;10.28;10.04;10.2;1017;0
Селигдар;60;20170124;120000;10.2;10.34;10.06;10.18;1466;0
Селигдар;60;20170124;130000;10.26;10.32;10.06;10.1;745;0
Селигдар;60;20170124;140000;10.05;10.26;10.02;10.1;1037;0
Селигдар;60;20170124;150000;10.23;10.35;10.1;10.35;452;0
Селигдар;60;20170124;160000;10.26;10.44;10.25;10.44;404;0
Селигдар;60;20170124;170000;10.44;10.5;10.1;10.1;1158;0
Селигдар;60;20170124;180000;10.25;10.3;10.15;10.3;128;0
Селигдар;60;20170125;100000;10.35;10.57;10.24;10.38;790;0
Селигдар;60;20170125;110000;10.39;10.46;10.15;10.16;1868;0
Селигдар;60;20170125;120000;10.17;10.25;10.16;10.25;5;0
Селигдар;60;20170125;130000;10.24;10.3;10.16;10.29;45;0
Селигдар;60;20170125;140000;10.28;10.36;10.18;10.2;144;0
Селигдар;60;20170125;150000;10.19;10.24;10.15;10.21;503;0
Селигдар;60;20170125;160000;10.2;10.25;10.2;10.25;225;0
Селигдар;60;20170125;170000;10.18;10.3;10.15;10.3;171;0
Селигдар;60;20170125;180000;10.28;10.28;10.15;10.15;969;0
Селигдар;60;20170126;100000;10.2;10.25;9.92;10.19;2100;0
Селигдар;60;20170126;110000;10.11;10.2;10.1;10.1;305;0
Селигдар;60;20170126;120000;10.11;10.23;10.09;10.1;478;0
Селигдар;60;20170126;130000;10.13;10.24;10.1;10.17;144;0
Селигдар;60;20170126;140000;10.11;10.12;10.05;10.05;458;0
Селигдар;60;20170126;150000;10.05;10.1;9.94;10.1;412;0
Селигдар;60;20170126;160000;10.1;10.2;10.1;10.19;621;0
Селигдар;60;20170126;170000;10.19;10.19;10.1;10.15;74;0
Селигдар;60;20170126;180000;10.12;10.17;10.1;10.17;105;0
Селигдар;60;20170127;100000;10.12;10.12;9.99;10.01;560;0
Селигдар;60;20170127;110000;10.01;10.29;10.01;10.21;443;0
Селигдар;60;20170127;120000;10.2;10.34;10.2;10.21;77;0
Селигдар;60;20170127;130000;10.25;10.36;10.21;10.23;204;0
Селигдар;60;20170127;140000;10.22;10.29;10.2;10.28;92;0
Селигдар;60;20170127;150000;10.22;10.24;10.22;10.24;4;0
Селигдар;60;20170127;170000;10.22;10.24;10.2;10.2;24;0
Селигдар;60;20170127;180000;10.2;10.22;10.2;10.21;35;0
Селигдар;60;20170130;100000;10.17;10.24;10.12;10.12;205;0
Селигдар;60;20170130;110000;10.17;10.17;10.17;10.17;1;0
Селигдар;60;20170130;140000;10.18;10.22;10.18;10.22;22;0
Селигдар;60;20170130;150000;10.16;10.16;10.15;10.15;2;0
Селигдар;60;20170130;160000;10.15;10.15;10.1;10.1;479;0
Селигдар;60;20170130;170000;10.11;10.11;10.1;10.1;62;0
Селигдар;60;20170130;180000;10.14;10.24;10.1;10.24;4;0
Селигдар;60;20170131;100000;10.18;10.2;10.15;10.2;391;0
Селигдар;60;20170131;110000;10.2;10.2;10.2;10.2;46;0
Селигдар;60;20170131;120000;10.19;10.28;10.17;10.28;65;0
Селигдар;60;20170131;140000;10.26;10.26;10.26;10.26;1;0
Селигдар;60;20170131;150000;10.28;10.58;10.28;10.5;824;0
Селигдар;60;20170131;160000;10.5;10.5;10.5;10.5;2;0
Селигдар;60;20170131;170000;10.51;10.57;10.51;10.51;43;0
Селигдар;60;20170131;180000;10.57;12;10.57;11.9;3516;0
Селигдар;60;20170201;090000;12;12;12;12;6;0
Селигдар;60;20170201;100000;11.99;11.99;11.3;11.48;512;0
Селигдар;60;20170201;110000;11.48;11.49;10.88;10.88;752;0
Селигдар;60;20170201;120000;11.02;11.25;10.87;11.05;979;0
Селигдар;60;20170201;130000;11.05;11.19;10.96;11.15;339;0
Селигдар;60;20170201;140000;11.2;11.24;11.11;11.22;103;0
Селигдар;60;20170201;150000;11.24;11.91;11.21;11.78;449;0
Селигдар;60;20170201;160000;11.77;11.87;11.52;11.64;158;0
Селигдар;60;20170201;170000;11.64;11.64;11.41;11.58;11;0
Селигдар;60;20170201;180000;11.43;11.5;11.31;11.47;33;0
Селигдар;60;20170202;100000;11.49;11.55;11.05;11.2;254;0
Селигдар;60;20170202;110000;11.2;11.2;11.15;11.18;19;0
Селигдар;60;20170202;120000;11.14;11.18;11;11.15;197;0
Селигдар;60;20170202;130000;11.2;11.21;11.2;11.2;15;0
Селигдар;60;20170202;140000;11.2;11.33;11.2;11.33;47;0
Селигдар;60;20170202;150000;11.33;11.33;11.25;11.25;15;0
Селигдар;60;20170202;160000;11.24;11.24;11.24;11.24;2;0
Селигдар;60;20170202;170000;11.33;11.54;11.33;11.54;31;0
Селигдар;60;20170202;180000;11.4;11.4;11.22;11.3;32;0
Селигдар;60;20170203;100000;11.17;11.45;11.17;11.38;149;0
Селигдар;60;20170203;110000;11.37;11.44;11.37;11.44;6;0
Селигдар;60;20170203;120000;11.4;11.48;11.26;11.26;46;0
Селигдар;60;20170203;130000;11.45;11.55;11.45;11.55;408;0
Селигдар;60;20170203;140000;11.58;11.95;11.56;11.56;1277;0
Селигдар;60;20170203;150000;11.56;11.56;11.47;11.47;256;0
Селигдар;60;20170203;160000;11.58;11.62;11.47;11.62;17;0
Селигдар;60;20170203;170000;11.63;11.95;11.5;11.9;468;0
Селигдар;60;20170203;180000;11.84;11.84;11.55;11.8;6;0
Селигдар;60;20170206;090000;12;12;12;12;1;0
Селигдар;60;20170206;100000;11.84;11.92;11.68;11.88;129;0
Селигдар;60;20170206;110000;11.78;12.2;11.78;12.2;291;0
Селигдар;60;20170206;120000;12.2;13.75;12.2;13.07;4426;0
Селигдар;60;20170206;130000;13.08;13.14;12.88;13;437;0
Селигдар;60;20170206;140000;12.93;13.24;12.89;13.05;266;0
Селигдар;60;20170206;150000;13;13.49;12.75;13.11;1063;0
Селигдар;60;20170206;160000;13.28;13.34;13.16;13.18;226;0
Селигдар;60;20170206;170000;13.18;13.36;12.85;13.2;449;0
Селигдар;60;20170206;180000;13.03;13.34;12.85;13.3;357;0
Селигдар;60;20170207;090000;13.49;13.49;13.49;13.49;1;0
Селигдар;60;20170207;100000;13.48;13.49;12.66;12.88;370;0
Селигдар;60;20170207;110000;12.89;13.18;12.89;12.93;394;0
Селигдар;60;20170207;120000;13.08;13.09;12.67;12.72;291;0
Селигдар;60;20170207;130000;12.83;12.84;12.8;12.8;12;0
Селигдар;60;20170207;140000;12.81;13;12.81;12.92;90;0
Селигдар;60;20170207;150000;12.93;13.04;12.9;13;22;0
Селигдар;60;20170207;160000;13.07;13.15;12.86;13.15;142;0
Селигдар;60;20170207;170000;13.05;13.21;13;13.01;40;0
Селигдар;60;20170207;180000;13.01;13.28;12.96;13.21;63;0
Селигдар;60;20170208;100000;13.08;13.14;12.57;12.75;694;0
Селигдар;60;20170208;110000;12.71;12.73;12.59;12.73;253;0
Селигдар;60;20170208;120000;12.78;13.1;12.78;13.05;424;0
Селигдар;60;20170208;130000;12.99;13.08;12.99;13.08;31;0
Селигдар;60;20170208;140000;13.06;13.06;13.05;13.05;35;0
Селигдар;60;20170208;150000;13.03;13.03;12.99;12.99;66;0
Селигдар;60;20170208;160000;12.99;12.99;12.99;12.99;13;0
Селигдар;60;20170208;170000;13.04;13.09;13;13.09;198;0
Селигдар;60;20170208;180000;13.18;13.2;12.99;13.2;203;0
Селигдар;60;20170209;100000;13.04;13.18;13.04;13.05;14;0
Селигдар;60;20170209;110000;13.04;13.04;12.99;13.04;126;0
Селигдар;60;20170209;120000;13;13.14;13;13.14;9;0
Селигдар;60;20170209;130000;13.15;13.2;13;13.2;261;0
Селигдар;60;20170209;140000;13.02;13.03;12.9;12.9;865;0
Селигдар;60;20170209;150000;12.87;12.87;12.7;12.72;170;0
Селигдар;60;20170209;160000;12.82;12.88;12.45;12.78;972;0
Селигдар;60;20170209;170000;12.8;12.88;12.8;12.86;117;0
Селигдар;60;20170209;180000;12.83;12.9;12.77;12.9;119;0
Селигдар;60;20170210;090000;12.67;12.67;12.67;12.67;1;0
Селигдар;60;20170210;100000;12.73;12.85;12.5;12.8;109;0
Селигдар;60;20170210;110000;12.79;12.79;12.74;12.74;21;0
Селигдар;60;20170210;120000;12.72;12.84;12.71;12.84;37;0
Селигдар;60;20170210;130000;12.84;12.87;12.72;12.84;17;0
Селигдар;60;20170210;140000;12.76;12.76;12.56;12.56;492;0
Селигдар;60;20170210;150000;12.62;12.87;12.6;12.87;96;0
Селигдар;60;20170210;160000;12.7;12.71;12.52;12.52;24;0
Селигдар;60;20170210;170000;12.52;12.52;12.43;12.5;644;0
Селигдар;60;20170210;180000;12.58;12.84;12.58;12.84;58;0
Селигдар;60;20170213;100000;12.61;12.61;12.49;12.5;511;0
Селигдар;60;20170213;110000;12.45;12.5;12.09;12.3;421;0
Селигдар;60;20170213;120000;12.3;12.42;12.15;12.35;239;0
Селигдар;60;20170213;130000;12.33;12.33;12.3;12.3;5;0
Селигдар;60;20170213;140000;12.3;12.3;12.3;12.3;2;0
Селигдар;60;20170213;150000;12.23;12.23;12;12.16;1028;0
Селигдар;60;20170213;160000;12.05;12.13;11.93;12.1;176;0
Селигдар;60;20170213;170000;12.02;12.1;12;12.1;56;0
Селигдар;60;20170213;180000;12.15;12.42;12.15;12.3;357;0
Селигдар;60;20170214;100000;12.16;12.48;11.79;12.48;1022;0
Селигдар;60;20170214;110000;12.39;12.73;12.36;12.58;332;0
Селигдар;60;20170214;120000;12.54;12.54;12.31;12.34;547;0
Селигдар;60;20170214;130000;12.31;12.31;12.08;12.23;119;0
Селигдар;60;20170214;140000;12.22;12.23;12.08;12.08;18;0
Селигдар;60;20170214;150000;12.2;12.2;12.07;12.07;7;0
Селигдар;60;20170214;160000;12.17;12.3;12.1;12.1;69;0
Селигдар;60;20170214;170000;12.25;12.25;12.24;12.25;12;0
Селигдар;60;20170214;180000;12.14;12.14;12.02;12.08;87;0
Селигдар;60;20170215;100000;12.02;12.02;11.7;11.7;438;0
Селигдар;60;20170215;110000;11.69;11.9;11.69;11.9;133;0
Селигдар;60;20170215;120000;11.88;11.9;11.7;11.73;141;0
Селигдар;60;20170215;130000;11.75;11.75;11.65;11.69;71;0
Селигдар;60;20170215;140000;11.69;11.81;11.66;11.81;521;0
Селигдар;60;20170215;150000;11.72;11.72;11.7;11.71;532;0
Селигдар;60;20170215;160000;11.7;11.7;11.66;11.66;22;0
Селигдар;60;20170215;170000;11.78;11.78;11.78;11.78;3;0
Селигдар;60;20170215;180000;11.8;11.8;11.78;11.78;24;0
Селигдар;60;20170216;100000;11.82;11.82;11.36;11.4;440;0
Селигдар;60;20170216;110000;11.4;11.48;11.37;11.43;43;0
Селигдар;60;20170216;120000;11.42;11.61;11.37;11.61;189;0
Селигдар;60;20170216;130000;11.5;11.5;11.49;11.5;12;0
Селигдар;60;20170216;140000;11.5;11.5;11.49;11.49;2;0
Селигдар;60;20170216;150000;11.5;11.5;11.5;11.5;1;0
Селигдар;60;20170216;160000;11.5;11.5;11.5;11.5;1;0
Селигдар;60;20170216;170000;11.57;11.58;11.57;11.58;5;0
Селигдар;60;20170216;180000;11.52;11.57;11.47;11.55;12;0
