<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СибГост ао;60;20170124;100000;1.85;1.85;1.82;1.82;127;0
СибГост ао;60;20170124;110000;1.84;1.84;1.83;1.84;209;0
СибГост ао;60;20170124;140000;1.83;1.84;1.83;1.84;277;0
СибГост ао;60;20170124;160000;1.81;1.81;1.75;1.8;75;0
СибГост ао;60;20170124;170000;1.79;1.79;1.75;1.75;19;0
СибГост ао;60;20170124;180000;1.79;1.84;1.75;1.79;37;0
СибГост ао;60;20170125;110000;1.78;1.78;1.76;1.76;2;0
СибГост ао;60;20170125;130000;1.79;1.8;1.79;1.8;3;0
СибГост ао;60;20170125;170000;1.8;1.8;1.8;1.8;1;0
СибГост ао;60;20170125;180000;1.77;1.77;1.77;1.77;1;0
СибГост ао;60;20170126;100000;1.78;1.78;1.78;1.78;1;0
СибГост ао;60;20170126;110000;1.77;1.77;1.76;1.76;5;0
СибГост ао;60;20170126;120000;1.77;1.78;1.77;1.78;74;0
СибГост ао;60;20170126;160000;1.76;1.76;1.75;1.75;5;0
СибГост ао;60;20170126;170000;1.75;1.75;1.75;1.75;95;0
СибГост ао;60;20170126;180000;1.75;1.75;1.75;1.75;9;0
СибГост ао;60;20170127;100000;1.76;1.76;1.76;1.76;41;0
СибГост ао;60;20170127;120000;1.74;1.74;1.7;1.74;9;0
СибГост ао;60;20170130;100000;1.73;1.73;1.73;1.73;1;0
СибГост ао;60;20170130;160000;1.75;1.75;1.75;1.75;3;0
СибГост ао;60;20170130;170000;1.74;1.74;1.74;1.74;1;0
СибГост ао;60;20170131;110000;1.74;1.75;1.74;1.75;20;0
СибГост ао;60;20170131;120000;1.73;1.73;1.73;1.73;2;0
СибГост ао;60;20170131;140000;1.74;1.74;1.68;1.71;21;0
СибГост ао;60;20170131;150000;1.72;1.75;1.72;1.75;8;0
СибГост ао;60;20170131;170000;1.72;1.72;1.72;1.72;5;0
СибГост ао;60;20170131;180000;1.72;1.72;1.72;1.72;1;0
СибГост ао;60;20170201;100000;1.74;1.74;1.73;1.73;14;0
СибГост ао;60;20170201;110000;1.73;1.73;1.73;1.73;17;0
СибГост ао;60;20170201;150000;1.74;1.74;1.74;1.74;91;0
СибГост ао;60;20170202;100000;1.74;1.74;1.72;1.74;8;0
СибГост ао;60;20170202;150000;1.71;1.71;1.68;1.68;45;0
СибГост ао;60;20170202;170000;1.72;1.73;1.72;1.73;10;0
СибГост ао;60;20170203;120000;1.74;1.75;1.74;1.75;2;0
СибГост ао;60;20170203;140000;1.72;1.72;1.67;1.67;74;0
СибГост ао;60;20170203;160000;1.69;1.69;1.69;1.69;2;0
СибГост ао;60;20170203;170000;1.69;1.69;1.69;1.69;1;0
