<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Синерг. ао;60;20170124;180000;616;616;616;616;1;0
Синерг. ао;60;20170130;140000;621;622;621;622;2;0
Синерг. ао;60;20170201;160000;610;610;610;610;1;0
Синерг. ао;60;20170202;140000;612;612;610;610;40;0
Синерг. ао;60;20170203;140000;611;611;611;611;5;0
Синерг. ао;60;20170203;170000;612;612;601;601;60;0
Синерг. ао;60;20170206;120000;603;633;600;603;111;0
Синерг. ао;60;20170207;110000;616;630;616;630;5;0
Синерг. ао;60;20170207;130000;611;611;611;611;10;0
Синерг. ао;60;20170207;140000;622;630;622;630;5;0
Синерг. ао;60;20170207;150000;614;614;609;609;25;0
Синерг. ао;60;20170208;120000;607;607;607;607;1;0
Синерг. ао;60;20170208;140000;614;632;614;632;10;0
Синерг. ао;60;20170209;100000;619;620;619;620;2;0
Синерг. ао;60;20170213;100000;611;611;611;611;2;0
Синерг. ао;60;20170213;120000;623;625;623;625;4;0
Синерг. ао;60;20170213;160000;619;619;605;614;5;0
Синерг. ао;60;20170214;100000;613;613;613;613;1;0
Синерг. ао;60;20170214;170000;620;625;620;625;5;0
Синерг. ао;60;20170215;160000;622;622;622;622;1;0
Синерг. ао;60;20170216;100000;613;613;600;600;120;0
Синерг. ао;60;20170216;110000;612;625;612;625;9;0
Синерг. ао;60;20170216;120000;623;623;623;623;2;0
Синерг. ао;60;20170216;140000;613;613;600;611;196;0
Синерг. ао;60;20170217;130000;602;602;602;602;2;0
Синерг. ао;60;20170220;110000;601;601;600;600;100;0
Синерг. ао;60;20170221;110000;601;601;601;601;1;0
Синерг. ао;60;20170221;180000;612;612;612;612;1;0
Синерг. ао;60;20170222;100000;562;562;562;562;9;0
Синерг. ао;60;20170222;110000;616;629;616;629;3;0
Синерг. ао;60;20170222;160000;610;610;610;610;1;0
Синерг. ао;60;20170227;170000;608;608;608;608;1;0
Синерг. ао;60;20170227;180000;611;611;600;600;12;0
Синерг. ао;60;20170228;120000;600;600;600;600;2;0
Синерг. ао;60;20170301;130000;601;601;600;601;48;0
Синерг. ао;60;20170301;150000;601;601;601;601;26;0
Синерг. ао;60;20170301;180000;604;604;604;604;1;0
Синерг. ао;60;20170303;100000;600;600;600;600;4;0
Синерг. ао;60;20170306;180000;609;609;609;609;1;0
Синерг. ао;60;20170307;110000;603;603;600;600;20;0
Синерг. ао;60;20170307;140000;605;605;605;605;22;0
Синерг. ао;60;20170307;160000;604;604;604;604;10;0
Синерг. ао;60;20170309;120000;600;600;600;600;3;0
Синерг. ао;60;20170309;140000;600;600;600;600;1;0
Синерг. ао;60;20170309;150000;600;600;600;600;12;0
Синерг. ао;60;20170309;170000;600;600;600;600;49;0
Синерг. ао;60;20170310;100000;615;615;615;615;9;0
Синерг. ао;60;20170310;110000;615;615;615;615;270;0
Синерг. ао;60;20170310;120000;615;615;615;615;3;0
Синерг. ао;60;20170310;170000;615;615;615;615;9;0
Синерг. ао;60;20170310;180000;615;618;613;618;2014;0
