<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Система ао;60;20170124;090000;24.805;24.805;24.805;24.805;90;0
Система ао;60;20170124;100000;24.84;25.2;24.84;25.185;4673;0
Система ао;60;20170124;110000;25.185;25.2;25;25.04;12004;0
Система ао;60;20170124;120000;25.02;25.05;24.97;25;33935;0
Система ао;60;20170124;130000;24.995;25.05;24.99;24.99;11558;0
Система ао;60;20170124;140000;25;25;24.955;25;5002;0
Система ао;60;20170124;150000;24.99;25.05;24.99;25.02;8760;0
Система ао;60;20170124;160000;25.015;25.04;24.975;25;6869;0
Система ао;60;20170124;170000;24.995;25.01;24.87;24.89;9325;0
Система ао;60;20170124;180000;24.875;24.97;24.87;24.935;10070;0
Система ао;60;20170125;090000;24.93;24.93;24.93;24.93;30;0
Система ао;60;20170125;100000;24.85;25.05;24.845;25.035;3766;0
Система ао;60;20170125;110000;25.025;25.05;24.98;25.025;10841;0
Система ао;60;20170125;120000;25.025;25.05;25;25.02;7188;0
Система ао;60;20170125;130000;25;25.015;24.945;24.97;2387;0
Система ао;60;20170125;140000;24.97;24.97;24.885;24.94;4922;0
Система ао;60;20170125;150000;24.94;24.97;24.91;24.95;2026;0
Система ао;60;20170125;160000;24.95;25.025;24.945;24.97;10236;0
Система ао;60;20170125;170000;24.96;24.96;24.915;24.915;7175;0
Система ао;60;20170125;180000;24.93;24.93;24.665;24.71;15260;0
Система ао;60;20170126;090000;24.8;24.8;24.8;24.8;50;0
Система ао;60;20170126;100000;24.78;25.04;24.62;24.755;27483;0
Система ао;60;20170126;110000;24.755;24.8;24.56;24.8;9057;0
Система ао;60;20170126;120000;24.8;24.8;24.66;24.71;2674;0
Система ао;60;20170126;130000;24.71;24.775;24.66;24.775;5419;0
Система ао;60;20170126;140000;24.75;24.78;24.69;24.76;3006;0
Система ао;60;20170126;150000;24.75;24.78;24.695;24.78;5589;0
Система ао;60;20170126;160000;24.775;24.78;24.715;24.715;3786;0
Система ао;60;20170126;170000;24.715;24.78;24.655;24.75;4597;0
Система ао;60;20170126;180000;24.755;24.835;24.75;24.835;3138;0
Система ао;60;20170127;090000;24.845;24.845;24.845;24.845;1;0
Система ао;60;20170127;100000;24.79;24.865;24.76;24.77;2577;0
Система ао;60;20170127;110000;24.77;24.785;24.6;24.605;5760;0
Система ао;60;20170127;120000;24.61;24.7;24.43;24.64;8346;0
Система ао;60;20170127;130000;24.65;24.745;24.6;24.69;3516;0
Система ао;60;20170127;140000;24.67;24.67;24.45;24.48;4280;0
Система ао;60;20170127;150000;24.48;24.555;24.44;24.555;2815;0
Система ао;60;20170127;160000;24.555;24.595;24.4;24.425;8678;0
Система ао;60;20170127;170000;24.405;24.5;24.315;24.47;10792;0
Система ао;60;20170127;180000;24.495;24.745;24.465;24.745;9988;0
Система ао;60;20170130;090000;24.84;24.84;24.84;24.84;16;0
Система ао;60;20170130;100000;24.755;24.925;24.66;24.835;13027;0
Система ао;60;20170130;110000;24.81;24.865;24.7;24.735;8410;0
Система ао;60;20170130;120000;24.735;24.745;24.6;24.64;6920;0
Система ао;60;20170130;130000;24.645;24.73;24.62;24.715;1979;0
Система ао;60;20170130;140000;24.73;24.735;24.675;24.675;1535;0
Система ао;60;20170130;150000;24.695;24.7;24.675;24.695;2766;0
Система ао;60;20170130;160000;24.685;24.7;24.655;24.67;2157;0
Система ао;60;20170130;170000;24.68;24.7;24.62;24.63;1514;0
Система ао;60;20170130;180000;24.63;24.655;24.4;24.4;15358;0
Система ао;60;20170131;090000;24.495;24.495;24.495;24.495;12;0
Система ао;60;20170131;100000;24.365;24.57;24.2;24.26;7232;0
Система ао;60;20170131;110000;24.265;24.265;24;24.09;16178;0
Система ао;60;20170131;120000;24.085;24.1;24.025;24.075;5388;0
Система ао;60;20170131;130000;24.075;24.13;24.045;24.09;6639;0
Система ао;60;20170131;140000;24.095;24.14;24.07;24.1;3243;0
Система ао;60;20170131;150000;24.085;24.135;24.025;24.025;3150;0
Система ао;60;20170131;160000;24.035;24.035;23.88;23.925;9052;0
Система ао;60;20170131;170000;23.955;24.035;23.885;24.025;9848;0
Система ао;60;20170131;180000;24.02;24.05;23.88;23.905;8460;0
Система ао;60;20170201;090000;23.98;23.98;23.98;23.98;18;0
Система ао;60;20170201;100000;23.94;24.235;23.795;24.085;11638;0
Система ао;60;20170201;110000;24.08;24.165;23.95;24.005;7828;0
Система ао;60;20170201;120000;24.005;24.285;23.92;24.07;19500;0
Система ао;60;20170201;130000;24.095;24.095;24;24.05;4228;0
Система ао;60;20170201;140000;24.065;24.11;23.995;24.025;4742;0
Система ао;60;20170201;150000;24.005;24.115;23.98;24.09;11662;0
Система ао;60;20170201;160000;24.095;24.1;24.015;24.045;2938;0
Система ао;60;20170201;170000;24.03;24.05;24.005;24.015;3962;0
Система ао;60;20170201;180000;24.03;24.085;23.91;23.995;11811;0
Система ао;60;20170202;090000;23.995;23.995;23.995;23.995;102;0
Система ао;60;20170202;100000;23.94;24.095;23.89;24.035;4399;0
Система ао;60;20170202;110000;24.045;24.065;23.9;23.96;10486;0
Система ао;60;20170202;120000;23.95;23.96;23.915;23.92;1317;0
Система ао;60;20170202;130000;23.915;23.95;23.84;23.95;3975;0
Система ао;60;20170202;140000;23.945;23.96;23.67;23.9;14830;0
Система ао;60;20170202;150000;23.905;23.935;23.61;23.695;14593;0
Система ао;60;20170202;160000;23.675;23.8;23.53;23.785;14041;0
Система ао;60;20170202;170000;23.785;23.785;23.6;23.65;4020;0
Система ао;60;20170202;180000;23.655;23.695;23.53;23.695;5509;0
Система ао;60;20170203;090000;23.7;23.7;23.7;23.7;4;0
Система ао;60;20170203;100000;23.705;24.74;23.7;24.045;26247;0
Система ао;60;20170203;110000;24.05;24.05;24;24;9274;0
Система ао;60;20170203;120000;24;24.05;24;24.02;6734;0
Система ао;60;20170203;130000;24.02;24.17;23.825;23.905;10638;0
Система ао;60;20170203;140000;23.91;24.005;23.895;23.975;3408;0
Система ао;60;20170203;150000;23.955;23.99;23.94;23.975;1763;0
Система ао;60;20170203;160000;23.975;23.98;23.83;23.975;4028;0
Система ао;60;20170203;170000;23.975;24.14;23.975;24.115;5962;0
Система ао;60;20170203;180000;24.115;24.23;24.02;24.19;7305;0
Система ао;60;20170206;090000;24.38;24.38;24.38;24.38;20;0
Система ао;60;20170206;100000;24.29;24.365;24.105;24.12;6009;0
Система ао;60;20170206;110000;24.12;24.165;23.895;23.925;5073;0
Система ао;60;20170206;120000;23.93;24.16;23.93;24.045;2693;0
Система ао;60;20170206;130000;24.045;24.095;23.98;24.025;2033;0
Система ао;60;20170206;140000;24.03;24.075;24.02;24.055;2602;0
Система ао;60;20170206;150000;24.04;24.055;23.88;23.905;3948;0
Система ао;60;20170206;160000;23.91;23.965;23.68;23.705;8628;0
Система ао;60;20170206;170000;23.695;23.75;23.55;23.565;15612;0
Система ао;60;20170206;180000;23.56;23.58;23.415;23.43;18635;0
Система ао;60;20170207;090000;23.495;23.495;23.495;23.495;59;0
Система ао;60;20170207;100000;23.475;23.665;23.415;23.43;14772;0
Система ао;60;20170207;110000;23.425;23.46;23.36;23.385;8495;0
Система ао;60;20170207;120000;23.385;23.65;23.385;23.64;8267;0
Система ао;60;20170207;130000;23.645;23.8;23.63;23.785;12580;0
Система ао;60;20170207;140000;23.795;24;23.765;23.975;15892;0
Система ао;60;20170207;150000;23.98;24.045;23.93;24;8717;0
Система ао;60;20170207;160000;24.015;24.07;23.965;23.99;5247;0
Система ао;60;20170207;170000;24.005;24.025;23.92;23.945;3822;0
Система ао;60;20170207;180000;23.93;24.2;23.805;24.19;25881;0
Система ао;60;20170208;090000;24.3;24.3;24.3;24.3;147;0
Система ао;60;20170208;100000;24.195;24.42;24.115;24.12;21785;0
Система ао;60;20170208;110000;24.12;24.345;24.045;24.165;7625;0
Система ао;60;20170208;120000;24.13;24.19;24.04;24.15;7904;0
Система ао;60;20170208;130000;24.15;24.175;24.08;24.095;2870;0
Система ао;60;20170208;140000;24.095;24.205;24.095;24.145;7616;0
Система ао;60;20170208;150000;24.135;24.17;23.97;24.005;11989;0
Система ао;60;20170208;160000;24.005;24.2;23.995;24.2;9526;0
Система ао;60;20170208;170000;24.2;24.25;23.955;23.955;3701;0
Система ао;60;20170208;180000;23.97;24.185;23.97;24.185;10337;0
Система ао;60;20170209;090000;24.14;24.14;24.14;24.14;10;0
Система ао;60;20170209;100000;24.22;24.27;24.065;24.15;2832;0
Система ао;60;20170209;110000;24.19;24.195;23.855;23.88;5098;0
Система ао;60;20170209;120000;23.88;23.88;23.725;23.845;4332;0
Система ао;60;20170209;130000;23.845;23.865;23.755;23.795;4385;0
Система ао;60;20170209;140000;23.77;23.845;23.72;23.825;6447;0
Система ао;60;20170209;150000;23.81;23.83;23.75;23.755;4449;0
Система ао;60;20170209;160000;23.755;24.105;23.755;24.07;8228;0
Система ао;60;20170209;170000;24.08;24.145;24.05;24.095;4062;0
Система ао;60;20170209;180000;24.115;24.2;24.1;24.2;3854;0
Система ао;60;20170210;090000;24.01;24.01;24.01;24.01;21;0
Система ао;60;20170210;100000;24.015;24.455;24.015;24.26;7269;0
Система ао;60;20170210;110000;24.255;24.295;24.015;24.025;3994;0
Система ао;60;20170210;120000;24.035;24.19;23.955;24.17;3987;0
Система ао;60;20170210;130000;24.17;24.17;24.055;24.095;3583;0
Система ао;60;20170210;140000;24.11;24.115;24.015;24.035;1021;0
Система ао;60;20170210;150000;24.05;24.08;23.92;24.02;2957;0
Система ао;60;20170210;160000;24.02;24.02;23.83;23.85;3858;0
Система ао;60;20170210;170000;23.85;23.85;23.78;23.82;9090;0
Система ао;60;20170210;180000;23.81;23.85;23.64;23.8;8790;0
Система ао;60;20170213;090000;23.85;23.85;23.85;23.85;11;0
Система ао;60;20170213;100000;23.85;23.97;23.8;23.935;2275;0
Система ао;60;20170213;110000;23.95;23.975;23.775;23.935;3122;0
Система ао;60;20170213;120000;23.945;23.975;23.825;23.835;1666;0
Система ао;60;20170213;130000;23.86;23.86;23.5;23.6;9820;0
Система ао;60;20170213;140000;23.605;23.605;23.5;23.54;5090;0
Система ао;60;20170213;150000;23.53;23.595;23.51;23.52;6470;0
Система ао;60;20170213;160000;23.52;23.56;23.51;23.55;2694;0
Система ао;60;20170213;170000;23.53;23.56;23.5;23.53;4898;0
Система ао;60;20170213;180000;23.53;23.78;23.51;23.78;16661;0
