<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Слав-ЯНОСп;60;20170124;100000;17.2;17.2;17.1;17.1;5;0
Слав-ЯНОСп;60;20170124;110000;17;17;17;17;16;0
Слав-ЯНОСп;60;20170124;120000;16.9;17;16.7;16.9;57;0
Слав-ЯНОСп;60;20170124;140000;16.9;16.9;16.9;16.9;1;0
Слав-ЯНОСп;60;20170124;150000;17;17;17;17;2;0
Слав-ЯНОСп;60;20170124;180000;17.1;17.1;17;17;3;0
Слав-ЯНОСп;60;20170125;110000;17;17;17;17;16;0
Слав-ЯНОСп;60;20170125;170000;17.1;17.1;17.1;17.1;1;0
Слав-ЯНОСп;60;20170125;180000;17.2;17.2;17.2;17.2;1;0
Слав-ЯНОСп;60;20170126;100000;17.2;17.2;17.2;17.2;1;0
Слав-ЯНОСп;60;20170126;110000;17.3;17.3;17.3;17.3;1;0
Слав-ЯНОСп;60;20170126;120000;17.1;17.1;17;17;23;0
Слав-ЯНОСп;60;20170126;140000;17.3;17.3;17.3;17.3;1;0
Слав-ЯНОСп;60;20170127;110000;17.3;17.3;17.3;17.3;1;0
Слав-ЯНОСп;60;20170127;150000;17.1;17.1;17.1;17.1;2;0
Слав-ЯНОСп;60;20170127;160000;17.3;17.3;17.3;17.3;1;0
Слав-ЯНОСп;60;20170127;170000;17.4;17.6;17.4;17.6;5;0
Слав-ЯНОСп;60;20170130;100000;17.3;17.3;17.3;17.3;1;0
Слав-ЯНОСп;60;20170130;120000;17.5;17.5;17.5;17.5;3;0
Слав-ЯНОСп;60;20170130;160000;17.5;17.5;17.5;17.5;5;0
Слав-ЯНОСп;60;20170130;170000;17.6;17.9;17.6;17.9;10;0
Слав-ЯНОСп;60;20170130;180000;17.7;17.7;17.3;17.3;25;0
Слав-ЯНОСп;60;20170131;110000;17.2;17.2;17;17;145;0
Слав-ЯНОСп;60;20170131;120000;17.1;17.2;17.1;17.2;5;0
Слав-ЯНОСп;60;20170131;170000;17.1;17.1;16.6;16.6;18;0
Слав-ЯНОСп;60;20170131;180000;16.9;17;16;16.5;144;0
Слав-ЯНОСп;60;20170201;100000;16.5;16.5;16;16;206;0
Слав-ЯНОСп;60;20170201;110000;16.2;16.5;16;16;129;0
Слав-ЯНОСп;60;20170201;120000;16.3;16.3;16;16;68;0
Слав-ЯНОСп;60;20170201;130000;16;16.4;16;16.4;141;0
Слав-ЯНОСп;60;20170201;140000;16.2;16.2;16;16;140;0
