<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Славн-ЯНОС;60;20170125;100000;28.5;28.5;28.5;28.5;10;0
Славн-ЯНОС;60;20170125;110000;28.9;29.8;28.9;29.8;3;0
Славн-ЯНОС;60;20170125;130000;29.3;29.3;28.9;28.9;3;0
Славн-ЯНОС;60;20170125;150000;29.3;29.3;29.3;29.3;1;0
Славн-ЯНОС;60;20170125;170000;29.7;29.8;29.2;29.8;3;0
Славн-ЯНОС;60;20170126;100000;29.6;31.1;29.6;30.1;8;0
Славн-ЯНОС;60;20170126;110000;29.6;29.6;29.6;29.6;1;0
Славн-ЯНОС;60;20170126;150000;29.1;29.1;29.1;29.1;1;0
Славн-ЯНОС;60;20170131;160000;28.8;28.8;28.5;28.5;2;0
Славн-ЯНОС;60;20170131;170000;28.5;28.5;28.2;28.2;4;0
Славн-ЯНОС;60;20170131;180000;28.7;28.7;28.7;28.7;1;0
Славн-ЯНОС;60;20170201;100000;28.2;28.2;28.2;28.2;3;0
Славн-ЯНОС;60;20170201;140000;28.2;28.2;28.2;28.2;1;0
Славн-ЯНОС;60;20170202;110000;28.1;28.1;28.1;28.1;2;0
Славн-ЯНОС;60;20170203;100000;28;28;28;28;2;0
Славн-ЯНОС;60;20170203;110000;28.1;28.1;28.1;28.1;7;0
Славн-ЯНОС;60;20170203;120000;28.5;28.5;28.5;28.5;1;0
Славн-ЯНОС;60;20170203;130000;28.8;28.8;28.8;28.8;1;0
Славн-ЯНОС;60;20170203;140000;28.3;28.3;28.3;28.3;5;0
Славн-ЯНОС;60;20170203;160000;28.3;28.3;28.3;28.3;7;0
Славн-ЯНОС;60;20170203;180000;28.8;28.8;28.8;28.8;1;0
Славн-ЯНОС;60;20170206;110000;28.2;28.2;28.2;28.2;1;0
Славн-ЯНОС;60;20170206;120000;28.2;28.2;28.2;28.2;1;0
Славн-ЯНОС;60;20170210;180000;28;28;28;28;13;0
Славн-ЯНОС;60;20170213;110000;28;28;28;28;11;0
Славн-ЯНОС;60;20170214;110000;27.7;27.7;27.7;27.7;1;0
Славн-ЯНОС;60;20170214;120000;28.1;28.1;28.1;28.1;1;0
Славн-ЯНОС;60;20170215;110000;28.6;28.6;28.6;28.6;1;0
Славн-ЯНОС;60;20170215;120000;28.5;28.5;28.5;28.5;1;0
Славн-ЯНОС;60;20170215;160000;28;28;28;28;2;0
Славн-ЯНОС;60;20170216;100000;27.6;27.6;27.6;27.6;1;0
Славн-ЯНОС;60;20170217;100000;26.7;26.7;26.7;26.7;14;0
Славн-ЯНОС;60;20170217;110000;26.5;26.5;26.5;26.5;1;0
Славн-ЯНОС;60;20170217;160000;26.5;26.5;26.1;26.1;14;0
Славн-ЯНОС;60;20170217;170000;26;26;26;26;2;0
Славн-ЯНОС;60;20170217;180000;27;27;27;27;3;0
Славн-ЯНОС;60;20170221;120000;26.4;26.5;26.4;26.5;6;0
Славн-ЯНОС;60;20170221;130000;26.2;26.2;26.2;26.2;4;0
Славн-ЯНОС;60;20170221;140000;26.1;26.1;25.8;25.8;3;0
Славн-ЯНОС;60;20170221;170000;26.3;26.6;26.3;26.6;5;0
Славн-ЯНОС;60;20170221;180000;26.7;26.7;26.7;26.7;1;0
Славн-ЯНОС;60;20170222;140000;26.1;26.1;25.5;25.5;21;0
Славн-ЯНОС;60;20170222;170000;25.3;25.3;25.3;25.3;1;0
Славн-ЯНОС;60;20170224;100000;25;25;25;25;5;0
Славн-ЯНОС;60;20170227;150000;25.2;25.2;25;25;18;0
Славн-ЯНОС;60;20170227;180000;24.6;24.6;24.6;24.6;1;0
Славн-ЯНОС;60;20170228;110000;24.5;27;23.3;27;20;0
Славн-ЯНОС;60;20170228;140000;24.4;24.4;24.4;24.4;1;0
Славн-ЯНОС;60;20170228;160000;23.9;24;23.9;24;4;0
Славн-ЯНОС;60;20170301;130000;24.6;24.6;24.5;24.5;2;0
Славн-ЯНОС;60;20170302;100000;24.6;26.5;24.6;26.5;3;0
Славн-ЯНОС;60;20170310;150000;26.5;26.5;26.5;26.5;2;0
Славн-ЯНОС;60;20170315;110000;25.2;26;25.2;25.5;5;0
Славн-ЯНОС;60;20170316;170000;24.6;25;24.6;25;2;0
Славн-ЯНОС;60;20170320;150000;26.7;26.7;26.7;26.7;1;0
Славн-ЯНОС;60;20170320;170000;25.4;25.4;25.4;25.4;3;0
Славн-ЯНОС;60;20170320;180000;25.4;26.5;25.4;26.5;5;0
Славн-ЯНОС;60;20170321;100000;26.9;26.9;26.9;26.9;1;0
Славн-ЯНОС;60;20170321;180000;26.3;26.9;26.2;26.9;7;0
Славн-ЯНОС;60;20170327;180000;27;27;27;27;2;0
Славн-ЯНОС;60;20170328;100000;28.5;28.5;28.5;28.5;1;0
Славн-ЯНОС;60;20170328;110000;27;28.5;27;28.5;4;0
Славн-ЯНОС;60;20170329;100000;29;29;29;29;1;0
Славн-ЯНОС;60;20170329;150000;26.5;28;24.3;26;50;0
Славн-ЯНОС;60;20170329;160000;27;27;25.7;25.7;2;0
Славн-ЯНОС;60;20170329;170000;26.1;28;25.9;28;11;0
Славн-ЯНОС;60;20170329;180000;28;28;28;28;11;0
Славн-ЯНОС;60;20170330;110000;27.6;27.7;27.6;27.7;14;0
Славн-ЯНОС;60;20170330;140000;26;26;26;26;30;0
Славн-ЯНОС;60;20170330;170000;27.9;27.9;27.9;27.9;2;0
Славн-ЯНОС;60;20170330;180000;26.5;27.9;26.5;27.9;5;0
Славн-ЯНОС;60;20170331;100000;25.8;28.6;25.8;28.6;5;0
Славн-ЯНОС;60;20170331;110000;27;27;27;27;1;0
Славн-ЯНОС;60;20170331;120000;26.5;26.5;24.7;24.7;14;0
Славн-ЯНОС;60;20170331;170000;25.5;25.5;25.4;25.5;4;0
Славн-ЯНОС;60;20170331;180000;26;28.7;26;28.6;24;0
Славн-ЯНОС;60;20170403;100000;29;29.9;27.2;27.5;6;0
Славн-ЯНОС;60;20170403;120000;28.5;28.5;28.5;28.5;1;0
Славн-ЯНОС;60;20170404;110000;26.7;28.6;25.9;27;8;0
Славн-ЯНОС;60;20170404;180000;28;28;28;28;1;0
Славн-ЯНОС;60;20170405;120000;29.3;29.3;27.9;29;15;0
Славн-ЯНОС;60;20170406;120000;29;29.9;29;29.9;5;0
Славн-ЯНОС;60;20170407;150000;28.9;28.9;28.9;28.9;23;0
Славн-ЯНОС;60;20170418;120000;28.5;28.5;28.5;28.5;4;0
Славн-ЯНОС;60;20170421;140000;27;28.4;27;28.4;5;0
Славн-ЯНОС;60;20170421;150000;27.1;28.5;27;28.4;7;0
Славн-ЯНОС;60;20170425;110000;28.4;28.4;27.5;27.5;4;0
Славн-ЯНОС;60;20170426;150000;28.3;28.3;28.3;28.3;2;0
Славн-ЯНОС;60;20170427;100000;29;29;27;27;6;0
Славн-ЯНОС;60;20170427;110000;27.1;27.1;27;27;2;0
