<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СтаврЭнСб;60;20170124;110000;0.378;0.378;0.375;0.375;2;0
СтаврЭнСб;60;20170124;120000;0.375;0.375;0.36;0.36;16;0
СтаврЭнСб;60;20170124;130000;0.373;0.373;0.36;0.368;216;0
СтаврЭнСб;60;20170124;160000;0.363;0.363;0.36;0.36;128;0
СтаврЭнСб;60;20170124;170000;0.361;0.365;0.361;0.365;112;0
СтаврЭнСб;60;20170124;180000;0.366;0.367;0.366;0.367;2;0
СтаврЭнСб;60;20170125;100000;0.367;0.373;0.351;0.361;215;0
СтаврЭнСб;60;20170125;110000;0.357;0.357;0.357;0.357;5;0
СтаврЭнСб;60;20170125;120000;0.356;0.356;0.355;0.355;3;0
СтаврЭнСб;60;20170125;130000;0.355;0.355;0.355;0.355;10;0
СтаврЭнСб;60;20170125;140000;0.359;0.359;0.359;0.359;12;0
СтаврЭнСб;60;20170125;160000;0.356;0.363;0.35;0.35;361;0
СтаврЭнСб;60;20170125;170000;0.354;0.354;0.354;0.354;1;0
СтаврЭнСб;60;20170126;100000;0.354;0.356;0.353;0.353;7;0
СтаврЭнСб;60;20170126;110000;0.352;0.352;0.352;0.352;30;0
СтаврЭнСб;60;20170126;120000;0.356;0.356;0.356;0.356;2;0
СтаврЭнСб;60;20170126;150000;0.357;0.358;0.357;0.358;3;0
СтаврЭнСб;60;20170126;160000;0.358;0.361;0.358;0.361;5;0
СтаврЭнСб;60;20170126;180000;0.361;0.365;0.361;0.365;9;0
СтаврЭнСб;60;20170127;100000;0.357;0.357;0.351;0.357;8;0
СтаврЭнСб;60;20170127;110000;0.355;0.355;0.348;0.352;47;0
СтаврЭнСб;60;20170127;120000;0.353;0.359;0.353;0.359;17;0
СтаврЭнСб;60;20170127;130000;0.358;0.359;0.358;0.359;10;0
СтаврЭнСб;60;20170127;140000;0.359;0.36;0.359;0.36;15;0
СтаврЭнСб;60;20170127;160000;0.36;0.361;0.36;0.361;20;0
СтаврЭнСб;60;20170127;170000;0.364;0.366;0.364;0.366;8;0
СтаврЭнСб;60;20170127;180000;0.365;0.368;0.36;0.36;21;0
СтаврЭнСб;60;20170130;100000;0.36;0.36;0.36;0.36;4;0
СтаврЭнСб;60;20170130;110000;0.36;0.367;0.36;0.367;35;0
СтаврЭнСб;60;20170130;120000;0.367;0.369;0.364;0.368;5;0
СтаврЭнСб;60;20170130;140000;0.367;0.372;0.365;0.367;20;0
