<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СтаврЭнСбп;60;20170124;100000;0.265;0.265;0.2515;0.2515;2;0
СтаврЭнСбп;60;20170124;110000;0.2495;0.251;0.2495;0.251;3;0
СтаврЭнСбп;60;20170124;120000;0.2485;0.251;0.2485;0.251;4;0
СтаврЭнСбп;60;20170124;130000;0.248;0.248;0.234;0.244;923;0
СтаврЭнСбп;60;20170124;140000;0.245;0.2475;0.2435;0.2435;20;0
СтаврЭнСбп;60;20170124;150000;0.243;0.243;0.2395;0.2395;19;0
СтаврЭнСбп;60;20170124;160000;0.2415;0.2415;0.236;0.236;33;0
СтаврЭнСбп;60;20170124;170000;0.238;0.242;0.238;0.242;32;0
СтаврЭнСбп;60;20170124;180000;0.243;0.243;0.243;0.243;4;0
СтаврЭнСбп;60;20170125;100000;0.243;0.2435;0.243;0.2435;2;0
СтаврЭнСбп;60;20170125;110000;0.2415;0.2415;0.2415;0.2415;1;0
СтаврЭнСбп;60;20170125;120000;0.24;0.24;0.24;0.24;4;0
СтаврЭнСбп;60;20170125;130000;0.241;0.241;0.2395;0.2395;8;0
СтаврЭнСбп;60;20170125;140000;0.242;0.2425;0.24;0.24;5;0
СтаврЭнСбп;60;20170125;170000;0.24;0.24;0.2395;0.2395;11;0
СтаврЭнСбп;60;20170125;180000;0.24;0.24;0.24;0.24;8;0
СтаврЭнСбп;60;20170126;100000;0.241;0.241;0.2395;0.2405;6;0
СтаврЭнСбп;60;20170126;110000;0.24;0.241;0.2395;0.241;22;0
СтаврЭнСбп;60;20170126;120000;0.24;0.24;0.24;0.24;300;0
СтаврЭнСбп;60;20170126;130000;0.2415;0.244;0.2415;0.244;4;0
СтаврЭнСбп;60;20170126;140000;0.244;0.244;0.244;0.244;1;0
СтаврЭнСбп;60;20170126;150000;0.244;0.2445;0.244;0.2445;3;0
СтаврЭнСбп;60;20170126;170000;0.242;0.242;0.2405;0.2405;13;0
СтаврЭнСбп;60;20170126;180000;0.242;0.2465;0.2405;0.2465;37;0
СтаврЭнСбп;60;20170127;100000;0.2445;0.2445;0.239;0.2405;80;0
СтаврЭнСбп;60;20170127;110000;0.241;0.241;0.2405;0.2405;2;0
СтаврЭнСбп;60;20170127;120000;0.241;0.2435;0.241;0.241;25;0
СтаврЭнСбп;60;20170127;130000;0.2425;0.243;0.2425;0.243;2;0
СтаврЭнСбп;60;20170127;140000;0.2425;0.247;0.2425;0.247;328;0
СтаврЭнСбп;60;20170127;150000;0.2475;0.2475;0.247;0.247;16;0
СтаврЭнСбп;60;20170127;160000;0.247;0.2475;0.247;0.247;5;0
СтаврЭнСбп;60;20170127;170000;0.2455;0.247;0.2445;0.247;10;0
СтаврЭнСбп;60;20170127;180000;0.2445;0.2475;0.2445;0.2475;6;0
СтаврЭнСбп;60;20170130;100000;0.2475;0.2475;0.2475;0.2475;10;0
СтаврЭнСбп;60;20170130;110000;0.2475;0.249;0.2475;0.249;15;0
СтаврЭнСбп;60;20170130;120000;0.2495;0.2505;0.2495;0.2505;3;0
СтаврЭнСбп;60;20170130;140000;0.251;0.252;0.251;0.252;8;0
СтаврЭнСбп;60;20170130;150000;0.2505;0.2515;0.249;0.2505;59;0
СтаврЭнСбп;60;20170130;160000;0.2505;0.251;0.25;0.25;42;0
СтаврЭнСбп;60;20170130;170000;0.25;0.25;0.25;0.25;1;0
СтаврЭнСбп;60;20170130;180000;0.251;0.251;0.251;0.251;1;0
СтаврЭнСбп;60;20170131;100000;0.254;0.254;0.2485;0.2485;12;0
СтаврЭнСбп;60;20170131;110000;0.2495;0.2495;0.2495;0.2495;1;0
СтаврЭнСбп;60;20170131;120000;0.2485;0.2485;0.2485;0.2485;2;0
СтаврЭнСбп;60;20170131;130000;0.249;0.249;0.2485;0.2485;3;0
СтаврЭнСбп;60;20170131;170000;0.248;0.249;0.248;0.249;7;0
СтаврЭнСбп;60;20170201;100000;0.2495;0.2495;0.248;0.248;6;0
СтаврЭнСбп;60;20170201;120000;0.2495;0.2495;0.2495;0.2495;1;0
СтаврЭнСбп;60;20170201;130000;0.2475;0.2475;0.2475;0.2475;12;0
СтаврЭнСбп;60;20170201;140000;0.2475;0.2475;0.243;0.247;53;0
СтаврЭнСбп;60;20170201;160000;0.247;0.2475;0.247;0.2475;2;0
СтаврЭнСбп;60;20170201;170000;0.245;0.245;0.2315;0.2415;62;0
СтаврЭнСбп;60;20170201;180000;0.241;0.241;0.239;0.241;18;0
СтаврЭнСбп;60;20170202;100000;0.2425;0.247;0.24;0.244;37;0
СтаврЭнСбп;60;20170202;110000;0.24;0.24;0.24;0.24;12;0
СтаврЭнСбп;60;20170202;120000;0.24;0.24;0.24;0.24;1;0
СтаврЭнСбп;60;20170202;130000;0.24;0.2415;0.24;0.2415;34;0
СтаврЭнСбп;60;20170202;160000;0.24;0.24;0.2385;0.2385;150;0
СтаврЭнСбп;60;20170202;170000;0.2385;0.2385;0.2385;0.2385;52;0
СтаврЭнСбп;60;20170203;110000;0.239;0.239;0.2355;0.236;11;0
СтаврЭнСбп;60;20170203;120000;0.238;0.243;0.238;0.2395;8;0
СтаврЭнСбп;60;20170203;130000;0.241;0.241;0.241;0.241;1;0
СтаврЭнСбп;60;20170203;140000;0.243;0.243;0.243;0.243;1;0
СтаврЭнСбп;60;20170203;160000;0.2425;0.2455;0.2425;0.245;46;0
СтаврЭнСбп;60;20170203;170000;0.246;0.2465;0.246;0.2465;11;0
СтаврЭнСбп;60;20170203;180000;0.2455;0.2465;0.2455;0.2465;4;0
СтаврЭнСбп;60;20170206;100000;0.247;0.2475;0.2465;0.2475;18;0
СтаврЭнСбп;60;20170206;110000;0.2465;0.2475;0.2465;0.2475;6;0
СтаврЭнСбп;60;20170206;120000;0.2465;0.2465;0.2465;0.2465;1;0
СтаврЭнСбп;60;20170206;130000;0.248;0.252;0.248;0.252;86;0
СтаврЭнСбп;60;20170206;140000;0.252;0.252;0.252;0.252;9;0
СтаврЭнСбп;60;20170206;150000;0.2515;0.254;0.2515;0.254;43;0
СтаврЭнСбп;60;20170206;180000;0.253;0.253;0.2505;0.253;3;0
СтаврЭнСбп;60;20170207;100000;0.254;0.255;0.254;0.255;7;0
СтаврЭнСбп;60;20170207;110000;0.2545;0.2545;0.2545;0.2545;24;0
СтаврЭнСбп;60;20170207;120000;0.256;0.256;0.255;0.255;2;0
СтаврЭнСбп;60;20170207;170000;0.2535;0.256;0.2535;0.2545;6;0
СтаврЭнСбп;60;20170207;180000;0.2545;0.2555;0.253;0.255;15;0
СтаврЭнСбп;60;20170208;110000;0.2565;0.257;0.2565;0.257;2;0
СтаврЭнСбп;60;20170208;120000;0.2545;0.2545;0.251;0.251;10;0
СтаврЭнСбп;60;20170208;170000;0.25;0.25;0.247;0.247;18;0
СтаврЭнСбп;60;20170208;180000;0.247;0.2555;0.247;0.2555;554;0
СтаврЭнСбп;60;20170209;120000;0.2535;0.256;0.2535;0.256;3;0
СтаврЭнСбп;60;20170209;130000;0.253;0.2545;0.253;0.2545;2;0
СтаврЭнСбп;60;20170209;160000;0.2545;0.255;0.2545;0.255;2;0
СтаврЭнСбп;60;20170209;170000;0.253;0.253;0.253;0.253;1;0
СтаврЭнСбп;60;20170209;180000;0.2545;0.256;0.2545;0.256;132;0
СтаврЭнСбп;60;20170210;150000;0.255;0.255;0.255;0.255;1;0
СтаврЭнСбп;60;20170210;170000;0.255;0.255;0.255;0.255;1;0
СтаврЭнСбп;60;20170213;100000;0.2585;0.2585;0.2525;0.2525;5;0
СтаврЭнСбп;60;20170213;120000;0.2545;0.255;0.2545;0.255;2;0
СтаврЭнСбп;60;20170213;130000;0.255;0.257;0.255;0.257;24;0
СтаврЭнСбп;60;20170213;160000;0.2555;0.2565;0.2545;0.2545;36;0
СтаврЭнСбп;60;20170213;170000;0.256;0.2565;0.2545;0.2545;26;0
СтаврЭнСбп;60;20170213;180000;0.254;0.2565;0.254;0.2565;3;0
