<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сургнфгз;60;20170124;090000;31.24;31.24;31.24;31.24;45;0
Сургнфгз;60;20170124;100000;31.205;31.545;31.17;31.48;20039;0
Сургнфгз;60;20170124;110000;31.48;31.495;31.19;31.34;32620;0
Сургнфгз;60;20170124;120000;31.34;31.34;31.175;31.225;15231;0
Сургнфгз;60;20170124;130000;31.22;31.225;31.13;31.225;12316;0
Сургнфгз;60;20170124;140000;31.225;31.25;31.145;31.24;10595;0
Сургнфгз;60;20170124;150000;31.23;31.28;31.205;31.26;7267;0
Сургнфгз;60;20170124;160000;31.26;31.27;31.195;31.27;7362;0
Сургнфгз;60;20170124;170000;31.27;31.27;31.195;31.26;5948;0
Сургнфгз;60;20170124;180000;31.26;31.38;31.185;31.38;29565;0
Сургнфгз;60;20170125;090000;31.375;31.375;31.375;31.375;33;0
Сургнфгз;60;20170125;100000;31.31;31.35;31.225;31.28;7284;0
Сургнфгз;60;20170125;110000;31.275;31.305;31.19;31.265;8211;0
Сургнфгз;60;20170125;120000;31.265;31.395;31.185;31.38;11911;0
Сургнфгз;60;20170125;130000;31.37;31.4;31.335;31.395;4173;0
Сургнфгз;60;20170125;140000;31.395;31.49;31.365;31.445;5370;0
Сургнфгз;60;20170125;150000;31.44;31.515;31.39;31.47;9762;0
Сургнфгз;60;20170125;160000;31.445;31.58;31.435;31.58;8263;0
Сургнфгз;60;20170125;170000;31.585;31.87;31.545;31.8;33696;0
Сургнфгз;60;20170125;180000;31.82;31.86;31.725;31.79;17595;0
Сургнфгз;60;20170126;090000;31.78;31.78;31.78;31.78;13;0
Сургнфгз;60;20170126;100000;31.78;31.89;31.73;31.82;17048;0
Сургнфгз;60;20170126;110000;31.82;31.885;31.735;31.78;22701;0
Сургнфгз;60;20170126;120000;31.795;31.98;31.78;31.94;16601;0
Сургнфгз;60;20170126;130000;31.93;32.255;31.92;32.225;46066;0
Сургнфгз;60;20170126;140000;32.21;32.3;32.14;32.285;18954;0
Сургнфгз;60;20170126;150000;32.295;32.565;32.24;32.565;44074;0
Сургнфгз;60;20170126;160000;32.565;32.62;32.39;32.52;21531;0
Сургнфгз;60;20170126;170000;32.535;32.7;32.435;32.655;30273;0
Сургнфгз;60;20170126;180000;32.67;32.73;32.575;32.695;22682;0
Сургнфгз;60;20170127;090000;32.55;32.55;32.55;32.55;49;0
Сургнфгз;60;20170127;100000;32.55;32.705;32.365;32.455;18689;0
Сургнфгз;60;20170127;110000;32.455;32.56;32.375;32.39;15606;0
Сургнфгз;60;20170127;120000;32.385;32.69;32.325;32.67;15523;0
Сургнфгз;60;20170127;130000;32.625;32.65;32.475;32.54;9206;0
Сургнфгз;60;20170127;140000;32.54;32.54;32.4;32.405;4958;0
Сургнфгз;60;20170127;150000;32.405;32.475;32.375;32.4;8189;0
Сургнфгз;60;20170127;160000;32.435;32.685;32.34;32.635;16913;0
Сургнфгз;60;20170127;170000;32.645;32.695;32.465;32.465;12211;0
Сургнфгз;60;20170127;180000;32.51;32.62;32.39;32.525;30664;0
Сургнфгз;60;20170130;090000;32.525;32.525;32.525;32.525;16;0
Сургнфгз;60;20170130;100000;32.505;32.57;32.4;32.45;9561;0
Сургнфгз;60;20170130;110000;32.435;32.51;32.35;32.41;10699;0
Сургнфгз;60;20170130;120000;32.42;32.485;32.355;32.375;4124;0
Сургнфгз;60;20170130;130000;32.36;32.39;32.205;32.37;10074;0
Сургнфгз;60;20170130;140000;32.37;32.4;32.19;32.235;11167;0
Сургнфгз;60;20170130;150000;32.235;32.3;32.165;32.175;8851;0
Сургнфгз;60;20170130;160000;32.17;32.275;32.17;32.24;4675;0
Сургнфгз;60;20170130;170000;32.245;32.385;32.235;32.3;11259;0
Сургнфгз;60;20170130;180000;32.285;32.325;32.16;32.23;11890;0
Сургнфгз;60;20170131;090000;32.3;32.3;32.3;32.3;41;0
Сургнфгз;60;20170131;100000;32.26;32.36;32.19;32.305;5053;0
Сургнфгз;60;20170131;110000;32.335;32.345;32.08;32.135;17607;0
Сургнфгз;60;20170131;120000;32.135;32.305;32.055;32.275;23522;0
Сургнфгз;60;20170131;130000;32.285;32.46;32.24;32.405;28288;0
Сургнфгз;60;20170131;140000;32.42;32.65;32.305;32.52;53378;0
Сургнфгз;60;20170131;150000;32.52;32.6;32.44;32.54;20159;0
Сургнфгз;60;20170131;160000;32.545;32.68;32.485;32.6;19017;0
Сургнфгз;60;20170131;170000;32.6;32.62;32.27;32.315;17156;0
Сургнфгз;60;20170131;180000;32.305;32.355;32.21;32.35;24133;0
Сургнфгз;60;20170201;090000;32.375;32.375;32.375;32.375;17;0
Сургнфгз;60;20170201;100000;32.36;32.56;32.34;32.515;19608;0
Сургнфгз;60;20170201;110000;32.5;32.575;32.395;32.395;20845;0
Сургнфгз;60;20170201;120000;32.395;32.445;32.32;32.38;16908;0
Сургнфгз;60;20170201;130000;32.39;32.485;32.37;32.425;9975;0
Сургнфгз;60;20170201;140000;32.43;32.455;32.39;32.44;5651;0
Сургнфгз;60;20170201;150000;32.44;32.45;32.245;32.35;7386;0
Сургнфгз;60;20170201;160000;32.35;32.375;32.305;32.33;3323;0
Сургнфгз;60;20170201;170000;32.32;32.345;32.06;32.085;18697;0
Сургнфгз;60;20170201;180000;32.085;32.3;31.955;32.3;38457;0
Сургнфгз;60;20170202;090000;32.3;32.3;32.3;32.3;11;0
Сургнфгз;60;20170202;100000;32.295;32.295;32.12;32.17;12020;0
Сургнфгз;60;20170202;110000;32.15;32.165;31.965;31.98;15548;0
Сургнфгз;60;20170202;120000;31.98;32.1;31.85;32.04;22001;0
Сургнфгз;60;20170202;130000;32.025;32.145;32.005;32.115;13111;0
Сургнфгз;60;20170202;140000;32.11;32.11;31.935;32.015;7444;0
Сургнфгз;60;20170202;150000;32.015;32.02;31.89;31.955;14745;0
Сургнфгз;60;20170202;160000;31.93;31.98;31.83;31.915;13281;0
Сургнфгз;60;20170202;170000;31.93;32.02;31.9;31.955;8526;0
Сургнфгз;60;20170202;180000;31.945;31.975;31.805;31.975;24151;0
Сургнфгз;60;20170203;090000;31.91;31.91;31.91;31.91;2;0
Сургнфгз;60;20170203;100000;31.91;32.13;31.9;31.99;15313;0
Сургнфгз;60;20170203;110000;31.98;32.28;31.96;32.24;18667;0
Сургнфгз;60;20170203;120000;32.235;32.605;32.205;32.475;37848;0
Сургнфгз;60;20170203;130000;32.48;32.51;32.345;32.355;11939;0
Сургнфгз;60;20170203;140000;32.41;32.445;32.195;32.34;10629;0
Сургнфгз;60;20170203;150000;32.32;32.43;32.29;32.395;9279;0
Сургнфгз;60;20170203;160000;32.39;32.51;32.295;32.475;15654;0
Сургнфгз;60;20170203;170000;32.49;32.585;32.4;32.535;26264;0
Сургнфгз;60;20170203;180000;32.535;32.665;32.405;32.665;42772;0
Сургнфгз;60;20170206;090000;32.605;32.605;32.605;32.605;33;0
Сургнфгз;60;20170206;100000;32.595;32.87;32.355;32.365;43749;0
Сургнфгз;60;20170206;110000;32.37;32.475;32.315;32.34;17922;0
Сургнфгз;60;20170206;120000;32.365;32.525;32.33;32.475;9562;0
Сургнфгз;60;20170206;130000;32.455;32.525;32.3;32.465;14932;0
Сургнфгз;60;20170206;140000;32.46;32.545;32.435;32.475;2548;0
Сургнфгз;60;20170206;150000;32.49;32.52;32.42;32.445;3637;0
Сургнфгз;60;20170206;160000;32.445;32.465;32.335;32.335;8169;0
Сургнфгз;60;20170206;170000;32.345;32.555;32.33;32.485;16410;0
Сургнфгз;60;20170206;180000;32.45;32.57;32.425;32.57;23002;0
Сургнфгз;60;20170207;090000;32.58;32.58;32.58;32.58;28;0
Сургнфгз;60;20170207;100000;32.57;32.58;32.41;32.41;10240;0
Сургнфгз;60;20170207;110000;32.41;32.555;32.4;32.515;11104;0
Сургнфгз;60;20170207;120000;32.515;32.645;32.475;32.555;17545;0
Сургнфгз;60;20170207;130000;32.555;32.7;32.53;32.69;9454;0
Сургнфгз;60;20170207;140000;32.7;32.745;32.595;32.62;6434;0
Сургнфгз;60;20170207;150000;32.625;32.64;32.57;32.64;5221;0
Сургнфгз;60;20170207;160000;32.64;32.725;32.64;32.68;4959;0
Сургнфгз;60;20170207;170000;32.685;32.79;32.615;32.65;16093;0
Сургнфгз;60;20170207;180000;32.62;32.75;32.595;32.75;17846;0
Сургнфгз;60;20170208;090000;32.65;32.65;32.65;32.65;43;0
Сургнфгз;60;20170208;100000;32.65;32.77;32.605;32.7;10608;0
Сургнфгз;60;20170208;110000;32.69;32.75;32.545;32.565;11896;0
Сургнфгз;60;20170208;120000;32.555;32.845;32.54;32.695;17998;0
Сургнфгз;60;20170208;130000;32.695;32.76;32.635;32.635;10176;0
Сургнфгз;60;20170208;140000;32.65;32.655;32.46;32.525;13627;0
Сургнфгз;60;20170208;150000;32.525;32.59;32.495;32.57;5632;0
Сургнфгз;60;20170208;160000;32.54;32.57;32.385;32.48;13315;0
Сургнфгз;60;20170208;170000;32.48;32.52;32.36;32.43;11213;0
Сургнфгз;60;20170208;180000;32.43;32.675;32.395;32.675;18271;0
Сургнфгз;60;20170209;090000;32.655;32.655;32.655;32.655;44;0
Сургнфгз;60;20170209;100000;32.615;32.635;32.44;32.535;7050;0
Сургнфгз;60;20170209;110000;32.505;32.6;32.365;32.485;7846;0
Сургнфгз;60;20170209;120000;32.48;32.54;32.41;32.495;13957;0
Сургнфгз;60;20170209;130000;32.47;32.495;32.27;32.375;12201;0
Сургнфгз;60;20170209;140000;32.355;32.41;32.3;32.385;10669;0
Сургнфгз;60;20170209;150000;32.39;32.395;32.32;32.335;6757;0
Сургнфгз;60;20170209;160000;32.335;32.38;32.285;32.375;11488;0
Сургнфгз;60;20170209;170000;32.385;32.54;32.34;32.495;14838;0
Сургнфгз;60;20170209;180000;32.465;32.6;32.445;32.525;13830;0
Сургнфгз;60;20170210;090000;32.56;32.56;32.56;32.56;31;0
Сургнфгз;60;20170210;100000;32.56;32.6;32.405;32.435;7393;0
Сургнфгз;60;20170210;110000;32.42;32.465;32.315;32.35;7013;0
Сургнфгз;60;20170210;120000;32.34;32.44;32.18;32.245;9961;0
Сургнфгз;60;20170210;130000;32.23;32.425;32.2;32.36;4704;0
Сургнфгз;60;20170210;140000;32.38;32.41;32.205;32.23;3863;0
Сургнфгз;60;20170210;150000;32.23;32.255;32.055;32.145;8329;0
Сургнфгз;60;20170210;160000;32.15;32.305;32.08;32.105;6221;0
