<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТГК-14;60;20170124;100000;0.00353;0.00353;0.00349;0.00349;211;0
ТГК-14;60;20170124;110000;0.003485;0.003485;0.00345;0.003475;154;0
ТГК-14;60;20170124;130000;0.003465;0.003465;0.003465;0.003465;1;0
ТГК-14;60;20170124;140000;0.00345;0.00347;0.0034;0.0034;63;0
ТГК-14;60;20170124;150000;0.0034;0.00345;0.0034;0.003435;27;0
ТГК-14;60;20170124;160000;0.00343;0.003435;0.00333;0.003415;69;0
ТГК-14;60;20170124;170000;0.00343;0.00345;0.003395;0.003395;411;0
ТГК-14;60;20170124;180000;0.003395;0.00347;0.00339;0.003465;122;0
ТГК-14;60;20170125;090000;0.00331;0.00331;0.00331;0.00331;1;0
ТГК-14;60;20170125;100000;0.003505;0.003505;0.0035;0.0035;2;0
ТГК-14;60;20170125;110000;0.003495;0.0035;0.003495;0.0035;2;0
ТГК-14;60;20170125;130000;0.003455;0.003455;0.003455;0.003455;1;0
ТГК-14;60;20170125;140000;0.003475;0.003475;0.00345;0.00345;7;0
ТГК-14;60;20170125;170000;0.00345;0.00345;0.0034;0.0034;12;0
ТГК-14;60;20170125;180000;0.003405;0.003405;0.003405;0.003405;1;0
ТГК-14;60;20170126;100000;0.00352;0.00352;0.00334;0.00334;44;0
ТГК-14;60;20170126;110000;0.00337;0.003395;0.00335;0.003395;10;0
ТГК-14;60;20170126;120000;0.0034;0.003405;0.0034;0.003405;6;0
ТГК-14;60;20170126;130000;0.003405;0.00345;0.0034;0.00345;29;0
ТГК-14;60;20170126;170000;0.003425;0.003425;0.003405;0.003405;2;0
ТГК-14;60;20170126;180000;0.00341;0.00341;0.00341;0.00341;1;0
ТГК-14;60;20170127;090000;0.003445;0.003445;0.003445;0.003445;1;0
ТГК-14;60;20170127;100000;0.003405;0.003405;0.003405;0.003405;2;0
ТГК-14;60;20170127;110000;0.00341;0.00341;0.00341;0.00341;1;0
ТГК-14;60;20170127;130000;0.00348;0.00348;0.00346;0.00346;9;0
ТГК-14;60;20170127;140000;0.003455;0.0035;0.003455;0.0035;11;0
ТГК-14;60;20170127;150000;0.00347;0.00347;0.00347;0.00347;1;0
ТГК-14;60;20170127;180000;0.00348;0.00348;0.003465;0.003465;8;0
ТГК-14;60;20170130;100000;0.003405;0.003405;0.00338;0.00338;24;0
ТГК-14;60;20170130;110000;0.003365;0.003435;0.003365;0.00343;12;0
ТГК-14;60;20170130;120000;0.003375;0.00342;0.003375;0.00342;3;0
ТГК-14;60;20170130;150000;0.00342;0.00342;0.00342;0.00342;2;0
ТГК-14;60;20170130;170000;0.00341;0.00345;0.00341;0.00344;26;0
ТГК-14;60;20170130;180000;0.003445;0.003445;0.003445;0.003445;7;0
ТГК-14;60;20170131;100000;0.003445;0.003445;0.003415;0.003415;16;0
ТГК-14;60;20170131;130000;0.003425;0.00346;0.003425;0.00346;2;0
ТГК-14;60;20170131;150000;0.003415;0.003415;0.003395;0.003395;107;0
ТГК-14;60;20170131;160000;0.00339;0.00339;0.003385;0.003385;4;0
ТГК-14;60;20170131;180000;0.003385;0.003385;0.003375;0.003375;114;0
ТГК-14;60;20170201;140000;0.003365;0.003365;0.00335;0.00335;63;0
ТГК-14;60;20170201;160000;0.00335;0.00339;0.00335;0.00339;3;0
ТГК-14;60;20170201;180000;0.00339;0.00341;0.00339;0.003395;8;0
ТГК-14;60;20170202;110000;0.003355;0.003355;0.00335;0.00335;35;0
ТГК-14;60;20170202;120000;0.003405;0.003405;0.003405;0.003405;3;0
ТГК-14;60;20170202;150000;0.003405;0.003405;0.003405;0.003405;5;0
ТГК-14;60;20170202;160000;0.00336;0.00336;0.003355;0.003355;12;0
ТГК-14;60;20170202;170000;0.00338;0.00338;0.00338;0.00338;1;0
ТГК-14;60;20170202;180000;0.003405;0.003415;0.003395;0.003405;56;0
ТГК-14;60;20170203;100000;0.0034;0.0034;0.0034;0.0034;11;0
ТГК-14;60;20170203;110000;0.003405;0.003405;0.0034;0.0034;10;0
ТГК-14;60;20170203;130000;0.0034;0.00343;0.0034;0.00343;4;0
ТГК-14;60;20170203;160000;0.00343;0.003445;0.00343;0.003445;20;0
