<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТГК-2 ап;60;20170124;100000;0.00276;0.00288;0.00276;0.00288;2;0
ТГК-2 ап;60;20170124;110000;0.00283;0.00283;0.00277;0.00277;18;0
ТГК-2 ап;60;20170124;120000;0.00281;0.00281;0.0028;0.0028;11;0
ТГК-2 ап;60;20170124;130000;0.00283;0.00287;0.00283;0.00287;17;0
ТГК-2 ап;60;20170124;170000;0.00284;0.00285;0.00284;0.00285;5;0
ТГК-2 ап;60;20170124;180000;0.00285;0.00285;0.00285;0.00285;10;0
ТГК-2 ап;60;20170125;120000;0.00287;0.00289;0.00287;0.00289;16;0
ТГК-2 ап;60;20170125;130000;0.00282;0.00282;0.00282;0.00282;1;0
ТГК-2 ап;60;20170125;180000;0.00287;0.00287;0.00287;0.00287;1;0
ТГК-2 ап;60;20170126;100000;0.00286;0.00286;0.00286;0.00286;1;0
ТГК-2 ап;60;20170126;120000;0.00284;0.00287;0.00283;0.00287;16;0
ТГК-2 ап;60;20170126;150000;0.00283;0.00283;0.00282;0.00282;3;0
ТГК-2 ап;60;20170126;160000;0.00282;0.00282;0.0028;0.0028;8;0
ТГК-2 ап;60;20170126;170000;0.00286;0.00288;0.00286;0.00288;6;0
ТГК-2 ап;60;20170127;110000;0.0029;0.0029;0.00289;0.00289;16;0
ТГК-2 ап;60;20170127;120000;0.00289;0.00289;0.00289;0.00289;6;0
ТГК-2 ап;60;20170127;140000;0.00289;0.00289;0.00289;0.00289;2;0
ТГК-2 ап;60;20170127;150000;0.0029;0.00298;0.00289;0.00298;18;0
ТГК-2 ап;60;20170127;160000;0.00297;0.00297;0.00297;0.00297;82;0
ТГК-2 ап;60;20170127;170000;0.00299;0.00312;0.00297;0.00312;179;0
ТГК-2 ап;60;20170127;180000;0.0031;0.00314;0.00295;0.003;144;0
ТГК-2 ап;60;20170130;110000;0.00309;0.00315;0.00305;0.0031;10;0
ТГК-2 ап;60;20170130;120000;0.0031;0.0031;0.0031;0.0031;8;0
ТГК-2 ап;60;20170130;130000;0.0031;0.0031;0.0031;0.0031;5;0
ТГК-2 ап;60;20170130;150000;0.00308;0.00315;0.00308;0.00315;20;0
ТГК-2 ап;60;20170130;160000;0.00306;0.0031;0.00305;0.00305;4;0
ТГК-2 ап;60;20170130;170000;0.00305;0.00305;0.00305;0.00305;1;0
ТГК-2 ап;60;20170130;180000;0.00305;0.00305;0.00305;0.00305;5;0
