<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТЗА ао;60;20170124;100000;163;163;163;163;50;0
ТЗА ао;60;20170124;140000;163;163;163;163;50;0
ТЗА ао;60;20170124;160000;164;164;164;164;51;0
ТЗА ао;60;20170124;180000;164;164;164;164;50;0
ТЗА ао;60;20170125;100000;161;163;161;163;5;0
ТЗА ао;60;20170125;130000;163;163;163;163;49;0
ТЗА ао;60;20170125;140000;163;163;163;163;7;0
ТЗА ао;60;20170125;160000;163;163;163;163;43;0
ТЗА ао;60;20170126;100000;165;165;165;165;1;0
ТЗА ао;60;20170126;110000;163;163;163;163;1;0
ТЗА ао;60;20170126;120000;165;165;165;165;1;0
ТЗА ао;60;20170126;160000;164;164;164;164;1;0
ТЗА ао;60;20170126;170000;164;168;164;168;103;0
ТЗА ао;60;20170127;100000;170;171;170;170;7;0
ТЗА ао;60;20170127;110000;169;169;169;169;50;0
ТЗА ао;60;20170127;120000;171;172;171;172;131;0
ТЗА ао;60;20170127;130000;172;172;172;172;2;0
ТЗА ао;60;20170127;150000;171;171;171;171;50;0
ТЗА ао;60;20170130;100000;172;175;172;175;11;0
ТЗА ао;60;20170130;110000;175;175;172;175;11;0
ТЗА ао;60;20170130;120000;173;173;170;170;131;0
ТЗА ао;60;20170130;130000;169;169;168;168;2;0
ТЗА ао;60;20170130;160000;170;170;166;166;21;0
ТЗА ао;60;20170201;120000;170;170;170;170;50;0
ТЗА ао;60;20170201;130000;170;172;170;172;9;0
ТЗА ао;60;20170201;140000;169;169;136;136;13;0
ТЗА ао;60;20170201;150000;158;168;158;167;3;0
ТЗА ао;60;20170201;160000;169;176;169;175;73;0
ТЗА ао;60;20170201;170000;175;176;175;176;2;0
ТЗА ао;60;20170202;140000;176;176;176;176;1;0
ТЗА ао;60;20170202;150000;173;173;172;172;2;0
ТЗА ао;60;20170202;170000;171;171;171;171;1;0
ТЗА ао;60;20170202;180000;174;174;174;174;1;0
ТЗА ао;60;20170203;100000;171;210;169;184;54;0
ТЗА ао;60;20170203;110000;183;185;183;184;4;0
ТЗА ао;60;20170203;140000;183;186;183;186;3;0
ТЗА ао;60;20170203;160000;183;183;179;182;6;0
ТЗА ао;60;20170206;100000;179;179;175;178;6;0
ТЗА ао;60;20170206;110000;175;175;175;175;1;0
ТЗА ао;60;20170206;130000;175;175;175;175;6;0
ТЗА ао;60;20170206;140000;178;181;178;180;57;0
ТЗА ао;60;20170206;150000;178;178;175;175;5;0
ТЗА ао;60;20170206;180000;174;174;174;174;1;0
ТЗА ао;60;20170207;100000;174;174;172;172;3;0
ТЗА ао;60;20170207;110000;174;174;174;174;1;0
ТЗА ао;60;20170207;120000;173;173;173;173;1;0
ТЗА ао;60;20170207;180000;172;172;172;172;1;0
ТЗА ао;60;20170208;100000;176;176;176;176;1;0
ТЗА ао;60;20170208;140000;173;173;173;173;1;0
ТЗА ао;60;20170208;150000;172;172;172;172;1;0
ТЗА ао;60;20170209;130000;171;171;155;155;5;0
ТЗА ао;60;20170209;170000;169;169;169;169;1;0
ТЗА ао;60;20170210;100000;160;164;156;164;8;0
ТЗА ао;60;20170213;130000;157;157;156;156;4;0
ТЗА ао;60;20170213;160000;160;160;160;160;1;0
ТЗА ао;60;20170214;100000;169;169;168;168;3;0
ТЗА ао;60;20170214;110000;167;167;166;166;4;0
ТЗА ао;60;20170214;130000;165;165;165;165;1;0
ТЗА ао;60;20170217;110000;165;165;149;149;20;0
ТЗА ао;60;20170217;150000;165;165;165;165;2;0
ТЗА ао;60;20170217;170000;162;162;161;161;2;0
ТЗА ао;60;20170217;180000;160;160;156;159;6;0
ТЗА ао;60;20170220;130000;156;156;155;155;2;0
ТЗА ао;60;20170220;180000;158;162;158;162;5;0
ТЗА ао;60;20170221;100000;163;165;162;162;4;0
ТЗА ао;60;20170221;120000;161;161;161;161;1;0
ТЗА ао;60;20170222;160000;160;160;160;160;1;0
ТЗА ао;60;20170222;180000;159;159;159;159;1;0
ТЗА ао;60;20170224;100000;150;150;145;145;14;0
ТЗА ао;60;20170224;110000;146;146;145;145;3;0
ТЗА ао;60;20170224;120000;145;145;144;144;6;0
ТЗА ао;60;20170224;140000;150;150;150;150;1;0
ТЗА ао;60;20170224;180000;147;147;147;147;1;0
ТЗА ао;60;20170227;100000;158;158;155;155;4;0
ТЗА ао;60;20170227;120000;154;154;154;154;1;0
ТЗА ао;60;20170227;140000;153;153;146;146;4;0
ТЗА ао;60;20170228;110000;145;145;143;143;11;0
ТЗА ао;60;20170228;130000;150;151;150;151;2;0
ТЗА ао;60;20170301;160000;153;153;153;153;5;0
ТЗА ао;60;20170302;100000;154;154;154;154;1;0
ТЗА ао;60;20170306;100000;146;149;144;149;9;0
ТЗА ао;60;20170307;100000;155;155;147;147;3;0
ТЗА ао;60;20170307;180000;146;146;146;146;2;0
ТЗА ао;60;20170309;100000;143;143;143;143;3;0
ТЗА ао;60;20170309;140000;141;141;141;141;1;0
ТЗА ао;60;20170310;100000;139;139;139;139;3;0
ТЗА ао;60;20170314;130000;152;152;152;152;1;0
ТЗА ао;60;20170315;170000;153;153;153;153;1;0
ТЗА ао;60;20170316;170000;148;148;148;148;2;0
ТЗА ао;60;20170317;160000;135;144;135;135;47;0
ТЗА ао;60;20170317;170000;135;135;135;135;15;0
ТЗА ао;60;20170317;180000;135;135;135;135;33;0
