<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТКЗ ао;60;20170124;100000;3.5;4;3.5;4;6035;0
ТКЗ ао;60;20170124;110000;3.5;4;3.5;3.5;5459;0
ТКЗ ао;60;20170124;120000;3.5;4;3.5;4;8978;0
ТКЗ ао;60;20170124;130000;3.5;4;3;3.5;13038;0
ТКЗ ао;60;20170124;140000;3.5;4;3;4;3370;0
ТКЗ ао;60;20170124;150000;3.5;4;3;4;2598;0
ТКЗ ао;60;20170124;160000;3.5;4;3.5;3.5;5226;0
ТКЗ ао;60;20170124;170000;3.5;4;3;4;5405;0
ТКЗ ао;60;20170124;180000;4;4;3;3.5;14927;0
ТКЗ ао;60;20170125;100000;4;4;2.5;3;85283;0
ТКЗ ао;60;20170125;110000;3;3.5;2.5;3.5;71341;0
ТКЗ ао;60;20170125;120000;3;3.5;2.5;3.5;2566;0
ТКЗ ао;60;20170125;130000;3;3.5;2.5;3;147419;0
ТКЗ ао;60;20170125;140000;3;3;2.5;3;1806;0
ТКЗ ао;60;20170125;150000;3;3;2.5;3;5971;0
ТКЗ ао;60;20170125;160000;3;3.5;2.5;3.5;92147;0
ТКЗ ао;60;20170125;170000;3.5;3.5;3;3.5;38543;0
ТКЗ ао;60;20170125;180000;3;3.5;3;3;2246;0
ТКЗ ао;60;20170126;100000;3;3.5;2.5;3;6453;0
ТКЗ ао;60;20170126;110000;3;3;2.5;3;3138;0
ТКЗ ао;60;20170126;120000;3;3;2.5;3;295;0
ТКЗ ао;60;20170126;130000;2.5;3;2.5;2.5;2451;0
ТКЗ ао;60;20170126;140000;3;3;2.5;3;816;0
ТКЗ ао;60;20170126;150000;3;3;2.5;3;68;0
ТКЗ ао;60;20170126;160000;3;3.5;2.5;3;68648;0
ТКЗ ао;60;20170126;170000;3.5;3.5;2.5;3.5;53506;0
ТКЗ ао;60;20170126;180000;3.5;3.5;2.5;3;3309;0
ТКЗ ао;60;20170127;100000;3.5;3.5;2.5;3.5;8065;0
ТКЗ ао;60;20170127;110000;3;3.5;3;3.5;76;0
ТКЗ ао;60;20170127;120000;3;3.5;3;3;1453;0
ТКЗ ао;60;20170127;130000;3.5;3.5;3;3;23;0
ТКЗ ао;60;20170127;140000;3.5;3.5;3;3.5;1302;0
ТКЗ ао;60;20170127;150000;3;3.5;3;3;1318;0
ТКЗ ао;60;20170127;160000;3.5;3.5;3;3.5;1440;0
ТКЗ ао;60;20170127;170000;3;3.5;3;3.5;10140;0
ТКЗ ао;60;20170127;180000;3.5;3.5;2.5;3;9896;0
ТКЗ ао;60;20170130;100000;3;3.5;2.5;3;4765;0
ТКЗ ао;60;20170130;110000;3;3.5;2.5;3;7602;0
ТКЗ ао;60;20170130;120000;3;3;2.5;3;1079;0
ТКЗ ао;60;20170130;130000;3;3.5;2.5;3;2672;0
ТКЗ ао;60;20170130;140000;3;3.5;3;3;8697;0
ТКЗ ао;60;20170130;150000;3;3;2;2.5;135515;0
ТКЗ ао;60;20170130;160000;2.5;2.5;2;2.5;28417;0
ТКЗ ао;60;20170130;170000;2.5;3;2;2.5;31031;0
ТКЗ ао;60;20170130;180000;2.5;3;2;2.5;16400;0
ТКЗ ао;60;20170131;100000;2.5;2.5;2;2.5;7907;0
ТКЗ ао;60;20170131;110000;2.5;2.5;2;2.5;924;0
ТКЗ ао;60;20170131;120000;2;3;2;3;37483;0
ТКЗ ао;60;20170131;130000;2.5;3;2.5;2.5;35798;0
ТКЗ ао;60;20170131;140000;2.5;3;2;2.5;3900;0
ТКЗ ао;60;20170131;150000;2.5;3;2;2.5;13079;0
ТКЗ ао;60;20170131;160000;2.5;3;2;2;7801;0
ТКЗ ао;60;20170131;170000;2.5;3;2;2.5;16181;0
ТКЗ ао;60;20170131;180000;2.5;2.5;2;2.5;336;0
