<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТКЗКК ап;60;20170125;180000;6.14;6.14;6.11;6.11;10;0
ТКЗКК ап;60;20170127;170000;6.61;6.61;6.61;6.61;1;0
ТКЗКК ап;60;20170201;120000;6.65;6.78;6.65;6.78;14;0
ТКЗКК ап;60;20170206;120000;6.45;6.45;6.45;6.45;1;0
ТКЗКК ап;60;20170208;170000;6.14;6.14;6.12;6.12;17;0
ТКЗКК ап;60;20170208;180000;6.12;6.5;6.11;6.5;4;0
ТКЗКК ап;60;20170210;110000;6.49;6.49;6.49;6.49;1;0
ТКЗКК ап;60;20170210;130000;6.49;6.49;6.49;6.49;4;0
ТКЗКК ап;60;20170214;120000;6.69;6.69;6.51;6.51;18;0
ТКЗКК ап;60;20170214;130000;6.5;6.5;6.5;6.5;3;0
ТКЗКК ап;60;20170215;130000;6.69;6.69;6.69;6.69;7;0
ТКЗКК ап;60;20170216;120000;6.49;6.5;6.49;6.5;12;0
ТКЗКК ап;60;20170216;180000;6.54;6.59;6.54;6.59;2;0
ТКЗКК ап;60;20170217;110000;6.49;6.49;6.49;6.49;1;0
ТКЗКК ап;60;20170217;180000;6.5;6.5;6.5;6.5;7;0
ТКЗКК ап;60;20170220;090000;6.5;6.5;6.5;6.5;3;0
ТКЗКК ап;60;20170220;180000;6.55;6.55;6.55;6.55;10;0
ТКЗКК ап;60;20170221;180000;6.5;6.5;6.5;6.5;1;0
ТКЗКК ап;60;20170222;150000;6.21;6.21;6.2;6.2;11;0
ТКЗКК ап;60;20170228;110000;6.16;6.16;6.16;6.16;2;0
ТКЗКК ап;60;20170301;180000;6.33;6.33;6.33;6.33;1;0
ТКЗКК ап;60;20170302;150000;6.39;6.7;6.39;6.56;274;0
ТКЗКК ап;60;20170302;180000;6.48;6.48;6.48;6.48;10;0
ТКЗКК ап;60;20170303;100000;6.43;6.43;6.43;6.43;51;0
ТКЗКК ап;60;20170303;170000;6.44;6.44;6.44;6.44;1;0
ТКЗКК ап;60;20170306;100000;6.45;6.45;6.45;6.45;26;0
ТКЗКК ап;60;20170306;120000;6.4;6.4;6.4;6.4;6;0
ТКЗКК ап;60;20170307;110000;6.21;6.21;6.21;6.21;1;0
ТКЗКК ап;60;20170307;160000;6.46;6.46;6.46;6.46;1;0
ТКЗКК ап;60;20170307;180000;6.46;6.46;6.46;6.46;1;0
ТКЗКК ап;60;20170309;110000;6.46;6.47;6.46;6.47;2;0
