<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТКСМ ао;60;20170124;110000;2.49;2.49;2.49;2.49;2;0
ТКСМ ао;60;20170124;120000;2.485;2.49;2.475;2.48;164;0
ТКСМ ао;60;20170124;130000;2.48;2.59;2.48;2.52;923;0
ТКСМ ао;60;20170124;140000;2.53;2.53;2.53;2.53;49;0
ТКСМ ао;60;20170124;150000;2.525;2.535;2.52;2.535;8;0
ТКСМ ао;60;20170124;160000;2.525;2.525;2.525;2.525;5;0
ТКСМ ао;60;20170124;170000;2.525;2.525;2.52;2.52;20;0
ТКСМ ао;60;20170124;180000;2.525;2.525;2.515;2.515;72;0
ТКСМ ао;60;20170125;100000;2.515;2.515;2.515;2.515;7;0
ТКСМ ао;60;20170125;110000;2.525;2.525;2.205;2.47;5942;0
ТКСМ ао;60;20170125;120000;2.47;2.47;2.46;2.46;925;0
ТКСМ ао;60;20170125;140000;2.465;2.465;2.465;2.465;280;0
ТКСМ ао;60;20170125;150000;2.465;2.47;2.465;2.47;59;0
ТКСМ ао;60;20170125;160000;2.465;2.475;2.46;2.47;120;0
ТКСМ ао;60;20170126;100000;2.63;2.775;2.47;2.47;87;0
ТКСМ ао;60;20170126;110000;2.465;2.47;2.46;2.47;161;0
ТКСМ ао;60;20170126;120000;2.465;2.465;2.465;2.465;22;0
ТКСМ ао;60;20170126;130000;2.465;2.465;2.455;2.46;280;0
ТКСМ ао;60;20170126;140000;2.465;2.465;2.46;2.46;77;0
ТКСМ ао;60;20170126;160000;2.465;2.465;2.45;2.45;1790;0
ТКСМ ао;60;20170126;170000;2.455;2.455;2.45;2.455;19;0
ТКСМ ао;60;20170126;180000;2.45;2.465;2.45;2.465;95;0
ТКСМ ао;60;20170127;120000;2.465;2.465;2.465;2.465;2;0
ТКСМ ао;60;20170127;140000;2.465;2.465;2.465;2.465;5;0
ТКСМ ао;60;20170127;150000;2.47;2.475;2.47;2.475;57;0
ТКСМ ао;60;20170127;160000;2.47;2.5;2.47;2.5;530;0
ТКСМ ао;60;20170127;170000;2.5;2.565;2.485;2.545;997;0
ТКСМ ао;60;20170127;180000;2.545;2.57;2.51;2.525;597;0
ТКСМ ао;60;20170130;100000;2.535;2.535;2.535;2.535;2;0
ТКСМ ао;60;20170130;110000;2.535;2.545;2.51;2.53;330;0
ТКСМ ао;60;20170130;140000;2.515;2.515;2.495;2.495;108;0
ТКСМ ао;60;20170130;150000;2.51;2.51;2.49;2.495;1516;0
ТКСМ ао;60;20170130;170000;2.5;2.525;2.495;2.51;2671;0
ТКСМ ао;60;20170131;100000;2.53;2.56;2.505;2.505;162;0
ТКСМ ао;60;20170131;110000;2.505;2.505;2.5;2.5;34;0
ТКСМ ао;60;20170131;120000;2.505;2.51;2.5;2.5;1276;0
ТКСМ ао;60;20170131;130000;2.505;2.51;2.505;2.51;130;0
ТКСМ ао;60;20170131;150000;2.51;2.51;2.51;2.51;5;0
ТКСМ ао;60;20170131;160000;2.51;2.51;2.505;2.505;118;0
ТКСМ ао;60;20170131;170000;2.51;2.515;2.51;2.515;1227;0
ТКСМ ао;60;20170131;180000;2.515;2.525;2.515;2.525;7;0
ТКСМ ао;60;20170201;100000;2.52;2.525;2.51;2.515;54;0
ТКСМ ао;60;20170201;110000;2.52;2.52;2.515;2.52;176;0
ТКСМ ао;60;20170201;120000;2.51;2.52;2.51;2.51;1331;0
ТКСМ ао;60;20170201;130000;2.52;2.525;2.52;2.525;38;0
ТКСМ ао;60;20170201;140000;2.525;2.525;2.525;2.525;5;0
ТКСМ ао;60;20170201;150000;2.525;2.53;2.525;2.525;38;0
ТКСМ ао;60;20170201;160000;2.525;2.53;2.51;2.515;156;0
ТКСМ ао;60;20170201;170000;2.52;2.54;2.515;2.53;192;0
ТКСМ ао;60;20170201;180000;2.525;2.53;2.52;2.53;64;0
ТКСМ ао;60;20170202;100000;2.53;2.53;2.53;2.53;44;0
ТКСМ ао;60;20170202;120000;2.53;2.53;2.53;2.53;3;0
ТКСМ ао;60;20170202;130000;2.53;2.665;2.53;2.665;700;0
ТКСМ ао;60;20170202;140000;2.635;2.67;2.545;2.55;1265;0
ТКСМ ао;60;20170202;150000;2.555;2.555;2.52;2.53;394;0
ТКСМ ао;60;20170202;160000;2.525;2.525;2.52;2.52;32;0
ТКСМ ао;60;20170202;170000;2.525;2.53;2.515;2.515;610;0
ТКСМ ао;60;20170202;180000;2.515;2.515;2.51;2.51;97;0
ТКСМ ао;60;20170203;100000;2.515;2.53;2.51;2.515;140;0
ТКСМ ао;60;20170203;110000;2.515;2.515;2.51;2.515;50;0
ТКСМ ао;60;20170203;120000;2.52;2.52;2.52;2.52;11;0
ТКСМ ао;60;20170203;130000;2.52;2.52;2.495;2.495;264;0
ТКСМ ао;60;20170203;140000;2.495;2.505;2.49;2.5;767;0
ТКСМ ао;60;20170203;150000;2.5;2.505;2.5;2.505;130;0
ТКСМ ао;60;20170203;160000;2.505;2.505;2.505;2.505;6;0
ТКСМ ао;60;20170203;170000;2.5;2.505;2.5;2.5;76;0
ТКСМ ао;60;20170203;180000;2.5;2.5;2.5;2.5;151;0
ТКСМ ао;60;20170206;110000;2.49;2.5;2.49;2.5;43;0
ТКСМ ао;60;20170206;130000;2.5;2.51;2.5;2.51;576;0
ТКСМ ао;60;20170206;140000;2.5;2.5;2.485;2.49;155;0
