<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТМК ао;60;20170124;090000;81.5;81.5;81.5;81.5;5;0
ТМК ао;60;20170124;100000;81.55;81.75;81.15;81.4;12164;0
ТМК ао;60;20170124;110000;81.3;82.3;81.3;81.9;7608;0
ТМК ао;60;20170124;120000;81.85;81.9;81.6;81.85;841;0
ТМК ао;60;20170124;130000;81.75;82;81.55;81.8;4335;0
ТМК ао;60;20170124;140000;81.7;81.9;81.5;81.65;213;0
ТМК ао;60;20170124;150000;81.6;81.7;81.6;81.65;8540;0
ТМК ао;60;20170124;160000;81.6;81.7;81.5;81.7;396;0
ТМК ао;60;20170124;170000;81.55;82.25;81.5;82.1;2805;0
ТМК ао;60;20170124;180000;82.1;82.3;81.5;82.3;14932;0
ТМК ао;60;20170125;090000;82.5;82.5;82.5;82.5;46;0
ТМК ао;60;20170125;100000;82.55;82.8;82.35;82.4;6736;0
ТМК ао;60;20170125;110000;82.4;82.5;82.3;82.5;1240;0
ТМК ао;60;20170125;120000;82.35;82.5;81.55;82.1;22376;0
ТМК ао;60;20170125;130000;82.2;82.2;81.95;82;394;0
ТМК ао;60;20170125;140000;81.95;82;81.85;81.95;6008;0
ТМК ао;60;20170125;150000;81.95;82;81.85;81.95;120;0
ТМК ао;60;20170125;160000;81.85;81.85;81.65;81.8;3634;0
ТМК ао;60;20170125;170000;81.8;82;81.4;82;4328;0
ТМК ао;60;20170125;180000;82;82;81.6;82;1230;0
ТМК ао;60;20170126;090000;82.25;82.25;82.25;82.25;8;0
ТМК ао;60;20170126;100000;82.3;82.85;82.3;82.55;6029;0
ТМК ао;60;20170126;110000;82.55;82.6;82.5;82.6;1572;0
ТМК ао;60;20170126;120000;82.5;82.6;82.5;82.6;8948;0
ТМК ао;60;20170126;130000;82.6;83.8;82.6;83;32018;0
ТМК ао;60;20170126;140000;83;83;82.95;83;5482;0
ТМК ао;60;20170126;150000;83;83.5;83;83.5;10600;0
ТМК ао;60;20170126;160000;83.4;84;83.4;84;12890;0
ТМК ао;60;20170126;170000;84;84.25;83.55;83.75;23500;0
ТМК ао;60;20170126;180000;83.8;84.35;83.6;84.25;3672;0
ТМК ао;60;20170127;090000;84.25;84.25;84.25;84.25;14;0
ТМК ао;60;20170127;100000;84.3;85;84.05;84.45;8264;0
ТМК ао;60;20170127;110000;84.35;84.5;83.55;83.8;16140;0
ТМК ао;60;20170127;120000;83.7;83.8;83.55;83.8;926;0
ТМК ао;60;20170127;130000;83.7;83.8;83.6;83.8;2517;0
ТМК ао;60;20170127;140000;83.75;83.8;83.6;83.8;2724;0
ТМК ао;60;20170127;150000;83.7;83.9;83.1;83.65;19575;0
ТМК ао;60;20170127;160000;83.65;83.65;83.5;83.6;6972;0
ТМК ао;60;20170127;170000;83.6;84;83.6;83.75;6748;0
ТМК ао;60;20170127;180000;83.75;83.9;83.3;83.8;7251;0
ТМК ао;60;20170130;090000;84.75;84.75;84.75;84.75;300;0
ТМК ао;60;20170130;100000;84.5;84.6;83.75;83.95;7854;0
