<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэКубань;60;20171012;170000;155;155;155;155;1;0
ТНСэКубань;60;20171013;160000;155;155;155;155;1;0
ТНСэКубань;60;20171017;120000;155;155;155;155;1;0
ТНСэКубань;60;20171017;160000;155;155;155;155;1;0
ТНСэКубань;60;20171018;110000;155.5;155.5;155.5;155.5;1;0
ТНСэКубань;60;20171018;120000;155.5;155.5;155.5;155.5;1;0
ТНСэКубань;60;20171018;140000;156;156.5;156;156.5;3;0
ТНСэКубань;60;20171018;160000;156.5;167;156.5;167;26;0
ТНСэКубань;60;20171018;170000;156.5;156.5;156.5;156.5;2;0
ТНСэКубань;60;20171019;130000;157;157;157;157;1;0
ТНСэКубань;60;20171019;170000;157;157;157;157;1;0
ТНСэКубань;60;20171019;180000;160;160;160;160;1;0
ТНСэКубань;60;20171020;100000;150;150;150;150;6;0
ТНСэКубань;60;20171020;160000;150.5;150.5;150;150;4;0
ТНСэКубань;60;20171023;130000;164;164;152.5;152.5;2;0
ТНСэКубань;60;20171023;160000;154;154;154;154;1;0
ТНСэКубань;60;20171024;120000;157;157;157;157;1;0
ТНСэКубань;60;20171024;130000;160;160;160;160;4;0
ТНСэКубань;60;20171024;150000;160;160;160;160;1;0
ТНСэКубань;60;20171025;100000;163;163;163;163;1;0
ТНСэКубань;60;20171025;130000;163;163;163;163;12;0
ТНСэКубань;60;20171025;150000;163;165;163;165;2;0
ТНСэКубань;60;20171026;090000;161.5;161.5;161.5;161.5;1;0
ТНСэКубань;60;20171026;100000;161;162;161;161;13;0
ТНСэКубань;60;20171026;110000;163.5;169;163.5;169;8;0
ТНСэКубань;60;20171026;120000;168;168;168;168;1;0
ТНСэКубань;60;20171026;130000;168;168.5;168;168;6;0
ТНСэКубань;60;20171026;140000;169;170;165.5;165.5;6;0
ТНСэКубань;60;20171026;150000;169.5;173.5;169.5;170;32;0
ТНСэКубань;60;20171030;100000;166.5;166.5;166.5;166.5;1;0
ТНСэКубань;60;20171030;110000;163;163;163;163;1;0
ТНСэКубань;60;20171030;130000;159.5;159.5;154;154;5;0
ТНСэКубань;60;20171030;140000;162;162;156.5;156.5;4;0
ТНСэКубань;60;20171030;150000;156;156;150.5;150.5;19;0
ТНСэКубань;60;20171030;170000;158.5;158.5;158.5;158.5;1;0
ТНСэКубань;60;20171030;180000;153.5;153.5;153.5;153.5;2;0
ТНСэКубань;60;20171101;170000;150.5;150.5;150.5;150.5;1;0
ТНСэКубань;60;20171103;170000;155.5;155.5;155.5;155.5;1;0
ТНСэКубань;60;20171107;120000;150.5;150.5;150.5;150.5;1;0
ТНСэКубань;60;20171107;140000;152;152;141;144;32;0
ТНСэКубань;60;20171107;150000;144;144;144;144;3;0
ТНСэКубань;60;20171107;160000;144;144;144;144;1;0
ТНСэКубань;60;20171107;170000;144;144;144;144;1;0
ТНСэКубань;60;20171107;180000;144;144;143;143;6;0
ТНСэКубань;60;20171108;100000;147;147;147;147;1;0
ТНСэКубань;60;20171108;110000;146;149.5;146;149.5;3;0
ТНСэКубань;60;20171108;180000;148;158;148;158;20;0
ТНСэКубань;60;20171109;170000;148;148;146;148;21;0
ТНСэКубань;60;20171113;100000;151;151;150;150;2;0
ТНСэКубань;60;20171115;140000;145;148;140;140;209;0
ТНСэКубань;60;20171116;140000;137.5;144;135;144;115;0
ТНСэКубань;60;20171116;180000;142;142;142;142;1;0
ТНСэКубань;60;20171121;150000;136.5;136.5;134.5;134.5;7;0
ТНСэКубань;60;20171122;110000;146;146;144;146;3;0
ТНСэКубань;60;20171122;160000;140;140;140;140;1;0
ТНСэКубань;60;20171123;150000;141.5;144;140.5;144;5;0
ТНСэКубань;60;20171124;090000;144;144;144;144;1;0
ТНСэКубань;60;20171124;120000;145;145;145;145;1;0
ТНСэКубань;60;20171129;120000;134.5;142;134;142;4;0
ТНСэКубань;60;20171201;150000;144;144;144;144;4;0
ТНСэКубань;60;20171206;100000;147;147;147;147;1;0
ТНСэКубань;60;20171208;120000;136;136;136;136;1;0
ТНСэКубань;60;20171208;160000;140;140;140;140;1;0
ТНСэКубань;60;20171211;150000;134.5;138;128;138;8;0
ТНСэКубань;60;20171212;110000;141;141;140;140;2;0
