<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнВор-п;60;20170124;150000;30;30;30;30;4;0
ТНСэнВор-п;60;20170126;180000;25.6;25.6;25;25;7;0
ТНСэнВор-п;60;20170127;170000;26.1;26.1;26.1;26.1;1;0
ТНСэнВор-п;60;20170130;160000;26.1;26.1;26;26;12;0
ТНСэнВор-п;60;20170130;170000;26.05;26.05;26;26;10;0
ТНСэнВор-п;60;20170221;130000;24.05;24.05;24;24;11;0
ТНСэнВор-п;60;20170221;150000;24;24;24;24;1;0
ТНСэнВор-п;60;20170221;180000;24;24;24;24;1;0
ТНСэнВор-п;60;20170324;150000;21.35;23;21;23;12;0
ТНСэнВор-п;60;20170328;130000;24;24;24;24;11;0
ТНСэнВор-п;60;20170411;140000;25.95;25.95;25.95;25.95;1;0
ТНСэнВор-п;60;20170413;140000;25.95;25.95;25.95;25.95;1;0
ТНСэнВор-п;60;20170414;120000;22.9;22.9;22.9;22.9;1;0
ТНСэнВор-п;60;20170414;170000;22.9;22.9;22.9;22.9;9;0
ТНСэнВор-п;60;20170414;180000;20.25;20.5;19.5;19.5;112;0
ТНСэнВор-п;60;20170417;100000;19.5;19.5;19.5;19.5;113;0
ТНСэнВор-п;60;20170421;090000;19;19;19;19;1;0
ТНСэнВор-п;60;20170421;160000;19;19.05;19;19.05;4;0
ТНСэнВор-п;60;20170421;170000;19.05;19.05;19.05;19.05;1;0
ТНСэнВор-п;60;20170515;100000;18.45;18.45;18.45;18.45;1;0
ТНСэнВор-п;60;20170516;120000;18.7;18.7;18.7;18.7;1;0
ТНСэнВор-п;60;20170517;110000;18.7;18.7;18.7;18.7;2;0
ТНСэнВор-п;60;20170522;180000;18.7;18.7;18.7;18.7;1;0
ТНСэнВор-п;60;20170525;180000;16.35;16.35;16.35;16.35;1;0
ТНСэнВор-п;60;20170530;120000;16.35;16.5;14.25;16;5;0
ТНСэнВор-п;60;20170602;170000;16.9;16.95;16.9;16.95;2;0
ТНСэнВор-п;60;20170613;150000;14.5;14.5;14.5;14.5;10;0
ТНСэнВор-п;60;20170614;160000;16.45;16.45;16.45;16.45;1;0
ТНСэнВор-п;60;20170615;110000;15.45;16.9;15.45;16.9;3;0
ТНСэнВор-п;60;20170620;160000;16.45;16.45;16.45;16.45;1;0
ТНСэнВор-п;60;20170621;110000;16.95;18.45;14.7;16.65;18;0
ТНСэнВор-п;60;20170621;140000;16.05;16.05;16.05;16.05;1;0
ТНСэнВор-п;60;20170622;100000;18;18;17.85;18;7;0
ТНСэнВор-п;60;20170622;110000;19.45;22.45;19.45;20.85;19;0
ТНСэнВор-п;60;20170622;120000;20;22.45;20;22.45;8;0
ТНСэнВор-п;60;20170622;130000;22.4;22.4;22.4;22.4;18;0
ТНСэнВор-п;60;20170623;100000;27.95;27.95;22.95;24.95;15;0
ТНСэнВор-п;60;20170623;110000;25.95;27.75;21.5;21.5;8;0
ТНСэнВор-п;60;20170623;140000;22.5;22.5;22.5;22.5;1;0
ТНСэнВор-п;60;20170626;140000;25.65;25.65;25.05;25.05;18;0
ТНСэнВор-п;60;20170627;130000;17.3;17.3;17.3;17.3;3;0
ТНСэнВор-п;60;20170627;140000;20.3;20.3;20.25;20.25;15;0
ТНСэнВор-п;60;20170627;150000;20.35;20.35;20.35;20.35;6;0
ТНСэнВор-п;60;20170627;170000;20.35;20.4;20.35;20.4;7;0
ТНСэнВор-п;60;20170627;180000;20.35;20.35;20.35;20.35;2;0
ТНСэнВор-п;60;20170628;100000;20;20;20;20;6;0
ТНСэнВор-п;60;20170628;130000;20;20;20;20;2;0
ТНСэнВор-п;60;20170628;140000;20;20;20;20;1;0
ТНСэнВор-п;60;20170628;180000;20;20;20;20;1;0
ТНСэнВор-п;60;20170629;100000;20;20;20;20;2;0
ТНСэнВор-п;60;20170629;120000;20;20;20;20;1;0
ТНСэнВор-п;60;20170629;140000;19.75;20;19.75;20;3;0
ТНСэнВор-п;60;20170629;150000;19.75;19.75;19.75;19.75;1;0
ТНСэнВор-п;60;20170629;160000;19.75;19.75;19.75;19.75;1;0
ТНСэнВор-п;60;20170703;140000;20;20;20;20;1;0
ТНСэнВор-п;60;20170703;160000;19;19.05;19;19.05;2;0
ТНСэнВор-п;60;20170703;180000;19.5;19.5;19.5;19.5;1;0
ТНСэнВор-п;60;20170713;100000;18.95;18.95;18.45;18.45;10;0
ТНСэнВор-п;60;20170713;110000;18.4;18.45;18.4;18.45;2;0
ТНСэнВор-п;60;20170713;130000;18.45;18.45;18.45;18.45;1;0
ТНСэнВор-п;60;20170713;160000;18.45;18.45;18.4;18.4;2;0
ТНСэнВор-п;60;20170721;170000;18.95;18.95;18.95;18.95;1;0
ТНСэнВор-п;60;20170727;100000;18.95;18.95;17.1;17.1;2;0
