<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнВорон;60;20170126;180000;25.2;25.2;25;25;13;0
ТНСэнВорон;60;20170127;170000;26.9;26.9;26.9;26.9;1;0
ТНСэнВорон;60;20170131;130000;28.95;28.95;28.95;28.95;5;0
ТНСэнВорон;60;20170201;100000;28.95;28.95;28.95;28.95;2;0
ТНСэнВорон;60;20170202;130000;28.95;28.95;28.95;28.95;6;0
ТНСэнВорон;60;20170203;120000;29;29;29;29;2;0
ТНСэнВорон;60;20170206;130000;28.95;28.95;26;26;3;0
ТНСэнВорон;60;20170206;140000;28.95;28.95;26.45;28.85;3;0
ТНСэнВорон;60;20170213;120000;25.05;25.05;25;25;3;0
ТНСэнВорон;60;20170213;130000;27.45;27.45;26.1;27.45;5;0
ТНСэнВорон;60;20170215;140000;27.35;27.35;27.35;27.35;7;0
ТНСэнВорон;60;20170215;150000;25;25;25;25;1;0
ТНСэнВорон;60;20170216;110000;25;25;25;25;2;0
ТНСэнВорон;60;20170216;130000;27.4;27.4;26.05;26.05;2;0
ТНСэнВорон;60;20170216;160000;25.95;26;25.95;26;3;0
ТНСэнВорон;60;20170216;170000;26;26;26;26;1;0
ТНСэнВорон;60;20170216;180000;26;26;26;26;21;0
ТНСэнВорон;60;20170217;130000;26.45;26.45;26.45;26.45;1;0
ТНСэнВорон;60;20170221;130000;24.05;24.05;24;24;13;0
ТНСэнВорон;60;20170221;140000;24;24;24;24;1;0
ТНСэнВорон;60;20170227;120000;15.15;15.15;15.15;15.15;2;0
ТНСэнВорон;60;20170228;130000;17.1;22;17.1;22;4;0
ТНСэнВорон;60;20170228;150000;22.2;22.2;22.2;22.2;1;0
ТНСэнВорон;60;20170301;130000;26.3;26.3;26.3;26.3;2;0
ТНСэнВорон;60;20170302;130000;26.95;26.95;26.95;26.95;4;0
ТНСэнВорон;60;20170303;110000;25.95;25.95;25;25.95;4;0
ТНСэнВорон;60;20170306;150000;25.85;25.85;25.85;25.85;2;0
ТНСэнВорон;60;20170307;170000;22.05;22.05;22.05;22.05;1;0
ТНСэнВорон;60;20170309;100000;27.15;27.15;25.95;25.95;4;0
ТНСэнВорон;60;20170309;180000;25.7;25.7;25.7;25.7;1;0
ТНСэнВорон;60;20170313;150000;23;23;22.75;22.75;2;0
ТНСэнВорон;60;20170314;160000;24.4;24.4;24.4;24.4;11;0
ТНСэнВорон;60;20170314;180000;24.35;24.35;24.35;24.35;15;0
ТНСэнВорон;60;20170315;150000;22;22;21;21;25;0
ТНСэнВорон;60;20170316;170000;21.1;21.1;21.1;21.1;1;0
ТНСэнВорон;60;20170324;150000;21.15;21.15;21;21;8;0
ТНСэнВорон;60;20170327;120000;23.95;23.95;23.9;23.9;2;0
ТНСэнВорон;60;20170327;130000;23.9;23.95;23.9;23.95;2;0
ТНСэнВорон;60;20170328;130000;24;24;24;24;10;0
ТНСэнВорон;60;20170329;130000;24.4;24.4;24.4;24.4;2;0
ТНСэнВорон;60;20170330;130000;15.3;15.3;15.3;15.3;3;0
ТНСэнВорон;60;20170330;140000;22.95;22.95;22.95;22.95;1;0
ТНСэнВорон;60;20170330;180000;22.25;22.25;22.25;22.25;1;0
ТНСэнВорон;60;20170403;120000;23.95;23.95;23.95;23.95;4;0
ТНСэнВорон;60;20170405;130000;23.9;23.9;23.9;23.9;1;0
ТНСэнВорон;60;20170405;150000;22.5;22.5;22.5;22.5;1;0
ТНСэнВорон;60;20170410;130000;27.25;27.25;27.25;27.25;1;0
ТНСэнВорон;60;20170414;180000;19.8;20;19;20;140;0
ТНСэнВорон;60;20170417;090000;20;20;20;20;2;0
ТНСэнВорон;60;20170417;100000;19.05;19.5;19.05;19.5;24;0
ТНСэнВорон;60;20170417;110000;19.5;19.5;19.5;19.5;2;0
ТНСэнВорон;60;20170417;160000;20;20;20;20;5;0
ТНСэнВорон;60;20170418;130000;19.75;19.75;19.75;19.75;1;0
ТНСэнВорон;60;20170420;120000;19.5;19.5;19.5;19.5;14;0
ТНСэнВорон;60;20170420;130000;19.55;19.55;19.55;19.55;7;0
ТНСэнВорон;60;20170420;180000;19.75;19.75;19.75;19.75;24;0
ТНСэнВорон;60;20170421;090000;19;19;19;19;1;0
ТНСэнВорон;60;20170421;160000;18.2;18.2;18.2;18.2;3;0
ТНСэнВорон;60;20170421;170000;18.2;18.2;18.2;18.2;2;0
ТНСэнВорон;60;20170424;130000;18.9;18.9;18.9;18.9;6;0
ТНСэнВорон;60;20170424;140000;19;19;19;19;3;0
ТНСэнВорон;60;20170428;130000;19;19;19;19;1;0
ТНСэнВорон;60;20170428;140000;19;19;19;19;5;0
ТНСэнВорон;60;20170502;140000;17.35;17.35;17.35;17.35;2;0
ТНСэнВорон;60;20170502;160000;17.4;17.4;17.4;17.4;1;0
ТНСэнВорон;60;20170504;130000;16.15;16.15;16.15;16.15;6;0
ТНСэнВорон;60;20170504;140000;17.9;17.95;17.9;17.95;18;0
ТНСэнВорон;60;20170505;120000;21.9;21.9;21.9;21.9;2;0
ТНСэнВорон;60;20170511;140000;19.9;19.9;19.9;19.9;2;0
ТНСэнВорон;60;20170516;130000;18.9;18.9;18.9;18.9;10;0
ТНСэнВорон;60;20170523;130000;13.6;13.6;13.6;13.6;20;0
ТНСэнВорон;60;20170523;180000;18.8;18.8;18.8;18.8;1;0
ТНСэнВорон;60;20170525;170000;15.45;15.45;15.45;15.45;1;0
ТНСэнВорон;60;20170525;180000;15.45;15.45;15.45;15.45;1;0
ТНСэнВорон;60;20170526;110000;14.7;14.7;14.7;14.7;1;0
ТНСэнВорон;60;20170620;160000;16.95;19.95;16.95;19.95;34;0
ТНСэнВорон;60;20170621;100000;17.95;23.95;17.9;17.9;32;0
ТНСэнВорон;60;20170621;110000;17.95;26.05;17.95;26;255;0
ТНСэнВорон;60;20170621;120000;22;26;22;26;2;0
ТНСэнВорон;60;20170621;130000;22;26.05;22;26.05;7;0
ТНСэнВорон;60;20170621;140000;21.15;21.15;21.15;21.15;1;0
ТНСэнВорон;60;20170621;150000;21.1;21.1;21.1;21.1;1;0
ТНСэнВорон;60;20170622;100000;22.4;29.5;22.4;29.5;35;0
ТНСэнВорон;60;20170622;110000;29.2;29.2;29.2;29.2;1;0
ТНСэнВорон;60;20170622;120000;28;29.45;28;29.45;40;0
ТНСэнВорон;60;20170622;160000;23.05;23.05;23.05;23.05;1;0
ТНСэнВорон;60;20170623;100000;32.15;32.15;31.95;31.95;41;0
ТНСэнВорон;60;20170627;130000;19.4;40;19.4;40;2;0
ТНСэнВорон;60;20170627;140000;23.3;42;23.25;27.4;8;0
ТНСэнВорон;60;20170627;170000;27.5;27.5;27.5;27.5;1;0
ТНСэнВорон;60;20170628;120000;36.95;36.95;36.95;36.95;1;0
ТНСэнВорон;60;20170629;120000;36.2;36.2;36.2;36.2;1;0
ТНСэнВорон;60;20170629;160000;22.15;23.15;22.15;23.15;3;0
ТНСэнВорон;60;20170629;170000;25.15;27;25.15;27;3;0
ТНСэнВорон;60;20170630;140000;23;23;23;23;1;0
ТНСэнВорон;60;20170713;110000;18.85;19.95;18.85;19.95;35;0
ТНСэнВорон;60;20170713;130000;18.75;18.75;18.15;18.15;10;0
ТНСэнВорон;60;20170713;170000;18.95;19;18.95;19;7;0
ТНСэнВорон;60;20170714;140000;17.6;17.6;17.6;17.6;1;0
ТНСэнВорон;60;20170714;150000;17;17.2;16.55;17.2;13;0
ТНСэнВорон;60;20170714;160000;19.3;19.3;19.3;19.3;1;0
ТНСэнВорон;60;20170717;180000;17.6;17.6;17.6;17.6;1;0
ТНСэнВорон;60;20170720;130000;17.1;17.1;17.1;17.1;1;0
ТНСэнВорон;60;20170725;140000;14.75;14.75;14.75;14.75;1;0
ТНСэнВорон;60;20170727;100000;15.15;15.15;15.15;15.15;1;0
ТНСэнВорон;60;20170731;150000;18.4;18.4;18.4;18.4;1;0
ТНСэнВорон;60;20170731;160000;18.3;18.3;18.3;18.3;1;0
ТНСэнВорон;60;20170731;170000;18.3;18.3;18.3;18.3;5;0
ТНСэнВорон;60;20170801;110000;14.95;14.95;14.95;14.95;1;0
ТНСэнВорон;60;20170801;140000;19.15;19.15;19.15;19.15;1;0
ТНСэнВорон;60;20170802;120000;15.2;19.95;15.2;15.25;20;0
ТНСэнВорон;60;20170802;170000;19.35;19.4;19.35;19.4;2;0
ТНСэнВорон;60;20170803;110000;19.35;19.35;19.35;19.35;1;0
ТНСэнВорон;60;20170803;120000;15.85;15.85;15.85;15.85;1;0
ТНСэнВорон;60;20170804;140000;16.25;17.05;16.05;16.2;7;0
ТНСэнВорон;60;20170807;110000;15.75;15.75;15.75;15.75;2;0
ТНСэнВорон;60;20170807;120000;17;17;17;17;13;0
ТНСэнВорон;60;20170808;110000;16.05;16.05;16.05;16.05;2;0
ТНСэнВорон;60;20170809;100000;16.1;16.1;16.1;16.1;2;0
ТНСэнВорон;60;20170810;130000;16.3;16.3;16.3;16.3;2;0
