<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнМарЭл;60;20170130;160000;4.52;4.52;4.52;4.52;1;0
ТНСэнМарЭл;60;20170202;150000;4.45;4.45;4.45;4.45;1;0
ТНСэнМарЭл;60;20170206;100000;4.53;4.53;4.53;4.53;1;0
ТНСэнМарЭл;60;20170206;110000;4.54;4.54;4.54;4.54;1;0
ТНСэнМарЭл;60;20170206;130000;4.64;4.64;4.64;4.64;1;0
ТНСэнМарЭл;60;20170207;140000;4.88;4.88;4.88;4.88;1;0
ТНСэнМарЭл;60;20170210;110000;4.56;4.56;4.56;4.56;1;0
ТНСэнМарЭл;60;20170213;170000;4.64;5.84;4.64;5.45;6;0
ТНСэнМарЭл;60;20170213;180000;4.91;4.91;4.91;4.91;1;0
ТНСэнМарЭл;60;20170214;120000;4.69;4.69;4.69;4.69;1;0
ТНСэнМарЭл;60;20170215;090000;4.55;4.55;4.55;4.55;1;0
ТНСэнМарЭл;60;20170215;100000;4.27;4.27;4.27;4.27;1;0
ТНСэнМарЭл;60;20170215;110000;4.34;4.34;4.34;4.34;1;0
ТНСэнМарЭл;60;20170228;130000;4.13;4.18;4.13;4.18;2;0
ТНСэнМарЭл;60;20170324;170000;4.74;4.74;4.74;4.74;1;0
ТНСэнМарЭл;60;20170406;110000;4.22;4.22;4.22;4.22;1;0
ТНСэнМарЭл;60;20170406;120000;4.22;4.22;4.22;4.22;5;0
ТНСэнМарЭл;60;20170407;100000;4.07;4.07;3.9;3.9;8;0
ТНСэнМарЭл;60;20170407;110000;3.9;3.9;3.9;3.9;6;0
ТНСэнМарЭл;60;20170407;120000;3.9;3.9;3.9;3.9;8;0
ТНСэнМарЭл;60;20170407;150000;3.9;3.9;3.9;3.9;1;0
ТНСэнМарЭл;60;20170407;180000;3.9;3.9;3.9;3.9;5;0
ТНСэнМарЭл;60;20170421;150000;3.9;4.3;3.9;4.3;12;0
ТНСэнМарЭл;60;20170421;160000;4.34;4.68;4.34;4.5;18;0
ТНСэнМарЭл;60;20170421;170000;4.5;4.5;4.5;4.5;4;0
ТНСэнМарЭл;60;20170421;180000;4.5;4.5;4.5;4.5;5;0
ТНСэнМарЭл;60;20170424;110000;4.45;4.45;4.45;4.45;1;0
ТНСэнМарЭл;60;20170424;130000;4.45;4.45;4.45;4.45;3;0
ТНСэнМарЭл;60;20170425;120000;4.5;4.5;4.5;4.5;1;0
ТНСэнМарЭл;60;20170426;180000;4.4;4.4;4.4;4.4;1;0
ТНСэнМарЭл;60;20170428;180000;4.12;4.12;4.12;4.12;2;0
ТНСэнМарЭл;60;20170504;160000;4.11;4.11;4.11;4.11;1;0
ТНСэнМарЭл;60;20170505;180000;4.1;4.1;4.1;4.1;1;0
ТНСэнМарЭл;60;20170512;130000;3.81;3.81;3.81;3.81;1;0
ТНСэнМарЭл;60;20170512;140000;3.88;3.88;3.88;3.88;2;0
ТНСэнМарЭл;60;20170512;170000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170517;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170518;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170519;150000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170522;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170523;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170525;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170526;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170529;100000;3.83;3.83;3.83;3.83;1;0
ТНСэнМарЭл;60;20170529;150000;3.9;3.9;3.9;3.9;1;0
ТНСэнМарЭл;60;20170530;150000;3.82;3.82;3.56;3.56;3;0
ТНСэнМарЭл;60;20170530;160000;3.48;3.48;3.48;3.48;1;0
ТНСэнМарЭл;60;20170531;100000;3.83;3.83;3.83;3.83;1;0
