<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнНН ао;60;20170202;150000;970;970;965;965;2;0
ТНСэнНН ао;60;20170209;110000;985;985;985;985;1;0
ТНСэнНН ао;60;20170310;180000;990;995;990;995;2;0
ТНСэнНН ао;60;20170331;100000;915;1020;915;1020;2;0
ТНСэнНН ао;60;20170404;120000;960;960;615;850;116;0
ТНСэнНН ао;60;20170404;130000;890;890;860;860;4;0
ТНСэнНН ао;60;20170404;150000;860;890;860;890;5;0
ТНСэнНН ао;60;20170404;170000;860;860;860;860;2;0
ТНСэнНН ао;60;20170404;180000;860;860;860;860;2;0
ТНСэнНН ао;60;20170405;100000;860;860;860;860;8;0
ТНСэнНН ао;60;20170414;170000;880;880;880;880;1;0
ТНСэнНН ао;60;20170414;180000;835;835;835;835;1;0
ТНСэнНН ао;60;20170417;140000;860;880;860;880;10;0
ТНСэнНН ао;60;20170420;120000;820;820;700;700;5;0
ТНСэнНН ао;60;20170420;160000;835;835;835;835;1;0
ТНСэнНН ао;60;20170420;170000;845;850;845;850;23;0
ТНСэнНН ао;60;20170420;180000;895;910;895;910;3;0
ТНСэнНН ао;60;20170421;100000;890;920;890;920;2;0
ТНСэнНН ао;60;20170421;170000;920;920;920;920;1;0
ТНСэнНН ао;60;20170426;180000;890;890;860;860;2;0
ТНСэнНН ао;60;20170502;100000;920;920;920;920;1;0
ТНСэнНН ао;60;20170524;140000;930;930;930;930;1;0
ТНСэнНН ао;60;20170620;160000;930;965;930;965;44;0
ТНСэнНН ао;60;20170620;170000;930;930;930;930;1;0
ТНСэнНН ао;60;20170621;120000;930;1075;930;1000;84;0
ТНСэнНН ао;60;20170621;170000;995;995;910;910;5;0
ТНСэнНН ао;60;20170622;100000;945;945;945;945;1;0
ТНСэнНН ао;60;20170705;150000;910;910;910;910;2;0
ТНСэнНН ао;60;20170706;120000;855;855;855;855;2;0
ТНСэнНН ао;60;20170707;180000;915;950;915;950;4;0
ТНСэнНН ао;60;20170725;180000;910;910;910;910;1;0
ТНСэнНН ао;60;20170727;150000;945;1000;945;1000;110;0
ТНСэнНН ао;60;20170801;110000;975;975;975;975;1;0
ТНСэнНН ао;60;20170809;100000;940;940;940;940;1;0
ТНСэнНН ао;60;20170809;180000;975;975;975;975;1;0
ТНСэнНН ао;60;20170821;130000;940;940;940;940;1;0
ТНСэнНН ао;60;20170825;110000;910;910;910;910;1;0
ТНСэнНН ао;60;20170825;120000;910;910;910;910;1;0
ТНСэнНН ао;60;20170830;150000;885;890;835;890;14;0
ТНСэнНН ао;60;20170901;180000;860;860;860;860;1;0
ТНСэнНН ао;60;20170904;140000;840;840;835;835;14;0
ТНСэнНН ао;60;20170904;150000;865;865;865;865;1;0
ТНСэнНН ао;60;20170905;120000;890;1210;890;975;323;0
ТНСэнНН ао;60;20170906;100000;1020;1360;1005;1115;206;0
ТНСэнНН ао;60;20170906;110000;1010;1115;975;975;11;0
ТНСэнНН ао;60;20170906;140000;975;995;970;995;3;0
ТНСэнНН ао;60;20170907;110000;1010;1360;1010;1360;44;0
ТНСэнНН ао;60;20170907;130000;1160;1160;1060;1095;40;0
ТНСэнНН ао;60;20170907;180000;1170;1170;1170;1170;1;0
ТНСэнНН ао;60;20170908;180000;1065;1125;1060;1125;4;0
ТНСэнНН ао;60;20170911;100000;990;990;980;980;5;0
ТНСэнНН ао;60;20170911;110000;1040;1040;1040;1040;1;0
ТНСэнНН ао;60;20170911;130000;1020;1030;1020;1030;3;0
ТНСэнНН ао;60;20170912;100000;1135;1440;1135;1440;247;0
ТНСэнНН ао;60;20170912;130000;1230;1230;1225;1225;22;0
ТНСэнНН ао;60;20170912;180000;1200;1300;1200;1300;6;0
ТНСэнНН ао;60;20170913;140000;1185;1185;1180;1180;11;0
ТНСэнНН ао;60;20170913;150000;1245;1245;1245;1245;1;0
ТНСэнНН ао;60;20170921;160000;1300;1300;1300;1300;1;0
ТНСэнНН ао;60;20170925;170000;1145;1145;1020;1020;6;0
ТНСэнНН ао;60;20170925;180000;1060;1060;1060;1060;1;0
ТНСэнНН ао;60;20170927;150000;1170;1170;1170;1170;1;0
ТНСэнНН ао;60;20171002;120000;1180;1180;1180;1180;1;0
ТНСэнНН ао;60;20171005;140000;1125;1150;1125;1150;5;0
ТНСэнНН ао;60;20171012;180000;1135;1135;1135;1135;1;0
ТНСэнНН ао;60;20171017;150000;1135;1135;1135;1135;1;0
ТНСэнНН ао;60;20171018;110000;1030;1030;1030;1030;5;0
ТНСэнНН ао;60;20171018;120000;1000;1000;1000;1000;3;0
ТНСэнНН ао;60;20171018;130000;1000;1000;1000;1000;1;0
ТНСэнНН ао;60;20171018;150000;1000;1000;1000;1000;1;0
ТНСэнНН ао;60;20171018;160000;1000;1000;1000;1000;2;0
ТНСэнНН ао;60;20171018;180000;1000;1000;1000;1000;2;0
ТНСэнНН ао;60;20171019;120000;1015;1015;1015;1015;1;0
ТНСэнНН ао;60;20171019;130000;1015;1015;1015;1015;1;0
ТНСэнНН ао;60;20171020;100000;1000;1000;1000;1000;2;0
ТНСэнНН ао;60;20171020;130000;980;980;975;975;3;0
ТНСэнНН ао;60;20171020;140000;980;980;980;980;2;0
ТНСэнНН ао;60;20171023;120000;965;965;935;960;6;0
ТНСэнНН ао;60;20171024;100000;955;955;955;955;1;0
ТНСэнНН ао;60;20171025;100000;935;935;900;900;12;0
ТНСэнНН ао;60;20171025;130000;940;940;840;860;55;0
ТНСэнНН ао;60;20171025;140000;900;900;880;900;8;0
ТНСэнНН ао;60;20171025;160000;900;900;900;900;5;0
ТНСэнНН ао;60;20171026;100000;865;865;865;865;5;0
ТНСэнНН ао;60;20171101;130000;845;845;840;840;4;0
ТНСэнНН ао;60;20171102;180000;845;845;845;845;6;0
ТНСэнНН ао;60;20171108;180000;900;900;900;900;5;0
ТНСэнНН ао;60;20171113;100000;865;865;865;865;5;0
ТНСэнНН ао;60;20171113;170000;890;890;890;890;1;0
ТНСэнНН ао;60;20171114;120000;850;880;850;880;2;0
ТНСэнНН ао;60;20171114;130000;915;915;915;915;7;0
ТНСэнНН ао;60;20171114;140000;900;900;900;900;1;0
ТНСэнНН ао;60;20171115;130000;865;865;865;865;5;0
ТНСэнНН ао;60;20171115;170000;880;880;880;880;1;0
ТНСэнНН ао;60;20171116;130000;920;965;920;965;8;0
ТНСэнНН ао;60;20171120;130000;875;875;875;875;6;0
ТНСэнНН ао;60;20171121;140000;945;945;900;900;7;0
ТНСэнНН ао;60;20171122;100000;890;900;890;900;2;0
ТНСэнНН ао;60;20171124;180000;925;925;925;925;1;0
ТНСэнНН ао;60;20171128;170000;940;940;930;930;2;0
ТНСэнНН ао;60;20171130;120000;935;935;925;925;2;0
ТНСэнНН ао;60;20171207;180000;920;920;920;920;1;0
ТНСэнНН ао;60;20171208;100000;910;910;910;910;1;0
ТНСэнНН ао;60;20171213;100000;900;900;900;900;2;0
ТНСэнНН ао;60;20171219;140000;890;890;835;880;16;0
ТНСэнНН ао;60;20171219;150000;870;880;870;880;2;0
ТНСэнНН ао;60;20171221;100000;890;935;890;900;52;0
ТНСэнНН ао;60;20171221;110000;920;1230;920;1200;121;0
ТНСэнНН ао;60;20171221;120000;1195;1195;1195;1195;3;0
ТНСэнНН ао;60;20171221;140000;1195;1195;980;1020;4;0
ТНСэнНН ао;60;20171221;150000;1050;1050;1050;1050;1;0
ТНСэнНН ао;60;20171221;180000;1175;1230;1060;1230;66;0
ТНСэнНН ао;60;20171222;100000;1220;1300;1220;1300;74;0
ТНСэнНН ао;60;20171222;110000;1275;1300;1275;1300;143;0
ТНСэнНН ао;60;20171222;130000;1060;1060;1050;1050;4;0
ТНСэнНН ао;60;20171222;140000;1285;1285;1285;1285;3;0
ТНСэнНН ао;60;20171225;100000;1300;1300;1300;1300;62;0
ТНСэнНН ао;60;20171225;170000;1300;1300;1300;1300;27;0
ТНСэнНН ао;60;20171228;160000;1110;1110;1110;1110;1;0
ТНСэнНН ао;60;20171229;120000;1305;1400;1305;1400;10;0
