<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнНН ап;60;20170124;140000;735;735;735;735;1;0
ТНСэнНН ап;60;20170124;150000;760;760;760;760;1;0
ТНСэнНН ап;60;20170124;170000;735;735;735;735;6;0
ТНСэнНН ап;60;20170125;110000;735;735;735;735;1;0
ТНСэнНН ап;60;20170125;120000;735;735;735;735;40;0
ТНСэнНН ап;60;20170125;130000;735;735;735;735;4;0
ТНСэнНН ап;60;20170201;120000;740;740;740;740;1;0
ТНСэнНН ап;60;20170203;110000;720;740;700;720;103;0
ТНСэнНН ап;60;20170203;130000;720;720;720;720;2;0
ТНСэнНН ап;60;20170203;150000;720;720;720;720;21;0
ТНСэнНН ап;60;20170206;130000;730;730;730;730;4;0
ТНСэнНН ап;60;20170206;140000;730;730;730;730;1;0
ТНСэнНН ап;60;20170206;150000;730;730;730;730;25;0
ТНСэнНН ап;60;20170208;150000;725;725;725;725;6;0
ТНСэнНН ап;60;20170210;110000;750;750;750;750;3;0
ТНСэнНН ап;60;20170210;120000;725;725;720;720;2;0
ТНСэнНН ап;60;20170213;110000;720;740;705;740;10;0
ТНСэнНН ап;60;20170213;150000;745;745;745;745;4;0
ТНСэнНН ап;60;20170213;160000;745;745;745;745;1;0
ТНСэнНН ап;60;20170213;170000;745;745;745;745;6;0
ТНСэнНН ап;60;20170216;150000;720;720;700;700;72;0
ТНСэнНН ап;60;20170216;160000;705;705;705;705;2;0
ТНСэнНН ап;60;20170216;170000;740;740;740;740;1;0
ТНСэнНН ап;60;20170217;100000;700;700;700;700;10;0
ТНСэнНН ап;60;20170217;170000;720;725;720;725;77;0
ТНСэнНН ап;60;20170220;120000;745;745;745;745;3;0
ТНСэнНН ап;60;20170220;130000;745;745;745;745;1;0
ТНСэнНН ап;60;20170220;160000;720;720;710;710;6;0
ТНСэнНН ап;60;20170221;120000;715;715;710;710;6;0
ТНСэнНН ап;60;20170221;130000;740;740;740;740;1;0
ТНСэнНН ап;60;20170222;100000;740;740;740;740;1;0
ТНСэнНН ап;60;20170222;160000;715;715;715;715;2;0
ТНСэнНН ап;60;20170222;170000;710;710;710;710;1;0
ТНСэнНН ап;60;20170224;100000;730;730;730;730;1;0
ТНСэнНН ап;60;20170224;160000;725;725;725;725;1;0
ТНСэнНН ап;60;20170227;140000;710;710;710;710;3;0
ТНСэнНН ап;60;20170227;180000;710;720;700;720;53;0
ТНСэнНН ап;60;20170301;180000;720;720;720;720;8;0
ТНСэнНН ап;60;20170302;150000;710;710;710;710;2;0
ТНСэнНН ап;60;20170303;170000;700;700;690;690;95;0
ТНСэнНН ап;60;20170303;180000;710;710;710;710;1;0
ТНСэнНН ап;60;20170306;100000;710;710;710;710;5;0
ТНСэнНН ап;60;20170307;120000;705;705;705;705;4;0
ТНСэнНН ап;60;20170309;170000;695;695;695;695;1;0
ТНСэнНН ап;60;20170309;180000;690;690;690;690;12;0
ТНСэнНН ап;60;20170324;120000;730;730;730;730;1;0
ТНСэнНН ап;60;20170324;130000;730;730;730;730;3;0
ТНСэнНН ап;60;20170324;140000;730;730;700;700;5;0
ТНСэнНН ап;60;20170331;100000;705;705;700;700;10;0
ТНСэнНН ап;60;20170331;150000;705;705;705;705;1;0
ТНСэнНН ап;60;20170404;120000;700;700;510;690;123;0
ТНСэнНН ап;60;20170404;140000;695;695;695;695;1;0
ТНСэнНН ап;60;20170404;180000;695;695;695;695;1;0
ТНСэнНН ап;60;20170405;110000;700;705;700;705;5;0
ТНСэнНН ап;60;20170407;180000;660;660;655;655;4;0
ТНСэнНН ап;60;20170413;110000;625;695;620;695;4;0
ТНСэнНН ап;60;20170413;140000;705;710;700;700;5;0
ТНСэнНН ап;60;20170417;140000;720;780;720;780;268;0
ТНСэнНН ап;60;20170417;150000;780;780;780;780;81;0
ТНСэнНН ап;60;20170417;160000;780;780;780;780;53;0
ТНСэнНН ап;60;20170417;170000;780;780;780;780;176;0
ТНСэнНН ап;60;20170418;140000;780;780;780;780;65;0
ТНСэнНН ап;60;20170418;180000;780;780;780;780;5;0
ТНСэнНН ап;60;20170420;180000;720;720;720;720;95;0
