<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнРст-п;60;20170124;130000;0.285;0.286;0.285;0.286;8;0
ТНСэнРст-п;60;20170126;110000;0.283;0.283;0.283;0.283;4;0
ТНСэнРст-п;60;20170127;170000;0.285;0.285;0.285;0.285;1;0
ТНСэнРст-п;60;20170130;150000;0.28;0.28;0.28;0.28;3;0
ТНСэнРст-п;60;20170130;180000;0.275;0.275;0.275;0.275;7;0
ТНСэнРст-п;60;20170131;120000;0.274;0.274;0.274;0.274;4;0
ТНСэнРст-п;60;20170201;170000;0.283;0.283;0.28;0.28;3;0
ТНСэнРст-п;60;20170201;180000;0.28;0.28;0.28;0.28;1;0
ТНСэнРст-п;60;20170202;100000;0.272;0.272;0.27;0.27;30;0
ТНСэнРст-п;60;20170203;150000;0.29;0.29;0.289;0.289;2;0
ТНСэнРст-п;60;20170207;160000;0.285;0.286;0.284;0.284;9;0
ТНСэнРст-п;60;20170207;180000;0.283;0.283;0.283;0.283;1;0
ТНСэнРст-п;60;20170208;170000;0.285;0.285;0.285;0.285;3;0
ТНСэнРст-п;60;20170209;120000;0.271;0.271;0.271;0.271;1;0
ТНСэнРст-п;60;20170209;130000;0.271;0.271;0.271;0.271;3;0
ТНСэнРст-п;60;20170209;150000;0.273;0.273;0.273;0.273;1;0
ТНСэнРст-п;60;20170209;160000;0.274;0.274;0.274;0.274;1;0
ТНСэнРст-п;60;20170210;100000;0.275;0.275;0.275;0.275;1;0
ТНСэнРст-п;60;20170210;130000;0.285;0.287;0.285;0.287;11;0
ТНСэнРст-п;60;20170210;180000;0.287;0.287;0.285;0.285;5;0
ТНСэнРст-п;60;20170213;120000;0.272;0.272;0.271;0.271;6;0
ТНСэнРст-п;60;20170213;140000;0.277;0.279;0.277;0.279;3;0
ТНСэнРст-п;60;20170213;150000;0.285;0.286;0.285;0.286;4;0
ТНСэнРст-п;60;20170213;170000;0.286;0.286;0.286;0.286;6;0
ТНСэнРст-п;60;20170213;180000;0.28;0.28;0.28;0.28;4;0
ТНСэнРст-п;60;20170215;110000;0.283;0.287;0.283;0.287;5;0
ТНСэнРст-п;60;20170215;120000;0.287;0.289;0.287;0.289;5;0
ТНСэнРст-п;60;20170215;160000;0.287;0.287;0.287;0.287;93;0
ТНСэнРст-п;60;20170216;110000;0.287;0.287;0.287;0.287;14;0
ТНСэнРст-п;60;20170216;140000;0.288;0.289;0.288;0.289;6;0
ТНСэнРст-п;60;20170216;170000;0.289;0.289;0.287;0.287;18;0
ТНСэнРст-п;60;20170216;180000;0.292;0.3;0.292;0.3;26;0
ТНСэнРст-п;60;20170217;110000;0.3;0.3;0.3;0.3;16;0
ТНСэнРст-п;60;20170217;140000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170221;180000;0.3;0.3;0.3;0.3;1;0
ТНСэнРст-п;60;20170227;130000;0.296;0.296;0.296;0.296;5;0
ТНСэнРст-п;60;20170228;110000;0.296;0.296;0.286;0.286;4;0
ТНСэнРст-п;60;20170301;170000;0.289;0.289;0.289;0.289;1;0
ТНСэнРст-п;60;20170302;150000;0.288;0.288;0.288;0.288;1;0
ТНСэнРст-п;60;20170303;100000;0.287;0.287;0.286;0.286;6;0
ТНСэнРст-п;60;20170303;170000;0.289;0.289;0.289;0.289;1;0
ТНСэнРст-п;60;20170314;180000;0.286;0.286;0.286;0.286;19;0
ТНСэнРст-п;60;20170315;120000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170315;150000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170316;180000;0.294;0.297;0.294;0.297;3;0
ТНСэнРст-п;60;20170317;160000;0.291;0.291;0.286;0.286;9;0
ТНСэнРст-п;60;20170320;100000;0.286;0.286;0.181;0.284;105;0
ТНСэнРст-п;60;20170320;110000;0.285;0.285;0.284;0.284;2;0
ТНСэнРст-п;60;20170320;140000;0.286;0.286;0.286;0.286;1;0
ТНСэнРст-п;60;20170321;100000;0.289;0.289;0.289;0.289;1;0
ТНСэнРст-п;60;20170321;110000;0.289;0.289;0.288;0.288;29;0
ТНСэнРст-п;60;20170323;180000;0.286;0.286;0.278;0.278;30;0
ТНСэнРст-п;60;20170324;110000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170324;130000;0.291;0.291;0.291;0.291;1;0
ТНСэнРст-п;60;20170324;180000;0.293;0.293;0.293;0.293;1;0
ТНСэнРст-п;60;20170327;120000;0.287;0.287;0.287;0.287;1;0
ТНСэнРст-п;60;20170327;160000;0.277;0.277;0.277;0.277;10;0
ТНСэнРст-п;60;20170328;150000;0.266;0.266;0.266;0.266;2;0
ТНСэнРст-п;60;20170328;170000;0.27;0.27;0.27;0.27;1;0
ТНСэнРст-п;60;20170328;180000;0.288;0.29;0.288;0.29;2;0
ТНСэнРст-п;60;20170404;180000;0.276;0.279;0.276;0.279;10;0
ТНСэнРст-п;60;20170406;120000;0.276;0.276;0.276;0.276;4;0
ТНСэнРст-п;60;20170406;130000;0.276;0.28;0.276;0.276;16;0
ТНСэнРст-п;60;20170406;150000;0.276;0.276;0.272;0.272;7;0
ТНСэнРст-п;60;20170406;160000;0.272;0.272;0.271;0.271;10;0
ТНСэнРст-п;60;20170406;180000;0.275;0.275;0.275;0.275;6;0
ТНСэнРст-п;60;20170407;100000;0.276;0.276;0.276;0.276;5;0
ТНСэнРст-п;60;20170413;110000;0.266;0.266;0.266;0.266;2;0
ТНСэнРст-п;60;20170414;100000;0.288;0.288;0.288;0.288;2;0
ТНСэнРст-п;60;20170414;110000;0.292;0.293;0.29;0.29;28;0
ТНСэнРст-п;60;20170414;120000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170414;170000;0.29;0.29;0.29;0.29;2;0
ТНСэнРст-п;60;20170414;180000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170417;090000;0.317;0.317;0.317;0.317;2;0
ТНСэнРст-п;60;20170417;100000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст-п;60;20170417;170000;0.29;0.29;0.29;0.29;4;0
ТНСэнРст-п;60;20170425;100000;0.273;0.273;0.27;0.27;4;0
ТНСэнРст-п;60;20170425;110000;0.273;0.274;0.273;0.274;2;0
ТНСэнРст-п;60;20170425;140000;0.274;0.274;0.274;0.274;3;0
ТНСэнРст-п;60;20170425;170000;0.274;0.274;0.274;0.274;1;0
ТНСэнРст-п;60;20170425;180000;0.279;0.279;0.279;0.279;1;0
ТНСэнРст-п;60;20170426;140000;0.279;0.279;0.279;0.279;5;0
ТНСэнРст-п;60;20170428;150000;0.274;0.274;0.274;0.274;1;0
ТНСэнРст-п;60;20170502;100000;0.272;0.272;0.27;0.27;5;0
ТНСэнРст-п;60;20170502;110000;0.272;0.272;0.272;0.272;1;0
ТНСэнРст-п;60;20170504;100000;0.27;0.27;0.263;0.263;5;0
ТНСэнРст-п;60;20170504;120000;0.263;0.263;0.263;0.263;1;0
