<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнРст;60;20170127;170000;0.325;0.325;0.325;0.325;1;0
ТНСэнРст;60;20170127;180000;0.325;0.325;0.325;0.325;1;0
ТНСэнРст;60;20170202;160000;0.316;0.316;0.316;0.316;1;0
ТНСэнРст;60;20170207;150000;0.319;0.32;0.319;0.32;2;0
ТНСэнРст;60;20170210;100000;0.304;0.304;0.268;0.268;2;0
ТНСэнРст;60;20170210;120000;0.291;0.323;0.283;0.283;12;0
ТНСэнРст;60;20170210;180000;0.316;0.316;0.316;0.316;1;0
ТНСэнРст;60;20170213;140000;0.322;0.333;0.322;0.333;7;0
ТНСэнРст;60;20170214;140000;0.308;0.308;0.308;0.308;1;0
ТНСэнРст;60;20170215;130000;0.304;0.304;0.304;0.304;7;0
ТНСэнРст;60;20170215;170000;0.312;0.312;0.312;0.312;1;0
ТНСэнРст;60;20170216;180000;0.327;0.327;0.327;0.327;3;0
ТНСэнРст;60;20170217;180000;0.332;0.332;0.332;0.332;5;0
ТНСэнРст;60;20170222;170000;0.307;0.307;0.301;0.301;7;0
ТНСэнРст;60;20170224;100000;0.301;0.301;0.301;0.301;5;0
ТНСэнРст;60;20170228;110000;0.311;0.311;0.307;0.307;5;0
ТНСэнРст;60;20170228;130000;0.306;0.306;0.306;0.306;1;0
ТНСэнРст;60;20170228;140000;0.309;0.309;0.309;0.309;1;0
ТНСэнРст;60;20170228;180000;0.31;0.31;0.31;0.31;2;0
ТНСэнРст;60;20170302;150000;0.31;0.31;0.31;0.31;1;0
ТНСэнРст;60;20170303;110000;0.306;0.308;0.305;0.308;3;0
ТНСэнРст;60;20170303;160000;0.309;0.309;0.309;0.309;1;0
ТНСэнРст;60;20170309;120000;0.31;0.31;0.31;0.31;8;0
ТНСэнРст;60;20170309;130000;0.31;0.31;0.31;0.31;7;0
ТНСэнРст;60;20170314;130000;0.31;0.31;0.31;0.31;1;0
ТНСэнРст;60;20170323;180000;0.308;0.308;0.306;0.306;30;0
ТНСэнРст;60;20170324;140000;0.316;0.316;0.316;0.316;1;0
ТНСэнРст;60;20170331;160000;0.304;0.304;0.298;0.298;3;0
ТНСэнРст;60;20170331;180000;0.299;0.307;0.298;0.307;11;0
ТНСэнРст;60;20170403;100000;0.309;0.309;0.309;0.309;1;0
ТНСэнРст;60;20170404;180000;0.305;0.305;0.301;0.301;5;0
ТНСэнРст;60;20170406;160000;0.302;0.302;0.302;0.302;4;0
ТНСэнРст;60;20170406;180000;0.301;0.301;0.301;0.301;1;0
ТНСэнРст;60;20170407;120000;0.309;0.309;0.309;0.309;4;0
ТНСэнРст;60;20170410;120000;0.301;0.301;0.301;0.301;1;0
ТНСэнРст;60;20170419;120000;0.301;0.301;0.301;0.301;2;0
ТНСэнРст;60;20170419;160000;0.3;0.3;0.3;0.3;9;0
ТНСэнРст;60;20170425;140000;0.3;0.3;0.292;0.292;6;0
ТНСэнРст;60;20170426;160000;0.297;0.299;0.297;0.299;10;0
ТНСэнРст;60;20170426;180000;0.293;0.293;0.293;0.293;1;0
ТНСэнРст;60;20170427;170000;0.293;0.293;0.293;0.293;1;0
ТНСэнРст;60;20170502;130000;0.293;0.293;0.289;0.289;23;0
ТНСэнРст;60;20170502;160000;0.29;0.29;0.29;0.29;1;0
ТНСэнРст;60;20170504;150000;0.317;0.318;0.317;0.318;5;0
ТНСэнРст;60;20170504;170000;0.3;0.3;0.3;0.3;35;0
ТНСэнРст;60;20170505;180000;0.3;0.3;0.3;0.3;1;0
ТНСэнРст;60;20170515;180000;0.294;0.294;0.294;0.294;1;0
ТНСэнРст;60;20170516;100000;0.294;0.294;0.294;0.294;1;0
ТНСэнРст;60;20170516;130000;0.294;0.294;0.294;0.294;1;0
ТНСэнРст;60;20170518;090000;0.294;0.294;0.294;0.294;5;0
ТНСэнРст;60;20170518;100000;0.294;0.294;0.294;0.294;1;0
ТНСэнРст;60;20170518;180000;0.286;0.29;0.285;0.29;6;0
ТНСэнРст;60;20170522;110000;0.274;0.274;0.247;0.247;38;0
ТНСэнРст;60;20170522;120000;0.23;0.27;0.228;0.27;29;0
ТНСэнРст;60;20170522;130000;0.228;0.269;0.225;0.269;15;0
ТНСэнРст;60;20170522;140000;0.235;0.27;0.235;0.27;14;0
ТНСэнРст;60;20170522;170000;0.271;0.274;0.271;0.274;83;0
ТНСэнРст;60;20170523;110000;0.251;0.251;0.237;0.237;10;0
ТНСэнРст;60;20170523;120000;0.237;0.248;0.237;0.248;4;0
ТНСэнРст;60;20170523;130000;0.248;0.248;0.248;0.248;1;0
ТНСэнРст;60;20170523;150000;0.247;0.248;0.247;0.248;2;0
ТНСэнРст;60;20170523;160000;0.248;0.248;0.248;0.248;2;0
ТНСэнРст;60;20170523;180000;0.248;0.248;0.248;0.248;1;0
ТНСэнРст;60;20170529;110000;0.255;0.255;0.255;0.255;1;0
ТНСэнРст;60;20170529;120000;0.265;0.265;0.265;0.265;1;0
ТНСэнРст;60;20170530;110000;0.231;0.231;0.219;0.219;7;0
ТНСэнРст;60;20170530;120000;0.265;0.265;0.265;0.265;1;0
ТНСэнРст;60;20170530;140000;0.265;0.265;0.265;0.265;1;0
ТНСэнРст;60;20170530;160000;0.267;0.267;0.267;0.267;1;0
ТНСэнРст;60;20170601;130000;0.233;0.233;0.233;0.233;2;0
ТНСэнРст;60;20170602;150000;0.225;0.225;0.225;0.225;1;0
ТНСэнРст;60;20170605;100000;0.272;0.272;0.272;0.272;7;0
ТНСэнРст;60;20170613;130000;0.218;0.218;0.209;0.209;3;0
ТНСэнРст;60;20170613;140000;0.267;0.267;0.267;0.267;1;0
ТНСэнРст;60;20170614;130000;0.223;0.223;0.221;0.221;10;0
ТНСэнРст;60;20170614;140000;0.239;0.239;0.239;0.239;10;0
ТНСэнРст;60;20170615;100000;0.225;0.225;0.225;0.225;11;0
ТНСэнРст;60;20170615;120000;0.225;0.225;0.225;0.225;4;0
ТНСэнРст;60;20170615;150000;0.222;0.222;0.204;0.204;24;0
ТНСэнРст;60;20170616;100000;0.211;0.211;0.211;0.211;4;0
ТНСэнРст;60;20170616;110000;0.21;0.21;0.191;0.191;32;0
ТНСэнРст;60;20170619;180000;0.23;0.23;0.23;0.23;8;0
ТНСэнРст;60;20170620;160000;0.242;0.277;0.242;0.277;93;0
ТНСэнРст;60;20170620;180000;0.221;0.221;0.221;0.221;1;0
ТНСэнРст;60;20170621;100000;0.235;0.309;0.23;0.273;83;0
