<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнЯр-п;60;20170227;180000;65.5;65.5;65.5;65.5;2;0
ТНСэнЯр-п;60;20170228;120000;65.6;65.6;65.5;65.5;2;0
ТНСэнЯр-п;60;20170309;150000;68;68;68;68;1;0
ТНСэнЯр-п;60;20170329;130000;65.2;65.2;65.2;65.2;4;0
ТНСэнЯр-п;60;20170331;120000;78.8;78.8;78.8;78.8;1;0
ТНСэнЯр-п;60;20170420;130000;76.9;76.9;76.9;76.9;1;0
ТНСэнЯр-п;60;20170420;180000;75.7;75.7;75.7;75.7;1;0
ТНСэнЯр-п;60;20170421;100000;75.8;75.8;75.8;75.8;1;0
ТНСэнЯр-п;60;20170421;120000;64.1;64.1;64.1;64.1;1;0
ТНСэнЯр-п;60;20170428;130000;64.6;64.6;64.6;64.6;1;0
ТНСэнЯр-п;60;20170510;120000;64.5;64.5;64.5;64.5;1;0
ТНСэнЯр-п;60;20170510;130000;77.5;77.5;63.9;63.9;2;0
ТНСэнЯр-п;60;20170511;120000;55.1;56.4;54.6;56.4;9;0
ТНСэнЯр-п;60;20170511;140000;60;60;58.9;58.9;3;0
ТНСэнЯр-п;60;20170511;180000;60;60;60;60;1;0
ТНСэнЯр-п;60;20170512;100000;66.5;66.5;66.5;66.5;1;0
ТНСэнЯр-п;60;20170516;130000;67.9;67.9;67.9;67.9;1;0
ТНСэнЯр-п;60;20170516;180000;68;68;68;68;1;0
ТНСэнЯр-п;60;20170517;140000;59.5;59.5;59.5;59.5;1;0
ТНСэнЯр-п;60;20170524;160000;64.9;64.9;64.9;64.9;6;0
ТНСэнЯр-п;60;20170525;110000;53;53;53;53;1;0
ТНСэнЯр-п;60;20170525;120000;55;55;50.2;50.5;6;0
ТНСэнЯр-п;60;20170525;160000;58;60.5;58;60.5;2;0
ТНСэнЯр-п;60;20170525;180000;59.9;59.9;59.9;59.9;1;0
ТНСэнЯр-п;60;20170601;140000;50;50;50;50;2;0
ТНСэнЯр-п;60;20170601;150000;54.5;54.5;54.5;54.5;1;0
ТНСэнЯр-п;60;20170601;170000;50;50;50;50;1;0
ТНСэнЯр-п;60;20170614;140000;59.8;59.9;59.8;59.9;2;0
ТНСэнЯр-п;60;20170615;140000;45.1;45.1;45.1;45.1;2;0
ТНСэнЯр-п;60;20170615;180000;49.4;49.5;49.4;49.5;4;0
ТНСэнЯр-п;60;20170621;100000;54.7;54.7;54.7;54.7;1;0
ТНСэнЯр-п;60;20170621;150000;50;50;50;50;1;0
ТНСэнЯр-п;60;20170704;160000;51;51;51;51;1;0
ТНСэнЯр-п;60;20170705;130000;45;45;45;45;1;0
ТНСэнЯр-п;60;20170705;150000;45;50;45;50;5;0
ТНСэнЯр-п;60;20170705;160000;47;47;47;47;1;0
ТНСэнЯр-п;60;20170711;180000;52;53;52;53;4;0
ТНСэнЯр-п;60;20170712;100000;54.7;54.7;54.7;54.7;1;0
ТНСэнЯр-п;60;20170726;180000;52;52;52;52;1;0
ТНСэнЯр-п;60;20170728;150000;46;46;46;46;1;0
ТНСэнЯр-п;60;20170731;150000;54.9;54.9;54.9;54.9;1;0
ТНСэнЯр-п;60;20170803;120000;54;65;54;65;27;0
ТНСэнЯр-п;60;20170803;130000;58;58;58;58;1;0
ТНСэнЯр-п;60;20170803;170000;51;51;51;51;1;0
ТНСэнЯр-п;60;20170804;100000;62;69;55.2;55.2;37;0
ТНСэнЯр-п;60;20170804;130000;60;60;55.2;55.2;2;0
ТНСэнЯр-п;60;20170807;100000;79.7;79.7;55;55;15;0
ТНСэнЯр-п;60;20170808;180000;68.8;76.9;68.8;76.9;10;0
ТНСэнЯр-п;60;20170810;090000;78.1;78.1;78.1;78.1;5;0
ТНСэнЯр-п;60;20170811;100000;79;107;79;83.9;55;0
ТНСэнЯр-п;60;20170811;140000;79;79;79;79;3;0
ТНСэнЯр-п;60;20170811;170000;79.5;81;79.5;81;10;0
ТНСэнЯр-п;60;20170811;180000;82;83.8;82;83.8;12;0
ТНСэнЯр-п;60;20170911;120000;84;112.1;84;112.1;77;0
