<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнЯр;60;20170130;100000;157;157;157;157;1;0
ТНСэнЯр;60;20170130;130000;157;157;157;157;4;0
ТНСэнЯр;60;20170131;130000;161.5;161.5;161.5;161.5;2;0
ТНСэнЯр;60;20170201;130000;161.5;161.5;161.5;161.5;1;0
ТНСэнЯр;60;20170202;130000;161.5;161.5;161.5;161.5;1;0
ТНСэнЯр;60;20170203;140000;161.5;161.5;161.5;161.5;2;0
ТНСэнЯр;60;20170206;130000;161.5;161.5;161.5;161.5;2;0
ТНСэнЯр;60;20170213;130000;161.5;161.5;161.5;161.5;1;0
ТНСэнЯр;60;20170214;170000;132.5;136;132.5;132.5;3;0
ТНСэнЯр;60;20170215;140000;154;154;154;154;1;0
ТНСэнЯр;60;20170216;130000;133;133;115.5;115.5;3;0
ТНСэнЯр;60;20170216;150000;124;124;124;124;1;0
ТНСэнЯр;60;20170217;130000;117;117;117;117;1;0
ТНСэнЯр;60;20170227;120000;116.5;116.5;116.5;116.5;1;0
ТНСэнЯр;60;20170228;130000;116.5;116.5;116.5;116.5;1;0
ТНСэнЯр;60;20170316;110000;116.5;116.5;116.5;116.5;1;0
ТНСэнЯр;60;20170317;100000;116;116;78.5;78.5;2;0
ТНСэнЯр;60;20170317;160000;116;116;116;116;1;0
ТНСэнЯр;60;20170403;120000;80.5;80.5;80.5;80.5;1;0
ТНСэнЯр;60;20170404;120000;82;82;82;82;1;0
ТНСэнЯр;60;20170405;120000;80;80;80;80;1;0
ТНСэнЯр;60;20170420;130000;78.5;78.5;78.5;78.5;1;0
ТНСэнЯр;60;20170420;180000;115;119.5;115;119.5;8;0
ТНСэнЯр;60;20170424;130000;127.5;127.5;127.5;127.5;1;0
ТНСэнЯр;60;20170504;130000;78.5;78.5;78.5;78.5;1;0
ТНСэнЯр;60;20170505;120000;78.5;78.5;78.5;78.5;1;0
ТНСэнЯр;60;20170516;130000;116.5;116.5;116.5;116.5;1;0
ТНСэнЯр;60;20170517;130000;139;139;139;139;1;0
ТНСэнЯр;60;20170601;140000;78;78;78;78;1;0
ТНСэнЯр;60;20170907;100000;70;84;70;84;2;0
ТНСэнЯр;60;20170911;120000;85;102;85;102;3;0
ТНСэнЯр;60;20170911;130000;102;102;102;102;1;0
ТНСэнЯр;60;20170912;140000;83;83;83;83;1;0
ТНСэнЯр;60;20170913;140000;71;71;71;71;1;0
ТНСэнЯр;60;20170914;160000;71.5;71.5;71.5;71.5;1;0
ТНСэнЯр;60;20170921;170000;76;85;76;85;3;0
ТНСэнЯр;60;20170927;140000;100;100;100;100;1;0
ТНСэнЯр;60;20171020;130000;100;135;100;115;10;0
ТНСэнЯр;60;20171023;100000;115;125;115;125;8;0
ТНСэнЯр;60;20171023;110000;127.5;127.5;127.5;127.5;1;0
ТНСэнЯр;60;20171025;180000;104;113;81.5;113;5;0
ТНСэнЯр;60;20171116;150000;113;158;113;158;23;0
ТНСэнЯр;60;20171116;180000;105.5;135;105;135;7;0
ТНСэнЯр;60;20171117;100000;145;145;145;145;2;0
ТНСэнЯр;60;20171117;180000;145;188.5;145;188.5;16;0
ТНСэнЯр;60;20171120;100000;165;252;165;169;37;0
ТНСэнЯр;60;20171120;140000;135.5;135.5;135.5;135.5;1;0
ТНСэнЯр;60;20171120;180000;149;149;149;149;1;0
ТНСэнЯр;60;20171122;150000;150;150;140;140;2;0
ТНСэнЯр;60;20171201;110000;107.5;107.5;107;107;2;0
ТНСэнЯр;60;20171201;120000;101.5;105;101;105;9;0
ТНСэнЯр;60;20171201;160000;105;105;105;105;1;0
ТНСэнЯр;60;20171201;170000;110;110;110;110;1;0
ТНСэнЯр;60;20171201;180000;115;115;115;115;1;0
ТНСэнЯр;60;20171204;110000;101;102;100;102;8;0
ТНСэнЯр;60;20171204;180000;91.5;100;91.5;100;4;0
ТНСэнЯр;60;20171206;160000;88;99.5;82.5;90;12;0
ТНСэнЯр;60;20171206;170000;95;95;95;95;1;0
ТНСэнЯр;60;20171207;110000;99;99;99;99;1;0
ТНСэнЯр;60;20171207;180000;99;101;99;101;2;0
ТНСэнЯр;60;20171219;170000;95;95;95;95;2;0
ТНСэнЯр;60;20171222;160000;82;82;82;82;1;0
ТНСэнЯр;60;20171228;150000;80.5;80.5;80;80;2;0
