<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТНСэнрг ао;60;20170124;110000;1660;1665;1660;1665;25;0
ТНСэнрг ао;60;20170124;130000;1660;1660;1660;1660;4;0
ТНСэнрг ао;60;20170124;160000;1650;1650;1645;1645;46;0
ТНСэнрг ао;60;20170124;170000;1645;1645;1645;1645;8;0
ТНСэнрг ао;60;20170124;180000;1660;1660;1660;1660;10;0
ТНСэнрг ао;60;20170125;100000;1650;1665;1650;1665;38;0
ТНСэнрг ао;60;20170125;120000;1655;1655;1655;1655;1;0
ТНСэнрг ао;60;20170125;140000;1650;1650;1645;1645;13;0
ТНСэнрг ао;60;20170125;150000;1660;1665;1660;1665;6;0
ТНСэнрг ао;60;20170125;160000;1665;1665;1665;1665;25;0
ТНСэнрг ао;60;20170126;110000;1660;1660;1660;1660;3;0
ТНСэнрг ао;60;20170126;120000;1655;1655;1655;1655;9;0
ТНСэнрг ао;60;20170126;130000;1640;1640;1595;1600;101;0
ТНСэнрг ао;60;20170126;140000;1645;1660;1645;1660;7;0
ТНСэнрг ао;60;20170126;170000;1655;1655;1655;1655;5;0
ТНСэнрг ао;60;20170126;180000;1655;1660;1655;1660;8;0
ТНСэнрг ао;60;20170130;110000;1650;1655;1620;1620;18;0
ТНСэнрг ао;60;20170130;160000;1630;1630;1630;1630;1;0
ТНСэнрг ао;60;20170130;180000;1645;1650;1645;1650;13;0
ТНСэнрг ао;60;20170131;160000;1650;1650;1650;1650;3;0
ТНСэнрг ао;60;20170131;180000;1650;1650;1650;1650;3;0
ТНСэнрг ао;60;20170201;110000;1650;1650;1650;1650;1;0
ТНСэнрг ао;60;20170201;130000;1650;1650;1650;1650;1;0
ТНСэнрг ао;60;20170201;150000;1640;1640;1640;1640;16;0
ТНСэнрг ао;60;20170201;170000;1635;1635;1635;1635;1;0
ТНСэнрг ао;60;20170201;180000;1640;1640;1640;1640;1;0
ТНСэнрг ао;60;20170202;110000;1665;1665;1655;1660;86;0
ТНСэнрг ао;60;20170202;120000;1660;1660;1660;1660;2;0
ТНСэнрг ао;60;20170202;130000;1660;1665;1660;1665;19;0
ТНСэнрг ао;60;20170202;140000;1660;1660;1660;1660;60;0
ТНСэнрг ао;60;20170202;150000;1665;1665;1660;1665;138;0
ТНСэнрг ао;60;20170202;170000;1660;1660;1660;1660;1;0
ТНСэнрг ао;60;20170202;180000;1660;1660;1660;1660;25;0
ТНСэнрг ао;60;20170203;100000;1675;1705;1640;1665;143;0
ТНСэнрг ао;60;20170203;110000;1665;1665;1635;1665;8;0
ТНСэнрг ао;60;20170203;120000;1635;1635;1635;1635;1;0
ТНСэнрг ао;60;20170203;130000;1665;1665;1665;1665;1;0
ТНСэнрг ао;60;20170203;140000;1665;1665;1665;1665;20;0
ТНСэнрг ао;60;20170203;170000;1665;1665;1665;1665;12;0
ТНСэнрг ао;60;20170206;130000;1660;1660;1660;1660;1;0
ТНСэнрг ао;60;20170206;150000;1660;1660;1660;1660;4;0
ТНСэнрг ао;60;20170206;160000;1660;1660;1660;1660;3;0
ТНСэнрг ао;60;20170206;170000;1660;1735;1660;1665;5;0
ТНСэнрг ао;60;20170207;100000;1665;1665;1660;1665;36;0
ТНСэнрг ао;60;20170207;120000;1665;1665;1665;1665;103;0
ТНСэнрг ао;60;20170207;130000;1665;1665;1665;1665;34;0
ТНСэнрг ао;60;20170207;170000;1665;1665;1665;1665;19;0
ТНСэнрг ао;60;20170207;180000;1710;1710;1710;1710;1;0
ТНСэнрг ао;60;20170208;150000;1665;1665;1665;1665;15;0
ТНСэнрг ао;60;20170208;160000;1665;1665;1665;1665;72;0
ТНСэнрг ао;60;20170209;110000;1665;1665;1665;1665;3;0
ТНСэнрг ао;60;20170209;120000;1665;1665;1665;1665;6;0
