<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТРАНСАЭРао;60;20170124;100000;2.56;2.68;2.52;2.59;95591;0
ТРАНСАЭРао;60;20170124;110000;2.6;2.63;2.59;2.61;13263;0
ТРАНСАЭРао;60;20170124;120000;2.6;2.61;2.57;2.59;71919;0
ТРАНСАЭРао;60;20170124;130000;2.59;2.61;2.55;2.56;53905;0
ТРАНСАЭРао;60;20170124;140000;2.57;2.6;2.55;2.6;23280;0
ТРАНСАЭРао;60;20170124;150000;2.6;2.6;2.57;2.6;9706;0
ТРАНСАЭРао;60;20170124;160000;2.59;2.6;2.58;2.59;7241;0
ТРАНСАЭРао;60;20170124;170000;2.59;2.61;2.58;2.6;26738;0
ТРАНСАЭРао;60;20170124;180000;2.6;2.62;2.58;2.61;10482;0
ТРАНСАЭРао;60;20170125;100000;2.62;2.62;2.57;2.58;50288;0
ТРАНСАЭРао;60;20170125;110000;2.58;2.59;2.53;2.59;28553;0
ТРАНСАЭРао;60;20170125;120000;2.59;2.59;2.56;2.59;12464;0
ТРАНСАЭРао;60;20170125;130000;2.57;2.58;2.56;2.58;6240;0
ТРАНСАЭРао;60;20170125;140000;2.58;2.58;2.56;2.58;9867;0
ТРАНСАЭРао;60;20170125;150000;2.57;2.6;2.53;2.55;76841;0
ТРАНСАЭРао;60;20170125;160000;2.56;2.57;2.52;2.53;73226;0
ТРАНСАЭРао;60;20170125;170000;2.53;2.58;2.53;2.58;17748;0
ТРАНСАЭРао;60;20170125;180000;2.58;2.6;2.56;2.59;20264;0
ТРАНСАЭРао;60;20170126;100000;2.59;2.61;2.57;2.58;31868;0
ТРАНСАЭРао;60;20170126;110000;2.57;2.59;2.56;2.57;12048;0
ТРАНСАЭРао;60;20170126;120000;2.58;2.6;2.56;2.59;13661;0
ТРАНСАЭРао;60;20170126;130000;2.59;2.6;2.56;2.56;36600;0
ТРАНСАЭРао;60;20170126;140000;2.57;2.58;2.55;2.55;15236;0
ТРАНСАЭРао;60;20170126;150000;2.57;2.57;2.53;2.55;12319;0
ТРАНСАЭРао;60;20170126;160000;2.56;2.57;2.55;2.57;6410;0
ТРАНСАЭРао;60;20170126;170000;2.57;2.57;2.55;2.56;8650;0
ТРАНСАЭРао;60;20170126;180000;2.57;2.58;2.56;2.58;9436;0
ТРАНСАЭРао;60;20170127;100000;2.58;2.59;2.56;2.58;28064;0
ТРАНСАЭРао;60;20170127;110000;2.59;2.59;2.57;2.58;28097;0
ТРАНСАЭРао;60;20170127;120000;2.57;2.6;2.57;2.59;22984;0
ТРАНСАЭРао;60;20170127;130000;2.59;2.59;2.58;2.59;7166;0
ТРАНСАЭРао;60;20170127;140000;2.59;2.59;2.56;2.58;13595;0
ТРАНСАЭРао;60;20170127;150000;2.58;2.59;2.57;2.59;1090;0
ТРАНСАЭРао;60;20170127;160000;2.57;2.59;2.56;2.57;2088;0
ТРАНСАЭРао;60;20170127;170000;2.57;2.58;2.55;2.56;24855;0
ТРАНСАЭРао;60;20170127;180000;2.56;2.65;2.55;2.58;113097;0
ТРАНСАЭРао;60;20170130;100000;2.58;2.69;2.58;2.6;130137;0
ТРАНСАЭРао;60;20170130;110000;2.6;2.6;2.58;2.59;13794;0
ТРАНСАЭРао;60;20170130;120000;2.59;2.6;2.57;2.57;11560;0
ТРАНСАЭРао;60;20170130;130000;2.59;2.59;2.57;2.58;10009;0
ТРАНСАЭРао;60;20170130;140000;2.59;2.59;2.58;2.58;49;0
ТРАНСАЭРао;60;20170130;150000;2.58;2.6;2.57;2.59;19884;0
ТРАНСАЭРао;60;20170130;160000;2.6;2.6;2.57;2.58;9350;0
ТРАНСАЭРао;60;20170130;170000;2.58;2.59;2.57;2.58;12004;0
ТРАНСАЭРао;60;20170130;180000;2.59;2.59;2.57;2.58;9865;0
ТРАНСАЭРао;60;20170131;100000;2.59;2.63;2.59;2.6;20852;0
ТРАНСАЭРао;60;20170131;110000;2.58;2.6;2.58;2.59;4760;0
ТРАНСАЭРао;60;20170131;120000;2.59;2.6;2.58;2.59;4680;0
ТРАНСАЭРао;60;20170131;130000;2.59;2.6;2.59;2.6;4671;0
ТРАНСАЭРао;60;20170131;140000;2.59;2.62;2.59;2.62;17275;0
ТРАНСАЭРао;60;20170131;150000;2.62;2.63;2.61;2.62;12256;0
ТРАНСАЭРао;60;20170131;160000;2.62;2.63;2.61;2.61;14794;0
ТРАНСАЭРао;60;20170131;170000;2.62;2.62;2.6;2.6;4847;0
ТРАНСАЭРао;60;20170131;180000;2.6;2.61;2.59;2.59;5363;0
ТРАНСАЭРао;60;20170201;100000;2.59;2.62;2.56;2.59;28679;0
ТРАНСАЭРао;60;20170201;110000;2.59;2.59;2.58;2.58;7750;0
ТРАНСАЭРао;60;20170201;120000;2.59;2.59;2.58;2.59;16816;0
ТРАНСАЭРао;60;20170201;130000;2.58;2.6;2.58;2.6;6729;0
ТРАНСАЭРао;60;20170201;140000;2.6;2.6;2.58;2.59;8390;0
ТРАНСАЭРао;60;20170201;150000;2.6;2.61;2.58;2.61;29029;0
ТРАНСАЭРао;60;20170201;160000;2.6;2.61;2.59;2.59;24292;0
ТРАНСАЭРао;60;20170201;170000;2.59;2.61;2.59;2.59;798;0
ТРАНСАЭРао;60;20170201;180000;2.6;2.61;2.59;2.61;4769;0
ТРАНСАЭРао;60;20170202;100000;2.6;2.68;2.57;2.63;54787;0
ТРАНСАЭРао;60;20170202;110000;2.63;2.64;2.61;2.62;10894;0
ТРАНСАЭРао;60;20170202;120000;2.61;2.64;2.6;2.62;19656;0
ТРАНСАЭРао;60;20170202;130000;2.63;2.65;2.59;2.6;24799;0
ТРАНСАЭРао;60;20170202;140000;2.6;2.61;2.59;2.59;157169;0
ТРАНСАЭРао;60;20170202;150000;2.59;2.6;2.59;2.6;1303;0
ТРАНСАЭРао;60;20170202;160000;2.59;2.6;2.59;2.6;14651;0
ТРАНСАЭРао;60;20170202;170000;2.59;2.6;2.59;2.6;6394;0
ТРАНСАЭРао;60;20170202;180000;2.6;2.6;2.59;2.6;8843;0
ТРАНСАЭРао;60;20170203;100000;2.6;2.61;2.58;2.6;6297;0
ТРАНСАЭРао;60;20170203;110000;2.59;2.61;2.58;2.6;16687;0
ТРАНСАЭРао;60;20170203;120000;2.59;2.6;2.57;2.58;40495;0
ТРАНСАЭРао;60;20170203;130000;2.59;2.59;2.57;2.57;12729;0
ТРАНСАЭРао;60;20170203;140000;2.58;2.59;2.57;2.58;8932;0
ТРАНСАЭРао;60;20170203;150000;2.59;2.59;2.56;2.57;11411;0
ТРАНСАЭРао;60;20170203;160000;2.57;2.58;2.56;2.57;4372;0
ТРАНСАЭРао;60;20170203;170000;2.58;2.6;2.57;2.58;11922;0
ТРАНСАЭРао;60;20170203;180000;2.59;2.59;2.57;2.59;11375;0
ТРАНСАЭРао;60;20170206;100000;2.59;2.6;2.56;2.57;13121;0
ТРАНСАЭРао;60;20170206;110000;2.57;2.58;2.54;2.54;13372;0
ТРАНСАЭРао;60;20170206;120000;2.54;2.57;2.54;2.57;2532;0
ТРАНСАЭРао;60;20170206;130000;2.57;2.57;2.55;2.56;7439;0
ТРАНСАЭРао;60;20170206;140000;2.55;2.56;2.53;2.55;15673;0
ТРАНСАЭРао;60;20170206;150000;2.55;2.55;2.52;2.55;34224;0
ТРАНСАЭРао;60;20170206;160000;2.54;2.56;2.52;2.54;27153;0
ТРАНСАЭРао;60;20170206;170000;2.54;2.56;2.54;2.55;5358;0
ТРАНСАЭРао;60;20170206;180000;2.55;2.57;2.55;2.56;16362;0
ТРАНСАЭРао;60;20170207;100000;2.57;2.57;2.53;2.56;11467;0
ТРАНСАЭРао;60;20170207;110000;2.56;2.89;2.56;2.65;458916;0
ТРАНСАЭРао;60;20170207;120000;2.65;2.66;2.58;2.6;167312;0
ТРАНСАЭРао;60;20170207;130000;2.6;2.65;2.6;2.63;216955;0
ТРАНСАЭРао;60;20170207;140000;2.63;2.64;2.6;2.6;42630;0
ТРАНСАЭРао;60;20170207;150000;2.6;2.61;2.59;2.6;18554;0
ТРАНСАЭРао;60;20170207;160000;2.6;2.6;2.56;2.59;38487;0
ТРАНСАЭРао;60;20170207;170000;2.58;2.6;2.57;2.6;31186;0
ТРАНСАЭРао;60;20170207;180000;2.59;2.61;2.59;2.61;20958;0
ТРАНСАЭРао;60;20170208;100000;2.61;2.63;2.55;2.56;73103;0
ТРАНСАЭРао;60;20170208;110000;2.58;2.6;2.57;2.58;27306;0
ТРАНСАЭРао;60;20170208;120000;2.59;2.59;2.57;2.57;17187;0
ТРАНСАЭРао;60;20170208;130000;2.58;2.59;2.57;2.57;24316;0
ТРАНСАЭРао;60;20170208;140000;2.58;2.58;2.56;2.56;13521;0
ТРАНСАЭРао;60;20170208;150000;2.57;2.57;2.55;2.57;23217;0
ТРАНСАЭРао;60;20170208;160000;2.57;2.59;2.56;2.58;22670;0
ТРАНСАЭРао;60;20170208;170000;2.59;2.6;2.58;2.59;39011;0
ТРАНСАЭРао;60;20170208;180000;2.59;2.62;2.58;2.59;36743;0
ТРАНСАЭРао;60;20170209;100000;2.58;2.6;2.56;2.57;47907;0
ТРАНСАЭРао;60;20170209;110000;2.57;2.59;2.56;2.57;11496;0
ТРАНСАЭРао;60;20170209;120000;2.57;2.58;2.56;2.57;15170;0
ТРАНСАЭРао;60;20170209;130000;2.56;2.58;2.55;2.55;16231;0
ТРАНСАЭРао;60;20170209;140000;2.56;2.57;2.53;2.55;14505;0
ТРАНСАЭРао;60;20170209;150000;2.55;2.55;2.53;2.55;19894;0
ТРАНСАЭРао;60;20170209;160000;2.56;2.56;2.55;2.56;1301;0
ТРАНСАЭРао;60;20170209;170000;2.56;2.57;2.55;2.57;1204;0
ТРАНСАЭРао;60;20170209;180000;2.56;2.57;2.55;2.56;7765;0
ТРАНСАЭРао;60;20170210;100000;2.54;2.57;2.52;2.54;36922;0
ТРАНСАЭРао;60;20170210;110000;2.55;2.55;2.54;2.54;7678;0
ТРАНСАЭРао;60;20170210;120000;2.55;2.55;2.54;2.55;12203;0
