<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТРК ао;60;20170124;110000;0.446;0.448;0.446;0.448;4;0
ТРК ао;60;20170124;120000;0.454;0.454;0.454;0.454;2;0
ТРК ао;60;20170126;120000;0.45;0.45;0.45;0.45;5;0
ТРК ао;60;20170126;130000;0.464;0.464;0.464;0.464;1;0
ТРК ао;60;20170126;170000;0.459;0.459;0.459;0.459;1;0
ТРК ао;60;20170126;180000;0.457;0.457;0.457;0.457;2;0
ТРК ао;60;20170127;170000;0.468;0.468;0.468;0.468;1;0
ТРК ао;60;20170130;150000;0.469;0.469;0.469;0.469;1;0
ТРК ао;60;20170131;160000;0.462;0.462;0.462;0.462;1;0
ТРК ао;60;20170131;180000;0.474;0.477;0.474;0.477;2;0
ТРК ао;60;20170201;100000;0.474;0.474;0.474;0.474;1;0
ТРК ао;60;20170201;140000;0.477;0.477;0.477;0.477;2;0
ТРК ао;60;20170203;110000;0.466;0.466;0.431;0.448;6;0
ТРК ао;60;20170203;120000;0.474;0.482;0.474;0.482;3;0
ТРК ао;60;20170203;140000;0.461;0.482;0.461;0.482;4;0
ТРК ао;60;20170206;100000;0.462;0.481;0.462;0.481;5;0
ТРК ао;60;20170206;130000;0.465;0.465;0.465;0.465;1;0
ТРК ао;60;20170206;180000;0.46;0.46;0.46;0.46;1;0
ТРК ао;60;20170208;100000;0.461;0.461;0.461;0.461;5;0
ТРК ао;60;20170208;110000;0.468;0.468;0.468;0.468;1;0
ТРК ао;60;20170210;100000;0.47;0.47;0.47;0.47;2;0
ТРК ао;60;20170210;150000;0.457;0.457;0.457;0.457;1;0
ТРК ао;60;20170210;160000;0.44;0.44;0.44;0.44;2;0
ТРК ао;60;20170210;170000;0.444;0.448;0.444;0.448;2;0
ТРК ао;60;20170210;180000;0.44;0.44;0.44;0.44;1;0
ТРК ао;60;20170213;110000;0.44;0.44;0.44;0.44;1;0
ТРК ао;60;20170213;140000;0.422;0.428;0.42;0.428;5;0
ТРК ао;60;20170213;150000;0.428;0.428;0.428;0.428;1;0
ТРК ао;60;20170213;160000;0.443;0.444;0.443;0.444;4;0
ТРК ао;60;20170213;170000;0.444;0.444;0.444;0.444;2;0
ТРК ао;60;20170214;120000;0.447;0.448;0.447;0.448;9;0
ТРК ао;60;20170215;110000;0.458;0.458;0.458;0.458;2;0
