<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТРК ап;60;20170124;100000;0.408;0.408;0.408;0.408;1;0
ТРК ап;60;20170124;110000;0.416;0.416;0.409;0.409;2;0
ТРК ап;60;20170124;120000;0.415;0.415;0.415;0.415;1;0
ТРК ап;60;20170124;130000;0.415;0.416;0.415;0.416;4;0
ТРК ап;60;20170124;160000;0.416;0.416;0.416;0.416;1;0
ТРК ап;60;20170124;170000;0.417;0.424;0.417;0.424;25;0
ТРК ап;60;20170125;100000;0.428;0.431;0.424;0.431;33;0
ТРК ап;60;20170125;120000;0.429;0.437;0.409;0.437;26;0
ТРК ап;60;20170125;140000;0.431;0.431;0.431;0.431;1;0
ТРК ап;60;20170125;150000;0.431;0.437;0.431;0.437;19;0
ТРК ап;60;20170125;170000;0.431;0.436;0.43;0.436;7;0
ТРК ап;60;20170125;180000;0.43;0.43;0.43;0.43;1;0
ТРК ап;60;20170126;090000;0.438;0.438;0.438;0.438;1;0
ТРК ап;60;20170126;100000;0.438;0.438;0.43;0.43;6;0
ТРК ап;60;20170126;110000;0.431;0.431;0.431;0.431;3;0
ТРК ап;60;20170126;120000;0.431;0.431;0.431;0.431;1;0
ТРК ап;60;20170126;130000;0.432;0.435;0.43;0.435;9;0
ТРК ап;60;20170126;140000;0.43;0.433;0.428;0.433;5;0
ТРК ап;60;20170126;160000;0.429;0.436;0.429;0.436;2;0
ТРК ап;60;20170126;170000;0.432;0.432;0.432;0.432;1;0
ТРК ап;60;20170126;180000;0.423;0.423;0.42;0.422;12;0
ТРК ап;60;20170127;100000;0.424;0.436;0.424;0.436;6;0
ТРК ап;60;20170127;140000;0.427;0.427;0.422;0.422;18;0
ТРК ап;60;20170127;150000;0.423;0.423;0.423;0.423;1;0
ТРК ап;60;20170127;160000;0.429;0.429;0.429;0.429;1;0
ТРК ап;60;20170127;170000;0.423;0.425;0.423;0.425;2;0
ТРК ап;60;20170127;180000;0.422;0.422;0.422;0.422;2;0
ТРК ап;60;20170130;100000;0.42;0.424;0.416;0.423;6;0
ТРК ап;60;20170130;110000;0.42;0.42;0.42;0.42;1;0
ТРК ап;60;20170130;160000;0.427;0.43;0.423;0.423;13;0
ТРК ап;60;20170130;180000;0.422;0.428;0.42;0.42;5;0
ТРК ап;60;20170131;140000;0.423;0.423;0.423;0.423;1;0
ТРК ап;60;20170131;150000;0.422;0.422;0.422;0.422;1;0
ТРК ап;60;20170131;160000;0.421;0.421;0.416;0.416;8;0
ТРК ап;60;20170131;180000;0.416;0.435;0.412;0.427;24;0
ТРК ап;60;20170201;100000;0.42;0.42;0.42;0.42;3;0
ТРК ап;60;20170201;130000;0.42;0.427;0.419;0.427;36;0
ТРК ап;60;20170201;140000;0.429;0.433;0.429;0.433;2;0
ТРК ап;60;20170201;160000;0.426;0.426;0.426;0.426;2;0
ТРК ап;60;20170201;170000;0.427;0.427;0.427;0.427;2;0
ТРК ап;60;20170202;100000;0.423;0.423;0.423;0.423;2;0
ТРК ап;60;20170202;110000;0.426;0.426;0.423;0.423;25;0
ТРК ап;60;20170202;130000;0.428;0.428;0.428;0.428;1;0
ТРК ап;60;20170202;170000;0.424;0.429;0.422;0.429;17;0
ТРК ап;60;20170202;180000;0.429;0.429;0.429;0.429;2;0
ТРК ап;60;20170203;110000;0.43;0.431;0.426;0.426;17;0
ТРК ап;60;20170203;120000;0.425;0.433;0.42;0.433;8;0
ТРК ап;60;20170203;130000;0.433;0.437;0.433;0.437;10;0
ТРК ап;60;20170203;140000;0.432;0.432;0.427;0.43;6;0
ТРК ап;60;20170203;150000;0.427;0.427;0.427;0.427;6;0
ТРК ап;60;20170203;170000;0.43;0.43;0.43;0.43;1;0
ТРК ап;60;20170203;180000;0.427;0.427;0.415;0.415;51;0
ТРК ап;60;20170206;100000;0.418;0.433;0.417;0.43;10;0
ТРК ап;60;20170206;110000;0.427;0.429;0.416;0.416;21;0
ТРК ап;60;20170206;120000;0.422;0.425;0.42;0.425;18;0
ТРК ап;60;20170206;140000;0.418;0.418;0.418;0.418;1;0
ТРК ап;60;20170206;150000;0.424;0.424;0.424;0.424;1;0
ТРК ап;60;20170206;170000;0.424;0.424;0.424;0.424;1;0
ТРК ап;60;20170206;180000;0.418;0.418;0.417;0.417;16;0
ТРК ап;60;20170207;100000;0.421;0.421;0.415;0.415;55;0
ТРК ап;60;20170207;110000;0.421;0.429;0.421;0.429;10;0
ТРК ап;60;20170207;120000;0.428;0.428;0.428;0.428;2;0
ТРК ап;60;20170207;150000;0.42;0.42;0.42;0.42;3;0
ТРК ап;60;20170207;170000;0.424;0.424;0.424;0.424;2;0
ТРК ап;60;20170208;130000;0.418;0.418;0.418;0.418;3;0
ТРК ап;60;20170208;140000;0.423;0.423;0.423;0.423;1;0
ТРК ап;60;20170208;160000;0.418;0.418;0.418;0.418;3;0
ТРК ап;60;20170209;100000;0.421;0.421;0.42;0.42;5;0
ТРК ап;60;20170209;110000;0.419;0.419;0.417;0.417;9;0
ТРК ап;60;20170209;120000;0.416;0.416;0.415;0.416;8;0
ТРК ап;60;20170209;130000;0.414;0.415;0.41;0.41;75;0
ТРК ап;60;20170209;140000;0.413;0.414;0.41;0.41;14;0
ТРК ап;60;20170209;150000;0.416;0.416;0.41;0.41;4;0
ТРК ап;60;20170209;180000;0.415;0.415;0.415;0.415;3;0
