<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТФГ-руб.об;60;20170125;180000;258.5;258.5;258.5;258.5;1;0
ТФГ-руб.об;60;20170131;110000;258;258;258;258;1;0
ТФГ-руб.об;60;20170131;120000;257.9;257.9;257.9;257.9;115;0
ТФГ-руб.об;60;20170220;140000;260.6;260.6;260.6;260.6;1;0
ТФГ-руб.об;60;20170405;160000;264.15;264.15;264.15;264.15;7600;0
ТФГ-руб.об;60;20170412;170000;264.95;264.95;264.95;264.95;6;0
ТФГ-руб.об;60;20170428;140000;265.95;265.95;265.95;265.95;10;0
ТФГ-руб.об;60;20170713;120000;276.9;276.9;276.9;276.9;94;0
ТФГ-руб.об;60;20170713;150000;273.8;273.8;273.8;273.8;94;0
ТФГ-руб.об;60;20170719;140000;278;278;278;278;100;0
ТФГ-руб.об;60;20170725;120000;278.3;278.3;278.3;278.3;28;0
ТФГ-руб.об;60;20170725;130000;278.3;278.3;278.3;278.3;13;0
ТФГ-руб.об;60;20170802;130000;278.7;278.7;278.7;278.7;20;0
ТФГ-руб.об;60;20170804;150000;279.3;279.3;279.3;279.3;162;0
ТФГ-руб.об;60;20170816;130000;277.2;277.2;277.2;277.2;2;0
ТФГ-руб.об;60;20170828;120000;281;281;281;281;1000;0
ТФГ-руб.об;60;20170828;130000;281;281;281;281;1;0
ТФГ-руб.об;60;20170829;140000;281.5;281.5;281.5;281.5;1;0
ТФГ-руб.об;60;20170830;100000;281.5;281.5;281.5;281.5;195;0
ТФГ-руб.об;60;20170830;110000;281.5;281.5;281.5;281.5;1000;0
ТФГ-руб.об;60;20170907;150000;282.4;282.4;282.4;282.4;1000;0
ТФГ-руб.об;60;20170911;160000;282.7;282.7;282.7;282.7;670;0
ТФГ-руб.об;60;20170914;110000;281.5;281.5;281.5;281.5;60;0
ТФГ-руб.об;60;20170915;100000;281.5;281.5;281.5;281.5;3;0
ТФГ-руб.об;60;20170922;100000;278.5;278.5;278.5;278.5;2;0
ТФГ-руб.об;60;20170922;130000;282.05;282.05;282.05;282.05;1;0
ТФГ-руб.об;60;20170927;100000;282.4;282.4;282.4;282.4;1;0
ТФГ-руб.об;60;20171002;160000;278.3;278.3;278.3;278.3;1;0
ТФГ-руб.об;60;20171006;150000;283.35;283.35;283.35;283.35;10;0
ТФГ-руб.об;60;20171013;130000;280.65;280.65;280.65;280.65;2;0
ТФГ-руб.об;60;20171101;100000;283.1;283.1;283.1;283.1;1;0
ТФГ-руб.об;60;20171115;130000;284;284;284;284;2;0
ТФГ-руб.об;60;20171117;140000;284;284;284;284;25;0
ТФГ-руб.об;60;20171128;150000;288.4;288.4;288.4;288.4;7;0
ТФГ-руб.об;60;20171205;110000;288.9;288.9;288.9;288.9;302;0
ТФГ-руб.об;60;20171215;170000;286.3;286.3;286.3;286.3;106;0
ТФГ-руб.об;60;20171227;160000;287.6;287.6;287.6;287.6;116;0
