<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТамбЭнСб-п;60;20170124;120000;0.1235;0.1235;0.117;0.1225;25;0
ТамбЭнСб-п;60;20170124;130000;0.123;0.1235;0.122;0.1235;4;0
ТамбЭнСб-п;60;20170124;140000;0.1225;0.1225;0.1225;0.1225;1;0
ТамбЭнСб-п;60;20170124;180000;0.122;0.123;0.122;0.123;2;0
ТамбЭнСб-п;60;20170125;180000;0.125;0.125;0.125;0.125;5;0
ТамбЭнСб-п;60;20170126;110000;0.125;0.133;0.125;0.133;11;0
ТамбЭнСб-п;60;20170126;140000;0.1265;0.1275;0.118;0.1245;16;0
ТамбЭнСб-п;60;20170126;180000;0.124;0.124;0.124;0.124;2;0
ТамбЭнСб-п;60;20170127;110000;0.1255;0.1295;0.1255;0.1295;16;0
ТамбЭнСб-п;60;20170127;130000;0.1285;0.1295;0.128;0.1295;4;0
ТамбЭнСб-п;60;20170127;140000;0.131;0.132;0.131;0.132;19;0
ТамбЭнСб-п;60;20170127;150000;0.1285;0.1285;0.1255;0.1255;7;0
ТамбЭнСб-п;60;20170130;160000;0.126;0.126;0.126;0.126;1;0
ТамбЭнСб-п;60;20170131;100000;0.1255;0.1255;0.1255;0.1255;1;0
ТамбЭнСб-п;60;20170203;120000;0.126;0.126;0.122;0.122;101;0
ТамбЭнСб-п;60;20170206;120000;0.123;0.1295;0.123;0.1255;20;0
ТамбЭнСб-п;60;20170206;130000;0.125;0.125;0.1245;0.1245;2;0
ТамбЭнСб-п;60;20170207;100000;0.1265;0.128;0.125;0.125;8;0
ТамбЭнСб-п;60;20170207;110000;0.125;0.125;0.125;0.125;1;0
ТамбЭнСб-п;60;20170207;160000;0.1245;0.1245;0.1185;0.1235;5;0
ТамбЭнСб-п;60;20170207;170000;0.123;0.123;0.123;0.123;1;0
ТамбЭнСб-п;60;20170208;110000;0.123;0.123;0.1225;0.1225;2;0
ТамбЭнСб-п;60;20170209;120000;0.122;0.122;0.122;0.122;1;0
ТамбЭнСб-п;60;20170209;140000;0.1215;0.1215;0.121;0.121;2;0
ТамбЭнСб-п;60;20170210;120000;0.1185;0.1185;0.1185;0.1185;1;0
ТамбЭнСб-п;60;20170210;140000;0.118;0.118;0.115;0.115;29;0
ТамбЭнСб-п;60;20170213;110000;0.117;0.117;0.117;0.117;1;0
ТамбЭнСб-п;60;20170213;130000;0.1165;0.118;0.1165;0.118;2;0
ТамбЭнСб-п;60;20170213;140000;0.1175;0.1175;0.1175;0.1175;1;0
ТамбЭнСб-п;60;20170213;150000;0.1175;0.118;0.1175;0.118;3;0
ТамбЭнСб-п;60;20170214;100000;0.118;0.119;0.118;0.119;5;0
ТамбЭнСб-п;60;20170214;110000;0.1185;0.1185;0.118;0.118;2;0
ТамбЭнСб-п;60;20170214;150000;0.117;0.117;0.117;0.117;1;0
ТамбЭнСб-п;60;20170215;100000;0.118;0.118;0.118;0.118;1;0
ТамбЭнСб-п;60;20170216;180000;0.118;0.118;0.118;0.118;20;0
ТамбЭнСб-п;60;20170217;180000;0.1175;0.1175;0.1155;0.1165;4;0
ТамбЭнСб-п;60;20170220;150000;0.1185;0.1185;0.1185;0.1185;1;0
ТамбЭнСб-п;60;20170222;170000;0.117;0.117;0.1165;0.1165;2;0
ТамбЭнСб-п;60;20170224;180000;0.113;0.113;0.113;0.113;1;0
ТамбЭнСб-п;60;20170227;100000;0.116;0.116;0.1155;0.1155;2;0
ТамбЭнСб-п;60;20170227;120000;0.115;0.115;0.115;0.115;1;0
ТамбЭнСб-п;60;20170227;170000;0.1145;0.1145;0.111;0.111;19;0
ТамбЭнСб-п;60;20170302;110000;0.1125;0.1125;0.1125;0.1125;4;0
ТамбЭнСб-п;60;20170302;130000;0.112;0.112;0.112;0.112;1;0
ТамбЭнСб-п;60;20170303;170000;0.104;0.1135;0.104;0.111;5;0
ТамбЭнСб-п;60;20170306;140000;0.1095;0.1095;0.1095;0.1095;13;0
ТамбЭнСб-п;60;20170307;140000;0.103;0.103;0.1;0.1;118;0
ТамбЭнСб-п;60;20170307;150000;0.1095;0.1095;0.1095;0.1095;2;0
ТамбЭнСб-п;60;20170309;100000;0.101;0.101;0.1005;0.1005;2;0
ТамбЭнСб-п;60;20170309;110000;0.1005;0.107;0.1;0.1;118;0
ТамбЭнСб-п;60;20170309;120000;0.1;0.1;0.1;0.1;30;0
ТамбЭнСб-п;60;20170309;130000;0.106;0.106;0.106;0.106;1;0
ТамбЭнСб-п;60;20170309;140000;0.1;0.1;0.1;0.1;2;0
ТамбЭнСб-п;60;20170309;160000;0.1;0.1;0.0985;0.0985;29;0
ТамбЭнСб-п;60;20170309;170000;0.098;0.098;0.098;0.098;42;0
ТамбЭнСб-п;60;20170309;180000;0.103;0.103;0.103;0.103;1;0
ТамбЭнСб-п;60;20170310;130000;0.105;0.105;0.105;0.105;1;0
ТамбЭнСб-п;60;20170310;140000;0.105;0.1055;0.105;0.1055;5;0
ТамбЭнСб-п;60;20170310;150000;0.1055;0.1055;0.1055;0.1055;1;0
ТамбЭнСб-п;60;20170310;160000;0.1;0.1;0.1;0.1;49;0
ТамбЭнСб-п;60;20170310;170000;0.0995;0.0995;0.098;0.098;5;0
ТамбЭнСб-п;60;20170310;180000;0.1055;0.1055;0.1055;0.1055;1;0
ТамбЭнСб-п;60;20170313;100000;0.1095;0.1095;0.1075;0.1075;2;0
ТамбЭнСб-п;60;20170314;110000;0.108;0.108;0.108;0.108;1;0
ТамбЭнСб-п;60;20170314;120000;0.099;0.099;0.099;0.099;1;0
ТамбЭнСб-п;60;20170314;180000;0.101;0.103;0.1;0.101;130;0
ТамбЭнСб-п;60;20170315;100000;0.108;0.108;0.108;0.108;1;0
ТамбЭнСб-п;60;20170315;110000;0.1005;0.1005;0.1005;0.1005;1;0
ТамбЭнСб-п;60;20170315;120000;0.1035;0.1035;0.1025;0.1035;24;0
ТамбЭнСб-п;60;20170315;140000;0.1025;0.1025;0.1025;0.1025;22;0
ТамбЭнСб-п;60;20170315;150000;0.1025;0.1025;0.1025;0.1025;8;0
ТамбЭнСб-п;60;20170315;180000;0.1025;0.1065;0.1025;0.1065;6;0
ТамбЭнСб-п;60;20170316;110000;0.1065;0.1065;0.1065;0.1065;1;0
ТамбЭнСб-п;60;20170316;160000;0.1065;0.1065;0.1065;0.1065;2;0
ТамбЭнСб-п;60;20170316;170000;0.1075;0.1075;0.1075;0.1075;1;0
ТамбЭнСб-п;60;20170316;180000;0.1075;0.108;0.1075;0.108;67;0
ТамбЭнСб-п;60;20170317;100000;0.111;0.113;0.1095;0.113;23;0
ТамбЭнСб-п;60;20170317;110000;0.114;0.1155;0.114;0.1155;8;0
ТамбЭнСб-п;60;20170317;120000;0.1155;0.122;0.109;0.109;98;0
ТамбЭнСб-п;60;20170317;170000;0.1095;0.1095;0.1095;0.1095;1;0
ТамбЭнСб-п;60;20170317;180000;0.117;0.117;0.117;0.117;1;0
ТамбЭнСб-п;60;20170320;130000;0.1165;0.119;0.1105;0.1105;71;0
ТамбЭнСб-п;60;20170321;140000;0.109;0.109;0.109;0.109;1;0
ТамбЭнСб-п;60;20170322;110000;0.107;0.107;0.1035;0.104;10;0
ТамбЭнСб-п;60;20170322;160000;0.1085;0.114;0.1085;0.114;86;0
ТамбЭнСб-п;60;20170323;110000;0.121;0.121;0.119;0.119;12;0
ТамбЭнСб-п;60;20170323;120000;0.115;0.115;0.115;0.115;1;0
ТамбЭнСб-п;60;20170323;160000;0.1155;0.1155;0.1155;0.1155;1;0
ТамбЭнСб-п;60;20170324;120000;0.112;0.113;0.108;0.11;8;0
ТамбЭнСб-п;60;20170324;130000;0.112;0.158;0.112;0.146;644;0
ТамбЭнСб-п;60;20170324;140000;0.1455;0.158;0.138;0.156;1738;0
ТамбЭнСб-п;60;20170324;150000;0.156;0.161;0.1475;0.16;934;0
ТамбЭнСб-п;60;20170324;160000;0.1605;0.1615;0.1545;0.1615;725;0
ТамбЭнСб-п;60;20170324;180000;0.1615;0.1615;0.1615;0.1615;1;0
ТамбЭнСб-п;60;20170327;090000;0.1695;0.1695;0.1695;0.1695;44;0
ТамбЭнСб-п;60;20170327;100000;0.1665;0.1745;0.15;0.1665;1316;0
ТамбЭнСб-п;60;20170327;110000;0.1685;0.19;0.157;0.1665;1888;0
ТамбЭнСб-п;60;20170327;120000;0.1685;0.1695;0.1415;0.1605;548;0
ТамбЭнСб-п;60;20170327;130000;0.1585;0.1595;0.1465;0.1485;180;0
ТамбЭнСб-п;60;20170327;140000;0.148;0.18;0.1415;0.17;1382;0
ТамбЭнСб-п;60;20170327;150000;0.1675;0.2075;0.1675;0.1845;989;0
ТамбЭнСб-п;60;20170327;160000;0.1825;0.198;0.179;0.184;371;0
ТамбЭнСб-п;60;20170327;170000;0.1805;0.22;0.177;0.194;1166;0
ТамбЭнСб-п;60;20170327;180000;0.195;0.207;0.159;0.164;398;0
ТамбЭнСб-п;60;20170328;090000;0.167;0.167;0.167;0.167;1;0
ТамбЭнСб-п;60;20170328;100000;0.167;0.1885;0.153;0.165;183;0
ТамбЭнСб-п;60;20170328;110000;0.163;0.165;0.151;0.161;248;0
ТамбЭнСб-п;60;20170328;120000;0.163;0.1725;0.151;0.169;108;0
ТамбЭнСб-п;60;20170328;130000;0.171;0.188;0.163;0.1875;83;0
ТамбЭнСб-п;60;20170328;140000;0.178;0.19;0.169;0.19;247;0
ТамбЭнСб-п;60;20170328;150000;0.185;0.1995;0.173;0.19;201;0
ТамбЭнСб-п;60;20170328;160000;0.198;0.198;0.1725;0.175;226;0
ТамбЭнСб-п;60;20170328;170000;0.1735;0.182;0.1565;0.166;150;0
ТамбЭнСб-п;60;20170328;180000;0.167;0.173;0.163;0.1725;136;0
ТамбЭнСб-п;60;20170329;090000;0.1735;0.1735;0.1735;0.1735;1;0
ТамбЭнСб-п;60;20170329;100000;0.17;0.188;0.1575;0.1615;363;0
ТамбЭнСб-п;60;20170329;110000;0.162;0.1695;0.162;0.1655;35;0
ТамбЭнСб-п;60;20170329;120000;0.1655;0.1715;0.1455;0.1535;410;0
ТамбЭнСб-п;60;20170329;130000;0.1535;0.162;0.1505;0.1575;183;0
ТамбЭнСб-п;60;20170329;140000;0.1575;0.1595;0.1535;0.1565;33;0
ТамбЭнСб-п;60;20170329;150000;0.154;0.1575;0.1535;0.1535;27;0
ТамбЭнСб-п;60;20170329;160000;0.1535;0.165;0.1535;0.165;48;0
ТамбЭнСб-п;60;20170329;170000;0.1615;0.1785;0.16;0.1695;249;0
ТамбЭнСб-п;60;20170329;180000;0.17;0.1735;0.16;0.173;68;0
ТамбЭнСб-п;60;20170330;100000;0.1735;0.18;0.168;0.1775;129;0
ТамбЭнСб-п;60;20170330;110000;0.179;0.1885;0.175;0.1795;113;0
