<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Татнфт 3ао;60;20170124;090000;405;405;405;405;201;0
Татнфт 3ао;60;20170124;100000;402.8;407.8;402.6;406.4;13442;0
Татнфт 3ао;60;20170124;110000;406.8;407;404.5;406;12858;0
Татнфт 3ао;60;20170124;120000;406;406.95;405.2;405.6;3192;0
Татнфт 3ао;60;20170124;130000;405.6;406.45;404.5;405.85;4557;0
Татнфт 3ао;60;20170124;140000;405.85;406.1;403.6;404.55;5803;0
Татнфт 3ао;60;20170124;150000;404.9;406.85;403.9;404.5;5435;0
Татнфт 3ао;60;20170124;160000;404.5;405.7;402.75;405.4;4480;0
Татнфт 3ао;60;20170124;170000;405.45;406.95;403.2;406.95;6050;0
Татнфт 3ао;60;20170124;180000;407;411.7;405.85;411.7;49553;0
Татнфт 3ао;60;20170125;090000;412.35;412.35;412.35;412.35;4;0
Татнфт 3ао;60;20170125;100000;411.75;411.85;406.75;408.6;10293;0
Татнфт 3ао;60;20170125;110000;408.65;409.35;404.25;405.55;14879;0
Татнфт 3ао;60;20170125;120000;405.75;408.5;404.8;406.3;9383;0
Татнфт 3ао;60;20170125;130000;406.4;407.05;404.25;405.3;6920;0
Татнфт 3ао;60;20170125;140000;405.35;408.25;404.75;407.5;3353;0
Татнфт 3ао;60;20170125;150000;407.4;409.35;404.05;408.35;12769;0
Татнфт 3ао;60;20170125;160000;408.4;410;407.3;410;4107;0
Татнфт 3ао;60;20170125;170000;409.75;410.4;405.9;408.35;11976;0
Татнфт 3ао;60;20170125;180000;408.3;411.2;406.2;409.8;17601;0
Татнфт 3ао;60;20170126;090000;411.7;411.7;411.7;411.7;8;0
Татнфт 3ао;60;20170126;100000;411.7;412.45;409.35;411.9;8754;0
Татнфт 3ао;60;20170126;110000;411.9;415.75;411.75;413.5;10912;0
Татнфт 3ао;60;20170126;120000;413.45;414;410.85;413;6617;0
Татнфт 3ао;60;20170126;130000;413.2;415.9;412.65;415.6;11851;0
Татнфт 3ао;60;20170126;140000;415.8;417.5;414.7;417.35;15287;0
Татнфт 3ао;60;20170126;150000;417.35;425;416.25;425;30776;0
Татнфт 3ао;60;20170126;160000;424.75;427.35;420.35;422.55;30355;0
Татнфт 3ао;60;20170126;170000;422.95;427.1;422.25;425.8;14086;0
Татнфт 3ао;60;20170126;180000;426;430;426;429.95;24720;0
Татнфт 3ао;60;20170127;090000;429;429;429;429;8;0
Татнфт 3ао;60;20170127;100000;428.45;428.75;426.3;426.55;6882;0
Татнфт 3ао;60;20170127;110000;426.55;429.65;426.35;426.5;12586;0
Татнфт 3ао;60;20170127;120000;426.5;428.05;424.5;427.3;20514;0
Татнфт 3ао;60;20170127;130000;427.5;427.85;426.2;427.2;4783;0
Татнфт 3ао;60;20170127;140000;426.45;426.9;424.8;424.85;3478;0
Татнфт 3ао;60;20170127;150000;424.85;425;421.6;422.4;13019;0
Татнфт 3ао;60;20170127;160000;422.6;434;421.7;433.45;30456;0
Татнфт 3ао;60;20170127;170000;433.4;438.65;431.45;436.55;34113;0
Татнфт 3ао;60;20170127;180000;436.3;436.95;433.8;435;13374;0
Татнфт 3ао;60;20170130;090000;428;428;428;428;921;0
