<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Татнфт 3ап;60;20170124;100000;217.9;221.6;217.5;221;2437;0
Татнфт 3ап;60;20170124;110000;220.5;220.9;218.5;220.2;771;0
Татнфт 3ап;60;20170124;120000;219.5;220.2;219;220;632;0
Татнфт 3ап;60;20170124;130000;220;220.6;220;220.4;1026;0
Татнфт 3ап;60;20170124;140000;220;220.1;219;219;1378;0
Татнфт 3ап;60;20170124;150000;219;219;218.9;219;203;0
Татнфт 3ап;60;20170124;160000;218.8;219;218.8;218.8;160;0
Татнфт 3ап;60;20170124;170000;218.9;219;218.1;218.8;1406;0
Татнфт 3ап;60;20170124;180000;218.8;219.8;218.3;219.6;5478;0
Татнфт 3ап;60;20170125;100000;220.3;221.2;219.1;219.6;467;0
Татнфт 3ап;60;20170125;110000;219.5;219.9;216.7;216.9;486;0
Татнфт 3ап;60;20170125;120000;217.3;218.8;217;218.3;227;0
Татнфт 3ап;60;20170125;130000;217.9;218.2;217.4;217.4;70;0
Татнфт 3ап;60;20170125;140000;218;218;217.5;217.9;145;0
Татнфт 3ап;60;20170125;150000;217.9;218.4;217.2;218.1;233;0
Татнфт 3ап;60;20170125;160000;217.8;218.4;217.7;218.4;42;0
Татнфт 3ап;60;20170125;170000;218.2;218.5;217.7;218.2;96;0
Татнфт 3ап;60;20170125;180000;218.2;219;218;218.8;1284;0
Татнфт 3ап;60;20170126;090000;220;220;220;220;1;0
Татнфт 3ап;60;20170126;100000;220;220;219.3;219.7;205;0
Татнфт 3ап;60;20170126;110000;219.7;221.8;219.4;220.7;1404;0
Татнфт 3ап;60;20170126;120000;220.2;222.4;219.7;221.8;766;0
Татнфт 3ап;60;20170126;130000;221.8;222;220.5;222;1178;0
Татнфт 3ап;60;20170126;140000;222;222;221.2;221.9;1275;0
Татнфт 3ап;60;20170126;150000;221.8;224.7;221.4;224.7;12835;0
Татнфт 3ап;60;20170126;160000;224.7;225.4;223.2;225.3;3530;0
Татнфт 3ап;60;20170126;170000;225.3;226.7;224.9;226.5;4830;0
Татнфт 3ап;60;20170126;180000;226.6;227.4;225.7;227;1520;0
Татнфт 3ап;60;20170127;090000;227.7;227.7;227.7;227.7;30;0
Татнфт 3ап;60;20170127;100000;226.6;229.3;225;225.4;329;0
Татнфт 3ап;60;20170127;110000;225.5;228;225.3;227.6;1177;0
Татнфт 3ап;60;20170127;120000;227.7;228;227;227;665;0
Татнфт 3ап;60;20170127;130000;227.8;228.6;227;227;1419;0
Татнфт 3ап;60;20170127;140000;227.1;227.6;227;227.6;106;0
Татнфт 3ап;60;20170127;150000;227.2;227.4;227;227;1224;0
Татнфт 3ап;60;20170127;160000;227.1;229.5;227;229.5;1805;0
Татнфт 3ап;60;20170127;170000;229.1;230.4;228.3;229.9;2046;0
Татнфт 3ап;60;20170127;180000;229.9;230;228.4;228.4;394;0
Татнфт 3ап;60;20170130;090000;228.4;228.4;228.4;228.4;50;0
Татнфт 3ап;60;20170130;100000;228.1;229;226.4;226.5;819;0
Татнфт 3ап;60;20170130;110000;226.3;228.2;224.5;225.3;4239;0
Татнфт 3ап;60;20170130;120000;225.1;227.1;224.8;225.9;1011;0
Татнфт 3ап;60;20170130;130000;225.9;226.4;225.4;226.3;658;0
Татнфт 3ап;60;20170130;140000;226.5;226.5;226;226;58;0
Татнфт 3ап;60;20170130;150000;226.2;226.2;225.2;226.1;180;0
Татнфт 3ап;60;20170130;160000;226.1;226.9;225.3;226;322;0
Татнфт 3ап;60;20170130;170000;225.5;226;225.1;225.5;290;0
Татнфт 3ап;60;20170130;180000;225.5;227;225.5;227;2464;0
Татнфт 3ап;60;20170131;100000;226.2;227.1;225.5;226.8;1618;0
Татнфт 3ап;60;20170131;110000;226.8;226.8;224.2;224.9;1100;0
Татнфт 3ап;60;20170131;120000;224.9;224.9;224;224.1;441;0
Татнфт 3ап;60;20170131;130000;224.2;225;224;224.9;370;0
Татнфт 3ап;60;20170131;140000;224.6;225.2;224.5;225.2;246;0
Татнфт 3ап;60;20170131;150000;225.4;226;224.5;224.6;1691;0
Татнфт 3ап;60;20170131;160000;224.5;225.4;224.5;224.8;1019;0
Татнфт 3ап;60;20170131;170000;224.7;225.4;224.5;224.5;1228;0
Татнфт 3ап;60;20170131;180000;224.5;225.5;224.5;225.5;2252;0
Татнфт 3ап;60;20170201;100000;225.9;225.9;224.8;225.8;445;0
Татнфт 3ап;60;20170201;110000;225.4;225.4;224.5;224.6;335;0
Татнфт 3ап;60;20170201;120000;224.7;225.2;224.7;225;228;0
Татнфт 3ап;60;20170201;130000;225.4;225.4;225.4;225.4;4;0
Татнфт 3ап;60;20170201;140000;225.2;225.8;225;225.1;146;0
Татнфт 3ап;60;20170201;150000;226;226.5;225;225;738;0
Татнфт 3ап;60;20170201;160000;225.6;225.7;224.8;224.8;185;0
Татнфт 3ап;60;20170201;170000;224.8;225.8;224.7;225.8;1105;0
Татнфт 3ап;60;20170201;180000;225.6;227.7;225.6;227;1288;0
Татнфт 3ап;60;20170202;090000;227.8;227.8;227.8;227.8;1;0
Татнфт 3ап;60;20170202;100000;228.1;228.4;225.1;226.4;1423;0
Татнфт 3ап;60;20170202;110000;226.7;226.9;225;225.2;1993;0
Татнфт 3ап;60;20170202;120000;225.2;226.1;225;225.6;648;0
Татнфт 3ап;60;20170202;130000;225.6;225.8;224.9;225.5;2149;0
Татнфт 3ап;60;20170202;140000;225.3;226.7;225.3;225.5;546;0
Татнфт 3ап;60;20170202;150000;225.1;226;225;225.7;185;0
Татнфт 3ап;60;20170202;160000;225.4;227.1;224.9;225.5;16945;0
Татнфт 3ап;60;20170202;170000;225.2;226.9;225;226;1552;0
Татнфт 3ап;60;20170202;180000;226;227.4;225.6;227.3;1484;0
Татнфт 3ап;60;20170203;100000;227.8;228.2;225.3;227.5;819;0
Татнфт 3ап;60;20170203;110000;227.2;228;227;227.6;580;0
Татнфт 3ап;60;20170203;120000;227.7;227.8;227;227.8;364;0
Татнфт 3ап;60;20170203;130000;227.9;228;226.9;227;1850;0
Татнфт 3ап;60;20170203;140000;227;227.4;226.9;227;2700;0
Татнфт 3ап;60;20170203;150000;227.1;227.2;226.9;227;381;0
Татнфт 3ап;60;20170203;160000;227.8;227.8;227.1;227.5;420;0
Татнфт 3ап;60;20170203;170000;227.8;228.5;227.3;228.3;1854;0
Татнфт 3ап;60;20170203;180000;228.3;228.3;227;228;509;0
Татнфт 3ап;60;20170206;090000;228;228;228;228;11;0
Татнфт 3ап;60;20170206;100000;227.9;229.1;227;227;128;0
Татнфт 3ап;60;20170206;110000;227;227;226.1;227;486;0
Татнфт 3ап;60;20170206;120000;227;228.9;227;228.7;775;0
Татнфт 3ап;60;20170206;130000;228.7;228.8;227.2;227.3;536;0
Татнфт 3ап;60;20170206;140000;227.2;227.3;227.1;227.2;372;0
Татнфт 3ап;60;20170206;150000;227;227.2;227;227;52;0
Татнфт 3ап;60;20170206;160000;227.2;227.3;226.8;226.9;1088;0
Татнфт 3ап;60;20170206;170000;226.9;227;226.6;226.6;331;0
Татнфт 3ап;60;20170206;180000;226.9;227.4;225.8;227.4;3288;0
Татнфт 3ап;60;20170207;100000;227.3;227.3;226.2;226.2;205;0
Татнфт 3ап;60;20170207;110000;226.6;227.3;226.6;227.3;22;0
Татнфт 3ап;60;20170207;130000;226.2;226.9;226;226.4;716;0
Татнфт 3ап;60;20170207;140000;226.3;226.9;226.1;226.8;67;0
Татнфт 3ап;60;20170207;150000;226.6;226.6;226.1;226.4;394;0
Татнфт 3ап;60;20170207;160000;226.1;226.5;226;226.2;523;0
Татнфт 3ап;60;20170207;170000;226.2;226.8;226;226.2;1366;0
Татнфт 3ап;60;20170207;180000;226.2;226.7;225.9;226.6;548;0
Татнфт 3ап;60;20170208;100000;227;227;226.3;226.5;27;0
Татнфт 3ап;60;20170208;110000;226.5;227;225.7;226.4;436;0
Татнфт 3ап;60;20170208;120000;226.2;226.8;226;226.5;321;0
Татнфт 3ап;60;20170208;130000;226.1;226.1;225.9;225.9;234;0
Татнфт 3ап;60;20170208;140000;225.9;225.9;225.3;225.5;29;0
Татнфт 3ап;60;20170208;150000;225.3;225.5;225;225.2;202;0
Татнфт 3ап;60;20170208;160000;225.2;225.9;225;225.9;1930;0
Татнфт 3ап;60;20170208;170000;225.6;227;225.1;225.7;1259;0
Татнфт 3ап;60;20170208;180000;225.9;228.6;225.9;227.6;1049;0
Татнфт 3ап;60;20170209;100000;228.9;228.9;227.7;227.7;56;0
Татнфт 3ап;60;20170209;110000;228.1;229.8;227.9;228;1554;0
Татнфт 3ап;60;20170209;120000;227.9;227.9;225.8;226.5;504;0
Татнфт 3ап;60;20170209;130000;226.8;227;225.9;227;1350;0
Татнфт 3ап;60;20170209;140000;227;228;226.9;227.5;210;0
Татнфт 3ап;60;20170209;150000;227.8;227.8;226.6;226.6;151;0
Татнфт 3ап;60;20170209;160000;226.8;227;224.9;226.7;873;0
Татнфт 3ап;60;20170209;170000;226.3;227.4;225;227.3;892;0
Татнфт 3ап;60;20170209;180000;226.7;227.3;226.5;227.3;412;0
Татнфт 3ап;60;20170210;100000;227.7;227.7;226.5;227.3;473;0
Татнфт 3ап;60;20170210;110000;227;227;223.1;224.2;5200;0
Татнфт 3ап;60;20170210;120000;224.6;224.6;224.2;224.2;296;0
Татнфт 3ап;60;20170210;130000;224.2;224.6;224.2;224.6;18;0
Татнфт 3ап;60;20170210;140000;224.6;225.9;224.6;224.9;53;0
Татнфт 3ап;60;20170210;150000;224.8;224.9;224.3;224.9;32;0
Татнфт 3ап;60;20170210;160000;224.9;225.8;224.2;224.7;366;0
Татнфт 3ап;60;20170210;170000;224.8;225.3;224;225.3;1895;0
Татнфт 3ап;60;20170210;180000;225.3;226;224.8;224.8;1103;0
Татнфт 3ап;60;20170213;100000;223.4;225.5;223.3;224.1;693;0
Татнфт 3ап;60;20170213;110000;224.1;225;224.1;224.1;1469;0
Татнфт 3ап;60;20170213;120000;224.1;224.6;224;224.3;934;0
Татнфт 3ап;60;20170213;130000;224;224.7;224;224;2710;0
Татнфт 3ап;60;20170213;140000;224;224;221;221.2;2989;0
Татнфт 3ап;60;20170213;150000;221.2;222.4;221.2;221.2;940;0
Татнфт 3ап;60;20170213;160000;221.2;222.8;221;221;1223;0
Татнфт 3ап;60;20170213;170000;221;222.8;221;222.1;1254;0
Татнфт 3ап;60;20170213;180000;221.5;222.5;221;221.4;1193;0
Татнфт 3ап;60;20170214;100000;221.7;222.3;221.6;222;14;0
Татнфт 3ап;60;20170214;110000;222;223.1;221.9;222.1;1454;0
Татнфт 3ап;60;20170214;120000;222.2;224.3;222;222;2814;0
Татнфт 3ап;60;20170214;130000;222.4;223.7;222;223.6;1539;0
Татнфт 3ап;60;20170214;140000;223.7;224;222;223;1948;0
Татнфт 3ап;60;20170214;150000;223;223;221.1;221.8;724;0
Татнфт 3ап;60;20170214;160000;221.8;223.9;221.8;223.1;4579;0
Татнфт 3ап;60;20170214;170000;223.1;223.9;221.7;223.1;3144;0
Татнфт 3ап;60;20170214;180000;223;224;221.1;222;6763;0
Татнфт 3ап;60;20170215;100000;222.5;222.5;220.4;220.4;2413;0
Татнфт 3ап;60;20170215;110000;220.3;220.5;219.3;219.8;1822;0
Татнфт 3ап;60;20170215;120000;219.8;223.4;219;222.2;3814;0
Татнфт 3ап;60;20170215;130000;222.2;222.5;221.8;222;2238;0
Татнфт 3ап;60;20170215;140000;221.8;221.9;221.6;221.6;430;0
Татнфт 3ап;60;20170215;150000;221.7;221.8;221.1;221.1;850;0
Татнфт 3ап;60;20170215;160000;221.1;221.4;220.9;220.9;2668;0
Татнфт 3ап;60;20170215;170000;220.9;221.4;219.5;220.7;9169;0
Татнфт 3ап;60;20170215;180000;220.8;222.5;220.7;222.4;3021;0
Татнфт 3ап;60;20170216;090000;222.4;222.4;222.4;222.4;1;0
Татнфт 3ап;60;20170216;100000;222.1;222.4;222;222.4;510;0
Татнфт 3ап;60;20170216;110000;222.4;222.4;222;222;327;0
Татнфт 3ап;60;20170216;120000;222;222.4;221.8;222.3;1201;0
Татнфт 3ап;60;20170216;130000;222.3;222.5;222;222.5;460;0
Татнфт 3ап;60;20170216;140000;222.4;223.3;222;223.2;2531;0
Татнфт 3ап;60;20170216;150000;223.2;223.2;221;221.7;2358;0
Татнфт 3ап;60;20170216;160000;221.8;221.9;220.8;221;919;0
Татнфт 3ап;60;20170216;170000;221;221.6;220.7;220.8;361;0
Татнфт 3ап;60;20170216;180000;220.8;221.5;220.4;221.5;737;0
Татнфт 3ап;60;20170217;090000;222.3;222.3;222.3;222.3;1;0
Татнфт 3ап;60;20170217;100000;222.3;226.8;222;224.9;924;0
Татнфт 3ап;60;20170217;110000;225.1;225.1;220.7;221.8;1770;0
Татнфт 3ап;60;20170217;120000;221.7;222.5;221.3;221.3;3982;0
Татнфт 3ап;60;20170217;130000;220.9;223.8;219.9;222;3658;0
Татнфт 3ап;60;20170217;140000;221.7;222.9;221.4;222.3;2354;0
Татнфт 3ап;60;20170217;150000;222.2;223;221.3;222.6;3631;0
Татнфт 3ап;60;20170217;160000;222.3;223.1;221.5;223.1;1071;0
Татнфт 3ап;60;20170217;170000;222.5;222.5;222;222.1;31;0
Татнфт 3ап;60;20170217;180000;222;222.4;222;222;76;0
Татнфт 3ап;60;20170220;100000;223;223;219.9;220.9;7322;0
Татнфт 3ап;60;20170220;110000;220.9;222;218.6;218.6;9179;0
Татнфт 3ап;60;20170220;120000;218.9;220.7;218.6;220.3;655;0
Татнфт 3ап;60;20170220;130000;220.1;220.1;218.9;219.8;265;0
Татнфт 3ап;60;20170220;140000;219.8;220;218.5;219.9;7362;0
