<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Таттел. ао;60;20170124;110000;0.1575;0.1575;0.157;0.157;2;0
Таттел. ао;60;20170124;140000;0.1575;0.16;0.1575;0.16;91;0
Таттел. ао;60;20170124;170000;0.16;0.16;0.16;0.16;10;0
Таттел. ао;60;20170124;180000;0.159;0.159;0.158;0.158;3;0
Таттел. ао;60;20170125;090000;0.1575;0.1575;0.1575;0.1575;2;0
Таттел. ао;60;20170125;100000;0.1545;0.16;0.1525;0.16;134;0
Таттел. ао;60;20170125;150000;0.1595;0.1595;0.1595;0.1595;1;0
Таттел. ао;60;20170125;160000;0.1585;0.1585;0.1585;0.1585;1;0
Таттел. ао;60;20170125;170000;0.159;0.1595;0.159;0.1595;4;0
Таттел. ао;60;20170125;180000;0.16;0.16;0.159;0.16;31;0
Таттел. ао;60;20170126;100000;0.16;0.16;0.159;0.159;2;0
Таттел. ао;60;20170126;130000;0.1595;0.1595;0.1595;0.1595;5;0
Таттел. ао;60;20170126;170000;0.16;0.16;0.16;0.16;1;0
Таттел. ао;60;20170126;180000;0.1595;0.1595;0.1595;0.1595;2;0
Таттел. ао;60;20170127;130000;0.159;0.159;0.159;0.159;1;0
Таттел. ао;60;20170127;170000;0.159;0.159;0.159;0.159;4;0
Таттел. ао;60;20170130;110000;0.1595;0.1605;0.1595;0.1605;3;0
Таттел. ао;60;20170130;130000;0.1605;0.1605;0.1605;0.1605;3;0
Таттел. ао;60;20170130;170000;0.1605;0.161;0.1605;0.161;32;0
Таттел. ао;60;20170130;180000;0.1605;0.163;0.1605;0.163;83;0
Таттел. ао;60;20170131;110000;0.1615;0.1615;0.158;0.158;16;0
Таттел. ао;60;20170131;120000;0.1575;0.161;0.1575;0.161;68;0
Таттел. ао;60;20170131;130000;0.161;0.161;0.161;0.161;2;0
Таттел. ао;60;20170131;140000;0.161;0.1615;0.161;0.1615;7;0
Таттел. ао;60;20170131;150000;0.1615;0.1615;0.1615;0.1615;2;0
Таттел. ао;60;20170131;180000;0.162;0.164;0.162;0.1625;39;0
Таттел. ао;60;20170201;100000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170201;110000;0.163;0.164;0.163;0.1635;11;0
Таттел. ао;60;20170201;120000;0.1635;0.1635;0.1635;0.1635;8;0
Таттел. ао;60;20170201;130000;0.164;0.164;0.164;0.164;10;0
Таттел. ао;60;20170201;140000;0.164;0.1655;0.1635;0.1635;67;0
Таттел. ао;60;20170201;150000;0.1645;0.165;0.1645;0.165;7;0
Таттел. ао;60;20170201;170000;0.165;0.165;0.1645;0.1645;7;0
Таттел. ао;60;20170201;180000;0.1645;0.1645;0.1645;0.1645;1;0
Таттел. ао;60;20170202;090000;0.166;0.166;0.166;0.166;1;0
Таттел. ао;60;20170202;100000;0.1625;0.1625;0.1555;0.162;59;0
Таттел. ао;60;20170202;110000;0.16;0.162;0.16;0.16;17;0
Таттел. ао;60;20170202;120000;0.16;0.16;0.16;0.16;8;0
Таттел. ао;60;20170202;130000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170202;180000;0.1615;0.162;0.1615;0.1615;40;0
Таттел. ао;60;20170203;130000;0.163;0.163;0.163;0.163;7;0
Таттел. ао;60;20170203;170000;0.1625;0.1635;0.1615;0.1635;14;0
Таттел. ао;60;20170203;180000;0.1635;0.164;0.1635;0.164;2;0
Таттел. ао;60;20170206;100000;0.164;0.164;0.164;0.164;1;0
Таттел. ао;60;20170206;110000;0.1615;0.1625;0.16;0.1625;8;0
Таттел. ао;60;20170206;150000;0.162;0.162;0.162;0.162;1;0
Таттел. ао;60;20170206;160000;0.1625;0.1635;0.1625;0.1635;6;0
Таттел. ао;60;20170206;180000;0.1635;0.167;0.1635;0.167;77;0
Таттел. ао;60;20170207;100000;0.168;0.17;0.168;0.168;22;0
Таттел. ао;60;20170207;110000;0.167;0.167;0.1665;0.1665;10;0
Таттел. ао;60;20170207;130000;0.1675;0.1675;0.165;0.165;31;0
Таттел. ао;60;20170207;140000;0.164;0.164;0.1635;0.1635;142;0
Таттел. ао;60;20170207;170000;0.1635;0.1635;0.1635;0.1635;4;0
Таттел. ао;60;20170207;180000;0.1655;0.1655;0.1655;0.1655;1;0
Таттел. ао;60;20170208;100000;0.169;0.1695;0.169;0.1695;56;0
Таттел. ао;60;20170208;110000;0.169;0.1695;0.167;0.1695;60;0
Таттел. ао;60;20170208;120000;0.1675;0.1675;0.1675;0.1675;1;0
Таттел. ао;60;20170208;150000;0.1655;0.1665;0.163;0.1665;22;0
Таттел. ао;60;20170208;160000;0.164;0.165;0.164;0.165;51;0
Таттел. ао;60;20170208;170000;0.164;0.165;0.164;0.165;5;0
Таттел. ао;60;20170208;180000;0.1635;0.1635;0.1635;0.1635;2;0
Таттел. ао;60;20170209;100000;0.1655;0.1655;0.1655;0.1655;1;0
Таттел. ао;60;20170209;130000;0.165;0.165;0.165;0.165;1;0
Таттел. ао;60;20170209;140000;0.165;0.165;0.164;0.164;2;0
Таттел. ао;60;20170209;160000;0.1645;0.1645;0.1615;0.1615;65;0
Таттел. ао;60;20170209;180000;0.162;0.1635;0.1615;0.1615;15;0
Таттел. ао;60;20170210;090000;0.16;0.16;0.16;0.16;1;0
Таттел. ао;60;20170210;100000;0.1605;0.1685;0.1605;0.1605;4;0
Таттел. ао;60;20170210;110000;0.166;0.166;0.166;0.166;1;0
Таттел. ао;60;20170210;130000;0.1655;0.1655;0.1635;0.1635;33;0
Таттел. ао;60;20170210;180000;0.164;0.164;0.1635;0.1635;4;0
Таттел. ао;60;20170213;100000;0.164;0.164;0.164;0.164;1;0
Таттел. ао;60;20170213;110000;0.166;0.166;0.166;0.166;4;0
Таттел. ао;60;20170213;130000;0.166;0.166;0.161;0.161;26;0
Таттел. ао;60;20170213;140000;0.1665;0.1665;0.1665;0.1665;4;0
Таттел. ао;60;20170213;160000;0.1625;0.1625;0.161;0.161;33;0
Таттел. ао;60;20170213;170000;0.162;0.162;0.161;0.161;10;0
Таттел. ао;60;20170214;100000;0.1605;0.161;0.1605;0.1605;17;0
Таттел. ао;60;20170214;120000;0.161;0.161;0.1605;0.1605;50;0
Таттел. ао;60;20170214;150000;0.1615;0.1615;0.161;0.161;2;0
Таттел. ао;60;20170214;170000;0.161;0.161;0.161;0.161;2;0
Таттел. ао;60;20170215;100000;0.162;0.162;0.162;0.162;2;0
Таттел. ао;60;20170215;110000;0.1615;0.165;0.161;0.165;117;0
Таттел. ао;60;20170215;120000;0.1625;0.1625;0.161;0.1625;151;0
Таттел. ао;60;20170215;130000;0.162;0.162;0.161;0.161;89;0
Таттел. ао;60;20170215;150000;0.163;0.163;0.163;0.163;60;0
Таттел. ао;60;20170215;160000;0.163;0.163;0.163;0.163;1;0
Таттел. ао;60;20170215;170000;0.1645;0.165;0.161;0.161;17;0
Таттел. ао;60;20170215;180000;0.164;0.164;0.164;0.164;1;0
Таттел. ао;60;20170216;100000;0.1625;0.1655;0.1615;0.1655;4;0
Таттел. ао;60;20170216;130000;0.1625;0.163;0.162;0.163;7;0
Таттел. ао;60;20170216;180000;0.165;0.165;0.165;0.165;1;0
Таттел. ао;60;20170217;110000;0.1625;0.1625;0.1615;0.1615;23;0
Таттел. ао;60;20170217;130000;0.162;0.162;0.162;0.162;2;0
Таттел. ао;60;20170217;150000;0.1615;0.1615;0.1615;0.1615;10;0
Таттел. ао;60;20170220;120000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170221;100000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170221;110000;0.1625;0.1625;0.1625;0.1625;5;0
Таттел. ао;60;20170221;120000;0.164;0.1705;0.164;0.1705;31;0
Таттел. ао;60;20170221;130000;0.166;0.166;0.165;0.165;2;0
Таттел. ао;60;20170221;140000;0.1655;0.1655;0.1655;0.1655;2;0
Таттел. ао;60;20170221;150000;0.1655;0.1655;0.1655;0.1655;3;0
Таттел. ао;60;20170221;170000;0.1655;0.1655;0.1655;0.1655;1;0
Таттел. ао;60;20170221;180000;0.1675;0.1675;0.166;0.166;3;0
Таттел. ао;60;20170222;090000;0.17;0.17;0.17;0.17;1;0
Таттел. ао;60;20170222;120000;0.165;0.165;0.165;0.165;1;0
Таттел. ао;60;20170222;150000;0.165;0.165;0.1645;0.1645;7;0
Таттел. ао;60;20170222;180000;0.1645;0.1645;0.164;0.164;6;0
Таттел. ао;60;20170224;130000;0.1635;0.1635;0.1635;0.1635;1;0
Таттел. ао;60;20170224;160000;0.1625;0.1625;0.162;0.162;5;0
Таттел. ао;60;20170227;110000;0.163;0.163;0.163;0.163;1;0
Таттел. ао;60;20170227;120000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170227;160000;0.1625;0.1625;0.1615;0.1615;5;0
Таттел. ао;60;20170227;170000;0.162;0.162;0.1615;0.1615;14;0
Таттел. ао;60;20170227;180000;0.1615;0.1615;0.1615;0.1615;5;0
Таттел. ао;60;20170228;100000;0.162;0.162;0.161;0.161;229;0
Таттел. ао;60;20170228;110000;0.161;0.1615;0.161;0.1615;6;0
Таттел. ао;60;20170228;120000;0.161;0.162;0.161;0.162;19;0
Таттел. ао;60;20170228;130000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170228;140000;0.1615;0.1615;0.161;0.161;150;0
Таттел. ао;60;20170228;150000;0.161;0.161;0.161;0.161;116;0
Таттел. ао;60;20170228;160000;0.162;0.162;0.162;0.162;1;0
Таттел. ао;60;20170228;170000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170301;100000;0.1615;0.1615;0.1605;0.1605;5;0
Таттел. ао;60;20170301;110000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170301;170000;0.162;0.162;0.162;0.162;2;0
Таттел. ао;60;20170301;180000;0.163;0.163;0.163;0.163;1;0
Таттел. ао;60;20170302;110000;0.163;0.163;0.163;0.163;13;0
Таттел. ао;60;20170302;130000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170303;120000;0.1615;0.1615;0.1615;0.1615;30;0
Таттел. ао;60;20170303;170000;0.1615;0.1615;0.161;0.161;252;0
Таттел. ао;60;20170303;180000;0.161;0.161;0.161;0.161;148;0
Таттел. ао;60;20170306;100000;0.1615;0.1615;0.1615;0.1615;38;0
Таттел. ао;60;20170306;110000;0.1615;0.1615;0.1615;0.1615;9;0
Таттел. ао;60;20170306;130000;0.1615;0.1625;0.161;0.161;142;0
Таттел. ао;60;20170306;140000;0.162;0.1625;0.162;0.1625;2;0
Таттел. ао;60;20170306;160000;0.1615;0.1615;0.1615;0.1615;11;0
Таттел. ао;60;20170306;180000;0.1615;0.1615;0.1615;0.1615;8;0
Таттел. ао;60;20170307;090000;0.164;0.164;0.164;0.164;1;0
Таттел. ао;60;20170307;100000;0.165;0.1675;0.165;0.1665;3;0
Таттел. ао;60;20170307;110000;0.1625;0.1625;0.1605;0.1615;23;0
Таттел. ао;60;20170307;140000;0.161;0.161;0.161;0.161;2;0
Таттел. ао;60;20170307;150000;0.1605;0.1605;0.16;0.16;91;0
Таттел. ао;60;20170307;170000;0.16;0.16;0.16;0.16;81;0
Таттел. ао;60;20170307;180000;0.16;0.16;0.1585;0.1585;14;0
Таттел. ао;60;20170309;100000;0.159;0.161;0.159;0.161;55;0
Таттел. ао;60;20170309;110000;0.161;0.161;0.161;0.161;49;0
Таттел. ао;60;20170309;120000;0.161;0.161;0.161;0.161;18;0
Таттел. ао;60;20170309;140000;0.161;0.161;0.161;0.161;5;0
Таттел. ао;60;20170309;150000;0.161;0.1615;0.161;0.1615;123;0
Таттел. ао;60;20170309;160000;0.1615;0.1615;0.1615;0.1615;35;0
Таттел. ао;60;20170309;170000;0.1615;0.1615;0.161;0.161;304;0
Таттел. ао;60;20170309;180000;0.161;0.161;0.161;0.161;2;0
Таттел. ао;60;20170310;100000;0.1625;0.1625;0.1615;0.1615;52;0
Таттел. ао;60;20170310;110000;0.1615;0.1615;0.161;0.161;39;0
Таттел. ао;60;20170310;120000;0.1615;0.1615;0.161;0.161;154;0
Таттел. ао;60;20170310;150000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170310;160000;0.1615;0.1615;0.1615;0.1615;11;0
Таттел. ао;60;20170310;170000;0.161;0.161;0.161;0.161;130;0
Таттел. ао;60;20170313;100000;0.161;0.161;0.161;0.161;1;0
Таттел. ао;60;20170313;160000;0.1615;0.1615;0.161;0.161;42;0
Таттел. ао;60;20170313;170000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170314;110000;0.162;0.162;0.1615;0.1615;50;0
Таттел. ао;60;20170314;150000;0.1615;0.1615;0.1615;0.1615;4;0
Таттел. ао;60;20170314;160000;0.161;0.161;0.161;0.161;3;0
Таттел. ао;60;20170315;100000;0.1605;0.161;0.1605;0.161;46;0
Таттел. ао;60;20170315;170000;0.161;0.161;0.161;0.161;20;0
Таттел. ао;60;20170316;120000;0.1635;0.1645;0.1635;0.1645;7;0
Таттел. ао;60;20170316;130000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170316;160000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170317;100000;0.1625;0.1625;0.161;0.161;267;0
Таттел. ао;60;20170317;170000;0.1635;0.1635;0.1635;0.1635;81;0
Таттел. ао;60;20170317;180000;0.1635;0.1655;0.1635;0.1655;30;0
Таттел. ао;60;20170320;120000;0.1655;0.1655;0.1655;0.1655;16;0
Таттел. ао;60;20170320;140000;0.1625;0.1625;0.1625;0.1625;11;0
Таттел. ао;60;20170320;160000;0.1625;0.1625;0.162;0.162;17;0
Таттел. ао;60;20170321;100000;0.162;0.162;0.162;0.162;30;0
Таттел. ао;60;20170321;110000;0.1645;0.1645;0.1645;0.1645;1;0
Таттел. ао;60;20170321;120000;0.1625;0.1625;0.1625;0.1625;1;0
Таттел. ао;60;20170321;130000;0.162;0.162;0.162;0.162;80;0
Таттел. ао;60;20170321;140000;0.162;0.162;0.162;0.162;74;0
Таттел. ао;60;20170321;150000;0.1615;0.1635;0.161;0.161;12;0
Таттел. ао;60;20170321;160000;0.1615;0.1615;0.161;0.161;5;0
Таттел. ао;60;20170321;170000;0.161;0.161;0.161;0.161;15;0
Таттел. ао;60;20170322;100000;0.1605;0.162;0.16;0.161;176;0
Таттел. ао;60;20170322;110000;0.1615;0.1615;0.1605;0.161;267;0
Таттел. ао;60;20170322;120000;0.1605;0.161;0.1605;0.161;27;0
Таттел. ао;60;20170322;130000;0.161;0.161;0.161;0.161;30;0
Таттел. ао;60;20170322;140000;0.1615;0.1615;0.1615;0.1615;24;0
Таттел. ао;60;20170322;150000;0.1615;0.1615;0.1615;0.1615;4;0
Таттел. ао;60;20170322;170000;0.1615;0.1615;0.1615;0.1615;1;0
Таттел. ао;60;20170322;180000;0.162;0.162;0.162;0.162;5;0
Таттел. ао;60;20170323;100000;0.1625;0.1635;0.1625;0.163;18;0
Таттел. ао;60;20170323;160000;0.1635;0.1635;0.1635;0.1635;6;0
Таттел. ао;60;20170323;180000;0.1635;0.1635;0.1635;0.1635;2;0
Таттел. ао;60;20170324;100000;0.1635;0.1635;0.1635;0.1635;12;0
Таттел. ао;60;20170324;130000;0.1615;0.1615;0.161;0.161;360;0
Таттел. ао;60;20170324;150000;0.161;0.161;0.161;0.161;2;0
Таттел. ао;60;20170327;100000;0.1605;0.1635;0.1605;0.1635;41;0
Таттел. ао;60;20170327;120000;0.1615;0.1615;0.1615;0.1615;1;0
